Date,Open,High,Low,Close
2022-01-10,0.06464,0.098,0.06464,0.08117
2022-01-11,0.08117,0.085,0.06091,0.0649
2022-01-12,0.06499,0.0669,0.0591,0.06075
2022-01-13,0.06075,0.0619,0.05704,0.05779
2022-01-14,0.05779,0.064,0.05651,0.05947
2022-01-15,0.05959,0.06204,0.05699,0.05796
2022-01-16,0.05793,0.0591,0.05686,0.05751
2022-01-17,0.05761,0.0577,0.05322,0.05397
2022-01-18,0.05397,0.05444,0.05,0.05195
2022-01-19,0.05202,0.05466,0.051,0.05119
2022-01-20,0.05116,0.05881,0.0501,0.05053
2022-01-21,0.05053,0.05118,0.03924,0.04158
2022-01-22,0.04151,0.04357,0.03232,0.03648
2022-01-23,0.03666,0.04345,0.03554,0.03983
2022-01-24,0.03988,0.04012,0.03419,0.03692
2022-01-25,0.037,0.0419,0.03609,0.03902
2022-01-26,0.03889,0.04538,0.03871,0.04172
2022-01-27,0.04175,0.04177,0.0364,0.03824
2022-01-28,0.03824,0.03939,0.03665,0.03882
2022-01-29,0.0388,0.0409,0.03824,0.03997
2022-01-30,0.03997,0.04114,0.038,0.03884
2022-01-31,0.03878,0.04067,0.03645,0.03937
2022-02-01,0.0393,0.04043,0.03752,0.03831
2022-02-02,0.03835,0.0398,0.03581,0.03599
2022-02-03,0.03596,0.03859,0.03524,0.03618
2022-02-04,0.0362,0.0408,0.03599,0.04064
2022-02-05,0.04065,0.04272,0.0395,0.04045
2022-02-06,0.04044,0.0406,0.03773,0.03963
2022-02-07,0.03973,0.0487,0.03894,0.04261
2022-02-08,0.04264,0.06152,0.04,0.04882
2022-02-09,0.04885,0.06333,0.04554,0.05799
2022-02-10,0.05799,0.06,0.04951,0.05036
2022-02-11,0.05036,0.05473,0.045,0.04779
2022-02-12,0.04783,0.04787,0.04343,0.0442
2022-02-13,0.04427,0.04931,0.04283,0.04334
2022-02-14,0.04332,0.04742,0.04299,0.04607
2022-02-15,0.0461,0.059,0.04587,0.05488
2022-02-16,0.05504,0.069,0.05409,0.05588
2022-02-17,0.05578,0.0579,0.05,0.05109
2022-02-18,0.05114,0.05352,0.04744,0.0487
2022-02-19,0.04868,0.06655,0.04867,0.05914
2022-02-20,0.05917,0.06065,0.0487,0.05119
2022-02-21,0.05117,0.05594,0.0495,0.05024
2022-02-22,0.05036,0.05276,0.0475,0.05078
2022-02-23,0.05089,0.05432,0.04908,0.04913
2022-02-24,0.04907,0.04955,0.04003,0.04569
2022-02-25,0.04574,0.04995,0.04467,0.04873
2022-02-26,0.04873,0.05066,0.04735,0.04824
2022-02-27,0.04824,0.05,0.0452,0.04614
2022-02-28,0.04614,0.04954,0.04481,0.04936
2022-03-01,0.04929,0.05099,0.04794,0.04939
2022-03-02,0.04937,0.04956,0.0463,0.04678
2022-03-03,0.04684,0.04899,0.04596,0.04689
2022-03-04,0.04691,0.04735,0.04319,0.04411
2022-03-05,0.04411,0.04552,0.04365,0.04509
2022-03-06,0.04511,0.04608,0.04263,0.04285
2022-03-07,0.04286,0.0446,0.04097,0.04174
2022-03-08,0.04171,0.04322,0.0401,0.04057
2022-03-09,0.04057,0.04357,0.04044,0.04191
