Date,Open,High,Low,Close
2021-03-15,0.1,60.0,0.1,20.7403
2021-03-16,20.7406,25.6958,15.501,17.059
2021-03-17,17.0148,18.8171,14.0851,14.5949
2021-03-18,14.5948,19.9247,14.3023,17.0141
2021-03-19,17.0125,17.9999,14.96,15.1616
2021-03-20,15.163,15.58,14.27,14.354
2021-03-21,14.3576,14.6557,13.11,14.0612
2021-03-22,14.0595,14.1569,12.0,12.05
2021-03-23,12.0766,12.4644,11.4406,11.6019
2021-03-24,11.6029,14.6731,11.46,11.8748
2021-03-25,11.8748,12.4991,10.482,10.9276
2021-03-26,10.9269,13.85,10.8856,13.4349
2021-03-27,13.4349,14.5089,12.2,13.4282
2021-03-28,13.3973,18.23,13.3208,16.6867
2021-03-29,16.6697,16.8456,15.251,15.8213
2021-03-30,15.8213,17.2768,15.1509,16.0268
2021-03-31,16.0496,16.5417,13.5,14.6286
2021-04-01,14.6269,15.31,13.73,14.3355
2021-04-02,14.335,15.1002,14.0601,14.7097
2021-04-03,14.7098,15.489,13.2,13.4899
2021-04-04,13.4898,14.5,13.2641,14.3339
2021-04-05,14.3339,15.1632,13.5533,14.204
2021-04-06,14.204,15.4138,13.81,14.1492
2021-04-07,14.1491,14.25,11.56,12.1977
2021-04-08,12.1987,13.3153,12.0595,12.8567
2021-04-09,12.8859,13.3549,12.45,12.7191
2021-04-10,12.719,13.9495,12.111,12.5442
2021-04-11,12.5653,12.9492,12.1905,12.8521
2021-04-12,12.8669,15.3595,12.7327,13.9025
2021-04-13,13.85,14.6,12.5883,12.711
2021-04-14,12.711,13.1,11.6,12.2296
2021-04-15,12.2399,12.9728,12.0292,12.5132
2021-04-16,12.5132,12.6836,11.5,11.885
2021-04-17,11.8926,12.4695,11.6601,11.7951
2021-04-18,11.7812,12.0377,8.0784,9.7706
2021-04-19,9.7706,10.5312,8.6341,8.6791
2021-04-20,8.6886,9.4,7.9123,9.2282
2021-04-21,9.224,9.3552,8.4502,8.5302
2021-04-22,8.5486,9.55,7.6167,7.8536
2021-04-23,7.8605,8.0143,6.2,7.5537
2021-04-24,7.5323,7.5507,6.7104,7.3
2021-04-25,7.2996,12.53,7.2782,8.1948
2021-04-26,8.195,9.5,8.0201,8.944
2021-04-27,8.9517,10.99,8.6399,10.42
2021-04-28,10.4196,13.6198,9.2231,13.0199
2021-04-29,13.0195,16.5812,12.8913,13.4582
2021-04-30,13.4757,18.7,12.55,17.6534
2021-05-01,17.6502,19.6669,15.808,18.2107
2021-05-02,18.2107,19.245,16.6693,17.4802
2021-05-03,17.477,18.88,15.8769,16.4998
2021-05-04,16.5196,17.1991,13.579,13.8699
2021-05-05,13.8567,15.6989,13.6501,14.5661
2021-05-06,14.5877,16.1,13.61,14.2121
2021-05-07,14.2122,14.7656,13.0,13.5578
2021-05-08,13.5733,15.753,13.4387,14.2869
2021-05-09,14.3099,14.3981,13.04,13.7957
2021-05-10,13.7938,15.1837,10.4,11.6673
2021-05-11,11.6554,13.2,11.2,12.9655
2021-05-12,12.9528,14.0,9.831,9.975
2021-05-13,9.9754,11.87,9.48,10.3671
2021-05-14,10.3763,11.8943,10.2036,11.2207
2021-05-15,11.237,11.49,9.8776,10.0471
2021-05-16,10.0389,11.99,9.9836,10.9934
2021-05-17,10.9844,13.53,9.5,13.0828
2021-05-18,13.0618,13.7659,11.3111,11.5961
2021-05-19,11.5997,12.03,5.8,6.7655
2021-05-20,6.7609,8.321,6.0307,7.4573
2021-05-21,7.4484,8.0507,5.2101,6.3574
2021-05-22,6.3225,6.4982,5.25,6.0947
2021-05-23,6.0947,6.2499,3.7617,5.105
2021-05-24,5.11,6.2,4.9185,6.1489
2021-05-25,6.1489,7.09,5.277,6.82
2021-05-26,6.8215,7.75,6.52,7.5704
2021-05-27,7.5704,8.904,6.701,7.76
2021-05-28,7.7791,8.371,6.3251,6.8863
2021-05-29,6.886,7.3917,5.5364,5.9385
2021-05-30,5.9635,7.6,5.5117,6.9962
2021-05-31,6.9962,7.5,6.474,7.4392
2021-06-01,7.4195,7.72,6.66,6.9202
2021-06-02,6.9218,7.2,6.6,6.81
2021-06-03,6.8009,7.4299,6.7179,7.2199
2021-06-04,7.2275,7.249,5.8836,6.2709
2021-06-05,6.2672,6.8,5.7501,6.0585
2021-06-06,6.0585,6.2391,5.9406,6.0998
2021-06-07,6.1071,6.5244,5.4,5.6151
2021-06-08,5.6178,5.6718,4.85,5.347
2021-06-09,5.3419,5.8,4.9696,5.715
2021-06-10,5.722,5.9,5.2718,5.5341
2021-06-11,5.5467,6.71,5.312,6.0536
2021-06-12,6.0696,6.0964,5.1251,5.3134
2021-06-13,5.3197,6.25,5.1688,6.0426
2021-06-14,6.0464,6.1057,5.5814,5.8398
2021-06-15,5.8408,6.19,5.5178,5.636
2021-06-16,5.6394,6.0193,5.21,5.2952
2021-06-17,5.2952,5.9799,5.2735,5.67
2021-06-18,5.6675,5.8448,5.1236,5.2576
2021-06-19,5.2535,5.33,4.9278,4.964
2021-06-20,4.969,5.1919,4.5,4.9899
2021-06-21,4.9916,5.033,3.7,3.757
2021-06-22,3.7561,4.0771,3.17,3.5904
2021-06-23,3.5935,4.8175,3.48,4.7386
2021-06-24,4.7318,4.7479,4.3135,4.447
2021-06-25,4.4423,4.515,3.74,3.7822
2021-06-26,3.7789,3.9069,3.3976,3.6726
2021-06-27,3.6758,3.8126,3.4575,3.8036
2021-06-28,3.807,4.0524,3.736,3.8965
2021-06-29,3.9098,4.2494,3.8332,3.9926
2021-06-30,3.9932,4.0478,3.6292,3.921
2021-07-01,3.921,4.3588,3.8104,4.115
2021-07-02,4.115,4.2709,3.79,3.949
2021-07-03,3.949,4.1999,3.8361,4.0563
2021-07-04,4.0556,5.25,3.9766,4.7922
2021-07-05,4.7951,4.88,4.3149,4.6596
2021-07-06,4.6625,6.0,4.6545,5.852
2021-07-07,5.8587,6.49,5.5572,5.69
2021-07-08,5.6829,7.0553,5.3732,5.5019
2021-07-09,5.4946,6.7869,5.0222,6.4711
2021-07-10,6.4712,7.35,6.035,6.2968
2021-07-11,6.2979,7.4204,6.193,7.0409
2021-07-12,7.051,7.297,6.2534,6.5546
2021-07-13,6.5639,7.5713,6.4281,6.8872
2021-07-14,6.8877,7.5,5.9062,7.2729
2021-07-15,7.2691,8.5778,6.8374,6.9482
2021-07-16,6.9482,7.3,5.72,5.7516
2021-07-17,5.7529,5.9083,5.2967,5.6313
2021-07-18,5.624,6.25,5.3323,5.6084
2021-07-19,5.6107,5.6294,4.72,4.8059
2021-07-20,4.806,4.8239,4.0262,4.4232
2021-07-21,4.4254,5.3803,4.2482,5.23
2021-07-22,5.2332,6.23,5.1227,5.9163
2021-07-23,5.9122,8.065,5.7385,7.6511
2021-07-24,7.6621,11.3484,7.2028,10.4777
2021-07-25,10.4777,12.7799,9.0843,11.584
2021-07-26,11.5839,11.6061,8.8052,9.3386
2021-07-27,9.3424,14.58,8.6001,13.595
2021-07-28,13.5894,15.2,12.5351,13.5894
2021-07-29,13.6034,16.5,13.1146,14.851
2021-07-30,14.8526,15.2,13.1764,14.9093
2021-07-31,14.9003,14.9277,13.4015,13.6228
2021-08-01,13.6227,13.6696,11.6153,11.9509
2021-08-02,11.9634,14.3389,11.9025,12.9129
2021-08-03,12.9152,13.314,11.8,12.2096
2021-08-04,12.204,13.6388,11.9055,12.8383
2021-08-05,12.8382,13.08,12.1102,12.5193
2021-08-06,12.519,13.4,12.27,12.6323
2021-08-07,12.6312,13.35,12.07,12.2936
2021-08-08,12.2939,13.1559,11.0397,11.6323
2021-08-09,11.6308,12.2492,11.08,11.8312
2021-08-10,11.823,14.4612,11.6271,14.2492
2021-08-11,14.2455,15.1184,13.0,13.2351
2021-08-12,13.2396,13.9444,12.2775,12.6176
2021-08-13,12.6183,13.7054,12.3882,13.3135
2021-08-14,13.3135,13.8788,12.7203,12.9845
2021-08-15,12.9779,13.8564,12.0241,13.35
2021-08-16,13.35,14.4,12.8,12.8772
2021-08-17,12.8759,13.95,12.4107,12.5351
2021-08-18,12.542,12.697,11.2777,11.8275
2021-08-19,11.8329,12.8,11.53,12.4062
2021-08-20,12.4106,13.29,12.3957,13.0512
2021-08-21,13.0536,18.1686,12.946,17.0607
2021-08-22,17.0616,17.4324,15.2171,16.2145
2021-08-23,16.2137,18.69,15.9374,17.24
2021-08-24,17.24,17.688,15.08,16.0404
2021-08-25,16.0207,22.9387,15.9621,21.0078
2021-08-26,20.986,21.928,18.21,19.24
2021-08-27,19.24,20.7032,17.13,20.1
2021-08-28,20.09,23.83,20.01,21.21
2021-08-29,21.2,22.42,19.77,20.53
2021-08-30,20.52,21.65,19.1,19.4
2021-08-31,19.42,19.53,17.25,18.07
2021-09-01,18.06,18.99,17.36,18.29
2021-09-02,18.29,19.7,17.8,18.08
2021-09-03,18.08,18.78,17.5,18.02
2021-09-04,18.03,20.51,17.87,18.49
2021-09-05,18.48,19.21,18.2,18.79
2021-09-06,18.79,19.4,16.43,17.98
2021-09-07,17.97,18.14,11.49,13.54
2021-09-08,13.56,14.1,11.52,13.44
2021-09-09,13.45,14.68,12.5,13.26
2021-09-10,13.26,13.8,11.75,12.45
2021-09-11,12.45,14.0,12.18,12.87
2021-09-12,12.87,13.53,12.52,13.16
2021-09-13,13.16,13.33,11.11,11.98
2021-09-14,11.98,12.51,11.23,12.31
2021-09-15,12.31,13.45,12.16,13.22
2021-09-16,13.24,14.48,12.55,14.06
2021-09-17,14.06,15.29,12.91,13.21
2021-09-18,13.21,13.86,12.93,13.22
2021-09-19,13.22,13.26,12.23,12.55
2021-09-20,12.55,12.59,9.76,10.18
2021-09-21,10.19,10.9,9.11,9.35
2021-09-22,9.35,11.8,9.16,11.26
2021-09-23,11.25,11.83,10.66,11.35
2021-09-24,11.35,11.69,9.43,10.13
2021-09-25,10.12,10.35,9.54,9.88
