Date,Open,High,Low,Close
2019-11-06,0.02109,0.038,0.0205,0.0272
2019-11-07,0.02722,0.0295,0.02139,0.02278
2019-11-08,0.0228,0.02349,0.01933,0.02036
2019-11-09,0.02035,0.02274,0.02004,0.02146
2019-11-10,0.02151,0.02184,0.01996,0.02051
2019-11-11,0.0205,0.02069,0.01926,0.01959
2019-11-12,0.01961,0.01971,0.0184,0.01907
2019-11-13,0.01907,0.01955,0.01782,0.01827
2019-11-14,0.01831,0.0184,0.017,0.01725
2019-11-15,0.01726,0.01748,0.01625,0.01643
2019-11-16,0.01643,0.01725,0.0163,0.0171
2019-11-17,0.01714,0.01796,0.0167,0.01734
2019-11-18,0.01734,0.01744,0.01491,0.0153
2019-11-19,0.0153,0.01564,0.01434,0.01466
2019-11-20,0.01466,0.01533,0.01447,0.01472
2019-11-21,0.01468,0.01482,0.01227,0.01279
2019-11-22,0.0128,0.01328,0.0106,0.01139
2019-11-23,0.0114,0.01199,0.01068,0.01157
2019-11-24,0.01159,0.01165,0.01012,0.01016
2019-11-25,0.01012,0.01262,0.00897,0.01062
2019-11-26,0.01065,0.01199,0.00994,0.0116
2019-11-27,0.01158,0.01249,0.01066,0.0117
2019-11-28,0.01174,0.01322,0.01148,0.01194
2019-11-29,0.01197,0.01207,0.01127,0.01156
2019-11-30,0.01158,0.0119,0.01101,0.01127
2019-12-01,0.01127,0.01148,0.01044,0.01111
2019-12-02,0.01111,0.01144,0.01051,0.01092
2019-12-03,0.01093,0.01184,0.01085,0.01144
2019-12-04,0.01148,0.01171,0.01075,0.01106
2019-12-05,0.01102,0.01119,0.01029,0.01088
2019-12-06,0.01092,0.01132,0.0106,0.01097
2019-12-07,0.01097,0.01138,0.01033,0.01094
2019-12-08,0.01094,0.0118,0.01052,0.01151
2019-12-09,0.01151,0.01178,0.01087,0.01096
2019-12-10,0.01099,0.01101,0.009,0.00957
2019-12-11,0.00956,0.01018,0.0092,0.00953
2019-12-12,0.00955,0.00962,0.009,0.00928
2019-12-13,0.00926,0.00974,0.00926,0.00966
2019-12-14,0.00962,0.00972,0.00878,0.00917
2019-12-15,0.00911,0.0101,0.00891,0.00968
2019-12-16,0.00971,0.01008,0.00879,0.00903
2019-12-17,0.00903,0.00923,0.00795,0.00804
2019-12-18,0.00807,0.00897,0.00801,0.00891
2019-12-19,0.00891,0.00941,0.00847,0.00913
2019-12-20,0.00911,0.0093,0.0088,0.00913
2019-12-21,0.00913,0.00985,0.00908,0.0096
2019-12-22,0.00962,0.0119,0.00898,0.01058
2019-12-23,0.01058,0.01179,0.0103,0.01093
2019-12-24,0.01093,0.0125,0.0109,0.01169
2019-12-25,0.0117,0.0117,0.01051,0.01067
2019-12-26,0.01064,0.01108,0.01035,0.01073
2019-12-27,0.01073,0.01141,0.01069,0.01119
2019-12-28,0.01118,0.01135,0.01067,0.01072
2019-12-29,0.01072,0.01078,0.00974,0.00989
2019-12-30,0.0099,0.00999,0.00942,0.00951
2019-12-31,0.00949,0.01097,0.00926,0.01029
2020-01-01,0.01028,0.01092,0.01023,0.01064
2020-01-02,0.01064,0.01065,0.00955,0.00985
2020-01-03,0.00985,0.01037,0.00971,0.01007
2020-01-04,0.01006,0.01054,0.0099,0.01022
2020-01-05,0.01022,0.0105,0.01005,0.01008
2020-01-06,0.01008,0.01035,0.00985,0.00999
2020-01-07,0.01002,0.01028,0.0097,0.00984
2020-01-08,0.0098,0.0099,0.00934,0.00946
2020-01-09,0.00944,0.00973,0.00919,0.00925
2020-01-10,0.00924,0.00939,0.009,0.00921
2020-01-11,0.00921,0.00964,0.00912,0.00922
2020-01-12,0.00925,0.00926,0.00906,0.00923
2020-01-13,0.00923,0.00925,0.0085,0.00893
2020-01-14,0.0089,0.00914,0.00851,0.00889
2020-01-15,0.00888,0.0095,0.00876,0.00911
2020-01-16,0.00913,0.00914,0.00859,0.00875
2020-01-17,0.00874,0.00884,0.00815,0.00861
2020-01-18,0.00862,0.0087,0.00839,0.00848
2020-01-19,0.00846,0.00859,0.00795,0.0081
2020-01-20,0.00811,0.00895,0.008,0.00854
2020-01-21,0.00853,0.00882,0.00839,0.0086
2020-01-22,0.00864,0.00981,0.00846,0.00969
2020-01-23,0.00967,0.00969,0.00878,0.00938
2020-01-24,0.00934,0.00944,0.00861,0.0089
2020-01-25,0.0089,0.00894,0.00865,0.00886
2020-01-26,0.00883,0.00891,0.00859,0.00887
2020-01-27,0.00888,0.00927,0.00865,0.00914
2020-01-28,0.00914,0.00986,0.00886,0.0094
2020-01-29,0.0094,0.00987,0.00915,0.00941
2020-01-30,0.00939,0.00969,0.00935,0.00937
2020-01-31,0.00938,0.01204,0.00938,0.01147
2020-02-01,0.01149,0.01201,0.01087,0.01148
2020-02-02,0.01147,0.012,0.01064,0.01135
2020-02-03,0.01133,0.01237,0.01124,0.01193
2020-02-04,0.01193,0.01424,0.01173,0.01294
2020-02-05,0.0129,0.01514,0.01289,0.01442
2020-02-06,0.01442,0.01533,0.01401,0.01493
2020-02-07,0.01487,0.01879,0.0148,0.01862
2020-02-08,0.01861,0.01869,0.0155,0.01648
2020-02-09,0.01641,0.01704,0.01609,0.01638
2020-02-10,0.0165,0.01701,0.01507,0.01562
2020-02-11,0.0157,0.02058,0.01518,0.01908
2020-02-12,0.01909,0.02038,0.0176,0.01943
2020-02-13,0.01952,0.02013,0.01735,0.01863
2020-02-14,0.01864,0.01979,0.01782,0.01933
2020-02-15,0.01935,0.0195,0.01654,0.01742
2020-02-16,0.01741,0.01948,0.01673,0.01772
2020-02-17,0.01771,0.0224,0.01767,0.02017
2020-02-18,0.02032,0.023,0.01711,0.01782
2020-02-19,0.01781,0.01806,0.01302,0.01358
2020-02-20,0.01355,0.01408,0.01212,0.01285
2020-02-21,0.01288,0.01365,0.01257,0.01299
2020-02-22,0.013,0.01307,0.01075,0.01225
2020-02-23,0.01226,0.01292,0.01216,0.01255
2020-02-24,0.01257,0.01339,0.01229,0.01264
2020-02-25,0.01265,0.01331,0.01096,0.01115
2020-02-26,0.01119,0.01125,0.009,0.00958
2020-02-27,0.00958,0.01025,0.00907,0.00969
2020-02-28,0.00972,0.01011,0.00901,0.00952
2020-02-29,0.00949,0.0104,0.00949,0.00956
2020-03-01,0.00953,0.00999,0.00932,0.00963
2020-03-02,0.00964,0.01152,0.00961,0.01093
2020-03-03,0.01095,0.01173,0.01073,0.01117
2020-03-04,0.01113,0.01147,0.01094,0.0113
2020-03-05,0.01129,0.0128,0.01129,0.01226
2020-03-06,0.01226,0.01259,0.01165,0.01176
2020-03-07,0.01176,0.01217,0.0108,0.01115
2020-03-08,0.01113,0.01115,0.00888,0.00909
2020-03-09,0.00906,0.01049,0.00826,0.00897
2020-03-10,0.00897,0.01016,0.00897,0.00965
2020-03-11,0.00966,0.01008,0.00865,0.00983
2020-03-12,0.00984,0.00986,0.00454,0.00477
2020-03-13,0.00478,0.00574,0.00326,0.00553
2020-03-14,0.00555,0.00574,0.00517,0.00531
2020-03-15,0.00531,0.00566,0.00514,0.00535
2020-03-16,0.00535,0.00535,0.00399,0.00437
2020-03-17,0.00437,0.005,0.00427,0.00478
2020-03-18,0.00475,0.00512,0.00449,0.00491
2020-03-19,0.00491,0.00617,0.00481,0.0058
2020-03-20,0.00581,0.00692,0.00569,0.00653
2020-03-21,0.00655,0.00713,0.00592,0.00686
2020-03-22,0.00686,0.00702,0.0058,0.00591
2020-03-23,0.00589,0.00647,0.00561,0.00643
2020-03-24,0.00642,0.00726,0.00632,0.00702
2020-03-25,0.00702,0.00702,0.00636,0.00675
2020-03-26,0.00676,0.00686,0.00636,0.00654
2020-03-27,0.00654,0.0071,0.00635,0.0064
2020-03-28,0.0064,0.00649,0.00594,0.00646
2020-03-29,0.00645,0.00658,0.00593,0.00595
2020-03-30,0.00594,0.00663,0.00591,0.00635
2020-03-31,0.00636,0.00643,0.00621,0.00634
2020-04-01,0.00633,0.00659,0.00606,0.00647
2020-04-02,0.00646,0.00712,0.00643,0.00699
2020-04-03,0.00699,0.0076,0.00682,0.00711
2020-04-04,0.00709,0.00805,0.00708,0.00784
2020-04-05,0.00785,0.00808,0.00741,0.00764
2020-04-06,0.00764,0.00802,0.00747,0.00787
2020-04-07,0.00788,0.00805,0.00745,0.00755
2020-04-08,0.00757,0.00796,0.00745,0.00796
2020-04-09,0.00798,0.008,0.00759,0.00777
2020-04-10,0.0078,0.00786,0.00695,0.00709
2020-04-11,0.00709,0.00732,0.00694,0.0071
2020-04-12,0.00711,0.00741,0.00702,0.00711
