Date,Open,High,Low,Close
2021-05-14,27.18,77.8,27.18,29.212
2021-05-15,29.2,32.7,26.101,26.622
2021-05-16,26.865,27.996,22.694,23.895
2021-05-17,23.879,25.001,21.155,22.678
2021-05-18,22.735,25.938,21.979,22.543
2021-05-19,22.745,22.985,10.327,16.479
2021-05-20,16.479,18.889,14.807,18.755
2021-05-21,18.755,20.89,13.633,15.376
2021-05-22,15.309,16.8,12.5,14.264
2021-05-23,14.248,15.0,9.9,13.28
2021-05-24,13.336,15.75,12.35,15.124
2021-05-25,15.205,15.715,12.75,14.78
2021-05-26,14.785,18.89,14.725,17.631
2021-05-27,17.496,17.552,15.106,15.55
2021-05-28,15.551,15.664,13.03,14.602
2021-05-29,14.612,16.153,11.813,12.75
2021-05-30,12.75,15.253,12.176,14.225
2021-05-31,14.111,15.304,12.481,15.304
2021-06-01,15.304,17.129,14.605,15.462
2021-06-02,15.456,17.653,15.081,16.885
2021-06-03,16.885,18.778,16.0,18.704
2021-06-04,18.702,20.0,15.047,15.987
2021-06-05,15.996,17.5,14.9,15.374
2021-06-06,15.374,16.365,15.174,15.656
2021-06-07,15.661,22.375,15.439,17.461
2021-06-08,17.398,21.431,15.459,17.083
2021-06-09,17.014,18.752,15.5,18.0
2021-06-10,18.038,19.42,16.499,16.668
2021-06-11,16.585,16.985,15.11,15.589
2021-06-12,15.589,15.641,13.886,14.654
2021-06-13,14.654,17.279,13.547,15.802
2021-06-14,15.871,16.785,15.035,16.2
2021-06-15,16.2,16.86,15.749,15.898
2021-06-16,15.934,16.0,14.62,15.029
2021-06-17,15.029,16.918,14.794,16.186
2021-06-18,16.154,17.485,15.0,15.685
2021-06-19,15.674,17.998,15.368,17.372
2021-06-20,17.375,19.31,15.41,18.429
2021-06-21,18.427,18.436,13.198,13.529
2021-06-22,13.524,14.767,10.935,12.033
2021-06-23,11.981,13.39,11.116,11.784
2021-06-24,11.742,12.5,10.76,11.442
2021-06-25,11.442,11.727,9.148,9.524
2021-06-26,9.524,10.0,8.27,9.0
2021-06-27,8.995,10.522,8.858,10.212
2021-06-28,10.248,10.668,9.357,9.995
2021-06-29,9.993,11.399,9.987,10.736
2021-06-30,10.727,10.799,9.833,10.348
2021-07-01,10.349,12.76,10.017,10.873
2021-07-02,10.873,11.045,9.713,10.613
2021-07-03,10.612,10.989,10.0,10.562
2021-07-04,10.563,11.4,10.282,10.929
2021-07-05,10.929,11.224,10.35,10.635
2021-07-06,10.622,11.471,10.619,11.156
2021-07-07,11.124,12.979,10.981,11.84
