Date,Open,High,Low,Close
2019-03-04,0.1691,0.1935,0.1591,0.1674
2019-03-05,0.1675,0.183,0.1666,0.176
2019-03-06,0.1763,0.1778,0.1696,0.1723
2019-03-07,0.1727,0.1845,0.1531,0.181
2019-03-08,0.181,0.209,0.16,0.1947
2019-03-09,0.1948,0.2146,0.1903,0.208
2019-03-10,0.2074,0.2137,0.1951,0.1956
2019-03-11,0.1955,0.2,0.187,0.1925
2019-03-12,0.1915,0.1979,0.1829,0.1924
2019-03-13,0.1924,0.2,0.1875,0.1885
2019-03-14,0.1885,0.202,0.1836,0.1925
2019-03-15,0.1927,0.199,0.1917,0.1956
2019-03-16,0.1956,0.1993,0.1945,0.1966
2019-03-17,0.1966,0.1978,0.1914,0.1931
2019-03-18,0.1938,0.199,0.1902,0.194
2019-03-19,0.194,0.1949,0.1903,0.1921
2019-03-20,0.1912,0.1948,0.1869,0.1942
2019-03-21,0.194,0.202,0.1866,0.1946
2019-03-22,0.1946,0.1991,0.1916,0.1976
2019-03-23,0.1967,0.2022,0.1963,0.2003
2019-03-24,0.2009,0.2208,0.1893,0.2089
2019-03-25,0.2089,0.21,0.1943,0.2033
2019-03-26,0.2033,0.2205,0.2027,0.2142
2019-03-27,0.2157,0.2277,0.2109,0.2251
2019-03-28,0.2251,0.259,0.2197,0.2533
2019-03-29,0.2533,0.3168,0.2516,0.2837
2019-03-30,0.2841,0.2863,0.257,0.2708
2019-03-31,0.2717,0.2929,0.2651,0.2881
2019-04-01,0.2885,0.307,0.2824,0.283
2019-04-02,0.2842,0.3215,0.2824,0.3205
2019-04-03,0.3203,0.3209,0.2719,0.2832
2019-04-04,0.2846,0.3053,0.268,0.2829
2019-04-05,0.2828,0.3136,0.2821,0.3064
2019-04-06,0.3065,0.3136,0.2959,0.3032
2019-04-07,0.3032,0.3088,0.2934,0.2992
2019-04-08,0.2999,0.305,0.2845,0.2925
2019-04-09,0.2917,0.2928,0.2812,0.2872
2019-04-10,0.2879,0.2999,0.2847,0.292
2019-04-11,0.293,0.2941,0.256,0.268
2019-04-12,0.268,0.2889,0.257,0.2868
2019-04-13,0.286,0.3119,0.282,0.3094
2019-04-14,0.3094,0.33,0.2991,0.3053
2019-04-15,0.3054,0.3139,0.2875,0.2928
2019-04-16,0.2925,0.3297,0.2908,0.3225
2019-04-17,0.3229,0.34,0.316,0.3344
2019-04-18,0.3344,0.3667,0.3335,0.348
2019-04-19,0.3481,0.3826,0.3456,0.3759
2019-04-20,0.3754,0.4374,0.3706,0.4115
2019-04-21,0.4115,0.4971,0.4002,0.4375
2019-04-22,0.4365,0.4555,0.3913,0.3984
2019-04-23,0.3982,0.4493,0.3833,0.4144
2019-04-24,0.4142,0.4485,0.3935,0.4142
2019-04-25,0.4142,0.4331,0.3832,0.3902
2019-04-26,0.3916,0.4015,0.3657,0.3818
2019-04-27,0.3818,0.3974,0.3677,0.3911
2019-04-28,0.3909,0.4222,0.39,0.4055
2019-04-29,0.4051,0.4073,0.37,0.3742
2019-04-30,0.3744,0.3973,0.3715,0.3825
2019-05-01,0.3825,0.3949,0.3761,0.3894
2019-05-02,0.389,0.395,0.3771,0.3804
2019-05-03,0.3805,0.3873,0.3664,0.3781
2019-05-04,0.3785,0.3806,0.3455,0.3617
2019-05-05,0.3622,0.3737,0.3558,0.3583
2019-05-06,0.3585,0.3599,0.3333,0.3473
2019-05-07,0.3475,0.353,0.3151,0.3169
2019-05-08,0.3167,0.3355,0.3088,0.3127
2019-05-09,0.3138,0.3187,0.2749,0.2812
2019-05-10,0.2837,0.3753,0.2819,0.3637
2019-05-11,0.3637,0.385,0.3414,0.3645
