Date,Open,High,Low,Close
2020-09-15,0.75,19.0,0.75,6.2073
2020-09-16,6.2183,6.2497,4.05,4.5697
2020-09-17,4.5698,4.9198,3.0103,3.0305
2020-09-18,3.0153,3.8804,2.8411,3.0152
2020-09-19,3.0171,5.6243,2.97,4.6153
2020-09-20,4.6173,5.0704,3.46,3.6979
2020-09-21,3.6979,3.8898,2.95,3.0028
2020-09-22,3.0268,3.2083,2.4568,2.631
2020-09-23,2.6317,2.8693,2.302,2.415
2020-09-24,2.4148,2.6725,2.305,2.5835
2020-09-25,2.578,2.6902,2.35,2.4712
2020-09-26,2.4717,2.51,2.3,2.3285
2020-09-27,2.3279,2.35,1.9157,2.0313
2020-09-28,2.0311,2.0982,1.5711,1.6039
2020-09-29,1.5957,1.671,1.3,1.375
2020-09-30,1.3786,1.58,1.2784,1.4274
2020-10-01,1.4284,1.5313,1.26,1.3103
2020-10-02,1.3132,1.5,1.1985,1.488
2020-10-03,1.4922,1.6642,1.3241,1.39
2020-10-04,1.3949,1.436,1.205,1.2393
2020-10-05,1.2449,1.2572,1.0503,1.0841
2020-10-06,1.0896,1.2879,1.0396,1.0716
2020-10-07,1.0718,1.0841,1.0087,1.0564
2020-10-08,1.0563,1.1549,1.0061,1.13
2020-10-09,1.13,1.25,1.0878,1.176
2020-10-10,1.176,1.2339,1.0342,1.0374
2020-10-11,1.0369,1.0895,1.0166,1.072
2020-10-12,1.0715,1.1389,1.0427,1.0496
2020-10-13,1.049,1.1076,1.028,1.0782
2020-10-14,1.0771,1.1025,1.0049,1.0207
2020-10-15,1.0207,1.05,1.0014,1.0138
2020-10-16,1.0122,1.0197,0.9199,0.9216
2020-10-17,0.9217,0.9699,0.9169,0.9289
2020-10-18,0.9288,0.9827,0.9285,0.9523
2020-10-19,0.9526,1.1867,0.9511,1.0534
2020-10-20,1.0557,1.11,0.9169,0.9343
2020-10-21,0.9338,0.959,0.9,0.9258
2020-10-22,0.9244,0.9702,0.92,0.9468
2020-10-23,0.9411,0.9499,0.9011,0.9162
2020-10-24,0.916,0.9349,0.9013,0.9199
2020-10-25,0.9132,0.9268,0.8774,0.8921
2020-10-26,0.885,0.91,0.8245,0.8411
2020-10-27,0.8412,0.9198,0.8245,0.8373
2020-10-28,0.837,0.866,0.8163,0.8178
2020-10-29,0.818,0.8209,0.7833,0.7841
2020-10-30,0.7864,0.7943,0.7642,0.7922
2020-10-31,0.7925,0.8467,0.7903,0.7904
2020-11-01,0.7904,0.8042,0.78,0.7938
2020-11-02,0.7951,0.8109,0.7836,0.7888
2020-11-03,0.7889,0.789,0.69,0.7182
2020-11-04,0.7181,0.7198,0.6702,0.6789
2020-11-05,0.6792,0.8021,0.6006,0.6628
2020-11-06,0.6601,0.747,0.66,0.7141
2020-11-07,0.7145,1.0,0.6999,0.7336
2020-11-08,0.7334,0.7699,0.7258,0.757
2020-11-09,0.7573,0.7587,0.6926,0.7157
2020-11-10,0.7153,0.8396,0.7135,0.7892
2020-11-11,0.7893,0.9108,0.7844,0.8135
