Date,Open,High,Low,Close
2020-02-06,0.2836,1.0,0.2836,0.2954
2020-02-07,0.2932,0.315,0.2896,0.3144
2020-02-08,0.3105,0.3245,0.3011,0.3082
2020-02-09,0.3076,0.324,0.307,0.316
2020-02-10,0.3196,0.3212,0.3003,0.3172
2020-02-11,0.3124,0.3314,0.3105,0.3256
2020-02-12,0.3297,0.37,0.3257,0.3538
2020-02-13,0.3532,0.3616,0.3223,0.3487
2020-02-14,0.3458,0.3636,0.3373,0.3542
2020-02-15,0.3528,0.3642,0.3213,0.3222
2020-02-16,0.3223,0.3353,0.2872,0.3162
2020-02-17,0.3174,0.3228,0.2893,0.3193
2020-02-18,0.3174,0.3618,0.3137,0.3415
2020-02-19,0.3415,0.373,0.3039,0.32
2020-02-20,0.324,0.3373,0.3147,0.3313
2020-02-21,0.3312,0.351,0.3291,0.335
2020-02-22,0.335,0.3354,0.3243,0.3292
2020-02-23,0.3312,0.3498,0.3298,0.3449
2020-02-24,0.3435,0.3475,0.3182,0.3312
2020-02-25,0.3296,0.3296,0.2995,0.3021
2020-02-26,0.3034,0.3105,0.2592,0.2746
2020-02-27,0.2733,0.2883,0.2568,0.2795
2020-02-28,0.2801,0.2916,0.2604,0.2758
2020-02-29,0.2775,0.2859,0.265,0.265
2020-03-01,0.2675,0.2795,0.2605,0.2691
2020-03-02,0.266,0.2855,0.266,0.2852
2020-03-03,0.2809,0.2855,0.2709,0.2769
2020-03-04,0.2743,0.2866,0.2711,0.2775
2020-03-05,0.2775,0.2955,0.276,0.2928
2020-03-06,0.29,0.2998,0.2883,0.2988
2020-03-07,0.2991,0.3049,0.2851,0.287
2020-03-08,0.2867,0.2867,0.2418,0.2478
2020-03-09,0.2472,0.2532,0.231,0.2414
2020-03-10,0.2434,0.252,0.2392,0.2465
2020-03-11,0.2438,0.2473,0.223,0.2419
2020-03-12,0.2418,0.2426,0.1279,0.1329
2020-03-13,0.1362,0.1716,0.113,0.1581
2020-03-14,0.1602,0.1634,0.15,0.152
2020-03-15,0.1514,0.1648,0.1503,0.1544
2020-03-16,0.1535,0.1543,0.1268,0.1389
2020-03-17,0.1374,0.1648,0.1374,0.1479
2020-03-18,0.1479,0.1525,0.1388,0.1513
2020-03-19,0.1523,0.1824,0.1503,0.1756
2020-03-20,0.177,0.2,0.1482,0.1686
2020-03-21,0.1662,0.1756,0.1587,0.1701
2020-03-22,0.1688,0.207,0.1567,0.1567
2020-03-23,0.1567,0.176,0.155,0.1721
2020-03-24,0.1721,0.182,0.1671,0.1775
2020-03-25,0.1766,0.183,0.1687,0.174
2020-03-26,0.1745,0.1808,0.1714,0.1793
2020-03-27,0.1793,0.1889,0.1689,0.1731
2020-03-28,0.17,0.1721,0.1613,0.1695
2020-03-29,0.1695,0.1702,0.1602,0.1608
2020-03-30,0.1632,0.1752,0.1616,0.1725
2020-03-31,0.1719,0.175,0.1694,0.1725
2020-04-01,0.1726,0.1796,0.1675,0.1781
2020-04-02,0.1781,0.1928,0.1754,0.1822
