Date,Open,High,Low,Close
2021-11-04,109.7,230.0,109.7,131.4
2021-11-05,131.6,131.7,107.3,114.1
2021-11-06,114.2,155.0,111.6,136.0
2021-11-07,136.0,159.8,131.2,148.5
2021-11-08,148.5,160.0,143.9,144.6
2021-11-09,144.8,149.4,137.2,144.5
2021-11-10,144.9,173.3,143.0,164.6
2021-11-11,164.3,178.7,158.6,166.1
2021-11-12,166.1,171.0,159.5,167.2
2021-11-13,167.5,199.0,166.5,194.4
2021-11-14,194.3,227.0,186.2,200.0
2021-11-15,199.6,212.5,177.5,184.2
2021-11-16,184.2,186.7,168.4,178.5
2021-11-17,178.4,195.0,173.9,190.2
2021-11-18,189.9,205.0,170.3,170.8
2021-11-19,170.8,185.0,168.9,181.1
2021-11-20,181.1,195.0,178.3,188.7
2021-11-21,188.7,193.5,179.6,180.7
2021-11-22,180.4,187.6,169.1,181.6
2021-11-23,181.6,201.9,181.6,190.7
2021-11-24,190.7,199.7,188.4,193.1
2021-11-25,192.9,195.5,181.0,187.3
2021-11-26,187.1,187.6,149.0,164.3
2021-11-27,164.9,171.9,134.1,138.8
2021-11-28,138.8,155.5,124.7,153.6
2021-11-29,153.1,156.4,132.0,134.6
2021-11-30,134.7,137.7,123.0,125.6
2021-12-01,125.6,140.8,123.0,126.6
2021-12-02,126.5,126.8,107.8,117.0
2021-12-03,117.0,124.2,98.6,99.4
2021-12-04,99.2,100.0,68.0,91.3
2021-12-05,91.2,106.5,81.4,82.4
2021-12-06,82.4,82.4,66.3,74.1
2021-12-07,74.1,79.7,70.0,70.4
2021-12-08,70.5,70.6,58.0,66.3
2021-12-09,66.4,72.7,62.5,64.4
2021-12-10,64.4,81.3,60.9,64.6
2021-12-11,64.7,98.0,63.4,86.8
2021-12-12,86.9,94.8,81.2,82.9
2021-12-13,83.0,109.7,82.0,95.5
2021-12-14,95.3,109.2,79.9,84.1
2021-12-15,84.1,95.2,80.4,87.8
2021-12-16,87.8,89.6,81.7,82.1
2021-12-17,82.1,82.3,67.9,72.2
2021-12-18,72.2,74.1,68.2,70.3
2021-12-19,70.3,84.7,69.9,74.4
2021-12-20,74.4,76.8,70.0,70.9
2021-12-21,70.8,85.1,70.4,73.5
2021-12-22,73.5,74.3,69.0,70.4
2021-12-23,70.4,72.5,67.9,72.2
2021-12-24,72.2,73.5,68.5,68.8
2021-12-25,68.8,69.6,64.0,66.3
2021-12-26,66.1,67.2,62.6,63.0
2021-12-27,63.0,67.5,62.5,63.1
2021-12-28,63.1,79.3,60.3,66.1
2021-12-29,66.1,74.5,65.0,65.2
2021-12-30,65.2,71.0,64.7,67.3
2021-12-31,67.1,68.0,63.0,63.6
2022-01-01,63.6,65.5,60.5,62.8
2022-01-02,62.5,62.7,60.0,61.6
2022-01-03,61.7,62.3,58.2,59.4
2022-01-04,59.4,60.0,50.6,53.1
2022-01-05,53.2,53.5,40.7,43.0
2022-01-06,43.0,43.8,39.0,41.4
2022-01-07,41.4,42.0,36.2,36.6
2022-01-08,36.7,38.9,32.3,33.8
2022-01-09,33.8,36.2,32.9,35.4
2022-01-10,35.4,35.5,29.3,31.3
2022-01-11,31.3,33.3,30.8,32.2
2022-01-12,32.2,35.9,31.1,35.3
2022-01-13,35.3,39.7,32.5,32.7
2022-01-14,32.8,35.8,31.6,33.9
2022-01-15,34.0,37.3,33.4,34.5
2022-01-16,34.5,35.3,32.3,32.6
2022-01-17,32.7,32.7,30.2,30.4
2022-01-18,30.4,31.6,28.2,31.4
2022-01-19,31.4,31.6,28.4,28.7
2022-01-20,28.7,31.0,27.3,27.4
2022-01-21,27.4,27.8,20.6,21.1
2022-01-22,21.1,21.7,17.0,18.8
2022-01-23,18.9,19.8,18.1,18.8
2022-01-24,18.8,18.8,15.8,17.7
2022-01-25,17.7,22.7,16.8,21.8
2022-01-26,21.8,26.6,20.5,21.2
2022-01-27,21.2,21.7,19.2,19.9
2022-01-28,19.9,22.3,19.3,21.1
2022-01-29,21.2,21.8,20.9,21.3
2022-01-30,21.4,21.4,19.7,19.9
2022-01-31,20.0,20.7,19.4,20.5
2022-02-01,20.5,21.0,19.8,20.1
2022-02-02,20.1,21.6,19.7,20.2
2022-02-03,20.1,28.8,19.7,24.6
2022-02-04,24.6,27.5,22.4,23.8
2022-02-05,23.8,26.0,23.4,23.8
2022-02-06,23.9,27.3,23.7,26.1
2022-02-07,26.1,28.4,26.0,27.0
2022-02-08,27.0,27.6,24.9,25.6
2022-02-09,25.6,30.4,25.0,28.3
2022-02-10,28.3,43.9,27.7,36.8
2022-02-11,36.9,40.8,31.4,32.6
2022-02-12,32.5,33.6,29.6,30.1
2022-02-13,30.1,32.9,29.8,30.2
2022-02-14,30.2,30.5,28.2,29.5
2022-02-15,29.6,32.2,29.3,30.9
2022-02-16,30.9,31.0,28.7,29.2
2022-02-17,29.1,33.8,28.9,30.5
2022-02-18,30.5,30.5,26.1,26.6
2022-02-19,26.5,27.1,24.1,24.6
2022-02-20,24.6,26.8,21.8,25.3
2022-02-21,25.3,27.8,23.1,23.1
2022-02-22,23.1,23.8,21.8,23.2
2022-02-23,23.4,24.7,22.1,22.3
2022-02-24,22.3,25.6,19.9,24.2
2022-02-25,24.2,25.5,23.4,24.0
2022-02-26,24.0,25.0,23.0,23.5
2022-02-27,23.5,24.1,22.0,22.5
2022-02-28,22.5,24.6,22.2,24.3
2022-03-01,24.3,25.6,24.0,25.0
2022-03-02,24.9,33.3,24.2,32.3
2022-03-03,32.3,36.3,28.5,29.1
2022-03-04,29.1,33.9,27.7,31.7
2022-03-05,31.7,38.6,30.9,37.0
2022-03-06,37.0,45.4,34.1,39.0
2022-03-07,39.0,44.2,36.8,37.4
2022-03-08,37.4,42.5,37.1,40.3
2022-03-09,40.3,44.7,39.9,40.6
2022-03-10,40.6,41.2,37.5,39.1
2022-03-11,39.1,41.4,37.7,40.1
2022-03-12,40.0,43.7,40.0,40.7
2022-03-13,40.8,41.7,38.4,39.1
2022-03-14,39.1,41.1,38.1,39.0
2022-03-15,39.1,39.4,36.9,37.6
2022-03-16,37.7,39.8,37.4,39.3
2022-03-17,39.2,40.6,39.0,39.2
2022-03-18,39.2,40.0,38.4,39.7
2022-03-19,39.8,43.6,39.5,41.0
2022-03-20,41.0,57.5,40.2,51.2
2022-03-21,51.2,54.8,48.7,49.0
2022-03-22,49.0,51.3,48.6,49.1
2022-03-23,49.2,59.9,48.6,50.5
2022-03-24,50.5,52.0,49.0,51.1
2022-03-25,51.1,53.1,49.8,50.4
2022-03-26,50.3,54.3,50.1,52.7
2022-03-27,52.6,53.9,51.8,53.2
2022-03-28,53.2,57.8,52.5,55.0
2022-03-29,54.9,57.0,51.8,52.7
2022-03-30,52.6,55.6,51.7,55.4
2022-03-31,55.4,66.0,54.9,62.9
2022-04-01,62.9,93.2,59.9,78.5
2022-04-02,78.4,84.0,73.8,75.0
2022-04-03,75.0,99.0,70.7,93.5
2022-04-04,93.5,104.4,86.0,88.0
2022-04-05,88.0,114.9,86.1,111.1
2022-04-06,111.1,117.5,95.8,100.3
2022-04-07,100.3,109.8,98.7,102.0
2022-04-08,101.9,118.0,91.8,114.2
2022-04-09,114.3,121.5,112.0,116.7
2022-04-10,116.7,119.4,111.5,117.0
2022-04-11,116.9,125.2,105.0,106.8
2022-04-12,106.8,112.5,104.0,107.1
2022-04-13,107.1,112.3,105.8,109.4
2022-04-14,109.4,112.8,103.0,104.8
2022-04-15,104.8,105.2,101.5,103.3
2022-04-16,103.4,105.6,100.9,102.8
2022-04-17,102.7,102.8,100.3,100.8
2022-04-18,100.8,113.1,98.6,109.1
2022-04-19,109.1,112.6,105.2,107.5
2022-04-20,107.5,111.2,103.3,104.8
2022-04-21,104.9,106.6,100.1,100.7
2022-04-22,100.6,102.9,99.9,101.9
2022-04-23,101.8,103.4,100.6,100.9
2022-04-24,101.0,107.4,100.9,104.5
2022-04-25,104.4,114.0,100.6,113.6
2022-04-26,113.6,115.2,100.9,103.1
2022-04-27,103.0,107.0,101.6,105.2
2022-04-28,105.2,109.4,103.8,106.7
2022-04-29,106.7,114.0,103.9,104.9
2022-04-30,104.9,130.8,104.2,123.3
2022-05-01,123.3,129.0,110.4,115.8
2022-05-02,115.8,122.9,104.9,108.2
2022-05-03,108.3,114.5,105.7,105.9
2022-05-04,106.0,117.3,105.7,116.1
2022-05-05,116.1,116.6,105.9,110.1
2022-05-06,110.2,116.8,108.1,115.5
2022-05-07,115.6,116.3,107.2,109.4
2022-05-08,109.4,111.3,103.0,104.4
2022-05-09,104.5,110.0,101.2,103.4
2022-05-10,103.4,119.0,98.0,106.8
2022-05-11,106.9,110.4,98.5,104.3
2022-05-12,104.4,106.4,90.0,101.3
2022-05-13,101.0,144.6,99.7,133.5
2022-05-14,133.6,139.5,122.2,134.2
2022-05-15,134.3,144.4,128.2,136.2
2022-05-16,136.3,136.8,126.7,129.8
2022-05-17,129.9,134.1,124.0,128.1
2022-05-18,128.1,130.9,117.5,119.1
2022-05-19,119.4,126.8,104.7,123.3
2022-05-20,123.5,125.0,115.4,117.8
2022-05-21,117.8,118.8,115.1,116.5
2022-05-22,116.5,121.9,116.2,119.4
2022-05-23,119.4,125.0,112.3,115.4
2022-05-24,115.4,119.6,113.3,118.4
2022-05-25,118.5,119.8,117.1,117.8
2022-05-26,117.8,118.6,109.0,112.3
2022-05-27,112.3,136.9,110.7,130.2
2022-05-28,130.2,140.0,128.4,133.2
2022-05-29,133.2,134.6,124.4,124.9
2022-05-30,124.9,132.9,122.0,128.0
2022-05-31,128.0,128.9,121.3,125.2
2022-06-01,125.1,128.0,121.5,122.4
2022-06-02,122.5,125.0,118.1,123.5
2022-06-03,123.2,123.5,118.2,119.1
2022-06-04,119.0,121.6,117.3,119.1
2022-06-05,119.2,126.0,119.1,121.4
2022-06-06,121.4,132.8,121.1,131.0
2022-06-07,131.0,137.0,124.5,131.9
