Date,Open,High,Low,Close
2019-03-25,0.03,0.04,0.02236,0.02423
2019-03-26,0.0242,0.02479,0.01761,0.01814
2019-03-27,0.01814,0.02488,0.01653,0.02277
2019-03-28,0.02275,0.02388,0.02104,0.02293
2019-03-29,0.02292,0.02471,0.02069,0.02095
2019-03-30,0.02098,0.02187,0.01929,0.02018
2019-03-31,0.02019,0.02108,0.01949,0.01967
2019-04-01,0.01965,0.02009,0.01881,0.01935
2019-04-02,0.01933,0.0226,0.01901,0.02007
2019-04-03,0.02006,0.02099,0.01736,0.01881
2019-04-04,0.01881,0.01979,0.018,0.01883
2019-04-05,0.01885,0.01986,0.01859,0.019
2019-04-06,0.01898,0.01935,0.01813,0.01835
2019-04-07,0.01835,0.01895,0.01806,0.01857
2019-04-08,0.01855,0.01885,0.01693,0.01754
2019-04-09,0.01754,0.02005,0.01655,0.01806
2019-04-10,0.01805,0.01955,0.01708,0.01796
2019-04-11,0.01796,0.01896,0.01673,0.01789
2019-04-12,0.01789,0.0191,0.01738,0.01815
2019-04-13,0.01814,0.01898,0.01788,0.01831
2019-04-14,0.0183,0.01834,0.01725,0.01768
2019-04-15,0.01768,0.01811,0.01694,0.01704
2019-04-16,0.01702,0.0178,0.01687,0.01719
2019-04-17,0.01719,0.019,0.01711,0.018
2019-04-18,0.01798,0.0184,0.01759,0.01783
2019-04-19,0.01781,0.01811,0.0174,0.01766
2019-04-20,0.0177,0.01793,0.0173,0.01774
2019-04-21,0.01773,0.01863,0.0168,0.01747
2019-04-22,0.01742,0.01809,0.01711,0.01777
2019-04-23,0.01776,0.01849,0.01722,0.01722
2019-04-24,0.01723,0.01742,0.01341,0.01427
2019-04-25,0.01427,0.01461,0.012,0.01234
2019-04-26,0.0123,0.01259,0.01098,0.01148
2019-04-27,0.01147,0.01195,0.01059,0.01145
2019-04-28,0.01145,0.01268,0.01098,0.01125
2019-04-29,0.01125,0.01144,0.00918,0.00925
2019-04-30,0.00925,0.01051,0.00921,0.00994
2019-05-01,0.00992,0.01028,0.00951,0.00984
2019-05-02,0.00984,0.01012,0.0095,0.00959
2019-05-03,0.00959,0.00967,0.00923,0.00949
2019-05-04,0.00948,0.00971,0.00864,0.00871
2019-05-05,0.00871,0.00944,0.00864,0.00918
2019-05-06,0.00917,0.00948,0.00879,0.00896
2019-05-07,0.00903,0.00928,0.00835,0.00842
2019-05-08,0.00841,0.00848,0.00789,0.00814
2019-05-09,0.00816,0.00818,0.00715,0.00733
2019-05-10,0.00732,0.0081,0.00725,0.0079
2019-05-11,0.0079,0.00885,0.00776,0.00827
2019-05-12,0.00822,0.01068,0.00794,0.00892
2019-05-13,0.00888,0.00999,0.00871,0.00919
2019-05-14,0.00916,0.01259,0.0091,0.01216
2019-05-15,0.01214,0.0136,0.01102,0.01291
2019-05-16,0.01295,0.01415,0.01066,0.01188
2019-05-17,0.01189,0.014,0.00993,0.01352
2019-05-18,0.01352,0.0144,0.01222,0.01247
2019-05-19,0.01252,0.0175,0.01245,0.01727
2019-05-20,0.01729,0.02435,0.01536,0.02114
2019-05-21,0.02117,0.02599,0.0166,0.01793
2019-05-22,0.01794,0.01859,0.0131,0.01363
2019-05-23,0.01366,0.0175,0.01356,0.01466
2019-05-24,0.01465,0.0157,0.0132,0.01354
2019-05-25,0.01356,0.01447,0.01257,0.01384
2019-05-26,0.01383,0.01596,0.01326,0.01419
2019-05-27,0.01419,0.01477,0.01301,0.01356
2019-05-28,0.01356,0.01475,0.01333,0.01414
2019-05-29,0.01414,0.01451,0.01317,0.01412
2019-05-30,0.01408,0.0163,0.01314,0.01379
2019-05-31,0.0138,0.01785,0.0138,0.0166
2019-06-01,0.0166,0.0191,0.01612,0.01807
2019-06-02,0.01801,0.0192,0.01686,0.01735
2019-06-03,0.01738,0.01768,0.0156,0.01578
2019-06-04,0.01576,0.0175,0.01501,0.01623
2019-06-05,0.01627,0.01992,0.01623,0.01907
2019-06-06,0.01909,0.02062,0.01753,0.01842
2019-06-07,0.01843,0.01972,0.01807,0.0191
2019-06-08,0.01911,0.01994,0.01836,0.01966
2019-06-09,0.01966,0.02048,0.0176,0.01848
2019-06-10,0.01847,0.02019,0.01763,0.01975
2019-06-11,0.01976,0.02119,0.01865,0.02103
2019-06-12,0.02103,0.0221,0.01966,0.01996
2019-06-13,0.02,0.02001,0.0184,0.01919
2019-06-14,0.0192,0.01941,0.0161,0.01752
2019-06-15,0.01751,0.0194,0.01751,0.01824
2019-06-16,0.01824,0.01914,0.01779,0.01879
2019-06-17,0.01879,0.0196,0.01815,0.01835
2019-06-18,0.01835,0.01956,0.01813,0.0193
2019-06-19,0.01932,0.02025,0.0188,0.01925
2019-06-20,0.01925,0.01953,0.01775,0.01843
2019-06-21,0.01846,0.0188,0.017,0.01705
2019-06-22,0.01705,0.01825,0.01681,0.01769
2019-06-23,0.01767,0.01835,0.01685,0.01698
2019-06-24,0.01697,0.0172,0.016,0.01618
2019-06-25,0.01616,0.01665,0.01538,0.0155
2019-06-26,0.01548,0.01606,0.01387,0.01412
2019-06-27,0.01413,0.01655,0.01399,0.01491
2019-06-28,0.0149,0.01522,0.01393,0.01446
2019-06-29,0.01445,0.0174,0.01412,0.01684
2019-06-30,0.0169,0.0225,0.0167,0.0171
2019-07-01,0.01716,0.0187,0.01636,0.01852
2019-07-02,0.01853,0.01946,0.01611,0.01685
2019-07-03,0.0168,0.01979,0.01603,0.01771
2019-07-04,0.01774,0.01854,0.01612,0.01629
