Date,Open,High,Low,Close
2020-10-27,0.77,4.8,0.77,1.3644
2020-10-28,1.3582,1.3876,0.88,0.9965
2020-10-29,0.9965,1.185,0.7822,0.9967
2020-10-30,0.9968,1.0709,0.8,0.8818
2020-10-31,0.8816,0.9372,0.8334,0.8645
2020-11-01,0.8637,0.8849,0.773,0.8296
2020-11-02,0.8308,0.86,0.7701,0.847
2020-11-03,0.847,0.9,0.6901,0.7491
2020-11-04,0.7576,0.7632,0.7207,0.747
2020-11-05,0.7501,0.77,0.7063,0.7603
2020-11-06,0.7572,0.8398,0.7001,0.78
2020-11-07,0.78,0.86,0.74,0.7933
2020-11-08,0.7893,0.8967,0.7612,0.8358
2020-11-09,0.8353,0.994,0.788,0.8959
2020-11-10,0.8965,0.9492,0.87,0.9269
2020-11-11,0.9269,0.9496,0.8818,0.902
2020-11-12,0.9019,0.98,0.881,0.9246
2020-11-13,0.9227,1.0431,0.919,1.0417
2020-11-14,1.0405,1.0797,0.9433,1.0487
2020-11-15,1.0463,1.2985,1.0063,1.2116
2020-11-16,1.212,1.3499,1.1227,1.2225
2020-11-17,1.2251,1.27,1.083,1.1683
2020-11-18,1.1682,1.1803,0.9944,1.147
2020-11-19,1.147,1.3246,1.113,1.1592
2020-11-20,1.159,1.4199,1.1243,1.3578
2020-11-21,1.3578,1.461,1.2271,1.3595
2020-11-22,1.362,1.4,1.0884,1.1664
2020-11-23,1.1664,1.2599,1.1359,1.1938
2020-11-24,1.1946,1.2298,1.0465,1.1272
2020-11-25,1.1261,1.1774,1.0932,1.1297
2020-11-26,1.1298,1.1499,0.9,1.0503
2020-11-27,1.0562,1.0888,0.9718,1.0048
2020-11-28,1.0048,1.0949,0.9976,1.0248
2020-11-29,1.0248,1.19,1.011,1.187
2020-11-30,1.1871,1.1977,1.0964,1.136
2020-12-01,1.1361,1.2874,1.07,1.1812
2020-12-02,1.184,1.31,1.157,1.2362
2020-12-03,1.235,1.3599,1.2016,1.247
2020-12-04,1.2466,1.3053,1.0121,1.033
2020-12-05,1.0313,1.1049,1.0,1.0581
2020-12-06,1.0581,1.09,1.012,1.0272
2020-12-07,1.028,1.1203,1.016,1.0807
2020-12-08,1.081,1.2953,1.0303,1.167
2020-12-09,1.167,1.1995,1.046,1.1383
2020-12-10,1.137,1.1865,1.059,1.0832
2020-12-11,1.0838,1.0863,0.9487,0.9638
2020-12-12,0.9638,1.0266,0.9606,0.9911
2020-12-13,0.9911,1.0263,0.9552,0.993
2020-12-14,0.9929,0.9948,0.955,0.9813
2020-12-15,0.9812,0.9961,0.9581,0.9761
2020-12-16,0.9761,1.0551,0.9631,0.9921
2020-12-17,0.9922,1.0523,0.9745,1.0146
2020-12-18,1.0159,1.1,0.9825,1.0232
2020-12-19,1.0232,1.194,0.983,1.0188
2020-12-20,1.0188,1.02,0.9141,0.9275
2020-12-21,0.9275,0.9727,0.8101,0.864
2020-12-22,0.864,0.9469,0.8332,0.9312
2020-12-23,0.9312,1.08,0.8101,0.8426
2020-12-24,0.8404,0.8686,0.7851,0.8657
2020-12-25,0.8655,0.8838,0.7947,0.8192
2020-12-26,0.8176,1.076,0.78,0.804
2020-12-27,0.804,0.8519,0.785,0.8041
2020-12-28,0.8049,0.8563,0.8004,0.8239
2020-12-29,0.8245,0.8615,0.8,0.8278
2020-12-30,0.8277,0.8458,0.7951,0.8454
2020-12-31,0.8456,0.8616,0.8145,0.8485
2021-01-01,0.8482,0.9099,0.8368,0.8697
