Date,Open,High,Low,Close
2019-07-22,0.612,0.667,0.2668,0.2962
2019-07-23,0.2962,0.3047,0.21,0.2114
2019-07-24,0.214,0.2234,0.1708,0.1723
2019-07-25,0.1711,0.2005,0.1702,0.193
2019-07-26,0.1929,0.212,0.1831,0.1876
2019-07-27,0.1879,0.1926,0.1588,0.1616
2019-07-28,0.1616,0.1706,0.1515,0.1576
2019-07-29,0.1576,0.159,0.1472,0.1499
2019-07-30,0.1498,0.1594,0.142,0.1476
2019-07-31,0.1476,0.1527,0.1355,0.1403
2019-08-01,0.1403,0.1418,0.1186,0.123
2019-08-02,0.123,0.148,0.1206,0.1331
2019-08-03,0.133,0.1373,0.1163,0.118
2019-08-04,0.118,0.1197,0.1105,0.1117
2019-08-05,0.1116,0.1131,0.0984,0.1003
2019-08-06,0.1004,0.1266,0.1,0.1046
2019-08-07,0.1051,0.108,0.0971,0.1011
2019-08-08,0.1012,0.176,0.1012,0.1485
2019-08-09,0.1479,0.1479,0.1071,0.1079
2019-08-10,0.1085,0.1207,0.1015,0.1158
2019-08-11,0.1158,0.1462,0.1149,0.1177
2019-08-12,0.1178,0.1665,0.1178,0.1654
2019-08-13,0.1647,0.1769,0.144,0.1617
2019-08-14,0.1616,0.2233,0.149,0.1972
2019-08-15,0.1986,0.2741,0.1958,0.2335
2019-08-16,0.2345,0.2666,0.202,0.2589
2019-08-17,0.258,0.2852,0.239,0.2482
2019-08-18,0.2495,0.256,0.2124,0.217
2019-08-19,0.2171,0.2224,0.1934,0.1978
2019-08-20,0.1979,0.2272,0.1955,0.2188
2019-08-21,0.2188,0.2222,0.1801,0.1854
2019-08-22,0.1854,0.1854,0.1615,0.1715
2019-08-23,0.1715,0.1836,0.1635,0.1708
2019-08-24,0.1708,0.1808,0.154,0.1641
2019-08-25,0.1631,0.1918,0.16,0.17
2019-08-26,0.1714,0.1748,0.1521,0.154
2019-08-27,0.1546,0.172,0.1492,0.1581
2019-08-28,0.1589,0.1745,0.1466,0.1485
2019-08-29,0.1485,0.1486,0.1238,0.1238
2019-08-30,0.1248,0.138,0.122,0.1314
2019-08-31,0.1314,0.1358,0.123,0.1265
2019-09-01,0.1272,0.1322,0.1237,0.1313
2019-09-02,0.1314,0.1394,0.128,0.1308
2019-09-03,0.1308,0.1313,0.12,0.121
2019-09-04,0.1209,0.1302,0.1166,0.1233
2019-09-05,0.1233,0.1265,0.1121,0.1133
2019-09-06,0.1133,0.1145,0.1013,0.1044
2019-09-07,0.105,0.1098,0.1031,0.1065
2019-09-08,0.1063,0.1167,0.1062,0.1137
2019-09-09,0.1141,0.115,0.1044,0.1057
2019-09-10,0.1063,0.1082,0.1009,0.1013
2019-09-11,0.1014,0.1029,0.0884,0.0901
2019-09-12,0.0898,0.0926,0.0851,0.0898
2019-09-13,0.0899,0.0987,0.0867,0.0879
2019-09-14,0.0876,0.093,0.0854,0.0894
2019-09-15,0.0894,0.0915,0.0881,0.0907
2019-09-16,0.0904,0.0959,0.0871,0.0895
