Date,Open,High,Low,Close
2021-12-10,21.456,24.38,18.784,19.576
2021-12-11,19.657,20.4,18.9,19.55
2021-12-12,19.549,19.575,17.601,18.546
2021-12-13,18.54,18.734,17.505,17.575
2021-12-14,17.601,18.135,17.002,17.275
2021-12-15,17.198,17.518,16.485,16.916
2021-12-16,16.918,17.278,16.176,16.426
2021-12-17,16.426,17.454,15.12,15.375
2021-12-18,15.537,15.588,13.348,14.001
2021-12-19,14.001,14.923,13.939,14.414
2021-12-20,14.409,14.77,13.751,13.958
2021-12-21,13.905,18.89,13.763,17.289
2021-12-22,17.297,18.926,17.037,18.018
2021-12-23,18.016,20.75,17.829,20.162
2021-12-24,20.175,22.95,20.001,21.2
2021-12-25,21.198,22.061,20.092,20.413
2021-12-26,20.412,20.74,19.996,20.503
2021-12-27,20.431,25.745,20.122,23.694
2021-12-28,23.764,25.998,22.001,22.148
2021-12-29,22.109,27.9,21.632,26.175
2021-12-30,26.272,34.0,25.491,30.0
2021-12-31,29.964,43.899,29.702,39.158
2022-01-01,39.154,41.0,34.666,36.716
2022-01-02,36.778,37.1,34.721,35.05
2022-01-03,35.05,35.283,31.564,32.81
2022-01-04,32.815,42.499,32.431,37.844
2022-01-05,37.843,39.0,34.0,34.447
2022-01-06,34.432,37.064,32.233,34.496
2022-01-07,34.506,39.675,34.099,38.277
2022-01-08,38.292,42.0,37.2,38.1
2022-01-09,38.1,39.25,35.013,36.151
2022-01-10,36.209,39.3,34.298,34.724
2022-01-11,34.734,36.256,34.015,34.942
2022-01-12,34.893,45.9,34.881,41.49
2022-01-13,41.289,41.6,36.075,37.66
2022-01-14,37.666,39.783,37.054,38.565
2022-01-15,38.565,38.616,36.528,36.796
2022-01-16,36.794,37.741,35.74,37.08
2022-01-17,37.067,37.067,31.201,32.07
2022-01-18,32.071,34.331,29.265,30.902
2022-01-19,30.903,32.495,27.903,28.063
2022-01-20,28.064,30.739,26.165,26.82
2022-01-21,26.817,27.902,21.0,21.828
2022-01-22,21.848,22.857,18.7,19.484
2022-01-23,19.568,21.0,19.37,20.35
2022-01-24,20.359,20.498,17.0,17.98
2022-01-25,17.852,18.8,16.756,18.032
2022-01-26,18.028,20.617,17.558,18.8
2022-01-27,18.801,19.67,17.095,19.628
2022-01-28,19.635,23.84,19.229,22.922
2022-01-29,22.933,23.342,22.053,22.818
2022-01-30,22.806,22.81,21.27,21.493
2022-01-31,21.464,22.491,20.953,21.525
2022-02-01,21.574,22.549,21.207,21.467
2022-02-02,21.48,21.863,20.209,20.515
2022-02-03,20.473,20.553,17.36,18.414
2022-02-04,18.414,20.961,17.945,20.258
2022-02-05,20.192,20.515,19.672,20.098
2022-02-06,20.098,20.359,19.59,20.136
2022-02-07,20.136,21.999,19.728,21.121
2022-02-08,21.17,22.801,20.515,21.468
2022-02-09,21.419,21.8,20.638,21.541
2022-02-10,21.6,22.9,20.698,21.05
2022-02-11,21.072,26.97,20.767,22.46
2022-02-12,22.457,27.969,22.112,26.116
2022-02-13,26.113,26.468,24.2,24.365
2022-02-14,24.45,24.975,23.075,24.072
2022-02-15,24.071,26.9,23.993,26.485
2022-02-16,26.394,27.504,25.992,26.78
2022-02-17,26.772,26.886,24.476,24.551
2022-02-18,24.674,26.917,24.301,25.548
2022-02-19,25.571,26.799,22.057,22.497
2022-02-20,22.497,22.541,20.124,21.535
2022-02-21,21.539,21.962,18.94,19.212
2022-02-22,19.212,19.486,18.0,18.746
2022-02-23,18.785,19.46,18.036,18.036
2022-02-24,18.056,18.207,16.446,17.684
2022-02-25,17.684,20.57,17.583,20.41
2022-02-26,20.416,21.138,19.899,20.108
2022-02-27,20.063,23.314,19.827,20.564
2022-02-28,20.576,22.992,20.5,22.572
2022-03-01,22.603,24.069,22.6,23.23
2022-03-02,23.17,24.082,21.922,23.448
2022-03-03,23.527,26.2,22.835,24.42
2022-03-04,24.392,24.458,22.138,22.303
2022-03-05,22.284,22.514,21.539,22.28
2022-03-06,22.279,22.292,20.543,20.587
2022-03-07,20.587,20.587,18.749,18.891
2022-03-08,18.887,19.132,17.501,17.824
2022-03-09,17.832,18.663,17.8,17.922
2022-03-10,17.917,18.0,16.301,16.734
2022-03-11,16.696,17.5,16.119,17.46
2022-03-12,17.465,18.756,17.322,17.887
2022-03-13,17.87,18.6,17.838,18.028
2022-03-14,17.947,18.02,17.512,17.786
2022-03-15,17.796,20.067,17.456,17.991
2022-03-16,17.961,18.246,17.0,17.861
2022-03-17,17.884,17.982,17.5,17.535
2022-03-18,17.535,17.897,17.13,17.819
2022-03-19,17.801,17.921,17.547,17.641
2022-03-20,17.73,18.2,17.423,17.68
2022-03-21,17.672,17.906,17.44,17.785
2022-03-22,17.773,18.55,17.599,17.762
2022-03-23,17.763,18.0,17.0,17.874
2022-03-24,17.859,18.299,17.751,18.212
2022-03-25,18.209,18.5,17.847,18.136
2022-03-26,18.136,20.944,18.115,20.871
2022-03-27,20.871,21.8,20.371,21.54
2022-03-28,21.531,22.98,21.033,21.423
2022-03-29,21.397,24.228,21.325,23.499
2022-03-30,23.476,24.023,22.561,22.69
2022-03-31,22.691,23.051,22.019,22.401
2022-04-01,22.401,26.3,21.8,25.68
2022-04-02,25.653,42.2,25.453,37.725
2022-04-03,37.725,44.0,34.608,38.442
2022-04-04,38.395,39.969,33.5,34.6
2022-04-05,34.6,39.7,32.936,32.999
2022-04-06,33.001,33.216,30.0,30.646
2022-04-07,30.62,33.623,29.264,32.912
2022-04-08,32.9,36.747,30.1,30.485
2022-04-09,30.467,31.935,30.451,30.997
2022-04-10,30.995,31.538,30.131,30.704
2022-04-11,30.704,30.929,25.742,26.094
2022-04-12,26.097,28.838,25.7,27.57
2022-04-13,27.571,33.574,27.164,33.347
2022-04-14,33.347,33.353,29.38,29.766
2022-04-15,29.765,30.242,28.117,28.591
2022-04-16,28.578,29.11,28.047,28.81
2022-04-17,28.794,31.992,28.287,30.61
2022-04-18,30.605,36.254,29.156,35.128
2022-04-19,35.129,35.665,33.594,34.135
2022-04-20,34.145,37.585,33.742,36.025
2022-04-21,36.02,36.555,32.206,32.582
2022-04-22,32.576,33.0,30.011,30.056
2022-04-23,30.061,31.257,29.6,30.521
2022-04-24,30.487,30.951,28.51,28.524
2022-04-25,28.54,29.171,27.051,28.747
2022-04-26,28.701,29.84,26.864,27.886
2022-04-27,27.887,28.436,27.377,27.55
2022-04-28,27.537,27.639,26.315,26.497
2022-04-29,26.499,26.868,24.564,24.636
2022-04-30,24.674,24.778,23.395,23.525
2022-05-01,23.512,24.121,22.188,22.69
2022-05-02,22.685,23.2,21.939,22.29
2022-05-03,22.31,26.93,22.146,25.439
2022-05-04,25.418,29.694,25.299,29.115
2022-05-05,29.103,29.867,24.542,25.706
2022-05-06,25.709,26.091,23.59,24.934
2022-05-07,24.974,25.058,22.71,23.338
2022-05-08,23.327,23.459,22.186,22.308
2022-05-09,22.306,22.821,16.756,16.837
2022-05-10,16.84,21.475,16.689,17.785
2022-05-11,17.786,17.836,11.507,11.909
2022-05-12,11.906,12.225,10.518,10.749
2022-05-13,10.749,12.633,10.071,11.512
2022-05-14,11.512,11.658,8.289,8.67
2022-05-15,8.67,9.623,8.332,9.077
2022-05-16,9.073,9.156,8.115,8.323
2022-05-17,8.329,8.675,8.225,8.403
2022-05-18,8.395,8.443,6.967,7.029
2022-05-19,7.016,7.251,6.317,6.567
2022-05-20,6.569,6.725,5.997,6.277
2022-05-21,6.274,6.5,6.17,6.435
2022-05-22,6.423,8.31,6.417,8.232
2022-05-23,8.251,8.251,7.031,7.053
2022-05-24,7.054,7.345,6.745,6.957
2022-05-25,6.958,7.545,6.905,7.32
