Date,Open,High,Low,Close
2021-08-20,1.982,2.4,1.982,2.15
2021-08-21,2.15,2.205,2.079,2.096
2021-08-22,2.097,2.14,2.0,2.084
2021-08-23,2.075,2.198,2.05,2.093
2021-08-24,2.091,2.103,2.0,2.015
2021-08-25,2.015,2.084,1.955,2.003
2021-08-26,2.0,2.324,1.966,2.082
2021-08-27,2.082,2.15,1.998,2.057
2021-08-28,2.057,2.081,1.985,2.001
2021-08-29,2.0,2.049,1.976,1.976
2021-08-30,1.987,2.085,1.944,1.96
2021-08-31,1.962,1.982,1.9,1.91
2021-09-01,1.911,1.933,1.845,1.899
2021-09-02,1.899,1.93,1.85,1.863
2021-09-03,1.863,1.898,1.815,1.841
2021-09-04,1.841,1.95,1.833,1.892
2021-09-05,1.892,1.918,1.83,1.852
2021-09-06,1.855,1.89,1.844,1.878
2021-09-07,1.878,1.89,1.611,1.766
2021-09-08,1.758,1.839,1.714,1.729
2021-09-09,1.736,1.837,1.717,1.743
2021-09-10,1.747,1.789,1.685,1.721
2021-09-11,1.721,1.787,1.675,1.714
2021-09-12,1.71,1.84,1.703,1.74
2021-09-13,1.738,1.778,1.683,1.703
2021-09-14,1.701,1.745,1.683,1.71
2021-09-15,1.712,1.749,1.682,1.732
2021-09-16,1.733,1.77,1.694,1.735
2021-09-17,1.737,1.78,1.699,1.733
2021-09-18,1.736,1.769,1.686,1.72
2021-09-19,1.719,1.719,1.666,1.675
2021-09-20,1.677,2.259,1.568,1.628
2021-09-21,1.625,1.98,1.611,1.626
2021-09-22,1.625,1.669,1.612,1.656
2021-09-23,1.659,1.676,1.626,1.655
2021-09-24,1.657,1.657,1.575,1.607
2021-09-25,1.607,1.627,1.508,1.575
2021-09-26,1.575,1.6,1.535,1.595
2021-09-27,1.595,1.606,1.562,1.569
2021-09-28,1.569,1.628,1.548,1.565
2021-09-29,1.565,1.628,1.548,1.566
2021-09-30,1.566,1.608,1.552,1.58
2021-10-01,1.58,1.696,1.569,1.625
2021-10-02,1.634,1.646,1.6,1.613
2021-10-03,1.613,1.636,1.6,1.625
2021-10-04,1.629,1.887,1.609,1.671
2021-10-05,1.677,1.731,1.66,1.69
2021-10-06,1.693,1.7,1.624,1.657
2021-10-07,1.655,1.68,1.574,1.651
2021-10-08,1.656,1.689,1.634,1.641
2021-10-09,1.644,1.69,1.632,1.665
2021-10-10,1.667,1.68,1.645,1.648
2021-10-11,1.643,1.68,1.62,1.64
2021-10-12,1.635,1.681,1.609,1.63
2021-10-13,1.633,1.69,1.621,1.667
2021-10-14,1.669,1.718,1.651,1.661
2021-10-15,1.662,1.725,1.645,1.71
2021-10-16,1.704,1.799,1.685,1.723
2021-10-17,1.725,1.748,1.695,1.712
2021-10-18,1.71,2.672,1.708,1.815
2021-10-19,1.815,1.83,1.698,1.762
2021-10-20,1.762,1.828,1.75,1.79
2021-10-21,1.79,1.82,1.766,1.774
2021-10-22,1.776,1.816,1.772,1.799
2021-10-23,1.801,1.873,1.797,1.843
2021-10-24,1.843,1.878,1.82,1.846
2021-10-25,1.847,1.941,1.844,1.921
2021-10-26,1.922,1.997,1.88,1.997
2021-10-27,1.997,2.284,1.958,2.122
2021-10-28,2.121,2.214,2.029,2.064
2021-10-29,2.064,2.398,2.043,2.321
2021-10-30,2.323,2.68,2.301,2.471
2021-10-31,2.472,2.628,2.322,2.329
2021-11-01,2.329,2.395,2.288,2.294
2021-11-02,2.294,2.386,2.255,2.321
2021-11-03,2.318,2.336,2.232,2.283
2021-11-04,2.283,2.387,2.19,2.293
2021-11-05,2.291,2.34,2.259,2.259
2021-11-06,2.259,2.449,2.23,2.244
2021-11-07,2.245,2.263,2.202,2.221
2021-11-08,2.221,2.231,2.191,2.193
2021-11-09,2.191,2.23,2.174,2.196
2021-11-10,2.196,2.203,2.124,2.136
2021-11-11,2.137,2.231,2.125,2.181
2021-11-12,2.181,2.234,2.126,2.146
2021-11-13,2.143,2.246,2.143,2.216
2021-11-14,2.216,2.245,2.187,2.211
2021-11-15,2.212,2.237,2.156,2.166
2021-11-16,2.167,2.711,2.14,2.203
2021-11-17,2.203,2.306,2.19,2.275
2021-11-18,2.271,2.43,2.214,2.326
2021-11-19,2.325,2.449,2.294,2.427
2021-11-20,2.427,2.9,2.374,2.761
2021-11-21,2.76,2.871,2.543,2.572
2021-11-22,2.571,2.659,2.505,2.548
2021-11-23,2.546,2.75,2.505,2.631
2021-11-24,2.631,2.88,2.542,2.827
2021-11-25,2.829,3.4,2.735,2.87
2021-11-26,2.873,3.048,2.71,2.856
2021-11-27,2.855,2.949,2.774,2.807
2021-11-28,2.807,2.872,2.723,2.853
2021-11-29,2.867,2.879,2.806,2.872
2021-11-30,2.872,2.915,2.843,2.859
2021-12-01,2.858,2.915,2.833,2.879
2021-12-02,2.879,2.988,2.821,2.833
2021-12-03,2.833,2.847,2.681,2.725
2021-12-04,2.721,2.729,2.504,2.6
2021-12-05,2.6,2.641,2.532,2.541
2021-12-06,2.541,2.553,2.483,2.501
2021-12-07,2.501,2.568,2.488,2.509
2021-12-08,2.509,2.549,2.487,2.489
2021-12-09,2.49,2.499,2.429,2.43
2021-12-10,2.43,2.499,2.395,2.415
2021-12-11,2.416,2.464,2.397,2.417
2021-12-12,2.42,2.464,2.405,2.441
2021-12-13,2.44,2.449,2.346,2.35
2021-12-14,2.35,2.378,2.331,2.361
2021-12-15,2.359,2.409,2.323,2.409
2021-12-16,2.409,2.427,2.367,2.387
2021-12-17,2.387,2.41,2.333,2.399
2021-12-18,2.4,2.439,2.37,2.389
2021-12-19,2.389,2.429,2.336,2.338
2021-12-20,2.337,2.405,2.325,2.367
2021-12-21,2.367,2.416,2.349,2.393
2021-12-22,2.393,2.407,2.365,2.381
2021-12-23,2.381,2.434,2.364,2.425
2021-12-24,2.425,2.443,2.372,2.382
2021-12-25,2.382,2.397,2.359,2.385
2021-12-26,2.388,2.419,2.365,2.409
2021-12-27,2.415,2.448,2.363,2.397
2021-12-28,2.397,2.429,2.353,2.354
2021-12-29,2.354,2.37,2.301,2.304
2021-12-30,2.304,2.341,2.301,2.337
2021-12-31,2.335,2.38,2.281,2.284
2022-01-01,2.287,2.335,2.285,2.329
2022-01-02,2.329,2.37,2.3,2.313
2022-01-03,2.309,2.32,2.258,2.276
2022-01-04,2.276,2.289,2.266,2.27
2022-01-05,2.269,2.296,2.243,2.259
2022-01-06,2.256,2.285,2.202,2.218
2022-01-07,2.216,2.218,2.119,2.121
2022-01-08,2.125,2.155,2.119,2.13
2022-01-09,2.129,2.168,2.121,2.131
2022-01-10,2.131,2.157,2.105,2.139
2022-01-11,2.14,2.174,2.111,2.15
2022-01-12,2.149,2.188,2.109,2.165
2022-01-13,2.167,2.207,2.157,2.169
2022-01-14,2.169,2.211,2.162,2.192
2022-01-15,2.192,2.24,2.187,2.188
2022-01-16,2.19,2.21,2.168,2.178
2022-01-17,2.173,2.19,2.105,2.161
2022-01-18,2.16,2.218,2.154,2.189
2022-01-19,2.189,2.202,2.133,2.137
2022-01-20,2.14,2.155,2.105,2.118
2022-01-21,2.113,2.175,2.075,2.088
2022-01-22,2.086,2.645,2.032,2.041
2022-01-23,2.045,2.081,2.035,2.061
2022-01-24,2.064,2.072,1.991,2.015
2022-01-25,2.018,2.018,1.981,2.011
2022-01-26,2.011,2.047,1.989,1.994
