Date,Open,High,Low,Close
2023-01-12,0.5254,0.8424,0.47,0.5083
2023-01-13,0.5083,0.53,0.4877,0.5071
2023-01-14,0.5065,0.5464,0.497,0.5273
2023-01-15,0.5273,0.545,0.5091,0.532
2023-01-16,0.5301,0.5655,0.5001,0.5139
2023-01-17,0.5139,0.524,0.501,0.5114
2023-01-18,0.5142,0.545,0.4515,0.4859
2023-01-19,0.4834,0.5099,0.4751,0.4984
2023-01-20,0.4984,0.5237,0.48,0.5207
2023-01-21,0.5185,0.5247,0.5,0.5113
2023-01-22,0.5113,0.5199,0.4891,0.508
2023-01-23,0.5081,0.5247,0.5,0.5174
2023-01-24,0.5176,0.55,0.488,0.4934
2023-01-25,0.4925,0.509,0.4765,0.5027
2023-01-26,0.5028,0.5429,0.4897,0.5035
2023-01-27,0.5042,0.5273,0.4916,0.514
2023-01-28,0.5175,0.5213,0.5,0.5116
2023-01-29,0.5107,0.5246,0.5015,0.522
2023-01-30,0.522,0.522,0.475,0.4807
2023-01-31,0.4807,0.512,0.4807,0.4942
2023-02-01,0.4944,0.5152,0.4715,0.5003
2023-02-02,0.5003,0.5175,0.491,0.5007
2023-02-03,0.5019,0.5162,0.4955,0.5137
2023-02-04,0.5114,0.56,0.5114,0.53
2023-02-05,0.53,0.5558,0.489,0.5132
2023-02-06,0.5129,0.5495,0.489,0.5247
2023-02-07,0.5239,0.5421,0.498,0.5385
2023-02-08,0.5387,0.6188,0.5235,0.5742
2023-02-09,0.5742,0.5744,0.4981,0.511
2023-02-10,0.5117,0.5118,0.48,0.4993
2023-02-11,0.499,0.5056,0.4773,0.5002
2023-02-12,0.5002,0.5006,0.4858,0.4883
2023-02-13,0.4891,0.495,0.4369,0.4687
2023-02-14,0.4682,0.4768,0.454,0.4757
2023-02-15,0.4751,0.5151,0.4698,0.5066
2023-02-16,0.5079,0.53,0.4858,0.4871
2023-02-17,0.4866,0.5174,0.4855,0.5114
2023-02-18,0.5105,0.5222,0.4985,0.5107
2023-02-19,0.5102,0.5224,0.4945,0.5071
2023-02-20,0.508,0.5279,0.4895,0.5238
2023-02-21,0.5233,0.585,0.5,0.5203
2023-02-22,0.5199,0.5347,0.48,0.5069
2023-02-23,0.5069,0.5145,0.4894,0.5071
2023-02-24,0.5066,0.5316,0.4934,0.5176
2023-02-25,0.5172,0.5172,0.486,0.4984
2023-02-26,0.4985,0.5051,0.49,0.5018
2023-02-27,0.5018,0.5048,0.487,0.4957
2023-02-28,0.4956,0.496,0.4828,0.4856
2023-03-01,0.4861,0.5058,0.4816,0.4983
2023-03-02,0.4983,0.5039,0.4791,0.4891
2023-03-03,0.4895,0.4895,0.441,0.4577
2023-03-04,0.4585,0.4743,0.448,0.4564
2023-03-05,0.4563,0.468,0.4551,0.4586
2023-03-06,0.458,0.4637,0.4387,0.4538
2023-03-07,0.4551,0.4553,0.4166,0.438
2023-03-08,0.4367,0.4461,0.4114,0.4182
2023-03-09,0.4182,0.423,0.374,0.3907
2023-03-10,0.3908,0.3909,0.361,0.387
2023-03-11,0.3891,0.3967,0.3591,0.3782
2023-03-12,0.3782,0.3995,0.3623,0.398
2023-03-13,0.3992,0.43,0.3856,0.424
2023-03-14,0.4238,0.4546,0.4056,0.4397
2023-03-15,0.4389,0.4667,0.4033,0.411
2023-03-16,0.4128,0.4478,0.4113,0.4354
2023-03-17,0.4355,0.4519,0.4265,0.4519
2023-03-18,0.452,0.4528,0.4344,0.4386
2023-03-19,0.4377,0.4473,0.4181,0.4432
2023-03-20,0.4435,0.4719,0.4373,0.4401
2023-03-21,0.4401,0.4401,0.409,0.4316
2023-03-22,0.4323,0.4433,0.4076,0.4158
2023-03-23,0.4143,0.4312,0.4101,0.4292
2023-03-24,0.4278,0.4305,0.4076,0.4113
2023-03-25,0.4113,0.4147,0.4065,0.4101
2023-03-26,0.4107,0.4167,0.404,0.4161
2023-03-27,0.416,0.416,0.3875,0.3959
2023-03-28,0.395,0.4035,0.3838,0.4013
2023-03-29,0.4019,0.4234,0.4019,0.4218
2023-03-30,0.4207,0.4272,0.406,0.4151
2023-03-31,0.4154,0.4215,0.4033,0.4215
2023-04-01,0.4212,0.4294,0.4152,0.426
2023-04-02,0.427,0.4361,0.4126,0.416
2023-04-03,0.4178,0.4248,0.4075,0.4157
2023-04-04,0.4158,0.4256,0.4125,0.4239
2023-04-05,0.4249,0.4435,0.4216,0.4412
2023-04-06,0.4411,0.4525,0.4311,0.4481
2023-04-07,0.4479,0.5005,0.4225,0.4354
2023-04-08,0.4352,0.4353,0.425,0.425
2023-04-09,0.4258,0.4301,0.4112,0.4204
2023-04-10,0.4199,0.4497,0.4171,0.4334
2023-04-11,0.4331,0.4415,0.4307,0.4321
2023-04-12,0.4322,0.4389,0.4201,0.427
2023-04-13,0.4271,0.4433,0.423,0.4338
2023-04-14,0.434,0.4418,0.4294,0.4383
2023-04-15,0.4393,0.4395,0.4313,0.4355
2023-04-16,0.4349,0.4427,0.4308,0.442
2023-04-17,0.442,0.4421,0.42,0.4337
2023-04-18,0.4341,0.4463,0.43,0.4383
2023-04-19,0.4373,0.4389,0.4001,0.4085
2023-04-20,0.4085,0.4828,0.408,0.4423
2023-04-21,0.4423,0.7155,0.4423,0.5167
2023-04-22,0.5167,0.5247,0.4532,0.4711
2023-04-23,0.4711,0.505,0.4339,0.4503
2023-04-24,0.4503,0.4515,0.4169,0.4282
2023-04-25,0.428,0.4388,0.4019,0.4216
2023-04-26,0.4218,0.432,0.4083,0.4151
2023-04-27,0.4151,0.4201,0.4067,0.418
2023-04-28,0.4177,0.4186,0.4026,0.414
2023-04-29,0.414,0.4171,0.4089,0.4159
2023-04-30,0.4155,0.4165,0.4044,0.4091
2023-05-01,0.4086,0.4098,0.3883,0.3932
2023-05-02,0.3934,0.4184,0.3852,0.3943
2023-05-03,0.3943,0.3964,0.3804,0.3889
2023-05-04,0.389,0.3914,0.3784,0.3852
2023-05-05,0.3851,0.4125,0.3845,0.3965
2023-05-06,0.3952,0.3959,0.3761,0.381
2023-05-07,0.381,0.3908,0.3791,0.3804
2023-05-08,0.3804,0.3823,0.3507,0.3606
2023-05-09,0.3607,0.3684,0.3584,0.3665
2023-05-10,0.3651,0.376,0.3567,0.3681
2023-05-11,0.3686,0.3815,0.3597,0.3717
2023-05-12,0.3716,0.3716,0.3463,0.3608
2023-05-13,0.3607,0.3616,0.3538,0.3559
2023-05-14,0.355,0.3586,0.353,0.3569
2023-05-15,0.357,0.3595,0.351,0.3575
2023-05-16,0.3577,0.3654,0.3536,0.3599
2023-05-17,0.3597,0.3679,0.3537,0.3638
2023-05-18,0.3636,0.3644,0.354,0.3592
2023-05-19,0.3585,0.3642,0.3574,0.3609
2023-05-20,0.3605,0.3615,0.3582,0.3604
2023-05-21,0.3609,0.3609,0.3509,0.3526
2023-05-22,0.3524,0.3524,0.3421,0.349
2023-05-23,0.349,0.3561,0.3461,0.3499
2023-05-24,0.3498,0.3528,0.3296,0.3335
2023-05-25,0.3332,0.3364,0.3259,0.3327
2023-05-26,0.3329,0.3345,0.3285,0.332
2023-05-27,0.3321,0.3374,0.3298,0.3362
2023-05-28,0.3363,0.3486,0.3346,0.3445
2023-05-29,0.3449,0.3499,0.3401,0.342
2023-05-30,0.3416,0.3435,0.3378,0.3385
2023-05-31,0.3385,0.34,0.3262,0.3298
2023-06-01,0.3301,0.335,0.3246,0.3279
2023-06-02,0.3284,0.3337,0.3244,0.3319
2023-06-03,0.332,0.3402,0.3303,0.3365
2023-06-04,0.3365,0.3423,0.3358,0.3384
2023-06-05,0.3382,0.3384,0.3105,0.3143
2023-06-06,0.3136,0.3227,0.3045,0.3215
2023-06-07,0.3217,0.3249,0.3083,0.3096
2023-06-08,0.3097,0.3179,0.3055,0.313
2023-06-09,0.3129,0.3241,0.31,0.3152
2023-06-10,0.3151,0.3203,0.2567,0.2656
2023-06-11,0.2659,0.2743,0.2648,0.2685
2023-06-12,0.268,0.2695,0.2597,0.267
2023-06-13,0.267,0.2734,0.262,0.2655
2023-06-14,0.2652,0.2694,0.2536,0.2559
2023-06-15,0.2557,0.2597,0.2489,0.2597
2023-06-16,0.2592,0.2659,0.2556,0.2645
2023-06-17,0.265,0.2718,0.2647,0.2677
2023-06-18,0.268,0.3088,0.2655,0.2699
2023-06-19,0.2709,0.2795,0.2659,0.2747
2023-06-20,0.2744,0.2788,0.053,0.2784
2023-06-21,0.2784,0.2902,0.2773,0.2888
2023-06-22,0.2886,0.3256,0.2876,0.305
2023-06-23,0.305,0.3151,0.299,0.3145
2023-06-24,0.3138,0.3416,0.3124,0.3223
2023-06-25,0.3222,0.33,0.3188,0.3216
2023-06-26,0.3221,0.3809,0.3093,0.3167
2023-06-27,0.3167,0.4276,0.3137,0.3366
2023-06-28,0.336,0.3987,0.3324,0.362
2023-06-29,0.3613,0.3741,0.327,0.3381
2023-06-30,0.3379,0.3379,0.3076,0.3241
2023-07-01,0.3249,0.3256,0.3095,0.3189
2023-07-02,0.3189,0.3189,0.3105,0.3158
2023-07-03,0.3157,0.3238,0.3142,0.3189
2023-07-04,0.3189,0.3189,0.3135,0.3155
2023-07-05,0.316,0.3204,0.3036,0.307
2023-07-06,0.3069,0.3105,0.2977,0.3003
2023-07-07,0.2998,0.303,0.298,0.3021
2023-07-08,0.302,0.3028,0.296,0.2995
2023-07-09,0.2992,0.3951,0.298,0.386
2023-07-10,0.3857,0.4909,0.3473,0.3895
2023-07-11,0.3893,0.4029,0.3333,0.34
2023-07-12,0.3394,0.3425,0.3195,0.3221
2023-07-13,0.3219,0.3219,0.3111,0.3191
2023-07-14,0.3188,0.3285,0.3083,0.3194
2023-07-15,0.32,0.3339,0.3169,0.3254
2023-07-16,0.3261,0.3516,0.3191,0.3248
2023-07-17,0.3243,0.3333,0.3144,0.3238
2023-07-18,0.3238,0.3242,0.3066,0.3153
2023-07-19,0.3159,0.3189,0.3117,0.3151
2023-07-20,0.3156,0.3181,0.311,0.3131
2023-07-21,0.3136,0.3161,0.31,0.3136
2023-07-22,0.3136,0.32,0.3131,0.3174
2023-07-23,0.3178,0.3387,0.3172,0.3229
2023-07-24,0.3227,0.3243,0.3054,0.3109
2023-07-25,0.3109,0.3172,0.3067,0.3142
2023-07-26,0.3138,0.3178,0.311,0.3165
2023-07-27,0.3156,0.3206,0.3138,0.316
2023-07-28,0.3152,0.3245,0.3129,0.3229
2023-07-29,0.3229,0.3415,0.3222,0.3378
2023-07-30,0.3381,0.37,0.3173,0.3229
2023-07-31,0.3232,0.3394,0.3206,0.3281
2023-08-01,0.3279,0.333,0.317,0.3257
2023-08-02,0.3253,0.3269,0.3163,0.3196
2023-08-03,0.3188,0.3215,0.3161,0.3212
2023-08-04,0.3212,0.3249,0.315,0.3238
2023-08-05,0.3247,0.3248,0.3183,0.3217
2023-08-06,0.321,0.3225,0.3165,0.3177
2023-08-07,0.3181,0.3201,0.3137,0.3179
2023-08-08,0.3179,0.3254,0.3132,0.3191
2023-08-09,0.3194,0.3194,0.3147,0.317
2023-08-10,0.3165,0.3201,0.3141,0.3182
2023-08-11,0.3188,0.33,0.3173,0.3272
2023-08-12,0.3274,0.37,0.3261,0.348
2023-08-13,0.3485,0.4006,0.3421,0.3802
2023-08-14,0.3802,0.3936,0.365,0.3693
2023-08-15,0.3694,0.3945,0.3506,0.3534
2023-08-16,0.3534,0.357,0.3222,0.3252
2023-08-17,0.3241,0.371,0.2998,0.3382
2023-08-18,0.3378,0.3786,0.3183,0.3737
2023-08-19,0.3736,0.4656,0.3161,0.3555
2023-08-20,0.3556,0.4019,0.3518,0.3665
2023-08-21,0.3672,0.3938,0.3616,0.3815
2023-08-22,0.381,0.389,0.3614,0.3714
2023-08-23,0.3715,0.3838,0.365,0.3765
2023-08-24,0.3768,0.4325,0.3757,0.4261
2023-08-25,0.4264,0.4895,0.4245,0.4535
2023-08-26,0.4539,0.4668,0.415,0.442
2023-08-27,0.4436,0.4795,0.4337,0.4552
2023-08-28,0.4552,0.4692,0.4282,0.4413
2023-08-29,0.4415,0.4471,0.4201,0.432
2023-08-30,0.432,0.4459,0.3952,0.4101
2023-08-31,0.4101,0.4257,0.3978,0.4195
2023-09-01,0.4195,0.4208,0.3715,0.3908
2023-09-02,0.3908,0.51,0.37,0.4972
2023-09-03,0.4968,0.595,0.4362,0.5206
2023-09-04,0.521,0.5777,0.4901,0.5262
2023-09-05,0.5258,0.5413,0.4865,0.5117
2023-09-06,0.5121,0.5395,0.5,0.5199
2023-09-07,0.5207,0.527,0.5022,0.5215
2023-09-08,0.521,0.5481,0.5054,0.5125
2023-09-09,0.5131,0.5164,0.4991,0.5107
2023-09-10,0.5102,0.65,0.5054,0.5721
2023-09-11,0.5722,0.6029,0.5361,0.5826
2023-09-12,0.5829,0.7,0.5451,0.6239
2023-09-13,0.6242,0.81,0.6159,0.804
2023-09-14,0.8042,1.1726,0.7091,1.1225
2023-09-15,1.1225,1.7332,0.963,1.6147
2023-09-16,1.6111,2.6352,1.5081,2.322
2023-09-17,2.3195,2.4844,0.856,0.903
2023-09-18,0.9028,0.9364,0.8018,0.8683
2023-09-19,0.8689,0.9319,0.8393,0.89
2023-09-20,0.8912,0.906,0.7666,0.7976
2023-09-21,0.7976,0.8096,0.7121,0.7375
2023-09-22,0.7374,0.7632,0.6859,0.7393
2023-09-23,0.7401,0.7414,0.7064,0.7195
2023-09-24,0.7195,0.8445,0.7195,0.7601
2023-09-25,0.7599,0.7681,0.715,0.7271
2023-09-26,0.7271,0.7354,0.7165,0.7251
2023-09-27,0.725,0.7315,0.6601,0.6882
2023-09-28,0.6885,0.6944,0.671,0.6885
2023-09-29,0.6884,0.694,0.6409,0.6612
2023-09-30,0.6617,0.72,0.6609,0.6915
2023-10-01,0.6915,0.748,0.6909,0.7325
2023-10-02,0.7331,0.7446,0.6757,0.6911
2023-10-03,0.6913,0.7009,0.654,0.658
2023-10-04,0.6579,0.662,0.6172,0.6365
2023-10-05,0.6364,0.6706,0.6336,0.6638
