Date,Open,High,Low,Close
2022-12-01,0.1,5.0,0.1,2.5466
2022-12-02,2.5454,2.96,2.2624,2.4751
2022-12-03,2.4799,2.64,2.133,2.1986
2022-12-04,2.1997,2.5448,2.149,2.249
2022-12-05,2.249,2.45,2.1599,2.2602
2022-12-06,2.26,2.3701,2.1907,2.28
2022-12-07,2.28,2.4925,2.18,2.4553
2022-12-08,2.457,2.5458,2.299,2.365
2022-12-09,2.365,2.4,2.25,2.3236
2022-12-10,2.3237,3.1111,2.32,2.4903
2022-12-11,2.4884,2.5663,1.984,2.062
2022-12-12,2.0633,2.1,1.812,1.8904
2022-12-13,1.8904,1.9889,1.675,1.8015
2022-12-14,1.8014,1.911,1.7079,1.7733
2022-12-15,1.7736,1.9806,1.6718,1.8024
2022-12-16,1.8027,1.965,1.6732,1.7783
2022-12-17,1.7794,1.84,1.5004,1.6185
2022-12-18,1.6185,1.6671,1.55,1.6
2022-12-19,1.6008,1.6213,1.3568,1.385
2022-12-20,1.3849,1.473,1.3835,1.4321
2022-12-21,1.4331,1.4775,1.3596,1.4166
2022-12-22,1.4165,1.54,1.3755,1.448
2022-12-23,1.4479,1.47,1.4017,1.4295
2022-12-24,1.429,1.5164,1.41,1.4442
2022-12-25,1.4442,1.4841,1.2176,1.2535
2022-12-26,1.2554,1.32,1.2538,1.2887
2022-12-27,1.2897,1.3478,1.222,1.2496
2022-12-28,1.2475,1.2509,1.0789,1.1065
2022-12-29,1.105,1.2292,1.1031,1.1798
2022-12-30,1.1799,1.2153,1.1099,1.1725
2022-12-31,1.1724,1.2448,1.1415,1.1964
2023-01-01,1.196,1.3899,1.1863,1.3366
2023-01-02,1.3366,1.4256,1.2886,1.3236
2023-01-03,1.3241,1.3949,1.28,1.3318
2023-01-04,1.3322,1.4892,1.3075,1.4281
2023-01-05,1.4287,1.4833,1.3494,1.3597
2023-01-06,1.3604,1.371,1.2196,1.3145
2023-01-07,1.3145,1.3341,1.248,1.2785
2023-01-08,1.2788,1.3341,1.2621,1.3116
2023-01-09,1.3116,1.668,1.2931,1.4057
2023-01-10,1.4058,1.58,1.3901,1.4493
2023-01-11,1.4501,1.4819,1.3331,1.4172
2023-01-12,1.4172,1.451,1.3347,1.448
2023-01-13,1.448,1.55,1.4002,1.5003
2023-01-14,1.4998,1.76,1.475,1.6416
2023-01-15,1.6418,1.88,1.5401,1.7537
2023-01-16,1.7518,1.85,1.6397,1.7107
2023-01-17,1.7107,1.8204,1.6234,1.7081
2023-01-18,1.7067,1.8043,1.49,1.534
2023-01-19,1.5351,1.6177,1.5,1.5668
2023-01-20,1.5685,2.1061,1.5646,2.0105
2023-01-21,2.0105,2.468,1.9643,2.1393
2023-01-22,2.1391,2.4,1.9885,2.3086
2023-01-23,2.3086,3.044,2.2732,2.7964
2023-01-24,2.7957,3.268,2.409,2.5336
2023-01-25,2.5328,3.33,2.36,3.0553
2023-01-26,3.0551,3.2864,2.7629,2.8971
2023-01-27,2.8949,3.78,2.7645,3.5713
2023-01-28,3.57,3.8688,3.3123,3.4316
2023-01-29,3.432,3.652,3.1982,3.4152
2023-01-30,3.4152,3.45,2.6,2.8337
2023-01-31,2.8324,3.1229,2.7223,2.9653
2023-02-01,2.9658,3.406,2.7026,3.3874
2023-02-02,3.3881,3.5858,3.0421,3.0605
2023-02-03,3.0607,3.4,2.8908,3.2873
2023-02-04,3.2866,3.46,3.135,3.2378
2023-02-05,3.237,3.7184,2.8,3.7156
2023-02-06,3.7162,4.1,3.5001,3.6452
2023-02-07,3.6449,3.98,3.4969,3.8455
2023-02-08,3.847,4.0,3.1003,3.4154
2023-02-09,3.4151,3.4924,2.6008,2.7273
2023-02-10,2.7286,2.7812,2.4415,2.5992
2023-02-11,2.5984,2.6688,2.401,2.5896
2023-02-12,2.5906,2.7388,2.4515,2.4838
2023-02-13,2.4818,2.5027,2.1866,2.3793
2023-02-14,2.3789,2.6441,2.2684,2.6033
2023-02-15,2.6014,2.99,2.5289,2.9798
2023-02-16,2.9798,3.12,2.5602,2.5823
2023-02-17,2.5838,2.8875,2.5667,2.7763
2023-02-18,2.7754,2.98,2.6913,2.8493
2023-02-19,2.8499,2.9495,2.6339,2.6763
2023-02-20,2.6791,2.7409,2.4679,2.6227
2023-02-21,2.6229,2.73,2.4399,2.5134
2023-02-22,2.5135,2.5261,2.304,2.4686
2023-02-23,2.4697,2.6652,2.4328,2.5642
2023-02-24,2.5644,2.6176,2.2499,2.3548
2023-02-25,2.3547,2.3909,2.2008,2.3394
2023-02-26,2.34,2.4339,2.317,2.41
2023-02-27,2.41,2.4915,2.3111,2.3771
2023-02-28,2.3767,2.4261,2.2512,2.2913
2023-03-01,2.2908,2.55,2.262,2.4811
2023-03-02,2.4811,2.5101,2.3099,2.3955
2023-03-03,2.3944,2.4029,1.88,2.0534
2023-03-04,2.0524,2.0734,1.8,1.9014
2023-03-05,1.9014,1.9848,1.8848,1.929
2023-03-06,1.9287,1.9661,1.8744,1.9351
2023-03-07,1.934,2.0108,1.8437,1.9198
2023-03-08,1.9195,1.9384,1.68,1.7318
2023-03-09,1.7311,1.8234,1.5733,1.6849
2023-03-10,1.6849,1.7151,1.5555,1.6476
2023-03-11,1.6476,1.7034,1.478,1.5609
2023-03-12,1.5604,1.8,1.5108,1.7846
2023-03-13,1.7835,1.9289,1.7108,1.8773
2023-03-14,1.878,2.2695,1.8564,2.1314
2023-03-15,2.1309,2.2,1.8079,1.8867
2023-03-16,1.886,2.125,1.8334,2.0467
2023-03-17,2.0462,2.1777,1.9651,2.175
2023-03-18,2.1749,2.39,2.11,2.1908
2023-03-19,2.1907,2.4132,2.184,2.2386
2023-03-20,2.2391,2.2814,1.978,2.0024
2023-03-21,2.0032,2.1456,1.905,2.1236
2023-03-22,2.1213,2.1381,1.8495,1.9543
2023-03-23,1.9552,2.0446,1.9067,2.0084
2023-03-24,2.0084,2.0298,1.834,1.8721
2023-03-25,1.8724,1.9034,1.803,1.8364
2023-03-26,1.8379,1.9206,1.8154,1.8943
2023-03-27,1.894,1.898,1.68,1.7419
2023-03-28,1.7419,1.97,1.6941,1.9647
2023-03-29,1.9656,2.1999,1.8751,1.8959
2023-03-30,1.896,1.936,1.77,1.8135
2023-03-31,1.8133,1.8463,1.7565,1.8125
2023-04-01,1.8128,1.8659,1.8073,1.8403
2023-04-02,1.8403,1.8524,1.7453,1.7749
2023-04-03,1.7747,1.7757,1.6628,1.7413
2023-04-04,1.7414,1.775,1.7115,1.7622
2023-04-05,1.762,1.852,1.7427,1.8193
2023-04-06,1.819,1.8309,1.7238,1.7476
2023-04-07,1.7475,1.759,1.7067,1.7264
2023-04-08,1.7269,1.7491,1.6756,1.6902
2023-04-09,1.6916,1.7685,1.6703,1.7616
2023-04-10,1.7614,1.8423,1.7096,1.8315
2023-04-11,1.8315,1.8489,1.7825,1.7949
2023-04-12,1.7947,1.8,1.7,1.7444
2023-04-13,1.7444,1.9586,1.7279,1.9276
2023-04-14,1.9275,2.232,1.9126,2.173
2023-04-15,2.1731,2.1742,2.0301,2.0635
2023-04-16,2.0635,2.408,2.0221,2.3854
2023-04-17,2.3855,2.54,2.228,2.2867
2023-04-18,2.2867,2.3599,2.1786,2.2421
2023-04-19,2.2421,2.2712,1.937,1.9828
2023-04-20,1.9824,2.0027,1.8386,1.879
2023-04-21,1.879,2.0391,1.8164,1.8672
2023-04-22,1.8685,1.9958,1.8022,1.9649
2023-04-23,1.9648,1.9788,1.8225,1.8791
2023-04-24,1.8785,1.9498,1.8277,1.897
2023-04-25,1.898,1.9391,1.8031,1.9309
2023-04-26,1.9313,2.0725,1.81,1.9722
2023-04-27,1.9733,2.0978,1.9212,2.0289
2023-04-28,2.0287,2.1093,1.9559,1.9947
2023-04-29,1.9947,2.0691,1.9112,1.9292
2023-04-30,1.9292,1.95,1.861,1.8912
2023-05-01,1.8913,1.9061,1.7717,1.8068
2023-05-02,1.8073,1.881,1.7758,1.857
2023-05-03,1.8571,1.883,1.737,1.8673
2023-05-04,1.8676,1.8698,1.7614,1.7902
2023-05-05,1.7902,1.8151,1.748,1.7908
2023-05-06,1.79,1.807,1.5642,1.6208
2023-05-07,1.6201,1.6452,1.593,1.6072
2023-05-08,1.6073,1.624,1.3719,1.4338
2023-05-09,1.4339,1.4414,1.3811,1.4121
2023-05-10,1.4121,1.4852,1.3634,1.4773
2023-05-11,1.4766,1.4766,1.3,1.3322
2023-05-12,1.3324,1.4301,1.2802,1.4297
2023-05-13,1.4289,1.4294,1.382,1.3941
2023-05-14,1.3935,1.4777,1.3664,1.4537
2023-05-15,1.4541,1.4839,1.4252,1.4511
2023-05-16,1.4511,1.4762,1.4257,1.4665
2023-05-17,1.4666,1.5525,1.414,1.5304
2023-05-18,1.5305,1.545,1.4565,1.5144
2023-05-19,1.5149,1.5733,1.4843,1.5455
2023-05-20,1.5456,1.55,1.5047,1.5166
2023-05-21,1.5166,1.5182,1.4203,1.4364
2023-05-22,1.4353,1.4658,1.4,1.4466
2023-05-23,1.4466,1.4874,1.4301,1.4593
2023-05-24,1.4605,1.4606,1.3453,1.3883
2023-05-25,1.3882,1.4193,1.3404,1.3984
2023-05-26,1.3985,1.4294,1.3783,1.4155
2023-05-27,1.416,1.4311,1.4051,1.4227
2023-05-28,1.4228,1.5272,1.4149,1.5038
2023-05-29,1.5043,1.5444,1.454,1.4708
2023-05-30,1.4715,1.51,1.4364,1.4612
2023-05-31,1.4612,1.48,1.3693,1.3886
2023-06-01,1.3886,1.5013,1.3617,1.4407
2023-06-02,1.4401,1.5179,1.409,1.4949
2023-06-03,1.4949,1.5019,1.4445,1.4585
2023-06-04,1.4584,1.4902,1.4453,1.4593
2023-06-05,1.4587,1.4706,1.2151,1.2763
2023-06-06,1.2763,1.3437,1.2453,1.3304
2023-06-07,1.3305,1.3399,1.202,1.2151
2023-06-08,1.2143,1.2629,1.1776,1.2405
2023-06-09,1.2404,1.2425,1.1574,1.1841
2023-06-10,1.1843,1.1848,0.86,0.9176
2023-06-11,0.9175,1.0894,0.8939,0.9271
2023-06-12,0.9271,0.9934,0.8805,0.9608
2023-06-13,0.9606,1.0088,0.9416,0.973
2023-06-14,0.9725,0.9908,0.9061,0.9332
2023-06-15,0.933,0.969,0.921,0.9493
2023-06-16,0.9488,0.9784,0.9168,0.9626
2023-06-17,0.9626,1.0414,0.9517,1.0206
2023-06-18,1.0202,1.024,0.975,0.9855
2023-06-19,0.9854,1.0009,0.959,0.9973
2023-06-20,0.9973,1.0506,0.9465,1.0452
2023-06-21,1.0453,1.155,1.0357,1.1258
2023-06-22,1.1259,1.1854,1.093,1.1039
2023-06-23,1.1044,1.1731,1.0821,1.1446
2023-06-24,1.1443,1.1601,1.0581,1.0915
2023-06-25,1.0918,1.1779,1.0876,1.1437
2023-06-26,1.1436,1.1985,1.1029,1.1439
2023-06-27,1.144,1.2145,1.1333,1.155
2023-06-28,1.154,1.1555,1.0254,1.0601
2023-06-29,1.0603,1.1104,1.0496,1.0967
2023-06-30,1.0976,1.177,1.0035,1.1437
2023-07-01,1.1435,1.32,1.1296,1.2294
2023-07-02,1.2294,1.2668,1.2004,1.2501
2023-07-03,1.25,1.4342,1.2347,1.3468
2023-07-04,1.3468,1.3624,1.228,1.2566
2023-07-05,1.2574,1.3286,1.2085,1.287
2023-07-06,1.2862,1.3248,1.1672,1.1693
2023-07-07,1.1691,1.1828,1.1339,1.1676
2023-07-08,1.167,1.1889,1.1286,1.1689
2023-07-09,1.1689,1.1807,1.1268,1.1333
2023-07-10,1.1335,1.1378,1.0759,1.1062
2023-07-11,1.1057,1.1196,1.0635,1.0874
2023-07-12,1.0876,1.0972,1.0504,1.0714
2023-07-13,1.0716,1.1895,1.0467,1.1862
2023-07-14,1.1864,1.2108,1.078,1.123
2023-07-15,1.123,1.1296,1.0934,1.1089
2023-07-16,1.1089,1.1173,1.0211,1.032
2023-07-17,1.0314,1.0692,1.0181,1.0599
2023-07-18,1.0595,1.0832,1.0159,1.0389
2023-07-19,1.0388,1.0738,1.0284,1.0365
2023-07-20,1.0365,1.0676,1.0251,1.0452
2023-07-21,1.0451,1.061,1.0332,1.043
2023-07-22,1.043,1.0617,1.0112,1.023
2023-07-23,1.023,1.0542,1.0156,1.0416
2023-07-24,1.0415,1.0454,0.93,0.95
2023-07-25,0.9503,0.9681,0.9402,0.9491
2023-07-26,0.9495,0.9753,0.9257,0.9556
2023-07-27,0.9554,0.9815,0.9393,0.9552
2023-07-28,0.955,0.9755,0.942,0.9705
2023-07-29,0.9703,0.9766,0.948,0.9656
2023-07-30,0.9658,0.9678,0.9012,0.935
2023-07-31,0.935,0.9477,0.9222,0.9356
2023-08-01,0.936,0.9566,0.9015,0.9554
2023-08-02,0.9556,0.9575,0.9084,0.9277
