Date,Open,High,Low,Close
2021-11-22,0.1451,0.3649,0.1451,0.2366
2021-11-23,0.2366,0.2446,0.1955,0.201
2021-11-24,0.2011,0.205,0.1726,0.1876
2021-11-25,0.1874,0.245,0.1726,0.2055
2021-11-26,0.2055,0.2111,0.1652,0.1721
2021-11-27,0.172,0.1899,0.1703,0.1764
2021-11-28,0.1764,0.1765,0.16,0.1695
2021-11-29,0.1693,0.1745,0.1662,0.1679
2021-11-30,0.168,0.1693,0.1619,0.166
2021-12-01,0.1661,0.1721,0.1637,0.1673
2021-12-02,0.1674,0.1868,0.1642,0.1762
2021-12-03,0.176,0.185,0.1619,0.1621
2021-12-04,0.1621,0.1689,0.09,0.1397
2021-12-05,0.1398,0.1405,0.126,0.1316
2021-12-06,0.1318,0.1334,0.1037,0.1264
2021-12-07,0.1264,0.1291,0.1134,0.1168
2021-12-08,0.1168,0.1235,0.112,0.1199
2021-12-09,0.1199,0.1212,0.1016,0.1035
2021-12-10,0.1035,0.1072,0.095,0.0952
2021-12-11,0.0952,0.105,0.09,0.1017
2021-12-12,0.1018,0.1019,0.0933,0.0982
2021-12-13,0.0981,0.0981,0.0819,0.0843
2021-12-14,0.0843,0.0903,0.0821,0.0868
2021-12-15,0.0867,0.0929,0.0849,0.0927
2021-12-16,0.0927,0.0948,0.0808,0.081
2021-12-17,0.0811,0.0854,0.0676,0.0715
2021-12-18,0.0717,0.0731,0.0688,0.0728
2021-12-19,0.0728,0.0793,0.0699,0.0708
2021-12-20,0.0708,0.0711,0.0611,0.0652
2021-12-21,0.0653,0.1215,0.0651,0.0981
2021-12-22,0.0981,0.1042,0.0854,0.0877
2021-12-23,0.0877,0.096,0.0819,0.0899
2021-12-24,0.0899,0.0916,0.0826,0.0828
2021-12-25,0.0829,0.0948,0.0809,0.088
2021-12-26,0.088,0.093,0.0827,0.0877
2021-12-27,0.0877,0.0885,0.0831,0.0844
2021-12-28,0.0843,0.0843,0.0727,0.0754
2021-12-29,0.0754,0.0796,0.071,0.0723
2021-12-30,0.0723,0.0912,0.0701,0.0789
2021-12-31,0.079,0.0982,0.0783,0.0852
2022-01-01,0.0852,0.0948,0.0841,0.0862
2022-01-02,0.0862,0.0877,0.083,0.0843
2022-01-03,0.0843,0.093,0.0834,0.0855
2022-01-04,0.0855,0.0865,0.0822,0.0839
2022-01-05,0.0839,0.0846,0.0714,0.0767
2022-01-06,0.0767,0.0798,0.0719,0.0768
2022-01-07,0.0767,0.0793,0.072,0.0749
2022-01-08,0.0749,0.0772,0.0691,0.0731
2022-01-09,0.0731,0.0747,0.0705,0.0721
2022-01-10,0.072,0.0745,0.067,0.0688
2022-01-11,0.0689,0.0725,0.0677,0.0707
2022-01-12,0.0706,0.075,0.07,0.073
2022-01-13,0.073,0.0735,0.0692,0.0695
2022-01-14,0.0695,0.0746,0.0676,0.0707
2022-01-15,0.0707,0.0723,0.0689,0.0702
2022-01-16,0.0702,0.0717,0.0699,0.0706
2022-01-17,0.0706,0.0709,0.0657,0.0664
2022-01-18,0.0664,0.0678,0.0636,0.0649
2022-01-19,0.0649,0.0849,0.0646,0.0717
2022-01-20,0.0716,0.0729,0.067,0.0679
2022-01-21,0.0678,0.071,0.053,0.0552
2022-01-22,0.0551,0.0561,0.0459,0.0505
2022-01-23,0.0505,0.0532,0.0493,0.0518
2022-01-24,0.0518,0.0521,0.0439,0.0501
2022-01-25,0.0501,0.0513,0.0472,0.0497
2022-01-26,0.0498,0.0513,0.0462,0.0471
2022-01-27,0.0472,0.0484,0.0443,0.0464
2022-01-28,0.0464,0.0478,0.0447,0.0472
2022-01-29,0.0472,0.0548,0.0464,0.0506
