Date,Open,High,Low,Close
2020-08-11,0.07367,0.096,0.06364,0.06895
2020-08-12,0.06916,0.08498,0.0678,0.07666
2020-08-13,0.07667,0.079,0.06828,0.06955
2020-08-14,0.0698,0.087,0.06887,0.07166
2020-08-15,0.07167,0.0725,0.06781,0.07104
2020-08-16,0.07095,0.07529,0.06901,0.07374
2020-08-17,0.07341,0.08,0.07178,0.07417
2020-08-18,0.07436,0.07483,0.06612,0.0675
2020-08-19,0.06749,0.06794,0.05781,0.06004
2020-08-20,0.06002,0.06232,0.05895,0.06098
2020-08-21,0.0611,0.06386,0.04656,0.04799
2020-08-22,0.048,0.0516,0.04313,0.05
2020-08-23,0.04996,0.05757,0.047,0.05299
2020-08-24,0.05294,0.0641,0.05131,0.064
2020-08-25,0.06408,0.06408,0.05206,0.05602
2020-08-26,0.05606,0.0606,0.05405,0.0593
2020-08-27,0.05926,0.0593,0.05088,0.05458
2020-08-28,0.05463,0.0585,0.0534,0.05683
2020-08-29,0.05684,0.058,0.05371,0.05433
2020-08-30,0.05433,0.06465,0.05384,0.0597
2020-08-31,0.05958,0.06212,0.05775,0.05885
2020-09-01,0.059,0.05941,0.05482,0.05767
2020-09-02,0.05755,0.063,0.05488,0.06068
2020-09-03,0.06071,0.07273,0.05505,0.05638
2020-09-04,0.05623,0.05633,0.04266,0.04903
2020-09-05,0.04908,0.05019,0.03602,0.03783
2020-09-06,0.03789,0.04189,0.03125,0.04004
2020-09-07,0.04008,0.041,0.03432,0.03955
2020-09-08,0.03949,0.04205,0.03673,0.03962
2020-09-09,0.03959,0.04212,0.03804,0.04103
2020-09-10,0.04103,0.04432,0.04065,0.0431
2020-09-11,0.0431,0.0433,0.03983,0.04217
2020-09-12,0.04215,0.04218,0.03992,0.04111
2020-09-13,0.04114,0.04195,0.03736,0.03897
2020-09-14,0.03895,0.04024,0.03789,0.03912
2020-09-15,0.03912,0.03968,0.03728,0.03754
2020-09-16,0.03755,0.04494,0.033,0.04112
2020-09-17,0.04111,0.04379,0.04012,0.04338
2020-09-18,0.04338,0.04548,0.04182,0.04345
2020-09-19,0.04339,0.04539,0.043,0.0434
2020-09-20,0.04341,0.04354,0.0403,0.04134
2020-09-21,0.04136,0.04198,0.03681,0.03809
2020-09-22,0.03802,0.03885,0.03662,0.03733
2020-09-23,0.03734,0.03829,0.03576,0.03618
2020-09-24,0.03619,0.03876,0.03592,0.03875
2020-09-25,0.03878,0.04041,0.0379,0.0395
2020-09-26,0.03959,0.04169,0.03875,0.0394
2020-09-27,0.03937,0.03983,0.03714,0.03855
2020-09-28,0.03858,0.03982,0.03825,0.03834
2020-09-29,0.03827,0.03923,0.03657,0.03783
2020-09-30,0.0378,0.03783,0.03507,0.03552
2020-10-01,0.03555,0.03618,0.03414,0.03463
2020-10-02,0.03459,0.03492,0.03216,0.03363
2020-10-03,0.03372,0.03492,0.03333,0.03337
2020-10-04,0.03334,0.03372,0.03196,0.03274
2020-10-05,0.03272,0.03309,0.0319,0.03288
2020-10-06,0.03289,0.033,0.02923,0.02923
2020-10-07,0.02923,0.02926,0.02633,0.02788
2020-10-08,0.02783,0.0292,0.02707,0.02886
2020-10-09,0.02887,0.02996,0.02817,0.02984
2020-10-10,0.02983,0.03046,0.02931,0.02963
2020-10-11,0.02962,0.02976,0.02865,0.02888
2020-10-12,0.0289,0.03032,0.02846,0.02946
2020-10-13,0.02949,0.02989,0.02844,0.02902
2020-10-14,0.02902,0.02904,0.02749,0.02819
2020-10-15,0.02819,0.02826,0.02709,0.02759
2020-10-16,0.02762,0.02762,0.02578,0.02614
2020-10-17,0.02615,0.02622,0.02574,0.02586
2020-10-18,0.02586,0.0263,0.02579,0.02602
2020-10-19,0.02604,0.0269,0.02586,0.02657
2020-10-20,0.02657,0.02801,0.02501,0.02543
2020-10-21,0.02542,0.02635,0.02525,0.0256
2020-10-22,0.02563,0.02625,0.02559,0.02603
2020-10-23,0.02603,0.02613,0.02534,0.0256
2020-10-24,0.0256,0.02609,0.02535,0.02577
2020-10-25,0.02576,0.0267,0.0256,0.02659
2020-10-26,0.0266,0.02708,0.02586,0.02618
2020-10-27,0.02616,0.0266,0.0259,0.02622
2020-10-28,0.02624,0.02646,0.02489,0.02559
2020-10-29,0.0256,0.02583,0.02356,0.0245
2020-10-30,0.02447,0.0246,0.02163,0.02213
2020-10-31,0.02209,0.02335,0.02174,0.02227
2020-11-01,0.02224,0.02265,0.02179,0.02219
2020-11-02,0.02216,0.02317,0.01937,0.01984
2020-11-03,0.01985,0.02026,0.01823,0.01886
2020-11-04,0.01889,0.0189,0.01789,0.01829
2020-11-05,0.01829,0.01887,0.01743,0.01832
2020-11-06,0.01836,0.01978,0.01829,0.01977
2020-11-07,0.01979,0.02221,0.01888,0.01974
