Date,Open,High,Low,Close
2020-06-12,1.154,1.345,1.122,1.279
2020-06-13,1.282,1.296,1.171,1.203
2020-06-14,1.204,1.249,1.121,1.171
2020-06-15,1.171,1.218,1.051,1.165
2020-06-16,1.165,1.267,1.141,1.256
2020-06-17,1.255,1.256,1.162,1.195
2020-06-18,1.193,1.197,1.14,1.151
2020-06-19,1.151,1.224,1.142,1.195
2020-06-20,1.193,1.303,1.19,1.289
2020-06-21,1.294,1.303,1.219,1.228
2020-06-22,1.228,1.277,1.21,1.246
2020-06-23,1.243,1.252,1.168,1.205
2020-06-24,1.202,1.225,1.152,1.176
2020-06-25,1.176,1.18,1.1,1.154
2020-06-26,1.154,1.203,1.14,1.16
2020-06-27,1.16,1.177,1.001,1.065
2020-06-28,1.065,1.132,1.044,1.097
2020-06-29,1.1,1.201,1.077,1.173
2020-06-30,1.173,1.239,1.16,1.21
2020-07-01,1.207,1.353,1.192,1.339
2020-07-02,1.336,1.557,1.334,1.532
2020-07-03,1.532,1.985,1.517,1.858
2020-07-04,1.856,1.865,1.59,1.655
2020-07-05,1.656,1.764,1.552,1.607
2020-07-06,1.607,1.789,1.571,1.671
2020-07-07,1.671,1.715,1.56,1.584
2020-07-08,1.587,1.676,1.561,1.586
2020-07-09,1.586,1.738,1.567,1.671
2020-07-10,1.671,1.674,1.575,1.618
2020-07-11,1.616,1.671,1.58,1.643
2020-07-12,1.643,1.67,1.583,1.613
2020-07-13,1.611,1.68,1.442,1.524
2020-07-14,1.526,1.6,1.464,1.6
2020-07-15,1.595,1.677,1.566,1.585
2020-07-16,1.584,1.631,1.496,1.573
2020-07-17,1.572,1.641,1.549,1.637
2020-07-18,1.636,1.92,1.635,1.826
2020-07-19,1.827,1.836,1.678,1.691
2020-07-20,1.692,1.785,1.591,1.635
2020-07-21,1.633,1.706,1.603,1.656
2020-07-22,1.656,1.692,1.62,1.64
2020-07-23,1.64,1.667,1.573,1.602
2020-07-24,1.603,1.629,1.537,1.587
2020-07-25,1.587,1.65,1.534,1.537
2020-07-26,1.539,1.593,1.438,1.511
2020-07-27,1.512,1.536,1.257,1.375
2020-07-28,1.374,1.514,1.364,1.463
2020-07-29,1.463,1.504,1.388,1.419
2020-07-30,1.418,1.511,1.405,1.443
2020-07-31,1.444,1.505,1.432,1.467
2020-08-01,1.467,1.538,1.448,1.48
2020-08-02,1.478,1.506,1.184,1.411
2020-08-03,1.414,1.441,1.374,1.391
2020-08-04,1.39,1.5,1.38,1.482
2020-08-05,1.482,1.606,1.481,1.527
2020-08-06,1.525,1.657,1.497,1.603
2020-08-07,1.603,1.638,1.439,1.527
2020-08-08,1.526,1.737,1.509,1.682
2020-08-09,1.684,1.825,1.62,1.787
2020-08-10,1.786,1.805,1.587,1.715
2020-08-11,1.713,1.727,1.5,1.61
2020-08-12,1.608,1.73,1.544,1.683
2020-08-13,1.683,1.99,1.597,1.746
2020-08-14,1.745,2.048,1.702,1.876
2020-08-15,1.876,1.99,1.788,1.842
2020-08-16,1.84,1.938,1.796,1.877
2020-08-17,1.879,1.946,1.748,1.772
2020-08-18,1.774,1.815,1.617,1.669
2020-08-19,1.672,1.729,1.486,1.591
2020-08-20,1.593,1.809,1.553,1.71
2020-08-21,1.711,1.923,1.65,1.65
2020-08-22,1.65,1.75,1.555,1.721
2020-08-23,1.723,1.775,1.64,1.708
2020-08-24,1.714,1.73,1.66,1.684
2020-08-25,1.685,1.697,1.531,1.586
2020-08-26,1.587,1.649,1.558,1.627
2020-08-27,1.629,1.646,1.494,1.549
2020-08-28,1.551,1.629,1.514,1.588
2020-08-29,1.588,1.707,1.548,1.653
2020-08-30,1.652,1.795,1.644,1.706
2020-08-31,1.707,1.846,1.703,1.802
2020-09-01,1.804,1.858,1.728,1.743
2020-09-02,1.739,1.754,1.565,1.659
2020-09-03,1.658,1.671,1.222,1.266
2020-09-04,1.265,1.411,1.237,1.338
2020-09-05,1.338,1.393,1.047,1.181
2020-09-06,1.181,1.319,1.101,1.299
2020-09-07,1.299,1.338,1.14,1.246
2020-09-08,1.249,1.253,1.132,1.179
2020-09-09,1.18,1.246,1.151,1.222
2020-09-10,1.221,1.275,1.201,1.237
2020-09-11,1.239,1.243,1.181,1.227
2020-09-12,1.228,1.327,1.208,1.324
2020-09-13,1.324,1.34,1.179,1.226
2020-09-14,1.225,1.247,1.178,1.221
2020-09-15,1.221,1.239,1.162,1.172
2020-09-16,1.171,1.187,1.109,1.157
2020-09-17,1.158,1.198,1.112,1.118
2020-09-18,1.118,1.14,1.03,1.06
2020-09-19,1.059,1.073,1.01,1.057
2020-09-20,1.056,1.102,0.991,1.011
2020-09-21,1.01,1.032,0.859,0.905
2020-09-22,0.908,0.973,0.874,0.942
2020-09-23,0.941,0.947,0.854,0.858
2020-09-24,0.858,0.943,0.852,0.94
2020-09-25,0.938,1.025,0.904,0.98
2020-09-26,0.979,1.068,0.975,1.022
2020-09-27,1.023,1.044,0.958,1.008
2020-09-28,1.007,1.06,0.977,0.992
2020-09-29,0.992,1.012,0.95,0.99
