Date,Open,High,Low,Close
2020-02-07,0.05644,0.15199,0.05644,0.12679
2020-02-08,0.12567,0.12883,0.09501,0.09711
2020-02-09,0.09711,0.09786,0.078,0.08015
2020-02-10,0.08015,0.085,0.07153,0.07348
2020-02-11,0.0736,0.0798,0.072,0.07308
2020-02-12,0.07341,0.08993,0.0725,0.081
2020-02-13,0.08156,0.08591,0.0735,0.07486
2020-02-14,0.07473,0.08149,0.07435,0.077
2020-02-15,0.07739,0.08389,0.072,0.07277
2020-02-16,0.07277,0.07487,0.06003,0.06421
2020-02-17,0.06411,0.06595,0.05737,0.06155
2020-02-18,0.06224,0.06546,0.0598,0.06438
2020-02-19,0.06395,0.07235,0.05873,0.05873
2020-02-20,0.05874,0.0682,0.0583,0.06135
2020-02-21,0.06129,0.068,0.06085,0.06459
2020-02-22,0.0642,0.06657,0.06153,0.06289
2020-02-23,0.06286,0.06564,0.06217,0.06366
2020-02-24,0.06366,0.06383,0.05393,0.05504
2020-02-25,0.05468,0.05695,0.04837,0.04916
2020-02-26,0.04892,0.04913,0.03632,0.0436
2020-02-27,0.0436,0.0525,0.04117,0.04879
2020-02-28,0.04875,0.04949,0.04074,0.04596
2020-02-29,0.04596,0.04698,0.04213,0.04213
2020-03-01,0.0423,0.04599,0.04116,0.04248
2020-03-02,0.04227,0.04944,0.04178,0.04776
2020-03-03,0.04776,0.04911,0.04418,0.04601
2020-03-04,0.04606,0.06321,0.046,0.0591
2020-03-05,0.05905,0.07,0.05622,0.06886
2020-03-06,0.06854,0.07365,0.06013,0.07192
2020-03-07,0.0714,0.08474,0.06906,0.07386
2020-03-08,0.07387,0.078,0.06111,0.06265
2020-03-09,0.06265,0.068,0.05237,0.06235
2020-03-10,0.06266,0.07799,0.06235,0.07575
2020-03-11,0.07575,0.07611,0.0575,0.06752
2020-03-12,0.06692,0.06851,0.02407,0.0265
2020-03-13,0.02659,0.03907,0.02001,0.03355
2020-03-14,0.03349,0.03726,0.02906,0.03041
2020-03-15,0.0304,0.03363,0.02859,0.0303
2020-03-16,0.02975,0.0299,0.02105,0.02509
2020-03-17,0.02509,0.02963,0.02323,0.0275
2020-03-18,0.02746,0.02936,0.02415,0.02664
2020-03-19,0.02664,0.03224,0.02634,0.03112
2020-03-20,0.03112,0.03556,0.02566,0.02929
2020-03-21,0.0289,0.031,0.02717,0.02922
2020-03-22,0.029,0.03013,0.0255,0.02591
2020-03-23,0.0255,0.032,0.02487,0.03071
2020-03-24,0.03071,0.03175,0.02973,0.03091
2020-03-25,0.03067,0.03612,0.02973,0.03456
2020-03-26,0.03466,0.0383,0.0325,0.03397
2020-03-27,0.03405,0.03422,0.02986,0.0299
2020-03-28,0.0299,0.03039,0.02808,0.03021
2020-03-29,0.0302,0.03279,0.02808,0.02808
2020-03-30,0.02825,0.03398,0.02804,0.03199
2020-03-31,0.03197,0.03312,0.03141,0.03191
2020-04-01,0.03154,0.03273,0.02971,0.0325
2020-04-02,0.03267,0.03898,0.03217,0.03645
2020-04-03,0.0362,0.04125,0.035,0.03615
2020-04-04,0.03615,0.03922,0.03559,0.03695
2020-04-05,0.03694,0.03695,0.03449,0.0356
2020-04-06,0.03557,0.04017,0.03555,0.03983
2020-04-07,0.04009,0.04087,0.03636,0.0372
2020-04-08,0.03738,0.0432,0.03693,0.0432
2020-04-09,0.04317,0.04346,0.0385,0.04219
2020-04-10,0.04257,0.04257,0.03432,0.03634
2020-04-11,0.03634,0.03914,0.03535,0.03667
2020-04-12,0.03644,0.03916,0.03548,0.03703
2020-04-13,0.03703,0.03714,0.03484,0.0362
2020-04-14,0.03628,0.0395,0.03583,0.03923
2020-04-15,0.03917,0.03932,0.03546,0.03666
2020-04-16,0.03666,0.04,0.03468,0.03892
2020-04-17,0.03953,0.04327,0.03844,0.0405
2020-04-18,0.04095,0.04645,0.04047,0.04549
2020-04-19,0.0453,0.04798,0.0411,0.04332
2020-04-20,0.04332,0.04456,0.03786,0.03897
2020-04-21,0.03897,0.0417,0.0381,0.03898
2020-04-22,0.03898,0.04278,0.03825,0.0415
2020-04-23,0.04161,0.04338,0.04015,0.04107
2020-04-24,0.04085,0.04428,0.04054,0.0415
2020-04-25,0.04135,0.04369,0.04001,0.04246
2020-04-26,0.04226,0.04457,0.04108,0.0421
2020-04-27,0.04241,0.0442,0.04199,0.04331
2020-04-28,0.04331,0.04429,0.04255,0.04422
2020-04-29,0.04425,0.04502,0.04168,0.04336
2020-04-30,0.04336,0.04644,0.0415,0.04525
2020-05-01,0.04538,0.04577,0.03947,0.04495
2020-05-02,0.04472,0.04549,0.04365,0.04425
2020-05-03,0.04425,0.04454,0.04133,0.04318
2020-05-04,0.04319,0.0432,0.04012,0.042
2020-05-05,0.042,0.04355,0.04057,0.04281
2020-05-06,0.0428,0.04398,0.04049,0.04049
2020-05-07,0.04047,0.04116,0.03775,0.04033
2020-05-08,0.03983,0.04195,0.03911,0.04012
2020-05-09,0.04011,0.04235,0.03963,0.0405
2020-05-10,0.04055,0.04055,0.03432,0.03755
2020-05-11,0.03755,0.03827,0.03379,0.03603
2020-05-12,0.03587,0.03984,0.03339,0.03775
2020-05-13,0.03775,0.03808,0.0362,0.03696
2020-05-14,0.0372,0.0409,0.03536,0.0409
2020-05-15,0.0409,0.0409,0.03654,0.03773
2020-05-16,0.03772,0.03803,0.03651,0.03706
2020-05-17,0.037,0.03767,0.03651,0.03652
2020-05-18,0.03682,0.03933,0.03555,0.03916
