Date,Open,High,Low,Close
2019-08-13,0.0005,0.0005,0.0002,0.0004822
2019-08-14,0.0004821,0.0004921,0.0004288,0.0004367
2019-08-15,0.0004389,0.0004446,0.0004,0.0004229
2019-08-16,0.0004184,0.0004276,0.0004,0.0004198
2019-08-17,0.0004145,0.00042,0.0004086,0.0004151
2019-08-18,0.0004168,0.0004291,0.0004086,0.000417
2019-08-19,0.000417,0.0004373,0.000417,0.0004371
2019-08-20,0.0004372,0.0004392,0.00042,0.0004283
2019-08-21,0.0004315,0.0004315,0.0004007,0.000415
2019-08-22,0.0004153,0.0004387,0.0004051,0.0004338
2019-08-23,0.0004337,0.0004488,0.0004271,0.0004404
2019-08-24,0.0004399,0.0004399,0.00042,0.0004383
2019-08-25,0.0004382,0.0004399,0.0004215,0.000431
2019-08-26,0.0004313,0.0004379,0.0004189,0.0004314
2019-08-27,0.0004313,0.0004315,0.0004142,0.0004175
2019-08-28,0.0004199,0.0004214,0.0003844,0.000394
2019-08-29,0.0003911,0.0003924,0.0003716,0.0003832
2019-08-30,0.0003835,0.000394,0.0003751,0.0003933
2019-08-31,0.0003928,0.0003973,0.0003844,0.0003898
2019-09-01,0.0003898,0.000399,0.0003808,0.0003893
2019-09-02,0.0003897,0.0003975,0.0003797,0.0003934
2019-09-03,0.0003913,0.0003934,0.0003791,0.000384
2019-09-04,0.0003833,0.0003853,0.0003663,0.0003771
2019-09-05,0.0003736,0.000398,0.0003608,0.000364
2019-09-06,0.0003607,0.0003685,0.0003454,0.0003506
2019-09-07,0.0003503,0.000375,0.0003494,0.0003602
2019-09-08,0.0003632,0.0003766,0.0003561,0.00037
2019-09-09,0.00037,0.000385,0.0003597,0.000371
2019-09-10,0.000373,0.0003777,0.0003578,0.0003602
2019-09-11,0.0003603,0.0003647,0.0003451,0.0003501
2019-09-12,0.00035,0.0003547,0.000345,0.0003509
2019-09-13,0.0003509,0.000354,0.0003482,0.0003517
2019-09-14,0.000354,0.0003551,0.0003404,0.000354
2019-09-15,0.0003544,0.0003565,0.0003498,0.0003511
2019-09-16,0.000353,0.000356,0.0003318,0.0003464
2019-09-17,0.0003464,0.0003513,0.0003373,0.0003476
2019-09-18,0.0003476,0.0003817,0.0003451,0.0003704
2019-09-19,0.0003703,0.0003704,0.0003442,0.0003563
2019-09-20,0.000356,0.0003604,0.0003506,0.0003552
2019-09-21,0.0003569,0.0003605,0.0003434,0.0003509
2019-09-22,0.000351,0.0003649,0.0003357,0.0003452
2019-09-23,0.0003429,0.000345,0.0003202,0.0003259
2019-09-24,0.0003259,0.0003342,0.0002541,0.0002594
2019-09-25,0.0002589,0.0002885,0.00025,0.0002644
2019-09-26,0.0002647,0.0002947,0.0002532,0.0002704
2019-09-27,0.0002707,0.0002864,0.000269,0.0002824
2019-09-28,0.0002824,0.0002914,0.000279,0.0002905
2019-09-29,0.0002904,0.0002959,0.0002711,0.0002777
