Date,Open,High,Low,Close
2021-12-23,0.138,0.2,0.138,0.1681
2021-12-24,0.1681,0.18,0.151,0.1575
2021-12-25,0.1575,0.1631,0.1406,0.1468
2021-12-26,0.1466,0.1546,0.141,0.1482
2021-12-27,0.1484,0.1574,0.1449,0.1479
2021-12-28,0.1479,0.1481,0.12,0.1251
2021-12-29,0.1252,0.1325,0.112,0.1136
2021-12-30,0.1135,0.1345,0.105,0.1242
2021-12-31,0.1244,0.1344,0.112,0.1177
2022-01-01,0.1179,0.1261,0.1178,0.1249
2022-01-02,0.1249,0.1254,0.1161,0.1208
2022-01-03,0.1208,0.1408,0.1183,0.1235
2022-01-04,0.1236,0.127,0.117,0.1192
2022-01-05,0.1191,0.122,0.0897,0.1017
2022-01-06,0.1013,0.1079,0.0919,0.1019
2022-01-07,0.1017,0.1115,0.0904,0.1004
2022-01-08,0.1004,0.1051,0.09,0.0944
2022-01-09,0.0944,0.0991,0.0853,0.0897
2022-01-10,0.0898,0.0917,0.0729,0.0772
2022-01-11,0.0772,0.0807,0.0713,0.077
2022-01-12,0.077,0.0875,0.0768,0.0819
2022-01-13,0.0819,0.0882,0.0773,0.0793
2022-01-14,0.0794,0.0811,0.0724,0.079
2022-01-15,0.079,0.0798,0.0751,0.0756
2022-01-16,0.0757,0.084,0.0733,0.0799
2022-01-17,0.08,0.0807,0.0644,0.0676
2022-01-18,0.0675,0.0686,0.0606,0.0631
2022-01-19,0.0631,0.0656,0.0565,0.0575
2022-01-20,0.0576,0.0639,0.0519,0.0529
2022-01-21,0.0528,0.0546,0.0385,0.0417
2022-01-22,0.0417,0.0438,0.0322,0.0376
2022-01-23,0.0376,0.0419,0.034,0.0375
2022-01-24,0.0375,0.0398,0.0305,0.0376
2022-01-25,0.0375,0.0416,0.0363,0.04
2022-01-26,0.0401,0.0486,0.0383,0.0439
2022-01-27,0.0439,0.0549,0.0415,0.0541
2022-01-28,0.0542,0.0573,0.0497,0.0567
2022-01-29,0.0567,0.0956,0.0545,0.0907
2022-01-30,0.0908,0.0989,0.0742,0.0774
2022-01-31,0.0774,0.1006,0.07,0.0975
2022-02-01,0.0974,0.1048,0.0826,0.0861
2022-02-02,0.0861,0.0941,0.0756,0.0786
2022-02-03,0.0785,0.0859,0.0712,0.0779
2022-02-04,0.0779,0.0848,0.0754,0.0798
2022-02-05,0.0798,0.1146,0.078,0.1089
2022-02-06,0.1089,0.114,0.0885,0.0929
2022-02-07,0.093,0.1,0.0864,0.0901
2022-02-08,0.0901,0.0915,0.0767,0.0799
2022-02-09,0.0799,0.0873,0.0795,0.086
2022-02-10,0.0861,0.0899,0.0718,0.0744
2022-02-11,0.0744,0.0793,0.0632,0.0654
2022-02-12,0.0654,0.075,0.0613,0.0682
2022-02-13,0.0682,0.072,0.0617,0.0626
2022-02-14,0.0626,0.0711,0.0596,0.0688
2022-02-15,0.0687,0.075,0.0682,0.0729
2022-02-16,0.073,0.0743,0.0662,0.0695
2022-02-17,0.0695,0.071,0.0598,0.0608
2022-02-18,0.0607,0.0632,0.058,0.0602
2022-02-19,0.0602,0.0638,0.0582,0.0593
2022-02-20,0.0593,0.0597,0.0511,0.0531
2022-02-21,0.0532,0.0571,0.047,0.0474
2022-02-22,0.0475,0.0506,0.0459,0.0502
2022-02-23,0.0502,0.0546,0.0472,0.0476
2022-02-24,0.0475,0.0555,0.0405,0.0532
2022-02-25,0.0531,0.0706,0.0519,0.0696
2022-02-26,0.0697,0.0746,0.0666,0.0712
2022-02-27,0.0712,0.0726,0.0591,0.0605
2022-02-28,0.0604,0.072,0.0582,0.0703
2022-03-01,0.0704,0.0764,0.0665,0.0703
2022-03-02,0.0704,0.0723,0.0634,0.0655
2022-03-03,0.0655,0.0671,0.0603,0.0637
2022-03-04,0.0637,0.0641,0.0549,0.0566
