Date,Open,High,Low,Close
2023-05-05,1.97e-06,4.39e-06,1.97e-06,3.73e-06
2023-05-06,3.73e-06,3.85e-06,2.29e-06,2.63e-06
2023-05-07,2.63e-06,3.1e-06,2.41e-06,2.79e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06
2023-05-09,1.95e-06,2.14e-06,1.73e-06,2.01e-06
2023-05-10,2.01e-06,2.13e-06,1.69e-06,1.93e-06
2023-05-11,1.93e-06,1.94e-06,1.25e-06,1.4e-06
2023-05-12,1.4e-06,1.9e-06,1.05e-06,1.75e-06
2023-05-13,1.75e-06,2.08e-06,1.54e-06,1.87e-06
2023-05-14,1.87e-06,1.95e-06,1.74e-06,1.78e-06
2023-05-15,1.79e-06,1.79e-06,1.61e-06,1.73e-06
2023-05-16,1.73e-06,1.82e-06,1.64e-06,1.67e-06
2023-05-17,1.67e-06,1.69e-06,1.46e-06,1.57e-06
2023-05-18,1.58e-06,1.64e-06,1.5e-06,1.59e-06
2023-05-19,1.58e-06,1.59e-06,1.47e-06,1.53e-06
2023-05-20,1.52e-06,1.93e-06,1.5e-06,1.72e-06
2023-05-21,1.71e-06,1.76e-06,1.56e-06,1.59e-06
2023-05-22,1.59e-06,1.6e-06,1.51e-06,1.52e-06
2023-05-23,1.52e-06,1.67e-06,1.51e-06,1.59e-06
2023-05-24,1.59e-06,1.6e-06,1.31e-06,1.43e-06
2023-05-25,1.43e-06,1.47e-06,1.34e-06,1.43e-06
2023-05-26,1.43e-06,1.49e-06,1.38e-06,1.46e-06
2023-05-27,1.45e-06,1.54e-06,1.43e-06,1.52e-06
2023-05-28,1.52e-06,1.54e-06,1.41e-06,1.49e-06
2023-05-29,1.5e-06,1.52e-06,1.42e-06,1.44e-06
2023-05-30,1.44e-06,1.44e-06,1.23e-06,1.3e-06
2023-05-31,1.3e-06,1.32e-06,1.19e-06,1.26e-06
2023-06-01,1.27e-06,1.33e-06,1.21e-06,1.25e-06
2023-06-02,1.24e-06,1.31e-06,1.23e-06,1.29e-06
2023-06-03,1.29e-06,1.35e-06,1.26e-06,1.3e-06
2023-06-04,1.3e-06,1.3e-06,1.21e-06,1.23e-06
2023-06-05,1.23e-06,1.24e-06,9.5e-07,1.03e-06
2023-06-06,1.03e-06,1.26e-06,9.6e-07,1.2e-06
2023-06-07,1.2e-06,1.22e-06,1.04e-06,1.07e-06
2023-06-08,1.07e-06,1.14e-06,1.03e-06,1.08e-06
2023-06-09,1.09e-06,1.2e-06,1.05e-06,1.14e-06
2023-06-10,1.13e-06,1.14e-06,8.7e-07,9.4e-07
2023-06-11,9.3e-07,9.5e-07,8.8e-07,9.2e-07
2023-06-12,9.1e-07,9.5e-07,8.4e-07,9.1e-07
2023-06-13,9e-07,9.9e-07,8.8e-07,9.1e-07
2023-06-14,9.2e-07,9.7e-07,8.6e-07,8.8e-07
2023-06-15,8.9e-07,9.3e-07,8.2e-07,8.9e-07
2023-06-16,8.9e-07,1.05e-06,8.7e-07,9.6e-07
2023-06-17,9.7e-07,1.05e-06,9.4e-07,1e-06
2023-06-18,1e-06,1.01e-06,9.2e-07,9.4e-07
2023-06-19,9.3e-07,9.6e-07,9.1e-07,9.4e-07
2023-06-20,9.5e-07,1.09e-06,9.1e-07,1.07e-06
2023-06-21,1.07e-06,1.47e-06,1.03e-06,1.38e-06
2023-06-22,1.38e-06,1.69e-06,1.36e-06,1.55e-06
2023-06-23,1.54e-06,1.79e-06,1.45e-06,1.65e-06
2023-06-24,1.65e-06,1.76e-06,1.49e-06,1.55e-06
2023-06-25,1.55e-06,1.68e-06,1.52e-06,1.61e-06
2023-06-26,1.61e-06,1.63e-06,1.47e-06,1.51e-06
2023-06-27,1.5e-06,1.67e-06,1.49e-06,1.61e-06
2023-06-28,1.62e-06,1.62e-06,1.36e-06,1.42e-06
2023-06-29,1.42e-06,1.63e-06,1.4e-06,1.54e-06
2023-06-30,1.54e-06,1.71e-06,1.45e-06,1.62e-06
2023-07-01,1.62e-06,1.64e-06,1.51e-06,1.56e-06
2023-07-02,1.56e-06,1.62e-06,1.48e-06,1.58e-06
2023-07-03,1.58e-06,1.9e-06,1.56e-06,1.84e-06
2023-07-04,1.83e-06,1.89e-06,1.69e-06,1.71e-06
2023-07-05,1.71e-06,1.77e-06,1.6e-06,1.66e-06
2023-07-06,1.65e-06,1.79e-06,1.53e-06,1.54e-06
2023-07-07,1.54e-06,1.6e-06,1.5e-06,1.57e-06
2023-07-08,1.57e-06,1.6e-06,1.51e-06,1.56e-06
2023-07-09,1.56e-06,1.59e-06,1.52e-06,1.54e-06
2023-07-10,1.54e-06,1.59e-06,1.43e-06,1.51e-06
2023-07-11,1.52e-06,1.54e-06,1.48e-06,1.51e-06
2023-07-12,1.51e-06,1.57e-06,1.48e-06,1.5e-06
2023-07-13,1.51e-06,1.77e-06,1.46e-06,1.72e-06
2023-07-14,1.72e-06,1.88e-06,1.55e-06,1.64e-06
2023-07-15,1.65e-06,1.71e-06,1.61e-06,1.65e-06
2023-07-16,1.64e-06,1.67e-06,1.55e-06,1.57e-06
2023-07-17,1.57e-06,1.61e-06,1.51e-06,1.58e-06
2023-07-18,1.58e-06,1.6e-06,1.48e-06,1.52e-06
2023-07-19,1.52e-06,1.58e-06,1.5e-06,1.52e-06
2023-07-20,1.53e-06,1.58e-06,1.46e-06,1.51e-06
2023-07-21,1.51e-06,1.55e-06,1.48e-06,1.53e-06
2023-07-22,1.52e-06,1.55e-06,1.47e-06,1.49e-06
2023-07-23,1.49e-06,1.54e-06,1.46e-06,1.51e-06
2023-07-24,1.51e-06,1.51e-06,1.28e-06,1.35e-06
2023-07-25,1.35e-06,1.36e-06,1.28e-06,1.3e-06
2023-07-26,1.31e-06,1.39e-06,1.22e-06,1.33e-06
2023-07-27,1.34e-06,1.45e-06,1.31e-06,1.35e-06
2023-07-28,1.34e-06,1.38e-06,1.29e-06,1.33e-06
2023-07-29,1.34e-06,1.36e-06,1.32e-06,1.35e-06
2023-07-30,1.34e-06,1.35e-06,1.24e-06,1.3e-06
2023-07-31,1.29e-06,1.33e-06,1.2e-06,1.24e-06
2023-08-01,1.23e-06,1.31e-06,1.17e-06,1.3e-06
2023-08-02,1.31e-06,1.32e-06,1.2e-06,1.22e-06
2023-08-03,1.21e-06,1.24e-06,1.19e-06,1.2e-06
2023-08-04,1.2e-06,1.23e-06,1.11e-06,1.16e-06
2023-08-05,1.16e-06,1.18e-06,1.12e-06,1.15e-06
2023-08-06,1.16e-06,1.18e-06,1.12e-06,1.15e-06
2023-08-07,1.16e-06,1.2e-06,1.05e-06,1.11e-06
2023-08-08,1.11e-06,1.23e-06,1.1e-06,1.17e-06
2023-08-09,1.17e-06,1.29e-06,1.17e-06,1.24e-06
2023-08-10,1.23e-06,1.27e-06,1.21e-06,1.24e-06
2023-08-11,1.24e-06,1.27e-06,1.21e-06,1.25e-06
2023-08-12,1.24e-06,1.37e-06,1.24e-06,1.36e-06
2023-08-13,1.36e-06,1.43e-06,1.32e-06,1.36e-06
2023-08-14,1.36e-06,1.47e-06,1.32e-06,1.4e-06
2023-08-15,1.4e-06,1.41e-06,1.23e-06,1.26e-06
2023-08-16,1.27e-06,1.28e-06,1.13e-06,1.16e-06
2023-08-17,1.17e-06,1.23e-06,9.4e-07,1.08e-06
2023-08-18,1.09e-06,1.12e-06,1.04e-06,1.08e-06
2023-08-19,1.08e-06,1.15e-06,1.08e-06,1.13e-06
2023-08-20,1.14e-06,1.15e-06,1.1e-06,1.12e-06
2023-08-21,1.12e-06,1.13e-06,1.04e-06,1.09e-06
2023-08-22,1.09e-06,1.09e-06,1e-06,1.08e-06
2023-08-23,1.07e-06,1.13e-06,1.04e-06,1.11e-06
2023-08-24,1.11e-06,1.11e-06,9.1e-07,9.5e-07
2023-08-25,9.5e-07,9.5e-07,7.8e-07,8.8e-07
2023-08-26,8.9e-07,9.7e-07,8.5e-07,8.6e-07
2023-08-27,8.7e-07,9.2e-07,8.6e-07,9e-07
2023-08-28,8.9e-07,9.1e-07,8.3e-07,8.6e-07
2023-08-29,8.6e-07,9.1e-07,8.1e-07,9e-07
2023-08-30,9e-07,9e-07,8.5e-07,8.6e-07
2023-08-31,8.6e-07,8.8e-07,7.9e-07,8e-07
2023-09-01,8.1e-07,8.3e-07,7.5e-07,7.7e-07
2023-09-02,7.8e-07,8e-07,7.6e-07,7.8e-07
2023-09-03,7.8e-07,8.1e-07,7.7e-07,8e-07
2023-09-04,8e-07,8.3e-07,7.8e-07,8e-07
2023-09-05,8e-07,8.2e-07,7.8e-07,8.1e-07
2023-09-06,8e-07,8.1e-07,7.7e-07,7.9e-07
2023-09-07,8e-07,8.2e-07,7.8e-07,8.1e-07
2023-09-08,8.1e-07,8.2e-07,7.7e-07,7.9e-07
2023-09-09,8e-07,8e-07,7.8e-07,7.8e-07
2023-09-10,7.8e-07,7.9e-07,6.9e-07,7e-07
2023-09-11,7.1e-07,7.1e-07,6.4e-07,6.7e-07
2023-09-12,6.7e-07,7.1e-07,6.6e-07,6.7e-07
2023-09-13,6.7e-07,7e-07,6.5e-07,6.8e-07
2023-09-14,6.8e-07,7e-07,6.7e-07,6.9e-07
2023-09-15,6.9e-07,6.9e-07,6.5e-07,6.9e-07
