Date,Open,High,Low,Close
2020-06-22,0.5227,1.5,0.5227,0.741
2020-06-23,0.7401,0.8066,0.6863,0.7346
2020-06-24,0.7347,0.7956,0.7033,0.7154
2020-06-25,0.7153,0.7529,0.6722,0.7149
2020-06-26,0.7149,0.7289,0.68,0.7159
2020-06-27,0.716,0.7247,0.6051,0.6526
2020-06-28,0.6525,0.68,0.6166,0.6565
2020-06-29,0.6592,0.6965,0.6353,0.653
2020-06-30,0.6529,0.6572,0.6312,0.6397
2020-07-01,0.6396,0.6582,0.6267,0.6565
2020-07-02,0.6565,0.69,0.6105,0.661
2020-07-03,0.6611,0.6799,0.6401,0.6602
2020-07-04,0.6602,0.6674,0.6351,0.6532
2020-07-05,0.6507,0.6624,0.6205,0.6448
2020-07-06,0.6444,0.78,0.633,0.7449
2020-07-07,0.7386,0.793,0.7306,0.758
2020-07-08,0.7581,0.7925,0.7451,0.7584
2020-07-09,0.7564,0.7584,0.6358,0.6842
2020-07-10,0.6839,0.755,0.6682,0.7155
2020-07-11,0.7159,0.7248,0.6792,0.7077
2020-07-12,0.7093,0.7269,0.6603,0.6929
2020-07-13,0.6927,0.73,0.6741,0.7138
2020-07-14,0.7138,0.7546,0.6864,0.7479
2020-07-15,0.7479,0.7711,0.7104,0.7471
2020-07-16,0.7476,0.7739,0.685,0.7081
2020-07-17,0.7083,0.7399,0.7021,0.7214
2020-07-18,0.7189,0.762,0.7088,0.7455
2020-07-19,0.7476,0.895,0.7447,0.8722
2020-07-20,0.8723,1.089,0.8464,1.0038
2020-07-21,1.0081,1.0587,0.9285,1.0124
2020-07-22,1.01,1.21,1.01,1.1358
2020-07-23,1.1361,1.285,1.0903,1.2518
2020-07-24,1.2495,1.313,1.2107,1.286
2020-07-25,1.2862,1.3015,1.1432,1.167
2020-07-26,1.1669,1.1824,1.035,1.11
2020-07-27,1.1139,1.1479,0.86,1.0495
2020-07-28,1.0503,1.265,1.0121,1.17
2020-07-29,1.17,1.4,1.128,1.2589
2020-07-30,1.2593,1.3195,1.1974,1.2126
2020-07-31,1.2126,1.3031,1.1529,1.1815
2020-08-01,1.1812,1.2056,1.0367,1.1022
2020-08-02,1.0971,1.168,1.05,1.1472
2020-08-03,1.1465,1.248,1.1064,1.2104
2020-08-04,1.207,1.296,1.182,1.203
2020-08-05,1.2064,1.284,1.194,1.2202
2020-08-06,1.2147,1.321,1.205,1.2468
2020-08-07,1.2409,1.3412,1.2355,1.324
2020-08-08,1.324,1.3559,1.242,1.27
2020-08-09,1.2698,1.3459,1.2274,1.2834
2020-08-10,1.2852,1.2878,1.2,1.24
2020-08-11,1.24,1.2747,1.1759,1.2152
2020-08-12,1.2152,1.3,1.112,1.276
2020-08-13,1.2798,1.3949,1.195,1.2164
2020-08-14,1.2164,1.26,1.2035,1.2262
2020-08-15,1.2259,1.2487,1.1099,1.1437
2020-08-16,1.1413,1.1799,1.1158,1.1459
2020-08-17,1.143,1.1884,1.0207,1.0419
2020-08-18,1.0358,1.0736,0.9203,1.0623
2020-08-19,1.0566,1.0623,0.8402,0.8841
2020-08-20,0.882,0.959,0.8733,0.9107
2020-08-21,0.9069,0.951,0.8263,0.8291
2020-08-22,0.8299,0.925,0.813,0.8966
2020-08-23,0.896,0.9511,0.8811,0.9231
2020-08-24,0.9234,0.9464,0.8888,0.9035
2020-08-25,0.8993,0.9273,0.825,0.8759
2020-08-26,0.8737,0.9086,0.8508,0.8904
2020-08-27,0.8904,1.0634,0.8651,1.0136
2020-08-28,1.0139,1.083,0.9822,1.008
2020-08-29,1.0083,1.0513,0.945,0.9563
2020-08-30,0.9576,0.987,0.93,0.9723
2020-08-31,0.9717,1.019,0.9386,0.9517
2020-09-01,0.9521,0.9678,0.8846,0.9127
2020-09-02,0.9129,0.926,0.84,0.8687
2020-09-03,0.8688,0.8976,0.7201,0.7298
2020-09-04,0.7266,0.7419,0.651,0.6947
2020-09-05,0.6939,0.744,0.5,0.558
2020-09-06,0.5514,0.5962,0.5081,0.5835
2020-09-07,0.5835,0.6499,0.5163,0.6083
2020-09-08,0.6065,0.7035,0.6,0.7025
2020-09-09,0.7028,0.7028,0.6475,0.673
2020-09-10,0.6757,0.7227,0.6739,0.694
2020-09-11,0.6939,0.72,0.6501,0.7078
2020-09-12,0.7076,0.7389,0.6785,0.6911
2020-09-13,0.6912,0.711,0.6149,0.6366
2020-09-14,0.6361,0.7075,0.6062,0.696
2020-09-15,0.6994,0.7171,0.5762,0.5864
2020-09-16,0.5863,0.6628,0.5518,0.6342
2020-09-17,0.6381,0.658,0.578,0.6399
2020-09-18,0.6397,0.6786,0.6004,0.6089
2020-09-19,0.6131,0.7391,0.5964,0.6879
2020-09-20,0.6872,0.7174,0.6596,0.6737
2020-09-21,0.6712,0.6839,0.54,0.5814
2020-09-22,0.5817,0.6238,0.552,0.5985
2020-09-23,0.5981,0.5998,0.4866,0.4947
2020-09-24,0.4925,0.5499,0.4871,0.5383
2020-09-25,0.5399,0.56,0.5058,0.5415
2020-09-26,0.5418,0.5655,0.5242,0.5366
2020-09-27,0.534,0.5432,0.492,0.5193
2020-09-28,0.5193,0.5387,0.5019,0.5068
2020-09-29,0.5044,0.5177,0.4916,0.5087
2020-09-30,0.5083,0.52,0.4985,0.519
2020-10-01,0.519,0.5378,0.46,0.4742
2020-10-02,0.473,0.4743,0.4194,0.444
2020-10-03,0.444,0.4542,0.435,0.435
2020-10-04,0.4348,0.4362,0.4171,0.4221
2020-10-05,0.4222,0.4302,0.4131,0.421
2020-10-06,0.421,0.426,0.372,0.3767
