Date,Open,High,Low,Close
2021-11-17,0.5233,0.8486,0.5233,0.7129
2021-11-18,0.713,0.7133,0.515,0.5273
2021-11-19,0.5257,0.5437,0.4816,0.5371
2021-11-20,0.5373,0.835,0.518,0.7852
2021-11-21,0.7854,0.9617,0.7231,0.792
2021-11-22,0.7916,0.7916,0.6962,0.733
2021-11-23,0.7328,0.8067,0.727,0.7623
2021-11-24,0.7616,0.8037,0.7214,0.7665
2021-11-25,0.7661,0.7661,0.687,0.715
2021-11-26,0.715,0.7283,0.5949,0.6247
2021-11-27,0.6258,0.667,0.614,0.6532
2021-11-28,0.653,0.6595,0.5783,0.6316
2021-11-29,0.6308,0.6861,0.6219,0.65
2021-11-30,0.6508,0.6514,0.6022,0.606
2021-12-01,0.607,0.6226,0.5813,0.5947
2021-12-02,0.5947,0.7281,0.5945,0.6262
2021-12-03,0.6271,0.6275,0.5436,0.5545
2021-12-04,0.5551,0.5552,0.364,0.486
2021-12-05,0.4862,0.4951,0.4247,0.4458
2021-12-06,0.4452,0.513,0.3751,0.4737
2021-12-07,0.4733,0.5277,0.4699,0.5055
2021-12-08,0.5048,0.51,0.465,0.4974
2021-12-09,0.4982,0.5001,0.4471,0.4512
2021-12-10,0.4512,0.5294,0.4473,0.4735
2021-12-11,0.4735,0.4766,0.455,0.4736
2021-12-12,0.4747,0.4758,0.4568,0.4696
2021-12-13,0.4687,0.4826,0.4033,0.409
2021-12-14,0.409,0.4306,0.3863,0.4164
2021-12-15,0.4162,0.4336,0.3865,0.4306
2021-12-16,0.4315,0.4683,0.4287,0.4334
2021-12-17,0.4343,0.4524,0.4231,0.4426
2021-12-18,0.4433,0.4541,0.4301,0.4508
2021-12-19,0.45,0.4581,0.434,0.4355
2021-12-20,0.4351,0.4355,0.4049,0.4212
2021-12-21,0.4213,0.4536,0.4146,0.4504
2021-12-22,0.45,0.4567,0.4381,0.4504
2021-12-23,0.4502,0.4775,0.4404,0.4774
2021-12-24,0.4776,0.4883,0.46,0.4625
2021-12-25,0.4616,0.4775,0.46,0.4707
2021-12-26,0.4714,0.4731,0.4547,0.4689
2021-12-27,0.4698,0.4827,0.4628,0.4709
2021-12-28,0.4703,0.4719,0.4288,0.4307
2021-12-29,0.4307,0.4364,0.4062,0.4103
2021-12-30,0.4097,0.4269,0.4064,0.4187
2021-12-31,0.4203,0.4299,0.4024,0.4157
2022-01-01,0.4163,0.4278,0.4157,0.4261
2022-01-02,0.4261,0.814,0.4251,0.7608
