Date,Open,High,Low,Close
2021-08-10,3.862,5.5,3.862,4.201
2021-08-11,4.2,4.684,4.123,4.199
2021-08-12,4.193,4.8,4.037,4.505
2021-08-13,4.509,5.2,4.468,5.091
2021-08-14,5.091,5.339,4.796,4.974
2021-08-15,4.986,5.88,4.653,5.816
2021-08-16,5.817,6.972,5.8,6.25
2021-08-17,6.263,8.9,5.954,6.883
2021-08-18,6.885,8.38,6.311,7.627
2021-08-19,7.627,7.951,7.129,7.47
2021-08-20,7.47,8.25,7.411,8.237
2021-08-21,8.237,8.244,7.2,7.382
2021-08-22,7.391,7.9,6.932,7.159
2021-08-23,7.162,7.767,7.052,7.229
2021-08-24,7.234,8.105,6.8,6.978
2021-08-25,6.965,7.429,6.668,7.22
2021-08-26,7.22,7.508,6.683,6.851
2021-08-27,6.858,12.765,6.713,10.133
2021-08-28,10.124,17.8,9.601,11.286
2021-08-29,11.286,12.89,10.558,11.499
2021-08-30,11.517,13.297,10.701,11.683
2021-08-31,11.667,14.5,11.232,12.041
2021-09-01,12.028,12.481,11.378,11.583
2021-09-02,11.583,12.776,11.25,11.754
2021-09-03,11.775,13.765,11.717,12.69
2021-09-04,12.693,13.709,12.0,12.363
2021-09-05,12.365,12.716,12.01,12.46
2021-09-06,12.473,13.079,10.15,12.831
2021-09-07,12.835,15.182,10.0,11.779
2021-09-08,11.779,13.0,10.0,12.57
2021-09-09,12.553,16.28,12.451,14.783
2021-09-10,14.783,15.2,12.8,14.42
2021-09-11,14.421,16.29,14.212,14.962
2021-09-12,14.965,16.96,14.5,16.484
2021-09-13,16.486,16.767,13.05,14.465
2021-09-14,14.465,14.742,12.36,13.304
2021-09-15,13.31,13.998,12.752,13.606
2021-09-16,13.606,13.675,12.62,12.918
2021-09-17,12.92,13.2,11.75,12.164
2021-09-18,12.184,13.27,11.857,13.236
2021-09-19,13.236,13.5,11.916,12.0
2021-09-20,12.0,12.079,10.0,10.061
2021-09-21,10.073,10.68,9.0,9.177
2021-09-22,9.202,10.769,9.022,10.616
2021-09-23,10.611,11.775,10.323,11.631
2021-09-24,11.631,11.652,9.454,10.072
2021-09-25,10.064,10.233,9.633,9.87
2021-09-26,9.859,10.095,9.01,9.687
2021-09-27,9.679,11.0,9.48,9.651
2021-09-28,9.646,9.81,9.075,9.147
2021-09-29,9.135,9.591,8.91,9.156
2021-09-30,9.152,9.649,9.111,9.63
2021-10-01,9.63,11.135,9.426,10.995
2021-10-02,10.995,11.585,10.744,11.131
2021-10-03,11.125,11.985,10.95,11.544
2021-10-04,11.544,11.626,10.653,11.131
2021-10-05,11.143,11.361,10.882,11.039
2021-10-06,11.032,11.23,10.128,10.756
2021-10-07,10.757,10.811,10.228,10.266
2021-10-08,10.271,10.712,10.186,10.288
2021-10-09,10.302,10.483,10.19,10.286
2021-10-10,10.285,10.318,9.52,9.568
2021-10-11,9.568,9.903,9.257,9.445
2021-10-12,9.446,9.604,9.022,9.591
2021-10-13,9.598,10.293,9.317,10.04
2021-10-14,10.037,10.326,9.745,9.883
2021-10-15,9.886,10.595,9.667,10.212
2021-10-16,10.212,10.274,9.794,9.826
2021-10-17,9.839,10.044,9.307,9.546
2021-10-18,9.551,9.699,9.251,9.333
2021-10-19,9.328,9.6,9.282,9.449
2021-10-20,9.442,10.363,9.406,10.314
2021-10-21,10.311,11.0,10.005,10.211
2021-10-22,10.203,11.239,10.115,10.599
2021-10-23,10.602,10.817,10.296,10.442
2021-10-24,10.446,10.477,9.863,10.228
2021-10-25,10.23,11.148,10.14,10.638
2021-10-26,10.644,11.491,10.154,10.307
2021-10-27,10.309,10.474,8.558,9.3
2021-10-28,9.294,9.99,9.227,9.965
2021-10-29,9.967,10.477,9.907,10.405
2021-10-30,10.405,11.466,10.168,10.878
2021-10-31,10.871,10.995,10.049,10.605
2021-11-01,10.608,11.226,10.196,10.817
2021-11-02,10.81,11.434,10.588,11.377
2021-11-03,11.381,13.443,11.177,12.698
2021-11-04,12.701,13.162,11.67,12.206
2021-11-05,12.213,12.25,11.493,11.669
2021-11-06,11.675,12.544,11.402,12.525
2021-11-07,12.526,12.836,12.315,12.662
2021-11-08,12.657,12.693,12.114,12.423
