Date,Open,High,Low,Close
2020-06-12,14.325,16.988,14.325,14.984
2020-06-13,14.984,17.233,14.3,16.792
2020-06-14,16.793,17.168,15.321,15.535
2020-06-15,15.531,16.173,14.445,15.329
2020-06-16,15.186,16.018,15.144,15.642
2020-06-17,15.697,16.476,15.32,16.024
2020-06-18,16.0,16.677,15.436,16.374
2020-06-19,16.373,18.819,15.887,18.681
2020-06-20,18.656,19.449,17.3,17.695
2020-06-21,17.695,18.189,17.213,17.835
2020-06-22,17.835,18.296,17.522,18.233
2020-06-23,18.221,18.997,17.4,17.575
2020-06-24,17.575,17.838,16.227,16.898
2020-06-25,16.899,16.931,15.83,16.145
2020-06-26,16.182,17.839,15.612,17.686
2020-06-27,17.654,17.96,15.478,16.139
2020-06-28,16.059,16.689,15.636,15.894
2020-06-29,16.03,16.989,15.944,16.964
2020-06-30,16.961,17.601,16.233,16.33
2020-07-01,16.3,17.247,16.128,16.845
2020-07-02,16.855,17.423,16.353,16.835
2020-07-03,16.835,18.53,16.743,18.17
2020-07-04,18.13,19.668,18.13,18.928
2020-07-05,18.9,19.054,17.511,18.191
2020-07-06,18.291,19.578,18.167,19.001
2020-07-07,19.056,19.932,18.79,19.931
2020-07-08,19.931,21.14,19.263,20.331
2020-07-09,20.285,20.285,18.38,19.231
2020-07-10,19.261,19.933,18.4,19.242
2020-07-11,19.242,19.42,18.838,19.366
2020-07-12,19.366,20.024,19.226,19.536
2020-07-13,19.536,19.85,18.43,18.797
2020-07-14,18.772,20.358,17.944,20.027
2020-07-15,20.062,20.506,19.065,19.419
2020-07-16,19.435,20.094,17.384,19.153
2020-07-17,19.148,19.331,18.852,19.168
2020-07-18,19.14,19.674,18.549,19.341
2020-07-19,19.34,19.505,18.809,19.056
2020-07-20,19.055,19.887,18.848,19.384
2020-07-21,19.342,24.2,19.337,23.505
2020-07-22,23.505,25.549,23.101,23.533
2020-07-23,23.498,23.9,22.106,22.628
2020-07-24,22.688,24.398,22.376,23.116
2020-07-25,23.13,24.374,22.85,22.965
2020-07-26,23.016,23.018,21.383,22.444
2020-07-27,22.454,23.62,19.372,20.392
2020-07-28,20.45,22.246,19.524,21.45
2020-07-29,21.472,21.627,19.929,20.145
2020-07-30,19.996,21.173,19.89,20.149
2020-07-31,20.221,20.49,19.654,19.802
2020-08-01,19.847,21.0,19.698,20.6
2020-08-02,20.605,21.071,4.8,18.946
2020-08-03,18.932,21.135,18.773,20.374
2020-08-04,20.441,21.8,20.3,20.678
2020-08-05,20.631,21.071,20.229,20.908
2020-08-06,20.908,21.674,20.4,21.647
2020-08-07,21.646,21.7,19.694,20.809
2020-08-08,20.72,21.293,20.676,21.278
2020-08-09,21.291,22.07,20.77,22.02
2020-08-10,22.02,22.246,20.5,21.11
2020-08-11,21.243,21.311,19.755,20.263
2020-08-12,20.398,20.524,19.648,20.52
2020-08-13,20.402,21.58,19.805,20.999
2020-08-14,20.922,22.0,20.709,21.844
2020-08-15,21.765,23.0,21.249,22.31
2020-08-16,22.433,22.762,21.502,22.504
2020-08-17,22.447,22.767,21.653,21.882
2020-08-18,21.878,22.146,20.178,20.955
2020-08-19,21.011,21.214,19.397,19.75
2020-08-20,19.899,21.102,19.437,20.563
2020-08-21,20.693,29.99,20.63,27.637
2020-08-22,27.545,30.0,22.771,24.588
2020-08-23,24.685,24.933,23.142,23.662
2020-08-24,23.661,24.333,20.966,23.602
2020-08-25,23.588,23.758,20.395,21.678
2020-08-26,21.631,23.456,21.003,22.509
2020-08-27,22.626,23.138,20.81,21.3
2020-08-28,21.3,22.609,20.951,22.325
2020-08-29,22.339,22.818,21.712,22.556
2020-08-30,22.503,22.681,20.947,22.366
2020-08-31,22.299,22.449,21.698,21.891
2020-09-01,21.754,22.428,21.279,21.627
2020-09-02,21.77,22.03,19.954,20.488
2020-09-03,20.412,20.642,15.495,15.713
2020-09-04,15.695,17.78,15.295,16.808
2020-09-05,16.733,18.0,13.886,15.301
2020-09-06,15.312,16.333,14.498,15.813
2020-09-07,15.797,16.257,14.501,15.863
2020-09-08,15.865,16.851,14.837,15.205
2020-09-09,15.115,16.392,14.913,16.292
2020-09-10,16.177,16.83,15.989,16.75
2020-09-11,16.744,18.549,16.021,17.957
2020-09-12,17.882,18.534,17.435,17.742
2020-09-13,17.669,18.257,16.24,16.55
2020-09-14,16.699,17.428,16.166,16.326
2020-09-15,16.284,16.624,15.383,15.647
2020-09-16,15.597,15.872,14.693,15.763
2020-09-17,15.665,15.867,15.042,15.31
2020-09-18,15.375,15.549,14.73,14.966
2020-09-19,14.909,15.103,14.784,15.059
2020-09-20,15.02,15.083,14.35,14.698
2020-09-21,14.661,14.719,12.857,13.207
2020-09-22,13.208,13.846,12.938,13.621
2020-09-23,13.625,14.779,12.545,12.545
2020-09-24,12.576,15.933,12.392,14.321
2020-09-25,14.321,14.536,13.435,14.116
2020-09-26,14.119,14.806,13.959,14.523
2020-09-27,14.427,14.697,13.752,14.131
2020-09-28,14.131,14.647,13.917,14.321
2020-09-29,14.27,14.376,13.862,14.134
2020-09-30,14.06,14.438,13.891,14.196
2020-10-01,14.306,14.662,13.567,13.951
2020-10-02,13.94,14.086,12.913,13.408
2020-10-03,13.344,14.144,13.343,13.901
2020-10-04,13.797,13.932,13.5,13.898
2020-10-05,13.852,14.51,13.781,14.047
2020-10-06,14.049,14.061,12.991,13.13
2020-10-07,13.106,13.714,12.75,13.188
2020-10-08,13.253,13.662,12.902,13.575
2020-10-09,13.649,14.4,13.275,14.374
2020-10-10,14.371,14.856,14.239,14.348
2020-10-11,14.366,14.643,14.064,14.376
2020-10-12,14.37,14.697,14.098,14.35
2020-10-13,14.378,14.406,14.0,14.17
2020-10-14,14.178,15.3,13.25,14.005
2020-10-15,14.009,14.097,13.692,13.737
2020-10-16,13.738,13.985,13.25,13.541
2020-10-17,13.542,13.698,13.464,13.59
2020-10-18,13.59,13.658,13.45,13.634
2020-10-19,13.586,13.697,13.412,13.594
2020-10-20,13.593,13.667,12.939,13.049
2020-10-21,12.964,13.698,12.948,13.468
2020-10-22,13.566,13.822,13.441,13.709
2020-10-23,13.707,13.715,13.408,13.582
2020-10-24,13.606,13.698,13.389,13.491
2020-10-25,13.5,13.599,13.249,13.37
2020-10-26,13.288,13.411,12.98,13.105
2020-10-27,13.027,13.388,12.86,13.141
2020-10-28,13.137,13.196,12.243,12.4
2020-10-29,12.436,13.569,12.376,12.421
2020-10-30,12.412,12.617,11.779,12.43
2020-10-31,12.436,12.694,12.142,12.498
2020-11-01,12.468,12.798,12.255,12.6
2020-11-02,12.61,14.049,12.247,12.375
2020-11-03,12.341,13.559,12.164,13.227
2020-11-04,13.204,13.237,12.389,13.0
2020-11-05,12.998,13.175,12.5,13.051
2020-11-06,13.109,14.138,13.02,13.778
2020-11-07,13.773,14.299,12.817,13.113
2020-11-08,13.135,13.59,12.961,13.59
2020-11-09,13.482,14.0,12.918,13.517
2020-11-10,13.6,14.124,13.429,13.89
2020-11-11,13.994,14.615,13.879,14.29
2020-11-12,14.29,14.529,13.502,13.736
2020-11-13,13.805,15.264,13.531,14.144
2020-11-14,14.144,14.167,13.469,13.77
2020-11-15,13.816,13.938,13.472,13.835
2020-11-16,13.918,14.167,13.639,14.062
2020-11-17,13.941,14.935,13.873,14.754
2020-11-18,14.78,15.1,13.814,14.79
2020-11-19,14.754,14.833,13.851,14.129
2020-11-20,14.129,14.55,13.981,14.266
2020-11-21,14.266,15.407,14.214,15.258
2020-11-22,15.387,16.7,14.332,15.207
2020-11-23,15.236,15.9,14.929,15.728
2020-11-24,15.837,17.75,15.6,17.448
2020-11-25,17.362,17.777,15.844,16.18
2020-11-26,16.168,16.666,13.7,14.524
2020-11-27,14.664,15.058,14.093,14.665
2020-11-28,14.585,15.561,14.519,15.28
2020-11-29,15.281,15.462,14.828,15.233
2020-11-30,15.213,15.537,14.657,15.37
2020-12-01,15.439,15.935,14.456,15.05
2020-12-02,15.05,16.1,14.796,15.91
2020-12-03,15.818,17.201,15.76,16.336
2020-12-04,16.317,16.724,14.637,14.716
2020-12-05,14.707,17.2,14.443,16.613
2020-12-06,16.578,18.257,16.295,16.921
2020-12-07,16.856,17.2,15.699,16.465
2020-12-08,16.466,18.0,15.119,15.125
2020-12-09,15.127,15.69,14.276,15.689
2020-12-10,15.686,16.29,14.727,15.31
2020-12-11,15.308,15.308,14.189,14.47
2020-12-12,14.401,15.614,14.4,15.557
2020-12-13,15.434,15.601,14.95,15.439
2020-12-14,15.443,15.999,14.96,15.848
2020-12-15,15.837,16.395,15.533,16.063
2020-12-16,15.976,16.396,15.092,16.396
2020-12-17,16.395,16.811,15.418,16.069
2020-12-18,16.013,35.86,15.744,19.617
2020-12-19,19.613,23.1,18.2,19.614
2020-12-20,19.609,19.79,17.171,17.573
2020-12-21,17.613,20.0,16.814,17.556
2020-12-22,17.613,18.09,16.697,17.269
2020-12-23,17.221,17.268,13.918,14.168
2020-12-24,14.154,15.9,13.8,15.813
2020-12-25,15.833,17.409,15.829,16.632
2020-12-26,16.61,16.818,15.449,15.996
2020-12-27,15.992,16.795,15.075,15.701
2020-12-28,15.75,17.5,15.641,16.123
2020-12-29,16.124,18.473,16.123,17.502
2020-12-30,17.511,18.035,16.36,16.71
2020-12-31,16.813,16.813,15.88,16.548
2021-01-01,16.553,17.095,16.2,16.824
2021-01-02,16.825,17.556,16.324,16.712
2021-01-03,16.713,17.585,16.0,17.066
2021-01-04,17.133,18.363,15.5,16.424
2021-01-05,16.457,17.277,15.49,17.129
2021-01-06,17.183,20.331,16.986,18.805
2021-01-07,18.807,22.177,18.0,19.384
2021-01-08,19.313,19.79,17.163,18.285
2021-01-09,18.269,20.29,17.482,20.214
2021-01-10,20.214,23.6,18.875,20.764
2021-01-11,20.699,20.877,16.333,18.023
2021-01-12,18.007,18.755,16.703,17.566
2021-01-13,17.659,19.188,17.04,19.081
2021-01-14,19.081,19.697,18.454,19.37
2021-01-15,19.429,20.322,17.808,18.977
2021-01-16,18.977,20.3,18.976,19.988
2021-01-17,19.99,21.791,18.369,21.791
2021-01-18,21.791,22.65,20.549,21.746
2021-01-19,21.8,22.777,20.866,21.401
2021-01-20,21.367,22.0,19.72,21.733
2021-01-21,21.682,21.682,17.701,17.92
2021-01-22,17.921,19.55,16.502,18.989
2021-01-23,19.019,20.997,18.227,19.651
2021-01-24,19.699,20.315,19.23,19.818
2021-01-25,19.817,20.504,19.165,19.232
2021-01-26,19.239,19.489,18.2,19.182
2021-01-27,19.182,19.275,17.063,17.636
2021-01-28,17.548,19.311,17.467,19.156
2021-01-29,19.155,20.0,18.408,19.224
2021-01-30,19.172,19.282,18.3,18.656
2021-01-31,18.647,19.075,17.702,18.242
2021-02-01,18.174,18.563,17.704,18.455
2021-02-02,18.444,19.194,18.36,19.101
2021-02-03,19.108,21.229,18.871,21.103
2021-02-04,21.103,22.3,19.455,21.191
2021-02-05,21.191,25.8,21.148,23.112
2021-02-06,23.187,24.242,21.342,21.998
2021-02-07,22.0,22.192,19.753,21.221
2021-02-08,21.295,23.483,20.722,22.454
2021-02-09,22.453,24.1,22.1,23.912
2021-02-10,23.913,26.337,22.668,25.024
2021-02-11,25.113,27.831,24.879,27.382
2021-02-12,27.474,29.8,26.727,29.64
2021-02-13,29.641,32.92,26.286,32.072
2021-02-14,32.027,35.0,31.001,33.706
2021-02-15,33.664,36.8,28.291,32.352
2021-02-16,32.289,34.639,29.802,30.8
2021-02-17,30.793,32.042,27.361,31.499
2021-02-18,31.571,35.06,31.556,34.139
2021-02-19,34.143,36.175,31.639,35.503
2021-02-20,35.492,45.212,31.616,34.398
2021-02-21,34.313,36.799,33.369,36.128
2021-02-22,36.186,37.207,25.601,31.319
2021-02-23,31.32,31.901,20.532,24.6
2021-02-24,24.6,27.084,23.381,25.72
2021-02-25,25.72,31.964,24.581,24.956
2021-02-26,25.012,27.013,22.897,26.217
2021-02-27,26.218,31.453,26.161,27.155
2021-02-28,27.251,27.268,23.184,24.623
2021-03-01,24.743,34.1,24.742,29.611
2021-03-02,29.702,31.612,28.065,29.403
2021-03-03,29.433,30.525,28.874,30.135
2021-03-04,30.229,30.885,28.2,29.386
2021-03-05,29.434,30.23,27.239,30.222
2021-03-06,30.23,31.179,28.562,31.053
2021-03-07,31.011,31.123,29.899,30.885
2021-03-08,30.974,31.432,29.665,31.002
2021-03-09,31.115,33.055,30.276,32.936
2021-03-10,33.039,35.0,31.081,33.801
2021-03-11,33.803,35.235,31.883,33.452
2021-03-12,33.453,33.505,30.663,31.992
2021-03-13,31.992,33.196,30.09,32.99
2021-03-14,33.1,33.122,30.754,30.974
2021-03-15,30.974,32.061,28.7,29.083
2021-03-16,28.991,30.863,27.724,30.232
2021-03-17,30.194,31.404,28.319,30.684
2021-03-18,30.684,32.031,29.053,31.996
