Date,Open,High,Low,Close
2022-01-21,7.304,9.8,4.6,6.249
2022-01-22,6.232,6.808,4.845,5.607
2022-01-23,5.593,6.1,5.261,5.72
2022-01-24,5.7,5.701,4.518,5.464
2022-01-25,5.469,6.36,5.136,6.244
2022-01-26,6.247,6.97,5.734,5.909
2022-01-27,5.919,6.144,5.404,5.772
2022-01-28,5.779,5.874,5.28,5.555
2022-01-29,5.539,5.838,5.508,5.613
2022-01-30,5.61,5.702,5.027,5.285
2022-01-31,5.298,5.48,4.925,5.23
2022-02-01,5.231,5.528,5.022,5.351
2022-02-02,5.351,5.473,4.768,4.893
2022-02-03,4.881,5.158,4.6,5.138
2022-02-04,5.154,5.69,5.037,5.662
2022-02-05,5.664,5.76,5.501,5.624
2022-02-06,5.64,5.9,5.64,5.847
2022-02-07,5.852,6.855,5.734,6.773
2022-02-08,6.782,7.042,6.111,6.403
2022-02-09,6.416,6.785,6.165,6.607
2022-02-10,6.607,7.395,6.532,6.711
2022-02-11,6.702,7.031,6.283,6.368
2022-02-12,6.366,6.407,5.987,6.13
2022-02-13,6.128,6.271,5.838,5.862
2022-02-14,5.862,6.011,5.703,5.948
2022-02-15,5.952,6.9,5.88,6.822
2022-02-16,6.809,6.921,6.41,6.641
2022-02-17,6.638,6.8,6.023,6.102
2022-02-18,6.105,6.428,6.017,6.057
2022-02-19,6.056,6.26,5.878,5.996
2022-02-20,5.992,5.998,5.48,5.606
2022-02-21,5.606,5.926,5.372,5.403
2022-02-22,5.402,5.509,5.117,5.358
2022-02-23,5.351,5.606,5.153,5.157
2022-02-24,5.159,5.183,4.229,4.848
2022-02-25,4.851,5.383,4.833,5.228
2022-02-26,5.225,5.58,5.213,5.489
2022-02-27,5.492,5.54,4.923,5.032
2022-02-28,5.029,5.69,4.956,5.577
2022-03-01,5.577,5.662,5.174,5.263
2022-03-02,5.264,5.32,4.983,5.062
2022-03-03,5.058,5.107,4.706,4.94
2022-03-04,4.943,4.945,4.45,4.516
2022-03-05,4.515,4.74,4.437,4.694
2022-03-06,4.692,4.713,4.263,4.324
2022-03-07,4.325,4.555,4.236,4.35
2022-03-08,4.356,4.55,4.148,4.53
2022-03-09,4.53,5.039,4.527,4.74
2022-03-10,4.735,4.789,4.337,4.612
2022-03-11,4.612,5.01,4.439,4.71
2022-03-12,4.719,5.016,4.702,4.76
2022-03-13,4.759,4.818,4.405,4.469
2022-03-14,4.464,4.633,4.414,4.553
2022-03-15,4.553,4.586,4.352,4.454
2022-03-16,4.452,4.699,4.12,4.696
2022-03-17,4.696,4.77,4.669,4.685
2022-03-18,4.686,4.691,4.366,4.607
2022-03-19,4.607,4.813,4.542,4.709
2022-03-20,4.704,4.731,4.47,4.539
2022-03-21,4.538,4.67,4.49,4.609
2022-03-22,4.617,4.815,4.581,4.668
2022-03-23,4.67,4.819,4.601,4.813
2022-03-24,4.818,5.15,4.769,4.848
2022-03-25,4.848,4.99,4.702,4.815
2022-03-26,4.818,4.876,4.696,4.86
2022-03-27,4.86,5.07,4.85,5.001
2022-03-28,5.001,5.477,5.001,5.242
2022-03-29,5.242,5.556,5.226,5.43
2022-03-30,5.428,5.52,5.265,5.409
2022-03-31,5.411,5.634,5.15,5.256
2022-04-01,5.262,6.0,5.161,5.959
2022-04-02,5.96,6.764,5.895,6.309
2022-04-03,6.309,6.848,6.138,6.383
2022-04-04,6.383,6.538,5.987,6.253
2022-04-05,6.252,6.384,6.166,6.186
