Date,Open,High,Low,Close
2020-12-01,0.03,0.14,0.03,0.07223
2020-12-02,0.07189,0.082,0.0693,0.08148
2020-12-03,0.0815,0.11009,0.07869,0.0989
2020-12-04,0.09925,0.1639,0.09883,0.148
2020-12-05,0.14879,0.157,0.11952,0.139
2020-12-06,0.13867,0.15013,0.10888,0.11542
2020-12-07,0.11559,0.13757,0.11037,0.11921
2020-12-08,0.11959,0.13751,0.10718,0.12343
2020-12-09,0.12342,0.145,0.11018,0.13765
2020-12-10,0.13764,0.15,0.123,0.12436
2020-12-11,0.12436,0.1264,0.11354,0.1153
2020-12-12,0.11535,0.13134,0.11511,0.12288
2020-12-13,0.12288,0.12666,0.11553,0.11815
2020-12-14,0.11815,0.12016,0.11005,0.11561
2020-12-15,0.11532,0.1235,0.11306,0.11662
2020-12-16,0.11641,0.119,0.10715,0.11278
2020-12-17,0.11277,0.115,0.09621,0.09905
2020-12-18,0.099,0.10801,0.09244,0.10624
2020-12-19,0.10664,0.13164,0.10211,0.12042
2020-12-20,0.12042,0.13296,0.104,0.10682
2020-12-21,0.10653,0.11463,0.094,0.09891
2020-12-22,0.09891,0.10039,0.09,0.09441
2020-12-23,0.09478,0.09487,0.0588,0.06787
2020-12-24,0.06755,0.08243,0.06541,0.08157
2020-12-25,0.0815,0.0922,0.07525,0.08988
2020-12-26,0.08993,0.09557,0.08099,0.09103
2020-12-27,0.09103,0.09745,0.08523,0.08943
2020-12-28,0.08954,0.0955,0.0861,0.08731
2020-12-29,0.08739,0.09279,0.07468,0.08031
2020-12-30,0.08058,0.08121,0.075,0.07726
2020-12-31,0.07726,0.08089,0.07337,0.07878
2021-01-01,0.07879,0.084,0.07427,0.07997
2021-01-02,0.08006,0.08039,0.0747,0.07659
2021-01-03,0.07671,0.09062,0.07652,0.08656
2021-01-04,0.08656,0.09497,0.0805,0.09401
2021-01-05,0.09404,0.11321,0.08569,0.11089
2021-01-06,0.1112,0.11612,0.10344,0.11199
2021-01-07,0.112,0.12203,0.1045,0.11235
2021-01-08,0.1127,0.11884,0.09702,0.10936
2021-01-09,0.10945,0.11385,0.10598,0.11008
2021-01-10,0.10997,0.125,0.09496,0.10221
2021-01-11,0.10224,0.10333,0.0868,0.09774
2021-01-12,0.09748,0.1067,0.09343,0.10107
2021-01-13,0.10064,0.11862,0.09966,0.11184
2021-01-14,0.11196,0.129,0.10688,0.12825
2021-01-15,0.12825,0.14669,0.11965,0.13304
2021-01-16,0.13346,0.155,0.12566,0.13413
2021-01-17,0.13411,0.1433,0.12517,0.13991
2021-01-18,0.14014,0.14995,0.13232,0.14571
2021-01-19,0.14573,0.16281,0.1417,0.14246
2021-01-20,0.14244,0.14493,0.12759,0.1362
2021-01-21,0.13627,0.1409,0.1156,0.11622
2021-01-22,0.11624,0.123,0.0909,0.11391
2021-01-23,0.11372,0.125,0.11123,0.11826
2021-01-24,0.11797,0.13962,0.11704,0.13397
2021-01-25,0.13412,0.13707,0.1251,0.12941
2021-01-26,0.12904,0.1699,0.1251,0.1596
2021-01-27,0.15959,0.1637,0.12628,0.13062
2021-01-28,0.13071,0.1478,0.12783,0.13608
2021-01-29,0.13602,0.13976,0.12908,0.13785
2021-01-30,0.13781,0.14465,0.126,0.13833
2021-01-31,0.13834,0.14398,0.1303,0.13373
2021-02-01,0.13374,0.14374,0.12927,0.13767
2021-02-02,0.1377,0.15413,0.132,0.14927
2021-02-03,0.14924,0.15999,0.14457,0.1583
2021-02-04,0.1585,0.18191,0.1546,0.1623
2021-02-05,0.16225,0.17609,0.16,0.17126
2021-02-06,0.1712,0.17411,0.1468,0.15873
2021-02-07,0.15868,0.16795,0.144,0.1602
2021-02-08,0.15975,0.218,0.15915,0.21072
2021-02-09,0.21052,0.22888,0.19746,0.2049
2021-02-10,0.20525,0.24472,0.19819,0.22268
2021-02-11,0.22268,0.4,0.21454,0.34539
2021-02-12,0.34636,0.36,0.29175,0.33
2021-02-13,0.33078,0.373,0.30504,0.33425
2021-02-14,0.33482,0.33791,0.28536,0.29438
2021-02-15,0.29466,0.35463,0.22779,0.30782
2021-02-16,0.30769,0.33001,0.26982,0.28117
2021-02-17,0.28168,0.30714,0.2497,0.28958
2021-02-18,0.28964,0.32273,0.282,0.3031
2021-02-19,0.30279,0.33,0.2818,0.3282
2021-02-20,0.32833,0.33795,0.26098,0.2857
2021-02-21,0.2857,0.31732,0.27777,0.29796
2021-02-22,0.29845,0.29965,0.21818,0.27213
2021-02-23,0.27304,0.29324,0.19002,0.24611
2021-02-24,0.24581,0.27733,0.22528,0.23986
2021-02-25,0.23991,0.255,0.21368,0.21684
2021-02-26,0.21684,0.24,0.19278,0.21497
2021-02-27,0.21516,0.24582,0.21476,0.22741
2021-02-28,0.22718,0.22865,0.193,0.20902
2021-03-01,0.20876,0.25068,0.20688,0.24079
2021-03-02,0.24086,0.29,0.22837,0.28159
2021-03-03,0.28114,0.29586,0.26202,0.27315
2021-03-04,0.27204,0.32884,0.26578,0.29047
2021-03-05,0.29045,0.322,0.26023,0.31814
2021-03-06,0.31797,0.33038,0.29277,0.29544
2021-03-07,0.295,0.315,0.295,0.31029
2021-03-08,0.31029,0.3578,0.28573,0.34872
2021-03-09,0.34876,0.584,0.33699,0.55705
2021-03-10,0.55787,0.66345,0.5,0.52194
2021-03-11,0.52276,0.87954,0.50606,0.7832
2021-03-12,0.78373,1.24443,0.78266,0.8804
2021-03-13,0.88191,0.99655,0.80181,0.82737
2021-03-14,0.82734,0.88,0.76218,0.8115
2021-03-15,0.81377,0.86604,0.7211,0.74173
2021-03-16,0.74477,0.778,0.68134,0.69914
2021-03-17,0.69995,0.77,0.68215,0.72373
2021-03-18,0.72551,0.75775,0.67798,0.69174
2021-03-19,0.69139,0.73305,0.67951,0.69325
2021-03-20,0.69359,0.72615,0.68333,0.68392
2021-03-21,0.68393,0.68393,0.63757,0.66084
2021-03-22,0.66092,0.7567,0.63175,0.69332
2021-03-23,0.69363,0.745,0.63587,0.65691
2021-03-24,0.65655,0.70099,0.55056,0.57689
2021-03-25,0.5769,0.605,0.51676,0.5179
2021-03-26,0.5175,0.60887,0.51684,0.58126
2021-03-27,0.58165,0.647,0.57094,0.5908
2021-03-28,0.59117,0.74135,0.58207,0.73493
2021-03-29,0.73493,1.07242,0.67023,0.84126
2021-03-30,0.84041,0.85885,0.75711,0.80252
2021-03-31,0.80164,0.82204,0.715,0.74945
2021-04-01,0.75018,0.83,0.71868,0.81615
2021-04-02,0.81615,0.81868,0.72831,0.74765
2021-04-03,0.74826,0.75928,0.66681,0.67271
