Date,Open,High,Low,Close
2020-07-09,2.893,3.398,2.71,2.956
2020-07-10,2.956,2.974,2.763,2.921
2020-07-11,2.921,2.927,2.654,2.809
2020-07-12,2.806,2.843,2.73,2.78
2020-07-13,2.78,2.84,2.5,2.541
2020-07-14,2.538,2.75,2.384,2.747
2020-07-15,2.747,3.15,2.704,3.05
2020-07-16,3.05,3.25,2.782,3.097
2020-07-17,3.097,3.6,3.053,3.308
2020-07-18,3.307,3.52,3.169,3.371
2020-07-19,3.381,3.535,3.288,3.297
2020-07-20,3.299,4.199,3.27,3.849
2020-07-21,3.84,4.029,3.341,3.479
2020-07-22,3.479,3.79,3.351,3.479
2020-07-23,3.479,3.62,3.1,3.35
2020-07-24,3.346,3.627,3.235,3.337
2020-07-25,3.337,3.721,3.296,3.541
2020-07-26,3.542,3.565,3.0,3.155
2020-07-27,3.154,3.22,2.67,2.869
2020-07-28,2.869,3.48,2.869,3.372
2020-07-29,3.372,3.386,3.07,3.273
2020-07-30,3.273,3.683,3.265,3.547
2020-07-31,3.547,3.965,3.486,3.952
2020-08-01,3.951,4.111,3.577,3.793
2020-08-02,3.792,4.437,3.5,4.266
2020-08-03,4.266,4.387,3.89,4.148
2020-08-04,4.148,4.563,4.136,4.47
2020-08-05,4.461,4.69,4.28,4.339
2020-08-06,4.339,4.74,4.292,4.45
2020-08-07,4.451,4.627,4.13,4.297
2020-08-08,4.297,4.45,4.2,4.349
2020-08-09,4.344,4.383,4.175,4.241
2020-08-10,4.243,5.039,4.243,4.822
2020-08-11,4.817,4.899,4.17,4.879
2020-08-12,4.879,5.921,4.847,5.643
2020-08-13,5.644,6.0,4.736,5.072
2020-08-14,5.07,6.495,4.93,6.15
2020-08-15,6.146,7.46,5.9,6.859
2020-08-16,6.859,6.887,6.1,6.405
2020-08-17,6.398,6.875,6.072,6.177
2020-08-18,6.156,6.68,5.519,6.145
2020-08-19,6.146,6.409,5.4,6.091
2020-08-20,6.092,6.77,6.061,6.175
2020-08-21,6.176,6.27,5.21,5.315
2020-08-22,5.324,6.048,5.106,5.831
2020-08-23,5.829,5.891,5.344,5.678
2020-08-24,5.688,6.3,5.535,6.231
2020-08-25,6.239,6.57,5.5,5.867
2020-08-26,5.859,6.45,5.823,6.121
2020-08-27,6.121,6.43,5.86,6.093
2020-08-28,6.092,7.112,6.004,6.866
2020-08-29,6.866,7.0,6.466,6.529
2020-08-30,6.52,7.415,6.5,7.301
2020-08-31,7.3,7.568,6.907,7.336
2020-09-01,7.336,7.88,7.084,7.104
2020-09-02,7.103,7.2,5.9,6.383
2020-09-03,6.373,6.585,5.028,5.255
2020-09-04,5.256,5.788,4.706,5.332
2020-09-05,5.321,7.0,3.65,4.472
2020-09-06,4.477,5.212,4.1,4.955
2020-09-07,4.951,5.065,4.104,4.644
2020-09-08,4.635,4.715,4.028,4.246
2020-09-09,4.248,5.25,4.173,4.994
2020-09-10,5.0,5.87,4.986,5.725
2020-09-11,5.725,5.998,5.357,5.985
2020-09-12,5.985,6.178,5.612,6.131
2020-09-13,6.14,6.286,5.06,5.388
2020-09-14,5.38,5.547,5.108,5.188
2020-09-15,5.188,5.517,4.444,4.492
2020-09-16,4.493,4.978,4.131,4.794
2020-09-17,4.794,5.039,4.336,4.487
2020-09-18,4.483,4.745,4.333,4.554
2020-09-19,4.558,4.569,4.2,4.299
2020-09-20,4.295,4.548,4.071,4.19
2020-09-21,4.186,4.258,3.461,3.618
2020-09-22,3.618,4.317,3.571,4.282
2020-09-23,4.282,4.42,3.67,3.7
2020-09-24,3.702,4.48,3.671,4.407
