Date,Open,High,Low,Close
2020-07-20,1.85,2.002,1.427,1.655
2020-07-21,1.658,1.749,1.373,1.655
2020-07-22,1.653,1.782,1.481,1.536
2020-07-23,1.537,1.677,1.505,1.632
2020-07-24,1.632,2.13,1.576,2.033
2020-07-25,2.03,2.281,1.921,1.996
2020-07-26,1.998,2.062,1.805,1.902
2020-07-27,1.904,1.962,1.257,1.512
2020-07-28,1.516,1.729,1.441,1.613
2020-07-29,1.614,1.756,1.498,1.567
2020-07-30,1.568,1.619,1.51,1.52
2020-07-31,1.52,1.857,1.515,1.759
2020-08-01,1.758,1.939,1.603,1.632
2020-08-02,1.633,1.79,1.4,1.735
2020-08-03,1.735,1.95,1.672,1.931
2020-08-04,1.925,2.088,1.74,1.849
2020-08-05,1.849,1.941,1.734,1.783
2020-08-06,1.784,1.951,1.76,1.923
2020-08-07,1.923,1.947,1.756,1.839
2020-08-08,1.838,2.19,1.812,2.146
2020-08-09,2.146,2.56,2.052,2.346
2020-08-10,2.345,2.705,2.293,2.532
2020-08-11,2.532,3.253,2.388,3.155
2020-08-12,3.158,3.88,2.991,3.831
2020-08-13,3.83,5.0,3.65,4.322
2020-08-14,4.32,4.458,3.502,3.715
2020-08-15,3.716,3.93,3.31,3.332
2020-08-16,3.335,3.704,3.208,3.414
2020-08-17,3.413,3.5,3.0,3.103
2020-08-18,3.102,4.07,2.916,3.607
2020-08-19,3.613,3.797,2.84,3.09
2020-08-20,3.091,3.55,3.081,3.198
2020-08-21,3.194,3.272,2.54,2.623
2020-08-22,2.623,2.875,2.3,2.795
2020-08-23,2.797,2.956,2.51,2.853
2020-08-24,2.852,3.131,2.701,2.935
2020-08-25,2.936,2.98,2.455,2.636
2020-08-26,2.637,2.944,2.55,2.859
2020-08-27,2.861,3.085,2.557,2.765
2020-08-28,2.765,3.03,2.725,2.912
2020-08-29,2.909,3.26,2.87,3.032
2020-08-30,3.032,3.217,2.86,2.941
2020-08-31,2.94,3.1,2.81,2.848
2020-09-01,2.851,2.98,2.55,2.57
2020-09-02,2.57,2.724,2.011,2.373
2020-09-03,2.373,2.422,1.75,1.814
2020-09-04,1.813,2.18,1.758,2.036
2020-09-05,2.036,2.095,1.519,1.675
2020-09-06,1.672,1.953,1.53,1.797
2020-09-07,1.797,1.853,1.56,1.752
2020-09-08,1.755,1.806,1.579,1.655
2020-09-09,1.655,1.88,1.622,1.788
2020-09-10,1.788,1.95,1.759,1.779
2020-09-11,1.779,1.817,1.67,1.789
2020-09-12,1.793,1.873,1.712,1.829
2020-09-13,1.831,1.924,1.671,1.726
2020-09-14,1.728,1.98,1.617,1.863
2020-09-15,1.861,1.9,1.58,1.622
2020-09-16,1.624,1.626,1.458,1.515
2020-09-17,1.515,1.61,1.422,1.507
2020-09-18,1.506,1.691,1.464,1.541
2020-09-19,1.541,1.657,1.479,1.58
2020-09-20,1.581,1.639,1.481,1.53
2020-09-21,1.531,1.566,1.212,1.268
2020-09-22,1.269,1.347,1.2,1.269
2020-09-23,1.269,1.289,1.042,1.079
2020-09-24,1.08,1.245,1.036,1.234
2020-09-25,1.232,1.32,1.125,1.26
2020-09-26,1.263,1.383,1.252,1.344
2020-09-27,1.343,1.8,1.261,1.689
2020-09-28,1.69,1.86,1.515,1.575
2020-09-29,1.574,1.678,1.523,1.594
2020-09-30,1.595,1.77,1.55,1.743
2020-10-01,1.745,1.788,1.463,1.551
2020-10-02,1.549,1.566,1.349,1.406
2020-10-03,1.405,1.468,1.376,1.381
2020-10-04,1.38,1.398,1.298,1.363
2020-10-05,1.362,1.45,1.312,1.367
2020-10-06,1.369,1.37,1.128,1.156
2020-10-07,1.155,1.2,1.065,1.186
2020-10-08,1.187,1.34,1.116,1.315
2020-10-09,1.313,1.385,1.265,1.358
2020-10-10,1.357,1.414,1.255,1.284
2020-10-11,1.284,1.354,1.253,1.304
2020-10-12,1.306,1.354,1.246,1.302
2020-10-13,1.304,1.31,1.235,1.261
2020-10-14,1.262,1.274,1.175,1.206
2020-10-15,1.205,1.303,1.178,1.211
2020-10-16,1.211,1.24,1.154,1.186
2020-10-17,1.188,1.234,1.168,1.207
2020-10-18,1.205,1.236,1.2,1.223
2020-10-19,1.223,1.225,1.179,1.192
2020-10-20,1.194,1.199,1.085,1.129
2020-10-21,1.129,1.21,1.077,1.155
2020-10-22,1.154,1.2,1.133,1.166
2020-10-23,1.165,1.185,1.096,1.128
2020-10-24,1.128,1.145,1.101,1.12
2020-10-25,1.12,1.123,1.08,1.085
2020-10-26,1.086,1.09,0.909,1.012
2020-10-27,1.011,1.049,0.93,1.001
2020-10-28,1.001,1.004,0.842,0.865
2020-10-29,0.866,0.895,0.796,0.872
