Date,Open,High,Low,Close
2021-04-07,0.1,10.0,0.1,2.9857
2021-04-08,2.9857,3.2,2.3064,2.3877
2021-04-09,2.3881,2.5564,2.101,2.2719
2021-04-10,2.2773,2.7689,2.25,2.3497
2021-04-11,2.3491,2.4,2.2,2.3032
2021-04-12,2.3045,2.64,2.22,2.3865
2021-04-13,2.3831,2.44,2.0,2.1419
2021-04-14,2.1419,2.22,1.97,2.0509
2021-04-15,2.0481,2.195,1.9901,2.0347
2021-04-16,2.0346,2.0417,1.688,1.7412
2021-04-17,1.741,2.117,1.7291,2.042
2021-04-18,2.0476,3.4815,1.851,2.9251
2021-04-19,2.9334,3.7941,2.7001,2.7515
2021-04-20,2.7482,3.1315,2.3888,2.4338
2021-04-21,2.4394,2.94,2.3748,2.4088
2021-04-22,2.41,2.57,2.12,2.1257
2021-04-23,2.1223,2.31,1.78,2.22
2021-04-24,2.2157,2.45,2.0063,2.2567
2021-04-25,2.2566,2.5599,2.1461,2.295
2021-04-26,2.295,2.5499,2.2714,2.4568
2021-04-27,2.4568,2.89,2.33,2.755
2021-04-28,2.75,3.1738,2.58,2.8331
2021-04-29,2.8331,3.1314,2.6633,2.9716
2021-04-30,2.974,3.58,2.9492,3.5309
2021-05-01,3.5406,3.551,3.15,3.1917
2021-05-02,3.1917,4.6519,2.9023,4.4668
2021-05-03,4.4624,4.99,4.0334,4.2556
2021-05-04,4.2557,4.3,3.6,3.6201
2021-05-05,3.6224,4.3655,3.579,3.9968
2021-05-06,3.9923,4.1649,3.6,3.6651
2021-05-07,3.6639,3.85,3.38,3.5182
2021-05-08,3.5185,4.14,3.4509,3.7426
2021-05-09,3.7426,3.75,3.39,3.5328
2021-05-10,3.5328,3.88,3.1,3.2495
2021-05-11,3.2558,3.8492,3.11,3.7067
2021-05-12,3.7002,3.79,3.075,3.0769
2021-05-13,3.0883,3.3232,2.81,2.9649
2021-05-14,2.9649,3.3114,2.9124,3.0977
2021-05-15,3.098,3.1568,2.8109,2.8324
2021-05-16,2.8279,3.229,2.8,2.9481
2021-05-17,2.9499,3.1301,2.5,2.708
2021-05-18,2.7052,3.1766,2.6808,2.9559
2021-05-19,2.9585,3.0362,1.49,1.8809
2021-05-20,1.8867,2.29,1.6667,2.0935
2021-05-21,2.0915,2.25,1.5057,1.7512
2021-05-22,1.7513,1.7952,1.4775,1.5052
2021-05-23,1.5052,1.55,1.002,1.2806
2021-05-24,1.2802,1.7,1.1986,1.6889
2021-05-25,1.689,1.86,1.379,1.6235
2021-05-26,1.6231,1.926,1.5721,1.9113
2021-05-27,1.9141,1.95,1.6668,1.8153
