Date,Open,High,Low,Close
2023-07-07,26.39,26.49,25.99,26.44
2023-07-08,26.44,26.45,26.33,26.37
2023-07-09,26.37,26.4,26.33,26.37
2023-07-10,26.35,26.39,26.21,26.3
2023-07-11,26.3,26.31,26.21,26.29
2023-07-12,26.3,26.44,26.21,26.35
2023-07-13,26.36,26.36,25.76,25.88
2023-07-14,25.89,26.48,25.52,26.44
2023-07-15,26.44,26.47,26.34,26.42
2023-07-16,26.44,26.5,26.39,26.48
2023-07-17,26.5,26.71,26.35,26.59
2023-07-18,26.59,27.48,26.5,27.43
2023-07-19,27.42,27.42,27.06,27.24
2023-07-20,27.26,27.48,27.1,27.31
2023-07-21,27.31,27.33,27.1,27.3
2023-07-22,27.31,27.32,27.24,27.31
2023-07-23,27.32,27.32,27.25,27.27
2023-07-24,27.28,27.33,27.13,27.25
2023-07-25,27.26,27.27,27.12,27.22
2023-07-26,27.21,27.29,27.16,27.23
2023-07-27,27.24,27.25,27.12,27.2
2023-07-28,27.2,27.22,27.09,27.22
2023-07-29,27.22,27.22,27.17,27.2
2023-07-30,27.2,27.21,27.12,27.12
2023-07-31,27.13,27.15,26.92,27.11
2023-08-01,27.11,27.2,27.06,27.16
2023-08-02,27.17,27.22,27.12,27.18
2023-08-03,27.18,27.2,27.13,27.19
2023-08-04,27.19,27.33,27.15,27.26
2023-08-05,27.25,27.26,27.19,27.22
2023-08-06,27.23,27.24,27.15,27.22
2023-08-07,27.22,27.23,27.11,27.17
2023-08-08,27.17,27.24,27.12,27.19
2023-08-09,27.19,27.21,27.14,27.17
2023-08-10,27.18,27.21,27.15,27.21
2023-08-11,27.21,27.26,27.16,27.25
2023-08-12,27.25,27.28,27.17,27.27
2023-08-13,27.27,27.27,27.2,27.25
2023-08-14,27.26,27.28,27.16,27.25
2023-08-15,27.24,27.46,27.22,27.39
2023-08-16,27.39,27.46,27.31,27.41
2023-08-17,27.42,27.76,27.35,27.62
2023-08-18,27.63,27.7,27.43,27.66
2023-08-19,27.66,27.66,27.56,27.63
2023-08-20,27.63,27.67,27.58,27.58
2023-08-21,27.59,27.62,27.48,27.55
2023-08-22,27.55,27.63,27.47,27.59
2023-08-23,27.59,27.61,27.49,27.58
2023-08-24,27.58,27.59,25.66,26.83
2023-08-25,26.83,27.29,26.66,27.24
2023-08-26,27.24,27.33,27.1,27.3
2023-08-27,27.31,27.31,27.18,27.18
2023-08-28,27.19,27.23,26.8,26.9
2023-08-29,26.9,26.97,26.78,26.94
2023-08-30,26.93,27.05,26.87,26.97
2023-08-31,26.96,27.0,26.78,26.96
2023-09-01,26.95,27.17,26.82,27.12
2023-09-02,27.1,27.17,27.07,27.15
2023-09-03,27.14,27.15,27.03,27.08
2023-09-04,27.08,27.1,26.94,27.05
2023-09-05,27.05,27.06,26.95,27.01
2023-09-06,27.0,27.02,26.94,27.01
2023-09-07,27.01,27.03,26.95,26.99
2023-09-08,26.99,27.13,26.97,27.13
2023-09-09,27.13,27.14,27.06,27.1
2023-09-10,27.11,27.14,27.08,27.13
2023-09-11,27.12,27.15,27.04,27.08
2023-09-12,27.1,27.15,27.04,27.14
2023-09-13,27.14,27.15,27.04,27.1
2023-09-14,27.09,27.09,26.98,27.08
2023-09-15,27.08,27.14,27.01,27.1
2023-09-16,27.1,27.16,27.05,27.14
2023-09-17,27.14,27.16,27.11,27.14
2023-09-18,27.14,27.15,27.08,27.12
2023-09-19,27.12,27.15,27.06,27.14
2023-09-20,27.14,27.16,27.11,27.14
2023-09-21,27.14,27.28,26.76,27.23
2023-09-22,27.23,27.28,27.19,27.26
2023-09-23,27.27,27.38,27.24,27.37
2023-09-24,27.38,27.49,27.33,27.48
2023-09-25,27.49,27.5,27.35,27.42
2023-09-26,27.42,27.45,27.35,27.45
