Date,Open,High,Low,Close
2023-03-17,0.4633,0.475,0.4311,0.4587
2023-03-18,0.4582,0.4733,0.4327,0.435
2023-03-19,0.4356,0.4815,0.4341,0.4583
2023-03-20,0.4584,0.4712,0.4225,0.4299
2023-03-21,0.4305,0.4564,0.4027,0.4268
2023-03-22,0.427,0.4323,0.3935,0.4083
2023-03-23,0.4087,0.4243,0.4003,0.4185
2023-03-24,0.418,0.4499,0.4051,0.4147
2023-03-25,0.4146,0.4231,0.4,0.4173
2023-03-26,0.417,0.43,0.4088,0.4176
2023-03-27,0.4174,0.4234,0.383,0.4009
2023-03-28,0.4002,0.4044,0.3836,0.4003
2023-03-29,0.3995,0.4167,0.398,0.4117
2023-03-30,0.4112,0.4173,0.3945,0.4014
2023-03-31,0.4019,0.42,0.3917,0.4071
2023-04-01,0.4071,0.4155,0.403,0.4044
2023-04-02,0.4052,0.4117,0.3898,0.3948
2023-04-03,0.3948,0.4055,0.381,0.3911
2023-04-04,0.3914,0.3983,0.3824,0.3905
2023-04-05,0.3905,0.409,0.39,0.3996
2023-04-06,0.3989,0.4056,0.3799,0.3979
2023-04-07,0.3981,0.407,0.389,0.3993
2023-04-08,0.4001,0.449,0.393,0.4123
2023-04-09,0.412,0.449,0.4045,0.4278
2023-04-10,0.4285,0.466,0.424,0.4295
2023-04-11,0.4295,0.436,0.4164,0.4178
2023-04-12,0.4178,0.419,0.4011,0.4115
2023-04-13,0.4105,0.4268,0.4104,0.4179
2023-04-14,0.4171,0.435,0.4101,0.4168
2023-04-15,0.4168,0.4332,0.4133,0.4256
2023-04-16,0.4249,0.4544,0.4218,0.4299
2023-04-17,0.4299,0.434,0.4172,0.4266
2023-04-18,0.4264,0.44,0.42,0.4323
2023-04-19,0.4322,0.4406,0.3958,0.4007
2023-04-20,0.4012,0.4136,0.3913,0.403
2023-04-21,0.4033,0.4064,0.37,0.3863
2023-04-22,0.3877,0.3981,0.3784,0.3864
2023-04-23,0.3869,0.404,0.3742,0.3824
2023-04-24,0.3825,0.3948,0.375,0.3911
2023-04-25,0.3902,0.3922,0.3793,0.3897
2023-04-26,0.3904,0.4038,0.3748,0.3857
2023-04-27,0.3857,0.3988,0.3842,0.395
2023-04-28,0.3949,0.4295,0.3871,0.4211
2023-04-29,0.4222,0.4244,0.3985,0.4037
2023-04-30,0.4036,0.4063,0.3938,0.3938
2023-05-01,0.3933,0.3956,0.3635,0.3705
2023-05-02,0.3709,0.382,0.3639,0.3774
2023-05-03,0.3778,0.384,0.3653,0.3791
2023-05-04,0.3793,0.3894,0.3735,0.3777
2023-05-05,0.3787,0.3848,0.374,0.379
2023-05-06,0.3788,0.417,0.3665,0.3889
2023-05-07,0.3895,0.4085,0.375,0.3777
2023-05-08,0.3771,0.379,0.3377,0.3511
2023-05-09,0.3515,0.3592,0.3494,0.3554
2023-05-10,0.3554,0.3629,0.3441,0.3537
2023-05-11,0.3538,0.3836,0.3412,0.3513
2023-05-12,0.3517,0.3656,0.3422,0.3572
2023-05-13,0.3568,0.3612,0.3502,0.3536
2023-05-14,0.3536,0.3625,0.3478,0.3489
2023-05-15,0.3493,0.3624,0.3465,0.3585
2023-05-16,0.3588,0.3672,0.3548,0.3598
2023-05-17,0.3597,0.3626,0.3497,0.3579
2023-05-18,0.358,0.3737,0.3503,0.3613
2023-05-19,0.36,0.3636,0.354,0.3575
2023-05-20,0.3585,0.3729,0.3533,0.3587
2023-05-21,0.3583,0.365,0.347,0.3515
2023-05-22,0.3514,0.3514,0.3393,0.3445
2023-05-23,0.3445,0.3522,0.339,0.3469
2023-05-24,0.3459,0.3523,0.3265,0.3319
2023-05-25,0.3319,0.3441,0.309,0.3334
2023-05-26,0.3331,0.3479,0.3289,0.3357
2023-05-27,0.3355,0.3382,0.3232,0.3265
2023-05-28,0.3264,0.3333,0.3224,0.3297
2023-05-29,0.3293,0.3431,0.3253,0.3363
2023-05-30,0.3367,0.3406,0.3261,0.328
2023-05-31,0.3278,0.329,0.3131,0.3167
2023-06-01,0.3161,0.3194,0.3088,0.3099
2023-06-02,0.3099,0.323,0.3057,0.3183
2023-06-03,0.3181,0.339,0.312,0.3224
2023-06-04,0.3225,0.3318,0.3128,0.3144
2023-06-05,0.314,0.3149,0.278,0.2825
2023-06-06,0.282,0.2922,0.2704,0.2899
2023-06-07,0.2896,0.2904,0.2705,0.275
2023-06-08,0.275,0.2798,0.2647,0.275
2023-06-09,0.275,0.278,0.2657,0.2674
2023-06-10,0.2686,0.2687,0.2228,0.2322
2023-06-11,0.2323,0.2536,0.2296,0.241
2023-06-12,0.2407,0.2408,0.2296,0.2385
2023-06-13,0.2389,0.2476,0.236,0.2379
2023-06-14,0.2378,0.243,0.2222,0.2274
2023-06-15,0.2271,0.2282,0.2175,0.2252
2023-06-16,0.2253,0.2328,0.2225,0.2287
2023-06-17,0.2292,0.2375,0.2283,0.2329
2023-06-18,0.233,0.2369,0.2229,0.2242
2023-06-19,0.2241,0.2264,0.2197,0.2242
2023-06-20,0.2241,0.2377,0.2172,0.2324
2023-06-21,0.2328,0.2454,0.2312,0.2408
2023-06-22,0.2403,0.2462,0.2338,0.2344
2023-06-23,0.2348,0.273,0.2344,0.2628
2023-06-24,0.2624,0.2626,0.246,0.2494
2023-06-25,0.2494,0.258,0.247,0.249
2023-06-26,0.249,0.2491,0.2292,0.2317
2023-06-27,0.2321,0.24,0.2304,0.2333
2023-06-28,0.2332,0.256,0.2234,0.2401
2023-06-29,0.2401,0.256,0.2325,0.2338
2023-06-30,0.2339,0.2426,0.2196,0.2354
2023-07-01,0.2358,0.2387,0.2312,0.2355
2023-07-02,0.2355,0.2363,0.2264,0.2305
2023-07-03,0.2308,0.2533,0.2304,0.2436
2023-07-04,0.2434,0.2796,0.238,0.2502
2023-07-05,0.2501,0.2517,0.235,0.2412
2023-07-06,0.2412,0.2666,0.24,0.2609
2023-07-07,0.2609,0.275,0.2483,0.2665
2023-07-08,0.2649,0.34,0.2595,0.2947
2023-07-09,0.2948,0.3071,0.266,0.2907
2023-07-10,0.2905,0.2924,0.27,0.2844
2023-07-11,0.2844,0.2934,0.2735,0.2791
2023-07-12,0.279,0.3151,0.2735,0.2935
2023-07-13,0.2925,0.322,0.2861,0.2893
2023-07-14,0.29,0.2943,0.27,0.2767
2023-07-15,0.2771,0.2884,0.2718,0.2793
2023-07-16,0.2795,0.2854,0.2751,0.2797
2023-07-17,0.2806,0.2889,0.272,0.2767
2023-07-18,0.2767,0.2791,0.2621,0.2689
2023-07-19,0.2689,0.2785,0.268,0.2691
2023-07-20,0.2687,0.279,0.267,0.2755
2023-07-21,0.2756,0.2829,0.27,0.27
2023-07-22,0.2702,0.2758,0.2681,0.2694
2023-07-23,0.2694,0.2756,0.2679,0.2718
2023-07-24,0.2716,0.2738,0.2539,0.2556
2023-07-25,0.2556,0.266,0.2526,0.2621
2023-07-26,0.2622,0.2666,0.2568,0.2653
2023-07-27,0.2651,0.2761,0.2634,0.2651
2023-07-28,0.2649,0.27,0.2625,0.2652
2023-07-29,0.2652,0.2727,0.2645,0.269
2023-07-30,0.269,0.2715,0.262,0.2637
2023-07-31,0.2637,0.2643,0.256,0.2592
2023-08-01,0.2592,0.2673,0.2584,0.2624
2023-08-02,0.2624,0.2639,0.2547,0.2567
2023-08-03,0.2567,0.2582,0.2538,0.2538
2023-08-04,0.2541,0.255,0.2515,0.2527
2023-08-05,0.2527,0.256,0.25,0.2537
2023-08-06,0.2543,0.2644,0.253,0.2542
2023-08-07,0.2543,0.2582,0.2472,0.2521
2023-08-08,0.2523,0.258,0.2508,0.2542
2023-08-09,0.2543,0.2555,0.2508,0.2535
2023-08-10,0.2531,0.2552,0.2505,0.254
2023-08-11,0.2542,0.2639,0.2523,0.2575
2023-08-12,0.2575,0.2663,0.2561,0.2608
2023-08-13,0.2601,0.2636,0.2576,0.2632
2023-08-14,0.2626,0.2662,0.2594,0.265
2023-08-15,0.2652,0.2986,0.2578,0.2595
2023-08-16,0.2584,0.2615,0.2247,0.2282
2023-08-17,0.2282,0.2313,0.1961,0.206
2023-08-18,0.206,0.2085,0.199,0.2039
2023-08-19,0.2041,0.2124,0.2026,0.208
2023-08-20,0.2083,0.22,0.2067,0.2126
2023-08-21,0.2125,0.2132,0.2046,0.2074
2023-08-22,0.2075,0.2076,0.1965,0.2032
2023-08-23,0.2034,0.2102,0.1997,0.2052
2023-08-24,0.2054,0.2071,0.2015,0.2048
2023-08-25,0.2051,0.236,0.2008,0.2068
2023-08-26,0.207,0.2103,0.2038,0.2044
2023-08-27,0.2043,0.2088,0.2026,0.2035
2023-08-28,0.2034,0.2048,0.1993,0.2008
2023-08-29,0.2011,0.2062,0.1957,0.2042
2023-08-30,0.2045,0.212,0.2002,0.2098
2023-08-31,0.2099,0.2448,0.206,0.2209
2023-09-01,0.2204,0.2318,0.2096,0.2166
2023-09-02,0.2163,0.2289,0.2111,0.226
2023-09-03,0.2254,0.238,0.2195,0.2341
2023-09-04,0.2336,0.248,0.2244,0.2338
2023-09-05,0.2333,0.2413,0.2226,0.2336
2023-09-06,0.2336,0.234,0.2247,0.2284
2023-09-07,0.2284,0.2284,0.2152,0.2245
2023-09-08,0.2243,0.2259,0.2189,0.2207
2023-09-09,0.2209,0.2353,0.2205,0.225
2023-09-10,0.2254,0.2254,0.2159,0.2196
2023-09-11,0.22,0.2501,0.2134,0.2291
2023-09-12,0.2291,0.2314,0.2157,0.2159
2023-09-13,0.2159,0.2198,0.2144,0.2181
2023-09-14,0.2179,0.2273,0.2149,0.221
2023-09-15,0.2213,0.2345,0.2209,0.2285
2023-09-16,0.229,0.2394,0.2262,0.234
2023-09-17,0.2338,0.2512,0.231,0.2318
2023-09-18,0.2323,0.2451,0.2278,0.2392
2023-09-19,0.2391,0.2464,0.236,0.2378
2023-09-20,0.2379,0.2392,0.233,0.2351
2023-09-21,0.2351,0.2357,0.224,0.2258
2023-09-22,0.226,0.2326,0.2248,0.2307
2023-09-23,0.231,0.2391,0.231,0.236
2023-09-24,0.2364,0.2367,0.2277,0.2295
2023-09-25,0.2295,0.2343,0.227,0.2307
2023-09-26,0.2309,0.2321,0.2232,0.2273
2023-09-27,0.227,0.2307,0.2135,0.2185
2023-09-28,0.2185,0.2223,0.2154,0.2214
2023-09-29,0.221,0.2252,0.218,0.2225
2023-09-30,0.2222,0.2297,0.2211,0.2261
2023-10-01,0.2262,0.2305,0.223,0.2269
2023-10-02,0.2267,0.229,0.2187,0.2224
2023-10-03,0.2222,0.2252,0.217,0.2227
2023-10-04,0.2227,0.2236,0.2097,0.2157
2023-10-05,0.2162,0.218,0.21,0.2114
2023-10-06,0.2112,0.2167,0.2078,0.2151
2023-10-07,0.2148,0.2155,0.2098,0.2104
2023-10-08,0.2105,0.2125,0.2071,0.2103
2023-10-09,0.2103,0.2695,0.2044,0.2439
2023-10-10,0.2444,0.3234,0.233,0.2402
2023-10-11,0.2404,0.2442,0.226,0.2283
2023-10-12,0.2283,0.2334,0.21,0.2153
2023-10-13,0.2156,0.2244,0.2123,0.217
2023-10-14,0.2172,0.238,0.215,0.2297
2023-10-15,0.2297,0.2815,0.2288,0.2404
2023-10-16,0.2406,0.2449,0.2277,0.2348
2023-10-17,0.235,0.2788,0.2349,0.2507
2023-10-18,0.2507,0.279,0.2354,0.2426
2023-10-19,0.2427,0.2514,0.235,0.2454
2023-10-20,0.2451,0.2539,0.2384,0.2427
2023-10-21,0.2426,0.2521,0.24,0.2444
2023-10-22,0.2445,0.2491,0.2382,0.2487
2023-10-23,0.2482,0.2523,0.2409,0.2471
2023-10-24,0.2477,0.2645,0.2455,0.2552
2023-10-25,0.2547,0.2604,0.247,0.2556
2023-10-26,0.2551,0.262,0.242,0.2515
2023-10-27,0.2515,0.2521,0.2443,0.2493
2023-10-28,0.2493,0.2592,0.2487,0.2557
2023-10-29,0.2557,0.2649,0.2539,0.2622
2023-10-30,0.2618,0.273,0.26,0.2625
2023-10-31,0.263,0.2772,0.25,0.2627
2023-11-01,0.2627,0.2669,0.255,0.2647
2023-11-02,0.265,0.2945,0.2598,0.2791
2023-11-03,0.2791,0.31,0.2664,0.2768
2023-11-04,0.2768,0.2895,0.2743,0.2832
2023-11-05,0.2832,0.288,0.2675,0.2802
2023-11-06,0.2797,0.2923,0.2766,0.2886
