Date,Open,High,Low,Close
2021-11-22,3.781,5.8,1.05,5.179
2021-11-23,5.179,5.818,4.688,4.907
2021-11-24,4.906,4.927,4.18,4.354
2021-11-25,4.362,4.946,4.234,4.268
2021-11-26,4.267,4.433,3.759,3.842
2021-11-27,3.833,4.023,3.719,3.793
2021-11-28,3.796,4.257,3.551,3.926
2021-11-29,3.926,4.435,3.885,4.223
2021-11-30,4.215,4.77,3.852,4.633
2021-12-01,4.631,5.499,4.579,4.762
2021-12-02,4.754,5.082,4.547,4.581
2021-12-03,4.583,4.746,4.12,4.416
2021-12-04,4.416,4.6,3.458,4.153
2021-12-05,4.156,4.6,3.802,3.961
2021-12-06,3.951,4.0,3.6,3.908
2021-12-07,3.907,4.094,3.695,3.856
2021-12-08,3.856,4.288,3.73,3.999
2021-12-09,3.999,4.03,3.556,3.606
2021-12-10,3.604,3.72,3.35,3.35
2021-12-11,3.353,3.645,3.314,3.613
2021-12-12,3.61,3.685,3.497,3.668
2021-12-13,3.668,3.685,3.186,3.306
2021-12-14,3.307,3.399,3.023,3.209
2021-12-15,3.205,3.481,3.051,3.366
2021-12-16,3.37,3.6,3.14,3.151
2021-12-17,3.15,3.366,3.012,3.097
2021-12-18,3.09,3.186,3.006,3.126
2021-12-19,3.124,3.248,3.048,3.066
2021-12-20,3.064,3.083,2.772,2.887
2021-12-21,2.887,3.167,2.875,2.97
2021-12-22,2.976,3.085,2.889,2.965
2021-12-23,2.965,3.2,2.914,3.159
2021-12-24,3.158,3.233,3.04,3.068
2021-12-25,3.068,3.191,2.995,3.063
2021-12-26,3.058,3.408,3.009,3.187
2021-12-27,3.175,3.856,3.169,3.413
2021-12-28,3.422,3.44,3.01,3.087
2021-12-29,3.087,3.134,2.9,2.911
2021-12-30,2.909,3.161,2.816,3.082
2021-12-31,3.084,3.143,2.881,2.968
2022-01-01,2.968,3.106,2.915,3.038
2022-01-02,3.038,3.11,2.981,3.042
2022-01-03,3.042,3.11,2.907,2.96
2022-01-04,2.965,3.134,2.929,2.979
2022-01-05,2.973,3.08,2.62,2.736
2022-01-06,2.73,2.91,2.588,2.787
2022-01-07,2.786,2.818,2.533,2.607
2022-01-08,2.607,2.694,2.434,2.596
2022-01-09,2.593,2.754,2.506,2.622
2022-01-10,2.62,2.634,2.366,2.508
2022-01-11,2.513,2.713,2.462,2.588
2022-01-12,2.588,2.753,2.506,2.651
2022-01-13,2.653,2.663,2.452,2.469
2022-01-14,2.467,2.583,2.401,2.462
2022-01-15,2.463,2.62,2.447,2.554
2022-01-16,2.552,2.553,2.462,2.487
2022-01-17,2.489,2.544,2.338,2.401
2022-01-18,2.401,2.424,2.227,2.316
2022-01-19,2.317,2.367,2.224,2.251
2022-01-20,2.252,2.402,2.08,2.096
2022-01-21,2.095,2.163,1.789,1.941
2022-01-22,1.944,2.031,1.66,1.849
2022-01-23,1.846,1.989,1.824,1.944
2022-01-24,1.938,1.938,1.589,1.806
2022-01-25,1.806,1.878,1.714,1.833
2022-01-26,1.83,2.08,1.744,1.82
2022-01-27,1.817,1.902,1.685,1.737
2022-01-28,1.738,1.774,1.693,1.73
2022-01-29,1.73,1.811,1.708,1.761
2022-01-30,1.759,1.898,1.717,1.758
2022-01-31,1.758,1.88,1.6,1.797
2022-02-01,1.794,2.165,1.782,1.907
2022-02-02,1.903,2.011,1.762,1.766
2022-02-03,1.766,1.814,1.722,1.808
2022-02-04,1.808,1.992,1.803,1.979
2022-02-05,1.98,2.066,1.955,2.0
2022-02-06,2.005,2.046,1.952,2.029
2022-02-07,2.028,2.257,1.973,2.155
2022-02-08,2.156,2.251,1.996,2.048
2022-02-09,2.048,2.186,1.995,2.152
2022-02-10,2.152,2.173,1.972,1.974
2022-02-11,1.974,2.011,1.812,1.863
2022-02-12,1.863,1.938,1.833,1.924
2022-02-13,1.923,1.94,1.871,1.933
2022-02-14,1.932,1.935,1.814,1.877
2022-02-15,1.878,2.047,1.876,1.976
2022-02-16,1.976,1.976,1.857,1.911
2022-02-17,1.911,1.916,1.709,1.723
2022-02-18,1.723,1.791,1.669,1.699
2022-02-19,1.697,1.719,1.622,1.677
2022-02-20,1.677,1.677,1.549,1.581
2022-02-21,1.583,1.698,1.481,1.49
2022-02-22,1.491,1.58,1.45,1.574
2022-02-23,1.573,1.72,1.54,1.556
2022-02-24,1.554,1.702,1.303,1.601
2022-02-25,1.596,1.756,1.563,1.71
2022-02-26,1.709,1.788,1.653,1.673
2022-02-27,1.676,1.795,1.607,1.626
2022-02-28,1.629,1.854,1.584,1.794
2022-03-01,1.794,1.908,1.758,1.851
2022-03-02,1.846,1.94,1.769,1.793
2022-03-03,1.791,1.813,1.674,1.715
2022-03-04,1.712,1.731,1.585,1.639
2022-03-05,1.636,1.727,1.594,1.682
2022-03-06,1.685,1.714,1.582,1.586
2022-03-07,1.586,1.593,1.465,1.486
2022-03-08,1.486,1.54,1.476,1.512
2022-03-09,1.509,1.682,1.491,1.602
2022-03-10,1.605,1.607,1.517,1.564
2022-03-11,1.564,1.607,1.519,1.536
2022-03-12,1.537,1.642,1.531,1.592
2022-03-13,1.591,1.7,1.56,1.571
2022-03-14,1.571,1.646,1.546,1.57
2022-03-15,1.569,1.735,1.561,1.656
2022-03-16,1.658,1.725,1.622,1.691
2022-03-17,1.694,1.718,1.669,1.684
2022-03-18,1.684,1.818,1.65,1.816
2022-03-19,1.815,1.84,1.759,1.799
2022-03-20,1.798,1.825,1.727,1.765
2022-03-21,1.766,1.83,1.722,1.824
2022-03-22,1.827,2.045,1.824,1.865
2022-03-23,1.865,1.918,1.826,1.913
2022-03-24,1.918,1.954,1.869,1.895
2022-03-25,1.891,1.999,1.874,1.921
2022-03-26,1.926,1.989,1.893,1.976
2022-03-27,1.973,2.345,1.972,2.132
2022-03-28,2.132,2.231,2.07,2.097
2022-03-29,2.098,2.205,2.068,2.131
2022-03-30,2.123,2.154,1.827,1.94
2022-03-31,1.94,1.963,1.83,1.838
2022-04-01,1.838,1.893,1.776,1.81
2022-04-02,1.808,1.893,1.77,1.787
2022-04-03,1.784,1.84,1.745,1.779
2022-04-04,1.78,1.807,1.704,1.75
2022-04-05,1.75,1.807,1.675,1.686
2022-04-06,1.685,1.704,1.582,1.598
2022-04-07,1.599,1.751,1.577,1.632
2022-04-08,1.63,1.724,1.55,1.558
2022-04-09,1.557,1.64,1.54,1.613
2022-04-10,1.612,1.645,1.565,1.571
2022-04-11,1.569,1.583,1.384,1.485
2022-04-12,1.485,1.542,1.435,1.481
2022-04-13,1.483,1.649,1.466,1.511
2022-04-14,1.513,1.538,1.432,1.456
2022-04-15,1.453,1.518,1.451,1.503
2022-04-16,1.502,1.502,1.44,1.458
2022-04-17,1.46,1.484,1.408,1.428
2022-04-18,1.427,1.522,1.391,1.5
2022-04-19,1.5,1.517,1.451,1.47
2022-04-20,1.47,1.492,1.405,1.443
2022-04-21,1.444,1.475,1.381,1.401
2022-04-22,1.4,1.448,1.377,1.427
2022-04-23,1.428,1.434,1.367,1.375
2022-04-24,1.376,1.412,1.372,1.38
2022-04-25,1.382,1.444,1.318,1.379
2022-04-26,1.379,1.393,1.294,1.327
2022-04-27,1.324,1.4,1.284,1.362
2022-04-28,1.358,1.404,1.309,1.325
2022-04-29,1.324,1.333,1.172,1.206
2022-04-30,1.206,1.246,1.089,1.1
2022-05-01,1.099,1.229,1.06,1.18
2022-05-02,1.181,1.228,1.079,1.118
2022-05-03,1.119,1.24,1.074,1.128
2022-05-04,1.128,1.308,1.127,1.279
2022-05-05,1.277,1.308,1.095,1.139
2022-05-06,1.141,1.18,1.111,1.168
2022-05-07,1.167,1.172,1.074,1.111
2022-05-08,1.111,1.111,1.043,1.08
2022-05-09,1.081,1.095,0.884,0.955
2022-05-10,0.953,1.085,0.889,0.973
2022-05-11,0.969,0.994,0.68,0.755
2022-05-12,0.758,0.9,0.589,0.624
2022-05-13,0.624,0.922,0.612,0.769
2022-05-14,0.773,0.896,0.735,0.843
2022-05-15,0.844,0.892,0.817,0.872
2022-05-16,0.876,0.951,0.795,0.827
2022-05-17,0.829,0.925,0.793,0.865
2022-05-18,0.866,0.868,0.76,0.76
2022-05-19,0.76,0.826,0.75,0.794
2022-05-20,0.792,0.816,0.735,0.777
2022-05-21,0.777,0.821,0.759,0.773
2022-05-22,0.774,0.799,0.761,0.791
2022-05-23,0.789,0.815,0.779,0.782
2022-05-24,0.784,0.915,0.751,0.787
2022-05-25,0.787,0.808,0.755,0.773
2022-05-26,0.771,0.815,0.726,0.747
2022-05-27,0.748,0.759,0.723,0.727
2022-05-28,0.726,0.783,0.721,0.769
2022-05-29,0.771,0.783,0.751,0.762
2022-05-30,0.762,0.838,0.758,0.83
2022-05-31,0.829,1.161,0.795,1.014
2022-06-01,1.014,1.392,0.931,0.94
2022-06-02,0.942,1.079,0.896,1.057
2022-06-03,1.057,1.259,0.945,0.964
2022-06-04,0.962,1.002,0.913,0.945
2022-06-05,0.946,0.946,0.871,0.877
2022-06-06,0.88,0.936,0.86,0.862
2022-06-07,0.864,0.878,0.822,0.842
2022-06-08,0.842,0.856,0.816,0.838
2022-06-09,0.838,0.843,0.786,0.787
2022-06-10,0.788,0.824,0.735,0.757
2022-06-11,0.755,0.787,0.712,0.729
2022-06-12,0.733,0.783,0.675,0.678
2022-06-13,0.677,0.677,0.579,0.598
2022-06-14,0.596,0.646,0.557,0.623
2022-06-15,0.621,0.636,0.539,0.634
2022-06-16,0.634,0.647,0.502,0.51
2022-06-17,0.509,0.57,0.501,0.547
2022-06-18,0.546,0.62,0.449,0.489
2022-06-19,0.489,0.571,0.465,0.548
2022-06-20,0.545,0.567,0.507,0.532
2022-06-21,0.531,0.585,0.524,0.53
2022-06-22,0.531,0.554,0.409,0.414
2022-06-23,0.414,0.477,0.41,0.427
2022-06-24,0.426,0.431,0.401,0.418
2022-06-25,0.418,0.425,0.328,0.376
2022-06-26,0.376,0.404,0.35,0.353
2022-06-27,0.353,0.37,0.305,0.306
2022-06-28,0.307,0.314,0.274,0.289
2022-06-29,0.289,0.46,0.25,0.34
2022-06-30,0.341,0.36,0.284,0.308
2022-07-01,0.309,0.329,0.248,0.256
2022-07-02,0.256,0.278,0.25,0.261
2022-07-03,0.261,0.274,0.241,0.253
2022-07-04,0.253,0.257,0.242,0.255
2022-07-05,0.254,0.262,0.229,0.238
2022-07-06,0.238,0.244,0.183,0.203
2022-07-07,0.202,0.212,0.19,0.2
2022-07-08,0.201,0.211,0.194,0.196
2022-07-09,0.197,0.2,0.192,0.192
2022-07-10,0.193,0.194,0.174,0.177
2022-07-11,0.177,0.177,0.151,0.153
2022-07-12,0.153,0.419,0.14,0.337
