Date,Open,High,Low,Close
2023-02-24,0.1031,0.1374,0.1031,0.1171
2023-02-25,0.11675,0.1193,0.10599,0.11023
2023-02-26,0.11076,0.12048,0.10968,0.11266
2023-02-27,0.11325,0.117,0.10754,0.10929
2023-02-28,0.10923,0.11,0.10272,0.10384
2023-03-01,0.10361,0.11193,0.10242,0.10763
2023-03-02,0.10784,0.10999,0.1003,0.10314
2023-03-03,0.10289,0.10314,0.0911,0.09495
2023-03-04,0.09508,0.113,0.09287,0.10375
2023-03-05,0.10367,0.10667,0.09791,0.0994
2023-03-06,0.0994,0.11369,0.09698,0.10093
2023-03-07,0.10103,0.10305,0.09704,0.09863
2023-03-08,0.09898,0.10112,0.09411,0.09684
2023-03-09,0.0968,0.10342,0.08805,0.09068
2023-03-10,0.09089,0.09206,0.08388,0.08983
2023-03-11,0.08979,0.09747,0.08284,0.09188
2023-03-12,0.09188,0.0948,0.08878,0.09467
2023-03-13,0.09456,0.10124,0.09349,0.09835
2023-03-14,0.09836,0.10613,0.0955,0.09999
2023-03-15,0.09994,0.10322,0.0924,0.09462
2023-03-16,0.09505,0.103,0.09319,0.0993
2023-03-17,0.09938,0.1026,0.09753,0.10204
2023-03-18,0.10204,0.104,0.09802,0.09886
2023-03-19,0.09887,0.10741,0.09861,0.09956
2023-03-20,0.09953,0.10151,0.09224,0.09398
2023-03-21,0.09403,0.09761,0.09225,0.09578
2023-03-22,0.09576,0.09692,0.08901,0.09133
2023-03-23,0.09164,0.0959,0.09012,0.09454
2023-03-24,0.09454,0.09549,0.09271,0.09398
2023-03-25,0.09396,0.09745,0.0895,0.09036
2023-03-26,0.09026,0.09237,0.089,0.08987
2023-03-27,0.08997,0.09033,0.08281,0.08557
2023-03-28,0.08563,0.08752,0.08313,0.08586
2023-03-29,0.08589,0.08965,0.08571,0.08858
2023-03-30,0.08867,0.09158,0.08596,0.0869
2023-03-31,0.08691,0.09079,0.0863,0.08889
2023-04-01,0.08878,0.08946,0.0874,0.0885
2023-04-02,0.0885,0.0907,0.08711,0.08945
2023-04-03,0.08945,0.09495,0.08657,0.08821
2023-04-04,0.08827,0.091,0.0875,0.09004
2023-04-05,0.09005,0.091,0.08802,0.08913
2023-04-06,0.08929,0.08989,0.08721,0.08844
2023-04-07,0.08846,0.0899,0.08683,0.08792
2023-04-08,0.08792,0.10295,0.08786,0.09102
2023-04-09,0.09105,0.097,0.08924,0.08987
2023-04-10,0.08995,0.09177,0.08983,0.09057
2023-04-11,0.0907,0.09406,0.08977,0.08993
2023-04-12,0.09002,0.09695,0.08722,0.09229
2023-04-13,0.09246,0.09351,0.09099,0.09207
2023-04-14,0.09214,0.0944,0.09127,0.09295
2023-04-15,0.093,0.09722,0.09216,0.09625
2023-04-16,0.09611,0.10651,0.0951,0.09523
2023-04-17,0.09518,0.0983,0.09278,0.09368
2023-04-18,0.0938,0.09593,0.09176,0.09396
2023-04-19,0.09398,0.09409,0.0867,0.0867
2023-04-20,0.08683,0.08931,0.08449,0.08748
2023-04-21,0.08737,0.0905,0.08219,0.08262
2023-04-22,0.08261,0.08566,0.08127,0.08534
2023-04-23,0.08545,0.08566,0.08069,0.08182
2023-04-24,0.08197,0.08298,0.0798,0.08131
2023-04-25,0.08138,0.08311,0.08,0.08264
2023-04-26,0.08277,0.0851,0.07775,0.08031
2023-04-27,0.08037,0.08285,0.07935,0.08198
2023-04-28,0.08208,0.08222,0.07465,0.07656
2023-04-29,0.0766,0.07964,0.07541,0.07701
2023-04-30,0.077,0.081,0.07422,0.07422
