Date,Open,High,Low,Close
2021-12-14,0.2,6.95,0.2,2.835
2021-12-15,2.834,4.5678,2.5347,3.7831
2021-12-16,3.778,4.7716,3.1288,3.2667
2021-12-17,3.2667,3.4397,2.8956,2.911
2021-12-18,2.911,2.976,2.4449,2.835
2021-12-19,2.8349,3.5,2.6112,2.9854
2021-12-20,2.9832,3.3888,2.7947,2.8973
2021-12-21,2.8978,3.1796,2.87,2.935
2021-12-22,2.935,3.17,2.89,2.9745
2021-12-23,2.9722,3.0727,2.7616,3.0607
2021-12-24,3.0615,3.16,2.8597,2.8834
2021-12-25,2.8818,2.9675,2.7668,2.8362
2021-12-26,2.8403,2.9404,2.7641,2.7917
2021-12-27,2.7917,3.11,2.75,2.9412
2021-12-28,2.9382,3.03,2.6,2.9799
2021-12-29,2.9761,3.874,2.865,3.0391
2021-12-30,3.0363,3.35,2.9419,3.2619
2021-12-31,3.2619,3.9888,3.1999,3.6101
2022-01-01,3.6101,3.873,3.4111,3.5708
2022-01-02,3.5766,4.3212,3.5214,4.0187
2022-01-03,4.0186,4.1227,3.4447,3.5
2022-01-04,3.5023,3.6388,3.2398,3.2402
2022-01-05,3.2402,3.4095,2.8,2.9272
2022-01-06,2.9296,3.2148,2.8,3.0007
2022-01-07,3.0009,3.006,2.6399,2.64
2022-01-08,2.6447,2.9009,2.4939,2.584
2022-01-09,2.5787,2.6815,2.4921,2.583
2022-01-10,2.5834,2.6495,2.3001,2.3728
2022-01-11,2.3712,2.5344,2.28,2.4122
2022-01-12,2.4122,2.8113,2.3714,2.6132
2022-01-13,2.6124,2.6509,2.4,2.4366
2022-01-14,2.4336,2.4564,2.3313,2.3871
2022-01-15,2.3871,2.52,2.3632,2.4633
2022-01-16,2.4633,2.83,2.4211,2.5468
2022-01-17,2.5464,2.5472,2.365,2.4189
2022-01-18,2.4151,2.463,2.0733,2.2053
2022-01-19,2.2064,2.2079,2.0155,2.11
2022-01-20,2.1099,2.1273,1.8182,1.8334
2022-01-21,1.8326,1.865,1.5101,1.5545
2022-01-22,1.5621,1.5839,1.128,1.2621
2022-01-23,1.2624,1.65,1.2471,1.5028
2022-01-24,1.5018,1.5984,1.2,1.4577
2022-01-25,1.4644,1.625,1.4166,1.5242
2022-01-26,1.5242,1.6205,1.4734,1.5294
2022-01-27,1.529,1.5441,1.3831,1.4609
2022-01-28,1.4644,1.6249,1.4075,1.59
2022-01-29,1.59,1.71,1.5521,1.5829
2022-01-30,1.5829,1.6122,1.4507,1.477
2022-01-31,1.477,1.5451,1.42,1.5104
2022-02-01,1.5127,1.68,1.4731,1.6223
2022-02-02,1.6212,2.2609,1.6101,1.8061
2022-02-03,1.8107,2.0759,1.7267,1.9093
2022-02-04,1.9148,2.027,1.8197,1.98
2022-02-05,1.9762,2.0367,1.8916,1.9785
2022-02-06,1.9826,2.23,1.9532,2.075
2022-02-07,2.075,2.136,1.9768,2.01
2022-02-08,2.006,2.015,1.727,1.7477
2022-02-09,1.7508,1.8811,1.7381,1.8359
2022-02-10,1.8361,1.9023,1.6718,1.7014
2022-02-11,1.7043,1.7154,1.4264,1.4635
2022-02-12,1.4655,1.5225,1.4139,1.4703
2022-02-13,1.4718,1.62,1.3526,1.3546
2022-02-14,1.3537,1.4261,1.3347,1.404
2022-02-15,1.403,1.53,1.3977,1.4919
2022-02-16,1.4907,1.5597,1.4208,1.5012
2022-02-17,1.5018,1.5248,1.3101,1.3327
2022-02-18,1.3322,1.3697,1.24,1.2618
2022-02-19,1.26,1.2934,1.2238,1.263
2022-02-20,1.2628,1.2652,1.0616,1.0848
2022-02-21,1.0857,1.1562,0.9689,0.9718
2022-02-22,0.971,0.982,0.9019,0.958
2022-02-23,0.961,1.4773,0.9427,1.2037
2022-02-24,1.2037,1.3616,0.9998,1.1935
2022-02-25,1.1931,1.59,1.1857,1.486
2022-02-26,1.4873,1.55,1.3645,1.4137
2022-02-27,1.4137,1.8092,1.3402,1.5065
2022-02-28,1.5085,1.7153,1.4305,1.6356
2022-03-01,1.6359,1.693,1.5588,1.5926
2022-03-02,1.5924,2.13,1.5393,1.8908
2022-03-03,1.8891,1.95,1.6823,1.7775
2022-03-04,1.7789,1.8,1.42,1.4247
2022-03-05,1.4252,1.5302,1.4162,1.4951
2022-03-06,1.4952,1.5169,1.3237,1.34
2022-03-07,1.3397,1.3729,1.1665,1.2328
