Date,Open,High,Low,Close
2022-02-08,0.6868,0.879,0.6868,0.7626
2022-02-09,0.7625,0.82,0.7121,0.7329
2022-02-10,0.7329,0.74,0.6576,0.6637
2022-02-11,0.6649,0.6877,0.5587,0.58
2022-02-12,0.5792,0.612,0.5555,0.5699
2022-02-13,0.5697,0.584,0.5302,0.5341
2022-02-14,0.5336,0.5857,0.525,0.5685
2022-02-15,0.5685,0.6204,0.562,0.5997
2022-02-16,0.5982,0.6086,0.5681,0.5928
2022-02-17,0.5928,0.607,0.5171,0.5263
2022-02-18,0.5262,0.5468,0.4942,0.5091
2022-02-19,0.5092,0.5248,0.4717,0.4786
2022-02-20,0.4786,0.4822,0.4163,0.4248
2022-02-21,0.4248,0.4769,0.393,0.3956
2022-02-22,0.3957,0.435,0.3708,0.4202
2022-02-23,0.4202,0.4632,0.3952,0.3991
2022-02-24,0.3991,0.4085,0.338,0.3861
2022-02-25,0.3868,0.4599,0.3785,0.4342
2022-02-26,0.4353,0.4946,0.4271,0.4633
2022-02-27,0.4632,0.5037,0.4208,0.4362
2022-02-28,0.4364,0.5499,0.425,0.5097
2022-03-01,0.5087,0.541,0.4919,0.5237
2022-03-02,0.5237,0.5483,0.5036,0.5082
2022-03-03,0.5082,0.517,0.4688,0.494
2022-03-04,0.4933,0.509,0.4479,0.4567
2022-03-05,0.4577,0.4844,0.443,0.4796
2022-03-06,0.4795,0.509,0.4493,0.4505
2022-03-07,0.4506,0.4693,0.4227,0.4319
2022-03-08,0.4319,0.45,0.4239,0.4378
2022-03-09,0.4382,0.5433,0.4369,0.5026
2022-03-10,0.5025,0.515,0.4696,0.4845
2022-03-11,0.4848,0.504,0.4638,0.4766
2022-03-12,0.476,0.5,0.4635,0.4714
2022-03-13,0.4722,0.4889,0.44,0.443
2022-03-14,0.4428,0.4632,0.4355,0.4542
2022-03-15,0.4538,0.4594,0.422,0.4548
2022-03-16,0.4554,0.526,0.4468,0.4948
2022-03-17,0.4947,0.54,0.4927,0.5155
2022-03-18,0.5148,0.64,0.4898,0.5978
2022-03-19,0.5992,0.6392,0.572,0.5968
2022-03-20,0.5964,0.618,0.5517,0.5916
2022-03-21,0.5932,0.6114,0.5501,0.5627
2022-03-22,0.5636,0.5914,0.5506,0.5608
2022-03-23,0.5613,0.59,0.5463,0.5726
2022-03-24,0.5719,0.6379,0.5638,0.6071
2022-03-25,0.6065,0.6376,0.5684,0.5753
2022-03-26,0.5753,0.5885,0.5633,0.5781
2022-03-27,0.5787,0.62,0.576,0.6157
2022-03-28,0.6168,0.66,0.6095,0.6145
2022-03-29,0.6145,0.657,0.6061,0.6201
2022-03-30,0.62,0.678,0.61,0.6517
2022-03-31,0.6512,0.69,0.6115,0.6308
2022-04-01,0.6308,0.6419,0.572,0.6092
2022-04-02,0.6083,0.6499,0.5882,0.5903
2022-04-03,0.5901,0.6245,0.5762,0.5945
2022-04-04,0.5945,0.603,0.5516,0.6018
2022-04-05,0.6029,0.6049,0.5401,0.5446
2022-04-06,0.545,0.5563,0.49,0.5027
2022-04-07,0.5028,0.558,0.4762,0.5371
2022-04-08,0.5376,0.645,0.497,0.5146
2022-04-09,0.5143,0.537,0.5005,0.5265
2022-04-10,0.5271,0.5335,0.498,0.502
2022-04-11,0.5026,0.5051,0.4473,0.4565
2022-04-12,0.4565,0.507,0.4502,0.4636
