Date,Open,High,Low,Close
2020-02-05,0.02,0.075,0.02,0.0655
2020-02-06,0.06558,0.144,0.0585,0.12142
2020-02-07,0.12128,0.16488,0.103,0.1125
2020-02-08,0.1125,0.12844,0.102,0.11124
2020-02-09,0.11181,0.11929,0.08427,0.0935
2020-02-10,0.0935,0.108,0.0877,0.09404
2020-02-11,0.094,0.10172,0.08955,0.09254
2020-02-12,0.09254,0.13,0.09243,0.121
2020-02-13,0.12113,0.128,0.09939,0.10762
2020-02-14,0.10762,0.11324,0.10326,0.1112
2020-02-15,0.11173,0.11835,0.09805,0.09936
2020-02-16,0.09969,0.10215,0.07961,0.09016
2020-02-17,0.09001,0.0971,0.0801,0.08762
2020-02-18,0.08751,0.09252,0.08666,0.09102
2020-02-19,0.09102,0.0968,0.08188,0.08423
2020-02-20,0.08391,0.08598,0.07529,0.07997
2020-02-21,0.07952,0.0881,0.079,0.08423
2020-02-22,0.08423,0.08557,0.07852,0.08089
2020-02-23,0.08087,0.086,0.08029,0.08585
2020-02-24,0.08582,0.08586,0.07454,0.07935
2020-02-25,0.0796,0.07979,0.07168,0.07428
2020-02-26,0.07338,0.07398,0.05682,0.06359
2020-02-27,0.06348,0.0727,0.0585,0.0628
2020-02-28,0.0628,0.066,0.05579,0.06266
2020-02-29,0.06266,0.0643,0.05972,0.06025
2020-03-01,0.06,0.063,0.05882,0.06203
2020-03-02,0.062,0.076,0.0616,0.07025
2020-03-03,0.07025,0.07477,0.06821,0.07476
2020-03-04,0.07476,0.1256,0.07368,0.1256
2020-03-05,0.12569,0.1456,0.11929,0.1225
2020-03-06,0.1225,0.16,0.1212,0.154
2020-03-07,0.154,0.22989,0.15352,0.20328
2020-03-08,0.20338,0.20948,0.15185,0.16115
2020-03-09,0.16114,0.212,0.15874,0.20345
2020-03-10,0.2035,0.2099,0.17931,0.19255
2020-03-11,0.19244,0.19964,0.15735,0.17292
2020-03-12,0.17292,0.17292,0.07977,0.08634
2020-03-13,0.08588,0.12,0.05167,0.10486
2020-03-14,0.10484,0.11649,0.09015,0.09439
2020-03-15,0.09436,0.10825,0.09088,0.09398
2020-03-16,0.09398,0.09434,0.06192,0.07611
2020-03-17,0.07612,0.109,0.07273,0.0983
2020-03-18,0.09785,0.1057,0.0875,0.0978
2020-03-19,0.098,0.12049,0.0918,0.10418
2020-03-20,0.10458,0.12327,0.08962,0.1015
2020-03-21,0.10162,0.109,0.093,0.10259
2020-03-22,0.10227,0.10566,0.085,0.08783
2020-03-23,0.08777,0.102,0.08453,0.09688
2020-03-24,0.09688,0.10538,0.09452,0.09851
2020-03-25,0.0983,0.1038,0.09338,0.10105
2020-03-26,0.10105,0.1046,0.09668,0.10058
2020-03-27,0.10042,0.10388,0.0945,0.095
2020-03-28,0.095,0.095,0.0891,0.09356
2020-03-29,0.09356,0.09498,0.08818,0.0889
2020-03-30,0.08934,0.09754,0.08855,0.094
