Date,Open,High,Low,Close
2020-04-07,0.2608,0.2774,0.2449,0.2562
2020-04-08,0.2572,0.2701,0.2523,0.2601
2020-04-09,0.2591,0.2683,0.2543,0.2626
2020-04-10,0.2609,0.262,0.2216,0.2305
2020-04-11,0.2299,0.2384,0.2242,0.2299
2020-04-12,0.2299,0.2488,0.2247,0.2332
2020-04-13,0.2284,0.2322,0.217,0.2264
2020-04-14,0.2262,0.2351,0.223,0.2298
2020-04-15,0.2279,0.2349,0.2243,0.2261
2020-04-16,0.2229,0.36,0.2165,0.2697
2020-04-17,0.27,0.3382,0.2587,0.3047
2020-04-18,0.3047,0.3279,0.2978,0.3029
2020-04-19,0.3029,0.303,0.2857,0.2891
2020-04-20,0.2888,0.2932,0.2546,0.2593
2020-04-21,0.2591,0.2965,0.2554,0.2795
2020-04-22,0.2792,0.2998,0.2748,0.2884
2020-04-23,0.2889,0.2949,0.2739,0.2852
2020-04-24,0.2858,0.304,0.2851,0.2918
2020-04-25,0.2919,0.3033,0.2884,0.3004
2020-04-26,0.2994,0.3012,0.29,0.2958
2020-04-27,0.2958,0.2994,0.2728,0.2875
2020-04-28,0.2857,0.2868,0.28,0.2849
2020-04-29,0.2849,0.2975,0.2848,0.297
2020-04-30,0.296,0.3044,0.28,0.2835
2020-05-01,0.2832,0.2999,0.2826,0.2927
2020-05-02,0.2913,0.2994,0.2913,0.2991
2020-05-03,0.2969,0.3005,0.287,0.2938
2020-05-04,0.2959,0.2963,0.2761,0.2925
2020-05-05,0.2915,0.3026,0.2858,0.3015
2020-05-06,0.3015,0.3224,0.2849,0.2869
2020-05-07,0.2867,0.2958,0.28,0.2895
2020-05-08,0.2902,0.3028,0.2853,0.2946
2020-05-09,0.2938,0.3142,0.2908,0.2946
2020-05-10,0.2946,0.2946,0.249,0.2648
2020-05-11,0.2649,0.2679,0.2415,0.257
2020-05-12,0.257,0.2625,0.2528,0.2565
2020-05-13,0.2566,0.281,0.2552,0.2712
2020-05-14,0.2725,0.2779,0.2575,0.2645
2020-05-15,0.2642,0.2679,0.2558,0.2608
2020-05-16,0.2617,0.2706,0.2603,0.2677
2020-05-17,0.269,0.2725,0.2605,0.2632
2020-05-18,0.2631,0.27,0.2606,0.2679
2020-05-19,0.2657,0.276,0.2627,0.2722
2020-05-20,0.2723,0.2904,0.2661,0.2769
2020-05-21,0.2769,0.2868,0.2539,0.2621
2020-05-22,0.2606,0.31,0.26,0.294
2020-05-23,0.296,0.3499,0.2859,0.2981
2020-05-24,0.2998,0.3284,0.2925,0.2925
2020-05-25,0.2925,0.3326,0.2901,0.3317
2020-05-26,0.3326,0.3984,0.3286,0.3565
2020-05-27,0.3565,0.3651,0.3249,0.3471
2020-05-28,0.348,0.355,0.3284,0.3488
2020-05-29,0.3478,0.3796,0.3417,0.3606
2020-05-30,0.3586,0.3659,0.3473,0.3601
2020-05-31,0.3601,0.3789,0.3334,0.3488
2020-06-01,0.3472,0.3607,0.344,0.3456
2020-06-02,0.3478,0.3582,0.2751,0.3427
2020-06-03,0.3431,0.3529,0.335,0.3452
2020-06-04,0.3456,0.3505,0.332,0.3403
2020-06-05,0.3402,0.3631,0.3364,0.3589
2020-06-06,0.3564,0.3912,0.35,0.3881
2020-06-07,0.3881,0.42,0.354,0.3675
2020-06-08,0.3675,0.4187,0.3665,0.4008
2020-06-09,0.4034,0.4148,0.3878,0.3972
2020-06-10,0.3986,0.426,0.3897,0.41
2020-06-11,0.412,0.4489,0.3536,0.3687
2020-06-12,0.3662,0.4106,0.3608,0.3835
2020-06-13,0.3835,0.395,0.3738,0.3845
2020-06-14,0.3856,0.3876,0.3511,0.3552
