Date,Open,High,Low,Close
2022-01-28,2.224,3.89,2.126,2.284
2022-01-29,2.285,2.43,2.251,2.307
2022-01-30,2.31,2.355,2.175,2.212
2022-01-31,2.212,2.3,2.092,2.14
2022-02-01,2.14,2.246,2.104,2.144
2022-02-02,2.144,2.2,2.074,2.095
2022-02-03,2.092,2.16,2.006,2.069
2022-02-04,2.068,2.24,2.049,2.226
2022-02-05,2.228,2.362,2.18,2.203
2022-02-06,2.204,2.314,2.189,2.248
2022-02-07,2.247,2.398,2.221,2.362
2022-02-08,2.364,2.448,2.249,2.357
2022-02-09,2.358,2.5,2.314,2.368
2022-02-10,2.373,2.466,2.29,2.365
2022-02-11,2.365,2.382,2.15,2.176
2022-02-12,2.185,2.233,2.137,2.168
2022-02-13,2.174,2.28,2.104,2.11
2022-02-14,2.11,2.168,2.09,2.14
2022-02-15,2.134,2.373,2.128,2.326
2022-02-16,2.332,2.359,2.211,2.25
2022-02-17,2.25,2.296,2.061,2.098
2022-02-18,2.101,2.152,2.01,2.056
2022-02-19,2.056,2.125,2.015,2.083
2022-02-20,2.083,2.083,1.887,1.958
2022-02-21,1.956,2.128,1.879,1.89
2022-02-22,1.885,1.986,1.839,1.969
2022-02-23,1.968,2.086,1.891,1.904
2022-02-24,1.902,1.919,1.585,1.768
2022-02-25,1.765,1.91,1.76,1.861
2022-02-26,1.865,1.912,1.841,1.864
2022-02-27,1.857,1.905,1.728,1.745
2022-02-28,1.745,1.983,1.706,1.934
2022-03-01,1.925,1.963,1.853,1.914
2022-03-02,1.911,1.94,1.836,1.865
2022-03-03,1.866,2.035,1.852,1.863
2022-03-04,1.864,1.926,1.729,1.743
2022-03-05,1.745,1.843,1.719,1.806
2022-03-06,1.807,1.822,1.667,1.675
2022-03-07,1.676,1.7,1.586,1.614
2022-03-08,1.616,1.692,1.601,1.674
2022-03-09,1.675,1.799,1.672,1.739
2022-03-10,1.742,1.757,1.64,1.683
2022-03-11,1.681,1.739,1.647,1.683
2022-03-12,1.68,1.783,1.679,1.709
2022-03-13,1.707,1.749,1.59,1.625
2022-03-14,1.624,1.709,1.61,1.694
2022-03-15,1.698,1.723,1.627,1.689
2022-03-16,1.692,3.201,1.678,2.315
2022-03-17,2.313,3.028,2.046,2.613
2022-03-18,2.61,2.63,2.238,2.335
2022-03-19,2.337,2.404,2.258,2.277
2022-03-20,2.275,2.333,2.179,2.208
2022-03-21,2.209,2.291,2.159,2.213
2022-03-22,2.21,2.311,2.201,2.231
2022-03-23,2.23,2.366,2.211,2.28
2022-03-24,2.283,2.41,2.264,2.324
2022-03-25,2.324,2.882,2.3,2.44
2022-03-26,2.444,2.58,2.418,2.497
2022-03-27,2.497,2.602,2.438,2.537
2022-03-28,2.537,2.64,2.419,2.481
2022-03-29,2.488,2.592,2.449,2.508
2022-03-30,2.508,2.595,2.454,2.513
2022-03-31,2.512,2.658,2.454,2.468
2022-04-01,2.467,2.584,2.327,2.537
2022-04-02,2.537,2.658,2.53,2.539
2022-04-03,2.539,2.85,2.489,2.724
2022-04-04,2.726,3.33,2.687,2.867
2022-04-05,2.868,2.92,2.691,2.704
2022-04-06,2.704,2.725,2.451,2.468
2022-04-07,2.469,2.556,2.421,2.507
2022-04-08,2.507,2.579,2.404,2.418
2022-04-09,2.417,2.499,2.398,2.44
2022-04-10,2.442,2.622,2.388,2.465
2022-04-11,2.45,2.456,2.14,2.19
2022-04-12,2.19,2.34,2.171,2.269
2022-04-13,2.269,2.306,2.228,2.279
2022-04-14,2.282,2.347,2.17,2.19
2022-04-15,2.189,2.209,2.137,2.155
2022-04-16,2.155,2.201,2.115,2.138
2022-04-17,2.138,2.168,2.06,2.068
2022-04-18,2.066,2.15,1.983,2.144
2022-04-19,2.142,2.17,2.088,2.141
2022-04-20,2.141,2.233,2.081,2.115
2022-04-21,2.115,2.177,2.001,2.042
2022-04-22,2.041,2.115,2.031,2.054
2022-04-23,2.055,2.101,2.024,2.071
2022-04-24,2.071,2.114,2.015,2.024
2022-04-25,2.023,2.23,1.91,2.119
2022-04-26,2.118,2.133,1.868,1.89
2022-04-27,1.889,2.004,1.878,1.911
2022-04-28,1.914,1.987,1.88,1.927
2022-04-29,1.925,1.958,1.823,1.832
2022-04-30,1.83,1.84,1.634,1.643
2022-05-01,1.643,1.758,1.64,1.758
2022-05-02,1.755,1.789,1.673,1.727
2022-05-03,1.729,1.795,1.676,1.678
2022-05-04,1.678,1.809,1.675,1.794
2022-05-05,1.794,1.8,1.568,1.616
2022-05-06,1.617,1.712,1.57,1.675
2022-05-07,1.675,2.2,1.623,1.727
2022-05-08,1.729,1.735,1.588,1.622
2022-05-09,1.622,1.688,1.33,1.335
2022-05-10,1.34,1.528,1.31,1.385
2022-05-11,1.388,1.425,0.933,1.049
2022-05-12,1.048,1.114,0.864,0.995
2022-05-13,0.996,1.414,0.981,1.072
2022-05-14,1.072,1.18,1.004,1.152
2022-05-15,1.149,1.202,1.1,1.189
2022-05-16,1.19,1.191,1.077,1.085
2022-05-17,1.085,1.177,1.085,1.16
2022-05-18,1.156,1.183,1.052,1.054
2022-05-19,1.054,1.198,1.013,1.078
2022-05-20,1.082,1.129,1.038,1.079
2022-05-21,1.079,1.128,1.068,1.124
2022-05-22,1.123,1.16,1.108,1.14
2022-05-23,1.139,1.213,1.123,1.143
2022-05-24,1.143,1.164,1.047,1.123
2022-05-25,1.125,1.143,1.08,1.088
2022-05-26,1.088,1.149,1.008,1.045
2022-05-27,1.048,1.4,1.025,1.057
2022-05-28,1.057,1.175,1.051,1.09
2022-05-29,1.09,1.204,1.079,1.118
2022-05-30,1.117,1.21,1.104,1.19
2022-05-31,1.192,1.252,1.164,1.192
2022-06-01,1.192,1.302,1.1,1.17
2022-06-02,1.17,1.174,1.127,1.169
2022-06-03,1.169,1.192,1.1,1.124
2022-06-04,1.124,1.188,1.114,1.171
2022-06-05,1.17,1.18,1.148,1.163
2022-06-06,1.164,1.222,1.163,1.178
2022-06-07,1.177,1.225,1.119,1.172
2022-06-08,1.171,1.215,1.144,1.151
2022-06-09,1.152,1.23,1.134,1.165
2022-06-10,1.167,1.188,1.032,1.055
2022-06-11,1.055,1.129,0.972,0.992
2022-06-12,0.994,0.999,0.9,0.907
2022-06-13,0.91,0.917,0.76,0.853
2022-06-14,0.856,1.01,0.802,0.821
2022-06-15,0.822,0.884,0.766,0.877
2022-06-16,0.875,0.898,0.788,0.794
2022-06-17,0.796,0.835,0.778,0.798
2022-06-18,0.799,0.825,0.706,0.764
2022-06-19,0.762,0.807,0.716,0.789
2022-06-20,0.791,0.813,0.752,0.802
2022-06-21,0.8,0.849,0.786,0.825
2022-06-22,0.825,0.838,0.784,0.792
2022-06-23,0.792,0.852,0.787,0.844
2022-06-24,0.844,0.894,0.824,0.87
2022-06-25,0.87,0.911,0.851,0.873
2022-06-26,0.874,0.908,0.848,0.852
2022-06-27,0.852,0.873,0.823,0.84
2022-06-28,0.838,0.85,0.809,0.814
2022-06-29,0.814,0.828,0.776,0.801
2022-06-30,0.801,1.108,0.757,0.82
2022-07-01,0.822,0.883,0.796,0.814
2022-07-02,0.815,0.819,0.784,0.808
2022-07-03,0.808,0.829,0.782,0.807
2022-07-04,0.806,0.849,0.799,0.842
2022-07-05,0.842,0.852,0.811,0.838
2022-07-06,0.838,1.0,0.82,0.912
2022-07-07,0.915,0.96,0.89,0.911
2022-07-08,0.911,0.95,0.879,0.885
2022-07-09,0.885,0.919,0.879,0.913
2022-07-10,0.914,0.996,0.868,0.883
2022-07-11,0.881,0.935,0.833,0.84
2022-07-12,0.84,0.853,0.817,0.833
2022-07-13,0.833,0.869,0.788,0.864
2022-07-14,0.863,0.892,0.839,0.879
2022-07-15,0.879,0.906,0.869,0.881
2022-07-16,0.881,0.927,0.866,0.924
2022-07-17,0.925,0.942,0.896,0.901
2022-07-18,0.9,0.992,0.9,0.982
2022-07-19,0.984,0.996,0.957,0.962
2022-07-20,0.963,0.999,0.913,0.917
2022-07-21,0.917,0.963,0.895,0.954
2022-07-22,0.953,1.027,0.941,0.97
2022-07-23,0.968,1.002,0.934,0.948
2022-07-24,0.95,0.968,0.941,0.943
2022-07-25,0.943,0.944,0.91,0.912
2022-07-26,0.91,0.911,0.848,0.894
2022-07-27,0.895,0.964,0.884,0.959
2022-07-28,0.959,1.013,0.947,0.985
2022-07-29,0.988,1.023,0.975,0.989
2022-07-30,0.989,1.152,0.986,1.011
2022-07-31,1.011,1.112,1.009,1.014
2022-08-01,1.012,1.055,0.996,1.017
2022-08-02,1.017,1.04,0.985,1.016
