Date,Open,High,Low,Close
2019-09-24,1.015,1.11,0.775,0.8597
2019-09-25,0.8711,0.9122,0.8101,0.8517
2019-09-26,0.8521,0.9086,0.81,0.8503
2019-09-27,0.8451,0.8979,0.81,0.8845
2019-09-28,0.8866,0.94,0.8605,0.8902
2019-09-29,0.8966,0.9058,0.8565,0.8817
2019-09-30,0.8743,0.9169,0.8405,0.9018
2019-10-01,0.9016,0.992,0.895,0.9502
2019-10-02,0.9482,0.9482,0.8854,0.9428
2019-10-03,0.9427,0.9627,0.9071,0.9299
2019-10-04,0.9306,0.9306,0.8967,0.9194
2019-10-05,0.9155,0.9192,0.8983,0.9094
2019-10-06,0.9114,0.9133,0.86,0.8641
2019-10-07,0.863,0.9238,0.8503,0.8983
2019-10-08,0.8983,0.913,0.8893,0.8982
2019-10-09,0.8972,0.9591,0.89,0.9332
2019-10-10,0.9354,0.9478,0.9111,0.914
2019-10-11,0.9146,0.9196,0.876,0.9052
2019-10-12,0.9082,0.9121,0.89,0.89
2019-10-13,0.8904,0.9362,0.8836,0.9031
2019-10-14,0.8993,0.9373,0.8954,0.9363
2019-10-15,0.9363,0.9384,0.9017,0.9056
2019-10-16,0.9011,0.9087,0.8561,0.8731
2019-10-17,0.8733,0.8961,0.8673,0.8923
2019-10-18,0.8887,0.895,0.865,0.8792
2019-10-19,0.875,0.8919,0.8533,0.8618
2019-10-20,0.8593,0.8867,0.8533,0.8793
2019-10-21,0.8796,0.8897,0.8608,0.8644
2019-10-22,0.8692,0.8792,0.82,0.8335
2019-10-23,0.83,0.8345,0.7499,0.7585
2019-10-24,0.7595,0.7725,0.7499,0.759
2019-10-25,0.7616,0.8399,0.7595,0.8348
2019-10-26,0.8346,0.92,0.8008,0.8346
2019-10-27,0.8373,0.89,0.8052,0.8603
2019-10-28,0.8622,0.93,0.848,0.85
2019-10-29,0.8485,0.8673,0.8276,0.8419
2019-10-30,0.8421,0.9245,0.8225,0.8755
2019-10-31,0.8783,0.9248,0.8656,0.8832
2019-11-01,0.8827,0.8897,0.8588,0.8728
2019-11-02,0.8789,0.8798,0.8548,0.8619
2019-11-03,0.8621,0.8669,0.8462,0.8666
2019-11-04,0.8658,0.905,0.8617,0.8859
2019-11-05,0.8857,0.9287,0.8763,0.9243
2019-11-06,0.9237,1.05,0.901,1.0156
2019-11-07,1.0153,1.4306,1.0153,1.2079
2019-11-08,1.2089,1.2999,1.1166,1.1659
2019-11-09,1.166,1.275,1.147,1.2658
2019-11-10,1.2623,1.2648,1.1838,1.2237
2019-11-11,1.2248,1.2466,1.1649,1.1706
2019-11-12,1.1723,1.2,1.1469,1.1655
2019-11-13,1.1668,1.1683,1.1106,1.1314
2019-11-14,1.128,1.2913,1.096,1.2162
2019-11-15,1.2161,1.2591,1.1264,1.17
2019-11-16,1.17,1.1759,1.1452,1.1546
2019-11-17,1.157,1.1721,1.1439,1.1552
2019-11-18,1.1558,1.259,1.1528,1.2122
2019-11-19,1.216,1.24,1.1353,1.2036
2019-11-20,1.2036,1.2444,1.16,1.2145
2019-11-21,1.2161,1.3,1.1707,1.2158
2019-11-22,1.213,1.2779,1.07,1.2199
2019-11-23,1.2199,1.4291,1.2199,1.3802
2019-11-24,1.3835,1.4044,1.2841,1.3099
2019-11-25,1.31,1.3192,1.1998,1.228
2019-11-26,1.2275,1.2825,1.2175,1.2384
2019-11-27,1.239,1.2783,1.1441,1.2542
2019-11-28,1.256,1.3488,1.2084,1.2725
2019-11-29,1.2765,1.3446,1.2694,1.3068
2019-11-30,1.3066,1.3598,1.3043,1.3336
2019-12-01,1.3357,1.3358,1.2424,1.2527
2019-12-02,1.2514,1.2551,1.2,1.2394
2019-12-03,1.2393,1.3066,1.2047,1.2904
