Date,Open,High,Low,Close
2020-07-06,6.525,7.094,6.525,7.058
2020-07-07,7.058,8.9,6.8,6.84
2020-07-08,6.84,6.98,6.5,6.931
2020-07-09,6.931,7.734,6.823,7.462
2020-07-10,7.462,7.89,7.165,7.355
2020-07-11,7.35,8.8,7.211,7.242
2020-07-12,7.242,7.492,7.112,7.214
2020-07-13,7.23,7.886,7.093,7.505
2020-07-14,7.481,7.564,6.91,7.189
2020-07-15,7.189,7.734,7.14,7.462
2020-07-16,7.477,7.728,7.0,7.537
2020-07-17,7.537,7.6,7.341,7.475
2020-07-18,7.447,7.567,7.238,7.492
2020-07-19,7.48,8.5,7.477,8.139
2020-07-20,8.14,8.548,7.9,8.087
2020-07-21,8.069,8.45,7.93,8.072
2020-07-22,8.056,8.3,7.957,8.09
2020-07-23,8.09,9.09,8.09,8.727
2020-07-24,8.726,9.664,8.639,9.459
2020-07-25,9.459,9.511,8.996,9.095
2020-07-26,9.095,9.399,8.733,9.387
2020-07-27,9.332,9.483,8.2,8.724
2020-07-28,8.732,8.804,8.06,8.374
2020-07-29,8.374,8.525,8.06,8.128
2020-07-30,8.088,8.364,8.06,8.194
2020-07-31,8.198,8.336,7.891,8.099
2020-08-01,8.107,9.4,8.003,8.903
2020-08-02,8.872,9.354,8.047,8.511
2020-08-03,8.511,9.078,8.3,8.914
2020-08-04,8.929,9.2,8.678,9.016
2020-08-05,8.986,9.34,8.879,9.289
2020-08-06,9.289,9.75,9.108,9.552
2020-08-07,9.487,10.16,9.415,9.873
2020-08-08,9.873,11.489,9.865,10.9
2020-08-09,10.924,11.304,10.2,10.498
2020-08-10,10.498,10.9,10.001,10.351
2020-08-11,10.351,11.23,9.85,10.55
2020-08-12,10.55,11.269,10.09,10.491
2020-08-13,10.535,10.579,9.784,10.281
2020-08-14,10.241,10.653,10.1,10.462
2020-08-15,10.462,10.56,9.89,10.066
2020-08-16,10.041,10.1,9.528,10.01
2020-08-17,10.01,10.394,9.804,10.036
2020-08-18,10.043,10.193,8.673,9.518
2020-08-19,9.469,9.653,8.728,9.029
2020-08-20,9.066,9.588,8.976,9.563
2020-08-21,9.588,10.819,9.5,9.56
2020-08-22,9.57,10.229,9.1,9.768
2020-08-23,9.769,9.808,9.21,9.348
2020-08-24,9.307,9.511,9.197,9.442
2020-08-25,9.441,9.521,8.369,8.755
2020-08-26,8.735,10.5,8.626,8.801
