Date,Open,High,Low,Close
2020-02-19 08:00:00,0.1211,0.24,0.1211,0.136
2020-02-19 16:00:00,0.1353,0.1424,0.1302,0.132
2020-02-19 20:00:00,0.132,0.1355,0.111,0.1166
2020-02-20 00:00:00,0.1165,0.1209,0.1139,0.1173
2020-02-20 04:00:00,0.1178,0.12,0.1137,0.1184
2020-02-20 08:00:00,0.1189,0.1231,0.1155,0.1189
2020-02-20 12:00:00,0.1218,0.1228,0.1171,0.1218
2020-02-20 16:00:00,0.121,0.1218,0.1145,0.1192
2020-02-20 20:00:00,0.1192,0.1327,0.1175,0.125
2020-02-21 00:00:00,0.1238,0.138,0.1227,0.1338
2020-02-21 04:00:00,0.1345,0.1404,0.1307,0.1356
2020-02-21 08:00:00,0.1353,0.1387,0.1313,0.1363
2020-02-21 12:00:00,0.1349,0.1377,0.1272,0.1316
2020-02-21 16:00:00,0.1311,0.1344,0.1271,0.1271
2020-02-21 20:00:00,0.1275,0.1322,0.125,0.1298
2020-02-22 00:00:00,0.13,0.1349,0.1278,0.1308
2020-02-22 04:00:00,0.1307,0.1323,0.1251,0.1274
2020-02-22 08:00:00,0.1269,0.1297,0.1241,0.1296
2020-02-22 12:00:00,0.1292,0.1411,0.1292,0.1344
2020-02-22 16:00:00,0.1343,0.1485,0.1334,0.1454
2020-02-22 20:00:00,0.1454,0.1499,0.1397,0.1424
2020-02-23 00:00:00,0.1424,0.1618,0.1422,0.1579
2020-02-23 04:00:00,0.1581,0.1635,0.1512,0.1567
2020-02-23 08:00:00,0.1568,0.1641,0.1481,0.1482
2020-02-23 12:00:00,0.1482,0.1707,0.1481,0.159
2020-02-23 16:00:00,0.1594,0.1717,0.1592,0.1632
2020-02-23 20:00:00,0.1632,0.1667,0.1568,0.1621
2020-02-24 00:00:00,0.1621,0.1656,0.1453,0.1476
2020-02-24 04:00:00,0.1476,0.149,0.138,0.1441
2020-02-24 08:00:00,0.1444,0.1463,0.1419,0.1463
2020-02-24 12:00:00,0.1459,0.1468,0.1398,0.1407
2020-02-24 16:00:00,0.1405,0.1439,0.1299,0.1362
2020-02-24 20:00:00,0.1367,0.1486,0.1346,0.1442
2020-02-25 00:00:00,0.1446,0.1451,0.1384,0.1439
2020-02-25 04:00:00,0.1439,0.1454,0.1315,0.1322
2020-02-25 08:00:00,0.1319,0.1381,0.1311,0.1349
2020-02-25 12:00:00,0.1349,0.1385,0.1227,0.1244
2020-02-25 16:00:00,0.1243,0.129,0.122,0.1279
2020-02-25 20:00:00,0.1279,0.1291,0.1255,0.1256
2020-02-26 00:00:00,0.1255,0.1398,0.1243,0.1294
2020-02-26 04:00:00,0.1294,0.1446,0.128,0.1394
2020-02-26 08:00:00,0.1394,0.1663,0.1387,0.1596
2020-02-26 12:00:00,0.1595,0.1901,0.15,0.1549
2020-02-26 16:00:00,0.155,0.1607,0.1342,0.155
2020-02-26 20:00:00,0.1551,0.1733,0.1417,0.1604
2020-02-27 00:00:00,0.1604,0.1794,0.1523,0.1784
2020-02-27 04:00:00,0.177,0.18,0.1622,0.1667
2020-02-27 08:00:00,0.1667,0.1692,0.1511,0.1545
2020-02-27 12:00:00,0.1547,0.1634,0.149,0.1584
2020-02-27 16:00:00,0.1594,0.1688,0.1555,0.167
2020-02-27 20:00:00,0.1682,0.1743,0.1554,0.161
2020-02-28 00:00:00,0.1615,0.1681,0.1534,0.1578
2020-02-28 04:00:00,0.157,0.1594,0.1495,0.1518
2020-02-28 08:00:00,0.1518,0.1607,0.1492,0.1526
2020-02-28 12:00:00,0.1525,0.1567,0.14,0.1451
2020-02-28 16:00:00,0.146,0.1541,0.145,0.1474
2020-02-28 20:00:00,0.1477,0.1526,0.1468,0.1492
2020-02-29 00:00:00,0.1481,0.1504,0.1449,0.1449
