Date,Open,High,Low,Close
2022-02-21 12:00:00,1.0,18.9995,1.0,6.7893
2022-02-21 16:00:00,6.7663,7.456,6.3377,6.9418
2022-02-21 20:00:00,6.9497,7.076,5.1617,5.4437
2022-02-22 00:00:00,5.4311,5.7339,4.932,5.3386
2022-02-22 04:00:00,5.3375,7.8,5.2531,7.0037
2022-02-22 08:00:00,7.0037,7.04,5.621,5.7652
2022-02-22 12:00:00,5.767,5.95,5.1271,5.1584
2022-02-22 16:00:00,5.1591,5.45,4.9666,5.0407
2022-02-22 20:00:00,5.0486,5.433,4.4212,4.8894
2022-02-23 00:00:00,4.8894,4.9342,4.4498,4.72
2022-02-23 04:00:00,4.7154,5.2455,4.5654,4.7731
2022-02-23 08:00:00,4.7728,5.16,4.65,4.9232
2022-02-23 12:00:00,4.9232,5.5329,4.84,4.961
2022-02-23 16:00:00,4.9619,5.0,4.64,4.6823
2022-02-23 20:00:00,4.6817,5.0,4.57,4.6606
2022-02-24 00:00:00,4.6606,4.95,4.2822,4.3586
2022-02-24 04:00:00,4.3637,4.46,3.4567,3.7176
2022-02-24 08:00:00,3.7158,3.81,3.5151,3.6
2022-02-24 12:00:00,3.6,3.85,3.5308,3.7929
2022-02-24 16:00:00,3.7926,4.04,3.6652,3.963
2022-02-24 20:00:00,3.963,4.089,3.8138,3.8611
2022-02-25 00:00:00,3.8611,4.1417,3.7821,3.9756
2022-02-25 04:00:00,3.9797,4.03,3.8424,3.8847
2022-02-25 08:00:00,3.8792,3.8847,3.668,3.8672
2022-02-25 12:00:00,3.8646,3.8924,3.6865,3.7651
2022-02-25 16:00:00,3.762,3.8488,3.68,3.718
2022-02-25 20:00:00,3.718,3.7583,3.6249,3.6985
2022-02-26 00:00:00,3.7008,3.8899,3.7,3.7809
2022-02-26 04:00:00,3.7809,3.8998,3.665,3.8435
2022-02-26 08:00:00,3.8433,3.8555,3.7001,3.7374
2022-02-26 12:00:00,3.7335,3.7616,3.69,3.722
2022-02-26 16:00:00,3.722,3.777,3.5872,3.6683
2022-02-26 20:00:00,3.67,3.6888,3.4829,3.5426
2022-02-27 00:00:00,3.5489,3.5653,3.251,3.3432
2022-02-27 04:00:00,3.3433,3.4822,3.3033,3.4489
2022-02-27 08:00:00,3.4489,3.6558,3.3857,3.5651
2022-02-27 12:00:00,3.5664,3.5664,3.3585,3.4264
2022-02-27 16:00:00,3.4264,3.4611,3.1165,3.1762
2022-02-27 20:00:00,3.1768,3.5941,3.13,3.2124
2022-02-28 00:00:00,3.2124,3.54,3.2023,3.54
2022-02-28 04:00:00,3.54,3.77,3.4038,3.5423
2022-02-28 08:00:00,3.5383,3.8,3.3964,3.6181
2022-02-28 12:00:00,3.622,3.969,3.558,3.7513
2022-02-28 16:00:00,3.751,3.8416,3.6063,3.7619
2022-02-28 20:00:00,3.7715,3.7725,3.5746,3.631
2022-03-01 00:00:00,3.6316,3.73,3.42,3.5499
2022-03-01 04:00:00,3.5499,3.6195,3.502,3.5644
2022-03-01 08:00:00,3.5644,3.6095,3.4909,3.5335
2022-03-01 12:00:00,3.5383,3.5635,3.4711,3.5022
2022-03-01 16:00:00,3.5022,3.511,3.4215,3.4439
2022-03-01 20:00:00,3.4406,3.4654,3.403,3.4439
2022-03-02 00:00:00,3.4393,3.46,3.3747,3.4064
2022-03-02 04:00:00,3.4064,3.4459,3.3668,3.3756
2022-03-02 08:00:00,3.3728,3.4,3.33,3.3395
2022-03-02 12:00:00,3.3402,3.3587,3.131,3.2228
2022-03-02 16:00:00,3.2223,3.31,3.18,3.2037
2022-03-02 20:00:00,3.2037,3.2961,3.1904,3.292
2022-03-03 00:00:00,3.2914,3.2975,3.179,3.179
2022-03-03 04:00:00,3.1781,3.2252,3.1781,3.1992
2022-03-03 08:00:00,3.1983,3.22,3.1517,3.1879
2022-03-03 12:00:00,3.1879,3.216,3.046,3.0903
2022-03-03 16:00:00,3.0875,3.1054,3.0105,3.0441
2022-03-03 20:00:00,3.0423,3.0642,2.9401,3.01
2022-03-04 00:00:00,3.008,3.015,2.8709,2.9647
2022-03-04 04:00:00,2.9646,3.18,2.9013,3.0727
2022-03-04 08:00:00,3.0746,3.0794,2.9418,3.0001
2022-03-04 12:00:00,3.0001,3.0138,2.93,2.9398
2022-03-04 16:00:00,2.9374,2.96,2.8008,2.8088
2022-03-04 20:00:00,2.8062,2.8399,2.7245,2.7326
2022-03-05 00:00:00,2.7347,2.7973,2.698,2.7753
2022-03-05 04:00:00,2.7768,2.7952,2.7437,2.7554
2022-03-05 08:00:00,2.7517,2.8831,2.7517,2.774
2022-03-05 12:00:00,2.7745,2.8352,2.768,2.782
2022-03-05 16:00:00,2.7826,2.81,2.7698,2.7776
2022-03-05 20:00:00,2.7776,2.8629,2.7408,2.826
2022-03-06 00:00:00,2.8257,2.8292,2.7484,2.7544
2022-03-06 04:00:00,2.7546,2.7791,2.6876,2.7065
2022-03-06 08:00:00,2.7059,2.7706,2.49,2.562
2022-03-06 12:00:00,2.5617,2.6072,2.5414,2.5712
2022-03-06 16:00:00,2.572,2.6012,2.4874,2.495
2022-03-06 20:00:00,2.495,2.537,2.4178,2.4383
2022-03-07 00:00:00,2.4378,2.438,2.3149,2.3323
2022-03-07 04:00:00,2.338,2.4819,2.3127,2.3811
2022-03-07 08:00:00,2.379,2.4254,2.3347,2.3862
2022-03-07 12:00:00,2.389,2.4505,2.3564,2.3926
2022-03-07 16:00:00,2.3938,2.4216,2.2648,2.265
2022-03-07 20:00:00,2.265,2.4241,2.2588,2.313
2022-03-08 00:00:00,2.3111,2.3919,2.298,2.3601
2022-03-08 04:00:00,2.364,2.3893,2.2934,2.311
2022-03-08 08:00:00,2.3102,3.25,2.2976,3.1196
2022-03-08 12:00:00,3.1202,3.88,2.7493,3.8795
2022-03-08 16:00:00,3.8744,3.9,3.2867,3.305
2022-03-08 20:00:00,3.3071,3.5255,3.1174,3.351
2022-03-09 00:00:00,3.3507,3.8253,3.2102,3.4413
2022-03-09 04:00:00,3.44,4.46,3.3334,4.28
2022-03-09 08:00:00,4.28,7.4363,4.0018,5.7769
2022-03-09 12:00:00,5.7801,6.5263,5.41,5.9945
2022-03-09 16:00:00,5.9965,6.044,5.44,5.4781
2022-03-09 20:00:00,5.4811,5.5944,4.9253,5.1595
2022-03-10 00:00:00,5.1595,5.3999,4.8682,5.053
2022-03-10 04:00:00,5.0615,6.8,4.9888,6.1079
2022-03-10 08:00:00,6.1074,6.3811,5.404,5.62
