Date,Open,High,Low,Close
2020-12-30 04:00:00,20.18,29.88,11.45,12.476
2020-12-30 08:00:00,12.475,12.8,8.366,8.807
2020-12-30 12:00:00,8.895,9.489,7.602,8.388
2020-12-30 16:00:00,8.389,10.491,8.337,10.075
2020-12-30 20:00:00,10.084,11.3,9.5,9.599
2020-12-31 00:00:00,9.599,10.322,8.28,8.711
2020-12-31 04:00:00,8.716,9.199,7.701,8.301
2020-12-31 08:00:00,8.301,8.607,7.9,8.301
2020-12-31 12:00:00,8.298,8.4,7.597,7.932
2020-12-31 16:00:00,7.932,8.08,7.61,7.61
2020-12-31 20:00:00,7.61,7.789,6.86,6.97
2021-01-01 00:00:00,6.927,7.503,6.659,6.899
2021-01-01 04:00:00,6.9,7.239,6.405,6.71
2021-01-01 08:00:00,6.641,6.702,5.861,6.104
2021-01-01 12:00:00,6.089,7.25,5.631,6.513
2021-01-01 16:00:00,6.549,6.832,6.07,6.168
2021-01-01 20:00:00,6.169,7.4,6.067,7.111
2021-01-02 00:00:00,7.111,7.34,6.541,6.557
2021-01-02 04:00:00,6.716,7.405,6.464,7.25
2021-01-02 08:00:00,7.25,7.958,7.121,7.622
2021-01-02 12:00:00,7.62,7.691,6.555,6.571
2021-01-02 16:00:00,6.555,6.555,5.912,5.939
2021-01-02 20:00:00,5.941,6.32,5.683,5.826
2021-01-03 00:00:00,5.858,6.27,5.826,6.004
2021-01-03 04:00:00,5.914,6.073,5.664,5.708
2021-01-03 08:00:00,5.71,5.92,5.65,5.87
2021-01-03 12:00:00,5.871,5.9,5.298,5.311
2021-01-03 16:00:00,5.397,5.498,5.154,5.298
2021-01-03 20:00:00,5.289,5.388,5.015,5.091
2021-01-04 00:00:00,5.088,5.204,4.826,5.13
2021-01-04 04:00:00,5.101,5.132,4.68,4.797
2021-01-04 08:00:00,4.771,5.199,4.221,4.6
2021-01-04 12:00:00,4.6,4.796,4.515,4.633
2021-01-04 16:00:00,4.584,4.969,4.5,4.901
2021-01-04 20:00:00,4.901,4.985,4.634,4.861
2021-01-05 00:00:00,4.84,4.889,4.6,4.651
2021-01-05 04:00:00,4.609,4.667,4.317,4.587
2021-01-05 08:00:00,4.498,4.75,4.39,4.631
2021-01-05 12:00:00,4.632,4.787,4.447,4.45
2021-01-05 16:00:00,4.506,4.696,4.409,4.53
2021-01-05 20:00:00,4.54,4.646,4.194,4.363
2021-01-06 00:00:00,4.363,4.418,4.185,4.275
2021-01-06 04:00:00,4.327,4.622,4.198,4.431
2021-01-06 08:00:00,4.431,4.535,4.356,4.463
2021-01-06 12:00:00,4.431,4.462,4.2,4.223
2021-01-06 16:00:00,4.225,4.357,4.194,4.21
2021-01-06 20:00:00,4.201,4.25,4.144,4.2
2021-01-07 00:00:00,4.151,4.266,4.151,4.18
2021-01-07 04:00:00,4.199,4.33,4.141,4.299
2021-01-07 08:00:00,4.295,4.3,4.129,4.159
2021-01-07 12:00:00,4.171,4.295,3.918,3.941
2021-01-07 16:00:00,3.953,4.12,3.865,3.882
2021-01-07 20:00:00,3.882,4.12,3.841,3.845
2021-01-08 00:00:00,3.845,4.09,3.74,3.785
2021-01-08 04:00:00,3.785,4.6,3.742,4.28
2021-01-08 08:00:00,4.28,4.4,3.921,4.072
2021-01-08 12:00:00,4.069,4.257,3.95,3.95
2021-01-08 16:00:00,3.958,4.2,3.95,3.951
2021-01-08 20:00:00,3.952,4.118,3.951,3.955
2021-01-09 00:00:00,4.049,4.049,3.673,3.795
2021-01-09 04:00:00,3.795,3.833,3.648,3.78
2021-01-09 08:00:00,3.785,3.91,3.727,3.785
2021-01-09 12:00:00,3.761,3.89,3.745,3.785
2021-01-09 16:00:00,3.815,3.9,3.785,3.811
2021-01-09 20:00:00,3.826,3.85,3.75,3.751
2021-01-10 00:00:00,3.751,3.85,3.744,3.748
2021-01-10 04:00:00,3.746,3.779,3.651,3.71
2021-01-10 08:00:00,3.714,3.772,3.625,3.637
2021-01-10 12:00:00,3.63,3.722,3.61,3.65
2021-01-10 16:00:00,3.627,3.69,3.493,3.493
2021-01-10 20:00:00,3.493,3.549,3.215,3.518
