Date,Open,High,Low,Close
2021-04-21 08:00:00,38.19,73.8,38.19,52.146
2021-04-21 12:00:00,52.14,67.789,51.286,54.294
2021-04-21 16:00:00,54.242,55.21,45.971,47.5
2021-04-21 20:00:00,47.513,54.093,42.3,46.888
2021-04-22 00:00:00,46.871,51.0,45.0,48.499
2021-04-22 04:00:00,48.499,48.9,43.203,44.771
2021-04-22 08:00:00,44.678,44.799,40.635,41.87
2021-04-22 12:00:00,42.008,44.673,40.566,43.031
2021-04-22 16:00:00,43.047,44.721,40.0,40.703
2021-04-22 20:00:00,40.894,43.212,37.3,37.862
2021-04-23 00:00:00,37.845,39.609,29.617,34.3
2021-04-23 04:00:00,34.3,36.586,30.249,32.346
2021-04-23 08:00:00,32.416,37.878,31.613,35.787
2021-04-23 12:00:00,35.786,37.227,33.555,35.303
2021-04-23 16:00:00,35.303,38.8,34.56,36.426
2021-04-23 20:00:00,36.348,37.1,34.27,35.186
2021-04-24 00:00:00,35.148,36.095,33.952,35.101
2021-04-24 04:00:00,35.101,35.9,34.301,35.199
2021-04-24 08:00:00,35.153,39.753,35.067,36.43
2021-04-24 12:00:00,36.43,36.8,34.719,36.061
2021-04-24 16:00:00,36.01,36.441,35.101,35.53
2021-04-24 20:00:00,35.53,39.266,35.031,37.154
2021-04-25 00:00:00,37.141,38.778,36.275,36.952
2021-04-25 04:00:00,36.952,36.952,36.952,36.952
2021-04-25 08:00:00,37.4,44.0,37.396,39.6
2021-04-25 12:00:00,39.6,49.3,39.5,42.815
2021-04-25 16:00:00,42.851,46.888,40.665,43.465
2021-04-25 20:00:00,43.469,44.0,37.06,40.097
2021-04-26 00:00:00,40.096,43.298,40.096,42.262
2021-04-26 04:00:00,42.262,44.26,40.408,41.488
2021-04-26 08:00:00,41.487,42.9,41.1,42.105
2021-04-26 12:00:00,42.074,42.97,41.022,42.194
2021-04-26 16:00:00,42.015,43.494,41.006,41.79
2021-04-26 20:00:00,41.752,42.434,41.101,41.855
2021-04-27 00:00:00,41.828,42.653,41.197,42.0
2021-04-27 04:00:00,42.052,42.701,39.88,41.324
2021-04-27 08:00:00,41.444,41.788,40.8,41.324
2021-04-27 12:00:00,41.416,42.503,40.317,40.946
2021-04-27 16:00:00,40.999,42.221,40.63,41.579
2021-04-27 20:00:00,41.588,42.0,41.102,41.102
2021-04-28 00:00:00,41.177,42.2,41.1,41.299
2021-04-28 04:00:00,41.252,41.865,38.9,40.04
2021-04-28 08:00:00,40.04,40.479,38.543,40.094
2021-04-28 12:00:00,40.094,40.801,39.632,40.2
2021-04-28 16:00:00,40.194,40.6,39.79,40.466
2021-04-28 20:00:00,40.54,43.823,39.855,42.406
2021-04-29 00:00:00,42.407,45.9,41.707,43.225
2021-04-29 04:00:00,43.21,43.445,41.503,42.684
2021-04-29 08:00:00,42.682,43.267,42.197,42.562
2021-04-29 12:00:00,42.586,44.349,41.503,43.038
2021-04-29 16:00:00,43.03,43.75,39.083,39.82
2021-04-29 20:00:00,39.82,40.38,39.7,40.074
2021-04-30 00:00:00,40.1,40.627,39.909,40.394
2021-04-30 04:00:00,40.451,41.5,40.247,40.677
2021-04-30 08:00:00,40.677,41.309,40.6,41.112
2021-04-30 12:00:00,41.098,41.1,40.575,40.632
2021-04-30 16:00:00,40.633,41.1,40.601,40.736
2021-04-30 20:00:00,40.735,40.85,40.486,40.486
2021-05-01 00:00:00,40.486,40.986,40.032,40.658
2021-05-01 04:00:00,40.658,40.882,40.323,40.634
2021-05-01 08:00:00,40.634,41.249,40.0,41.249
2021-05-01 12:00:00,41.102,41.777,40.585,40.692
2021-05-01 16:00:00,40.749,41.124,36.139,40.444
2021-05-01 20:00:00,40.444,41.0,39.82,40.133
2021-05-02 00:00:00,40.141,40.921,40.007,40.031
2021-05-02 04:00:00,40.031,40.883,39.533,40.161
2021-05-02 08:00:00,40.102,40.4,39.55,40.301
2021-05-02 12:00:00,40.299,40.598,40.001,40.306
2021-05-02 16:00:00,40.306,40.764,39.636,39.931
2021-05-02 20:00:00,39.931,41.799,39.2,41.151
2021-05-03 00:00:00,41.142,41.142,39.629,40.001
2021-05-03 04:00:00,40.001,40.348,39.606,39.99
2021-05-03 08:00:00,39.99,40.117,39.502,39.636
2021-05-03 12:00:00,39.678,40.2,39.401,39.403
2021-05-03 16:00:00,39.511,39.689,38.872,38.998
2021-05-03 20:00:00,38.999,39.277,38.098,38.282
2021-05-04 00:00:00,38.354,40.0,36.547,38.045
2021-05-04 04:00:00,38.087,38.234,36.483,37.034
2021-05-04 08:00:00,37.031,38.0,36.401,37.633
2021-05-04 12:00:00,37.595,37.633,34.609,35.158
2021-05-04 16:00:00,35.119,36.335,34.732,35.69
2021-05-04 20:00:00,35.627,38.1,35.17,35.405
2021-05-05 00:00:00,35.406,36.048,35.007,35.754
2021-05-05 04:00:00,35.754,35.849,34.4,35.605
2021-05-05 08:00:00,35.499,36.666,34.369,35.52
2021-05-05 12:00:00,35.521,40.0,35.284,37.116
2021-05-05 16:00:00,37.116,37.995,36.2,37.384
2021-05-05 20:00:00,37.22,38.499,36.5,37.552
2021-05-06 00:00:00,37.552,38.243,36.5,37.611
2021-05-06 04:00:00,37.611,39.095,37.4,37.651
2021-05-06 08:00:00,37.65,38.949,37.002,37.54
2021-05-06 12:00:00,37.61,37.846,36.804,37.176
2021-05-06 16:00:00,37.122,37.195,35.601,36.335
2021-05-06 20:00:00,36.335,36.9,35.712,36.653
2021-05-07 00:00:00,36.652,36.899,35.595,36.055
2021-05-07 04:00:00,35.919,36.493,35.85,36.109
2021-05-07 08:00:00,36.106,36.699,36.0,36.455
2021-05-07 12:00:00,36.401,38.0,36.09,36.945
2021-05-07 16:00:00,36.899,37.426,36.563,37.029
2021-05-07 20:00:00,37.03,37.03,35.256,36.503
2021-05-08 00:00:00,36.507,37.498,36.358,37.138
2021-05-08 04:00:00,37.139,40.26,37.0,38.599
2021-05-08 08:00:00,38.599,41.0,37.93,38.848
2021-05-08 12:00:00,38.825,40.0,35.76,35.823
2021-05-08 16:00:00,35.76,36.098,35.0,36.097
2021-05-08 20:00:00,36.097,36.169,35.2,35.444
2021-05-09 00:00:00,35.54,35.623,34.818,34.834
2021-05-09 04:00:00,34.834,34.999,33.053,33.911
2021-05-09 08:00:00,34.018,34.274,32.589,33.1
2021-05-09 12:00:00,33.1,33.66,31.817,33.469
2021-05-09 16:00:00,33.344,34.053,32.9,33.078
2021-05-09 20:00:00,33.1,34.143,32.508,33.605
2021-05-10 00:00:00,33.588,34.283,33.42,34.209
2021-05-10 04:00:00,34.278,34.288,33.001,33.1
2021-05-10 08:00:00,33.101,33.339,32.2,32.5
2021-05-10 12:00:00,32.5,33.199,31.5,31.819
2021-05-10 16:00:00,31.82,32.521,28.744,28.762
2021-05-10 20:00:00,28.967,33.258,27.574,30.365
2021-05-11 00:00:00,30.282,30.292,29.0,29.352
2021-05-11 04:00:00,29.352,30.99,28.75,28.789
2021-05-11 08:00:00,28.789,30.449,28.359,29.48
2021-05-11 12:00:00,29.456,30.45,28.793,29.903
2021-05-11 16:00:00,29.901,35.556,29.499,31.923
2021-05-11 20:00:00,31.923,34.44,29.5,29.718
2021-05-12 00:00:00,29.776,30.818,29.5,30.0
2021-05-12 04:00:00,30.0,30.38,29.228,29.899
2021-05-12 08:00:00,29.897,31.563,29.204,30.105
2021-05-12 12:00:00,30.105,30.664,29.633,30.155
2021-05-12 16:00:00,30.078,30.463,28.0,29.044
2021-05-12 20:00:00,29.001,38.88,26.5,26.798
2021-05-13 00:00:00,26.798,29.85,26.0,28.347
2021-05-13 04:00:00,28.344,36.0,28.212,35.0
2021-05-13 08:00:00,34.803,35.5,30.092,30.645
2021-05-13 12:00:00,30.646,31.465,28.739,29.212
2021-05-13 16:00:00,29.19,33.0,28.7,28.764
2021-05-13 20:00:00,28.7,30.944,28.1,29.001
2021-05-14 00:00:00,29.139,29.86,28.634,29.479
2021-05-14 04:00:00,29.562,29.643,27.809,28.63
2021-05-14 08:00:00,28.63,29.5,28.4,29.12
2021-05-14 12:00:00,29.12,31.901,28.915,30.451
2021-05-14 16:00:00,30.451,31.79,29.762,30.408
2021-05-14 20:00:00,30.408,30.887,29.686,30.674
2021-05-15 00:00:00,30.568,33.597,30.1,31.705
2021-05-15 04:00:00,31.647,38.984,31.503,35.15
2021-05-15 08:00:00,35.15,43.0,34.87,36.902
2021-05-15 12:00:00,36.939,38.81,33.56,34.072
2021-05-15 16:00:00,34.216,34.7,30.66,31.757
2021-05-15 20:00:00,31.828,37.484,31.711,33.3
2021-05-16 00:00:00,33.427,37.95,33.0,36.893
2021-05-16 04:00:00,36.893,37.94,33.7,34.482
2021-05-16 08:00:00,34.482,36.0,32.6,32.935
2021-05-16 12:00:00,32.956,35.569,32.932,34.399
2021-05-16 16:00:00,34.331,35.59,28.517,28.789
2021-05-16 20:00:00,28.789,29.723,28.26,28.691
2021-05-17 00:00:00,28.688,28.893,26.379,26.389
2021-05-17 04:00:00,26.487,29.0,26.032,28.251
2021-05-17 08:00:00,28.194,29.44,27.0,28.33
2021-05-17 12:00:00,28.335,28.799,26.566,26.695
2021-05-17 16:00:00,26.57,28.0,26.501,27.408
2021-05-17 20:00:00,27.436,28.412,26.819,28.069
2021-05-18 00:00:00,28.071,29.545,27.785,29.288
2021-05-18 04:00:00,29.288,29.492,28.317,29.243
2021-05-18 08:00:00,29.241,33.9,29.148,32.131
2021-05-18 12:00:00,31.961,32.155,29.2,29.78
2021-05-18 16:00:00,29.849,30.862,29.201,30.0
2021-05-18 20:00:00,29.924,31.087,29.282,30.071
2021-05-19 00:00:00,30.149,30.84,27.33,27.672
2021-05-19 04:00:00,27.671,29.0,26.121,28.475
2021-05-19 08:00:00,28.475,28.475,24.979,25.705
2021-05-19 12:00:00,25.956,26.781,16.441,23.1
2021-05-19 16:00:00,23.001,24.161,21.269,21.85
2021-05-19 20:00:00,21.999,22.832,20.042,20.043
2021-05-20 00:00:00,20.05,20.758,17.1,19.876
2021-05-20 04:00:00,20.107,22.978,20.107,22.098
2021-05-20 08:00:00,22.098,22.873,21.073,22.18
2021-05-20 12:00:00,22.233,24.0,22.181,22.37
2021-05-20 16:00:00,22.321,22.779,20.637,22.241
2021-05-20 20:00:00,22.19,23.45,22.0,22.416
2021-05-21 00:00:00,22.438,23.623,22.4,23.054
2021-05-21 04:00:00,23.014,26.966,22.213,24.897
2021-05-21 08:00:00,24.897,26.68,23.612,25.789
2021-05-21 12:00:00,25.789,26.752,20.0,20.957
2021-05-21 16:00:00,21.132,21.912,19.876,20.215
2021-05-21 20:00:00,20.217,22.911,17.999,22.849
2021-05-22 00:00:00,22.857,22.992,20.17,20.429
2021-05-22 04:00:00,20.445,20.605,18.747,19.999
2021-05-22 08:00:00,19.963,21.0,19.96,20.498
2021-05-22 12:00:00,20.498,21.401,19.329,20.101
2021-05-22 16:00:00,20.102,20.835,18.335,19.71
2021-05-22 20:00:00,19.7,21.2,18.617,18.95
2021-05-23 00:00:00,18.95,18.964,18.195,18.35
2021-05-23 04:00:00,18.321,18.337,15.318,15.85
2021-05-23 08:00:00,15.814,16.402,14.317,15.239
2021-05-23 12:00:00,15.239,15.347,13.128,13.625
2021-05-23 16:00:00,13.603,13.851,11.7,12.789
2021-05-23 20:00:00,12.789,15.101,12.709,14.882
2021-05-24 00:00:00,14.856,15.367,14.096,14.546
2021-05-24 04:00:00,14.546,16.0,13.267,15.76
2021-05-24 08:00:00,15.722,16.733,15.0,16.309
2021-05-24 12:00:00,16.185,16.596,15.549,15.759
2021-05-24 16:00:00,15.76,16.394,15.088,16.068
2021-05-24 20:00:00,16.068,16.21,15.121,16.118
2021-05-25 00:00:00,16.118,16.64,15.7,15.792
2021-05-25 04:00:00,15.791,16.087,15.209,15.598
2021-05-25 08:00:00,15.681,15.739,14.002,14.006
2021-05-25 12:00:00,14.001,15.19,14.001,15.12
2021-05-25 16:00:00,15.14,15.397,14.57,14.572
2021-05-25 20:00:00,14.652,15.374,14.48,15.047
2021-05-26 00:00:00,15.067,15.956,14.757,15.852
2021-05-26 04:00:00,15.852,16.199,15.33,15.73
2021-05-26 08:00:00,15.714,16.13,15.424,15.91
2021-05-26 12:00:00,15.939,15.985,14.918,15.381
2021-05-26 16:00:00,15.415,15.647,14.964,15.355
2021-05-26 20:00:00,15.362,15.894,15.202,15.879
2021-05-27 00:00:00,15.879,16.095,15.436,15.729
