Date,Open,High,Low,Close
2019-03-04 08:00:00,0.1691,0.1691,0.1591,0.1617
2019-03-04 12:00:00,0.1634,0.169,0.1607,0.1669
2019-03-04 16:00:00,0.1675,0.1935,0.1658,0.1704
2019-03-04 20:00:00,0.1709,0.1714,0.1659,0.1674
2019-03-05 00:00:00,0.1675,0.1777,0.1666,0.1705
2019-03-05 04:00:00,0.1705,0.1796,0.1692,0.1741
2019-03-05 08:00:00,0.1745,0.1775,0.1715,0.1732
2019-03-05 12:00:00,0.1739,0.1765,0.1708,0.1755
2019-03-05 16:00:00,0.1757,0.1768,0.1712,0.1765
2019-03-05 20:00:00,0.1765,0.183,0.1735,0.176
2019-03-06 00:00:00,0.1763,0.1769,0.1696,0.1716
2019-03-06 04:00:00,0.1719,0.1743,0.1703,0.1743
2019-03-06 08:00:00,0.174,0.1756,0.1728,0.1737
2019-03-06 12:00:00,0.1737,0.1737,0.1703,0.1732
2019-03-06 16:00:00,0.1731,0.1744,0.1713,0.1735
2019-03-06 20:00:00,0.1735,0.1778,0.1715,0.1723
2019-03-07 00:00:00,0.1727,0.1748,0.171,0.1729
2019-03-07 04:00:00,0.1723,0.176,0.1531,0.1748
2019-03-07 08:00:00,0.1745,0.1751,0.1723,0.1736
2019-03-07 12:00:00,0.1741,0.183,0.1733,0.1781
2019-03-07 16:00:00,0.1791,0.183,0.1776,0.1819
2019-03-07 20:00:00,0.1828,0.1845,0.1794,0.181
2019-03-08 00:00:00,0.181,0.1925,0.1804,0.1891
2019-03-08 04:00:00,0.1879,0.209,0.1869,0.1942
2019-03-08 08:00:00,0.1942,0.2012,0.16,0.1924
2019-03-08 12:00:00,0.1924,0.1975,0.1905,0.1971
2019-03-08 16:00:00,0.1969,0.198,0.193,0.1947
2019-03-08 20:00:00,0.1943,0.2007,0.1815,0.1947
2019-03-09 00:00:00,0.1948,0.2079,0.1903,0.1933
2019-03-09 04:00:00,0.1935,0.203,0.1918,0.1964
2019-03-09 08:00:00,0.1969,0.1989,0.1927,0.1938
2019-03-09 12:00:00,0.1944,0.204,0.1935,0.2023
2019-03-09 16:00:00,0.2023,0.2044,0.1971,0.2034
2019-03-09 20:00:00,0.2034,0.2146,0.2012,0.208
2019-03-10 00:00:00,0.2074,0.2137,0.204,0.2073
2019-03-10 04:00:00,0.208,0.2096,0.2002,0.202
2019-03-10 08:00:00,0.2021,0.2093,0.2009,0.2066
2019-03-10 12:00:00,0.2061,0.2062,0.2005,0.2049
2019-03-10 16:00:00,0.2049,0.2059,0.1964,0.1974
2019-03-10 20:00:00,0.198,0.2023,0.1951,0.1956
2019-03-11 00:00:00,0.1955,0.2,0.1955,0.1967
2019-03-11 04:00:00,0.1967,0.1982,0.1938,0.1956
2019-03-11 08:00:00,0.1947,0.1978,0.1931,0.1946
2019-03-11 12:00:00,0.1949,0.198,0.1878,0.1905
2019-03-11 16:00:00,0.1905,0.1933,0.1878,0.1882
2019-03-11 20:00:00,0.1888,0.1927,0.187,0.1925
2019-03-12 00:00:00,0.1915,0.1915,0.1832,0.1835
