Date,Open,High,Low,Close
2020-09-15 08:00:00,0.75,19.0,0.75,9.6274
2020-09-15 12:00:00,9.6224,10.1,6.88,7.7025
2020-09-15 16:00:00,7.7019,7.7019,5.729,6.2671
2020-09-15 20:00:00,6.2671,7.4,5.273,6.2073
2020-09-16 00:00:00,6.2183,6.2497,4.05,4.4845
2020-09-16 04:00:00,4.4513,5.8773,4.16,5.6022
2020-09-16 08:00:00,5.5884,5.6988,4.424,4.8008
2020-09-16 12:00:00,4.8013,5.42,4.3159,4.7614
2020-09-16 16:00:00,4.7657,4.8764,4.25,4.53
2020-09-16 20:00:00,4.5365,5.2344,4.4211,4.5697
2020-09-17 00:00:00,4.5698,4.9198,3.75,3.76
2020-09-17 04:00:00,3.7612,3.9564,3.3501,3.3934
2020-09-17 08:00:00,3.3919,3.5548,3.15,3.3942
2020-09-17 12:00:00,3.3806,3.4771,3.161,3.2222
2020-09-17 16:00:00,3.2234,3.6835,3.1616,3.5302
2020-09-17 20:00:00,3.5302,3.5445,3.0103,3.0305
2020-09-18 00:00:00,3.0153,3.1818,2.89,2.9266
2020-09-18 04:00:00,2.925,3.6999,2.8411,3.5802
2020-09-18 08:00:00,3.5886,3.8804,3.2428,3.2499
2020-09-18 12:00:00,3.2499,3.4381,3.15,3.1818
2020-09-18 16:00:00,3.1787,3.29,2.85,3.1047
2020-09-18 20:00:00,3.1208,3.1208,2.9051,3.0152
2020-09-19 00:00:00,3.0171,4.25,2.97,3.9519
2020-09-19 04:00:00,3.9422,4.108,3.421,3.9947
2020-09-19 08:00:00,3.9841,5.484,3.9841,5.1304
2020-09-19 12:00:00,5.1234,5.6243,4.66,4.7205
2020-09-19 16:00:00,4.7293,4.7293,4.1103,4.3669
2020-09-19 20:00:00,4.3886,5.35,4.3324,4.6153
2020-09-20 00:00:00,4.6173,5.0704,4.1874,4.27
2020-09-20 04:00:00,4.2694,4.47,3.9604,4.27
2020-09-20 08:00:00,4.2692,4.31,4.0204,4.1176
2020-09-20 12:00:00,4.1012,4.1169,3.5561,3.7307
2020-09-20 16:00:00,3.7259,3.8292,3.46,3.686
2020-09-20 20:00:00,3.6937,3.8,3.466,3.6979
2020-09-21 00:00:00,3.6979,3.8898,3.4866,3.6205
2020-09-21 04:00:00,3.6205,3.633,3.3001,3.3215
2020-09-21 08:00:00,3.3209,3.327,2.9501,3.041
2020-09-21 12:00:00,3.0483,3.2908,2.95,3.2231
2020-09-21 16:00:00,3.2192,3.2847,3.0195,3.2364
2020-09-21 20:00:00,3.2405,3.2676,3.0028,3.0028
2020-09-22 00:00:00,3.0268,3.2083,2.95,2.9926
2020-09-22 04:00:00,2.9827,3.1422,2.7,2.7064
2020-09-22 08:00:00,2.7049,2.8998,2.5119,2.5405
2020-09-22 12:00:00,2.5405,2.7499,2.4568,2.5895
2020-09-22 16:00:00,2.5872,2.78,2.5535,2.6478
2020-09-22 20:00:00,2.6494,2.746,2.5396,2.631
2020-09-23 00:00:00,2.6317,2.65,2.46,2.5344
2020-09-23 04:00:00,2.5361,2.54,2.302,2.3573
2020-09-23 08:00:00,2.3503,2.8693,2.3137,2.8305
2020-09-23 12:00:00,2.8333,2.8333,2.5033,2.5191
2020-09-23 16:00:00,2.5151,2.6736,2.388,2.39
2020-09-23 20:00:00,2.3941,2.4924,2.335,2.415
2020-09-24 00:00:00,2.4148,2.57,2.305,2.3705
2020-09-24 04:00:00,2.3706,2.5399,2.3586,2.5293
2020-09-24 08:00:00,2.5293,2.574,2.3879,2.495
2020-09-24 12:00:00,2.495,2.508,2.3789,2.4252
2020-09-24 16:00:00,2.4253,2.6725,2.3802,2.55
2020-09-24 20:00:00,2.5594,2.6694,2.4927,2.5835
2020-09-25 00:00:00,2.578,2.6599,2.4507,2.4508
2020-09-25 04:00:00,2.4508,2.4854,2.3801,2.4291
2020-09-25 08:00:00,2.422,2.6902,2.35,2.5355
2020-09-25 12:00:00,2.5253,2.5668,2.45,2.5192
2020-09-25 16:00:00,2.5193,2.63,2.501,2.5484
2020-09-25 20:00:00,2.5379,2.612,2.461,2.4712
2020-09-26 00:00:00,2.4717,2.4885,2.4,2.45
2020-09-26 04:00:00,2.4494,2.51,2.3965,2.4854
2020-09-26 08:00:00,2.4854,2.4895,2.4305,2.4816
2020-09-26 12:00:00,2.4667,2.4784,2.315,2.3694
2020-09-26 16:00:00,2.365,2.37,2.3,2.327
2020-09-26 20:00:00,2.326,2.4126,2.325,2.3285
2020-09-27 00:00:00,2.3279,2.35,2.126,2.2
2020-09-27 04:00:00,2.1995,2.2658,2.065,2.1042
2020-09-27 08:00:00,2.1028,2.1888,2.0008,2.028
2020-09-27 12:00:00,2.017,2.0986,1.9157,1.9813
2020-09-27 16:00:00,1.9812,2.06,1.9679,2.0269
2020-09-27 20:00:00,2.0203,2.0461,1.9734,2.0313
2020-09-28 00:00:00,2.0311,2.0982,1.9401,1.9454
2020-09-28 04:00:00,1.9519,2.0432,1.771,1.775
2020-09-28 08:00:00,1.7756,1.8788,1.74,1.8229
2020-09-28 12:00:00,1.8229,1.85,1.7667,1.8084
2020-09-28 16:00:00,1.8042,1.82,1.7626,1.7849
2020-09-28 20:00:00,1.7849,1.785,1.5711,1.6039
2020-09-29 00:00:00,1.5957,1.643,1.4944,1.4944
2020-09-29 04:00:00,1.4946,1.544,1.4944,1.5067
2020-09-29 08:00:00,1.5023,1.5097,1.44,1.4516
2020-09-29 12:00:00,1.4525,1.671,1.4419,1.4819
2020-09-29 16:00:00,1.4814,1.491,1.3145,1.3357
2020-09-29 20:00:00,1.3383,1.427,1.3,1.375
2020-09-30 00:00:00,1.3786,1.3787,1.2784,1.3284
2020-09-30 04:00:00,1.328,1.41,1.293,1.3319
2020-09-30 08:00:00,1.3301,1.3994,1.2922,1.3115
2020-09-30 12:00:00,1.308,1.3546,1.2916,1.353
2020-09-30 16:00:00,1.346,1.49,1.33,1.4201
2020-09-30 20:00:00,1.4201,1.58,1.4056,1.4274
2020-10-01 00:00:00,1.4284,1.5313,1.3317,1.3345
2020-10-01 04:00:00,1.3345,1.3811,1.3345,1.3677
2020-10-01 08:00:00,1.3671,1.41,1.349,1.369
2020-10-01 12:00:00,1.3693,1.4991,1.3449,1.4213
2020-10-01 16:00:00,1.4176,1.4176,1.26,1.3309
2020-10-01 20:00:00,1.3319,1.3421,1.2652,1.3103
2020-10-02 00:00:00,1.3132,1.4389,1.295,1.4162
2020-10-02 04:00:00,1.4196,1.4207,1.2423,1.2746
2020-10-02 08:00:00,1.2749,1.2997,1.1985,1.2033
2020-10-02 12:00:00,1.2031,1.29,1.1992,1.2362
2020-10-02 16:00:00,1.2332,1.3673,1.2225,1.3155
2020-10-02 20:00:00,1.3078,1.5,1.304,1.488
2020-10-03 00:00:00,1.4922,1.547,1.3241,1.3405
2020-10-03 04:00:00,1.3402,1.6441,1.3397,1.5908
2020-10-03 08:00:00,1.5973,1.6642,1.489,1.5398
2020-10-03 12:00:00,1.538,1.6555,1.473,1.6295
2020-10-03 16:00:00,1.6297,1.6358,1.502,1.5425
2020-10-03 20:00:00,1.5424,1.57,1.357,1.39
2020-10-04 00:00:00,1.3949,1.436,1.279,1.29
2020-10-04 04:00:00,1.2848,1.3629,1.284,1.3219
2020-10-04 08:00:00,1.3185,1.3411,1.2914,1.3096
2020-10-04 12:00:00,1.31,1.315,1.205,1.2271
2020-10-04 16:00:00,1.227,1.271,1.2101,1.2341
2020-10-04 20:00:00,1.2359,1.275,1.223,1.2393
2020-10-05 00:00:00,1.2449,1.2572,1.126,1.1557
2020-10-05 04:00:00,1.1557,1.1573,1.0506,1.087
2020-10-05 08:00:00,1.0844,1.1122,1.0503,1.0842
2020-10-05 12:00:00,1.0897,1.179,1.0702,1.1396
2020-10-05 16:00:00,1.1398,1.1398,1.0734,1.1181
2020-10-05 20:00:00,1.118,1.118,1.0734,1.0841
2020-10-06 00:00:00,1.0896,1.22,1.0809,1.168
2020-10-06 04:00:00,1.1688,1.2022,1.111,1.1258
2020-10-06 08:00:00,1.1257,1.2879,1.1209,1.1402
2020-10-06 12:00:00,1.1402,1.1677,1.0438,1.1019
2020-10-06 16:00:00,1.1004,1.12,1.0414,1.0525
2020-10-06 20:00:00,1.0527,1.0848,1.0396,1.0716
2020-10-07 00:00:00,1.0718,1.0841,1.0142,1.0165
2020-10-07 04:00:00,1.0196,1.0749,1.0087,1.0362
2020-10-07 08:00:00,1.0353,1.0823,1.02,1.0287
2020-10-07 12:00:00,1.0289,1.0818,1.0267,1.0683
2020-10-07 16:00:00,1.0688,1.0688,1.015,1.0533
2020-10-07 20:00:00,1.0536,1.0564,1.02,1.0564
2020-10-08 00:00:00,1.0563,1.0999,1.0302,1.0456
2020-10-08 04:00:00,1.0461,1.0584,1.0061,1.0292
2020-10-08 08:00:00,1.0261,1.0578,1.0076,1.049
2020-10-08 12:00:00,1.0464,1.135,1.0326,1.0932
2020-10-08 16:00:00,1.0902,1.1198,1.0729,1.1167
2020-10-08 20:00:00,1.1164,1.1549,1.0964,1.13
2020-10-09 00:00:00,1.13,1.164,1.1091,1.1293
2020-10-09 04:00:00,1.1277,1.15,1.0878,1.15
2020-10-09 08:00:00,1.15,1.25,1.1427,1.2174
2020-10-09 12:00:00,1.2174,1.2338,1.1488,1.2222
2020-10-09 16:00:00,1.2221,1.2222,1.1373,1.1411
2020-10-09 20:00:00,1.143,1.1815,1.1405,1.176
2020-10-10 00:00:00,1.176,1.2151,1.1406,1.2124
2020-10-10 04:00:00,1.215,1.2339,1.163,1.1849
2020-10-10 08:00:00,1.1849,1.207,1.0878,1.1234
2020-10-10 12:00:00,1.1273,1.1362,1.1019,1.1107
2020-10-10 16:00:00,1.1104,1.1129,1.0522,1.0778
2020-10-10 20:00:00,1.0757,1.0814,1.0342,1.0374
2020-10-11 00:00:00,1.0369,1.0515,1.0166,1.0433
2020-10-11 04:00:00,1.043,1.0809,1.0352,1.0752
2020-10-11 08:00:00,1.0751,1.085,1.052,1.0693
2020-10-11 12:00:00,1.0696,1.0728,1.0412,1.0547
2020-10-11 16:00:00,1.0554,1.082,1.0449,1.0568
2020-10-11 20:00:00,1.0565,1.0895,1.0352,1.072
2020-10-12 00:00:00,1.0715,1.1379,1.059,1.13
2020-10-12 04:00:00,1.1289,1.1389,1.1053,1.1183
2020-10-12 08:00:00,1.1183,1.1329,1.05,1.0544
2020-10-12 12:00:00,1.0537,1.0971,1.0535,1.0872
2020-10-12 16:00:00,1.0856,1.0941,1.044,1.0757
2020-10-12 20:00:00,1.0757,1.0895,1.0427,1.0496
2020-10-13 00:00:00,1.049,1.057,1.028,1.0446
2020-10-13 04:00:00,1.0449,1.09,1.0297,1.0676
2020-10-13 08:00:00,1.0661,1.07,1.052,1.0581
2020-10-13 12:00:00,1.0584,1.0589,1.036,1.0393
2020-10-13 16:00:00,1.0409,1.0516,1.0374,1.0458
2020-10-13 20:00:00,1.0459,1.1076,1.0459,1.0782
2020-10-14 00:00:00,1.0771,1.082,1.0596,1.067
2020-10-14 04:00:00,1.0667,1.1025,1.0621,1.0947
2020-10-14 08:00:00,1.0974,1.0976,1.0222,1.0239
2020-10-14 12:00:00,1.0252,1.0632,1.0222,1.0277
2020-10-14 16:00:00,1.0272,1.0342,1.0049,1.019
2020-10-14 20:00:00,1.0192,1.0265,1.014,1.0207
2020-10-15 00:00:00,1.0207,1.0351,1.0061,1.0151
2020-10-15 04:00:00,1.0149,1.05,1.0136,1.0288
2020-10-15 08:00:00,1.0298,1.035,1.01,1.012
2020-10-15 12:00:00,1.012,1.026,1.01,1.0184
2020-10-15 16:00:00,1.0187,1.0333,1.0014,1.0295
2020-10-15 20:00:00,1.0299,1.033,1.0061,1.0138
2020-10-16 00:00:00,1.0122,1.0197,1.0015,1.0094
2020-10-16 04:00:00,1.0099,1.0183,0.9496,0.9496
2020-10-16 08:00:00,0.9521,0.9738,0.9378,0.9698
2020-10-16 12:00:00,0.9678,0.9816,0.9379,0.9392
2020-10-16 16:00:00,0.9393,0.949,0.9258,0.9261
2020-10-16 20:00:00,0.9301,0.932,0.9199,0.9216
2020-10-17 00:00:00,0.9217,0.934,0.9169,0.9326
2020-10-17 04:00:00,0.9326,0.9341,0.917,0.9203
2020-10-17 08:00:00,0.921,0.9693,0.92,0.9675
2020-10-17 12:00:00,0.9674,0.9699,0.9308,0.9345
2020-10-17 16:00:00,0.9342,0.9454,0.922,0.9307
2020-10-17 20:00:00,0.9307,0.9352,0.9257,0.9289
2020-10-18 00:00:00,0.9288,0.9525,0.9285,0.9467
2020-10-18 04:00:00,0.9451,0.9827,0.9402,0.9643
2020-10-18 08:00:00,0.9643,0.98,0.9516,0.9535
2020-10-18 12:00:00,0.9529,0.9694,0.9401,0.9582
2020-10-18 16:00:00,0.9582,0.9662,0.943,0.9561
2020-10-18 20:00:00,0.9575,0.9589,0.9511,0.9523
2020-10-19 00:00:00,0.9526,1.0015,0.9511,0.9956
2020-10-19 04:00:00,0.9954,1.09,0.977,1.0421
2020-10-19 08:00:00,1.0438,1.0857,1.0183,1.08
2020-10-19 12:00:00,1.08,1.1867,1.0458,1.1237
2020-10-19 16:00:00,1.1255,1.149,1.0751,1.0851
2020-10-19 20:00:00,1.0854,1.11,1.0455,1.0534
2020-10-20 00:00:00,1.0557,1.11,1.0322,1.0548
2020-10-20 04:00:00,1.0534,1.1047,0.9616,0.9722
2020-10-20 08:00:00,0.9722,0.9845,0.92,0.929
2020-10-20 12:00:00,0.9309,0.9609,0.9251,0.9343
2020-10-20 16:00:00,0.9344,0.9393,0.9169,0.9221
2020-10-20 20:00:00,0.9247,0.9579,0.9185,0.9343
2020-10-21 00:00:00,0.9338,0.95,0.92,0.9484
2020-10-21 04:00:00,0.9488,0.9488,0.92,0.9299
2020-10-21 08:00:00,0.9299,0.9315,0.9169,0.923
2020-10-21 12:00:00,0.9295,0.9341,0.9,0.9341
2020-10-21 16:00:00,0.9341,0.951,0.9251,0.9385
2020-10-21 20:00:00,0.9409,0.959,0.9207,0.9258
2020-10-22 00:00:00,0.9244,0.9387,0.92,0.934
2020-10-22 04:00:00,0.934,0.951,0.92,0.9439
2020-10-22 08:00:00,0.9431,0.9702,0.9415,0.965
2020-10-22 12:00:00,0.9651,0.9699,0.9436,0.962
