Date,Open,High,Low,Close
2020-03-11 04:00:00,146.82,580.0,146.82,154.41
2020-03-11 08:00:00,154.41,165.49,150.0,159.5
2020-03-11 12:00:00,158.81,170.73,155.04,167.17
2020-03-11 16:00:00,167.3,188.0,163.16,167.3
2020-03-11 20:00:00,169.35,171.56,155.05,156.65
2020-03-12 00:00:00,155.24,188.23,155.14,185.37
2020-03-12 04:00:00,187.65,217.01,186.54,211.52
2020-03-12 08:00:00,212.88,324.0,211.52,306.48
2020-03-12 12:00:00,304.14,317.78,270.3,282.0
2020-03-12 16:00:00,281.61,293.0,274.28,286.0
2020-03-12 20:00:00,285.9,368.36,285.9,356.12
2020-03-13 00:00:00,359.18,730.61,230.0,398.97
2020-03-13 04:00:00,405.1,522.79,236.15,256.0
2020-03-13 08:00:00,260.0,279.58,195.83,249.05
2020-03-13 12:00:00,250.8,275.51,165.0,236.0
2020-03-13 16:00:00,238.07,277.86,206.98,218.61
2020-03-13 20:00:00,218.0,231.48,170.0,184.62
2020-03-14 00:00:00,186.73,208.9,166.66,171.43
2020-03-14 04:00:00,174.98,193.85,174.98,186.35
2020-03-14 08:00:00,186.35,218.0,180.2,184.76
2020-03-14 12:00:00,185.0,208.12,185.0,204.0
2020-03-14 16:00:00,203.52,206.97,189.99,199.5
2020-03-14 20:00:00,199.84,242.85,196.96,228.7
2020-03-15 00:00:00,228.7,237.97,216.89,231.81
2020-03-15 04:00:00,231.81,231.81,190.01,202.97
2020-03-15 08:00:00,203.53,230.0,184.66,186.2
2020-03-15 12:00:00,186.2,206.0,171.29,200.05
2020-03-15 16:00:00,199.68,205.53,192.38,200.95
2020-03-15 20:00:00,200.85,217.01,155.0,203.53
2020-03-16 00:00:00,204.83,223.9,202.73,215.52
2020-03-16 04:00:00,215.52,280.0,212.84,278.97
2020-03-16 08:00:00,278.97,324.46,267.54,305.77
2020-03-16 12:00:00,307.29,313.65,237.34,243.94
2020-03-16 16:00:00,243.52,274.9,237.34,266.58
2020-03-16 20:00:00,265.85,279.49,255.89,260.82
2020-03-17 00:00:00,260.82,265.85,189.0,197.17
2020-03-17 04:00:00,197.22,207.45,174.02,180.36
2020-03-17 08:00:00,179.32,212.9,175.0,199.18
2020-03-17 12:00:00,200.95,226.34,189.77,190.01
2020-03-17 16:00:00,190.0,194.0,177.58,184.54
2020-03-17 20:00:00,183.62,189.79,174.5,188.57
2020-03-18 00:00:00,188.89,191.54,178.02,182.56
2020-03-18 04:00:00,182.26,211.45,181.15,206.2
2020-03-18 08:00:00,206.42,212.0,191.98,200.99
2020-03-18 12:00:00,201.5,219.78,185.0,189.43
2020-03-18 16:00:00,190.98,205.0,187.0,190.0
2020-03-18 20:00:00,190.0,193.44,182.0,183.0
2020-03-19 00:00:00,182.93,189.5,175.69,184.06
2020-03-19 04:00:00,184.07,184.97,166.23,170.51
2020-03-19 08:00:00,170.07,173.0,143.58,148.85
2020-03-19 12:00:00,147.92,149.98,128.0,137.25
2020-03-19 16:00:00,136.85,143.41,90.5,107.0
2020-03-19 20:00:00,106.19,109.57,86.7,96.28
2020-03-20 00:00:00,95.94,103.41,89.37,100.14
2020-03-20 04:00:00,100.14,101.41,90.3,91.6
2020-03-20 08:00:00,91.77,92.2,67.66,78.72
2020-03-20 12:00:00,78.5,88.07,75.3,80.51
2020-03-20 16:00:00,80.25,103.54,78.91,100.88
2020-03-20 20:00:00,101.0,122.87,89.04,96.6
2020-03-21 00:00:00,96.42,101.35,85.27,91.51
2020-03-21 04:00:00,91.52,105.83,89.5,98.64
2020-03-21 08:00:00,99.35,112.15,98.3,100.11
2020-03-21 12:00:00,100.95,101.35,89.98,92.56
2020-03-21 16:00:00,92.36,101.14,90.0,93.7
2020-03-21 20:00:00,93.56,97.0,83.0,91.41
2020-03-22 00:00:00,90.81,94.34,84.34,85.48
2020-03-22 04:00:00,85.48,90.28,82.33,88.45
2020-03-22 08:00:00,88.94,95.04,86.65,94.18
2020-03-22 12:00:00,94.36,104.99,93.5,98.3
2020-03-22 16:00:00,97.75,110.0,95.1,108.5
2020-03-22 20:00:00,108.9,115.95,97.0,113.26
2020-03-23 00:00:00,113.25,120.0,104.49,107.0
2020-03-23 04:00:00,107.42,112.87,104.27,112.82
2020-03-23 08:00:00,112.82,120.0,106.56,113.77
2020-03-23 12:00:00,112.92,113.37,73.87,89.5
2020-03-23 16:00:00,89.4,90.0,83.0,87.17
2020-03-23 20:00:00,87.89,88.5,80.45,80.86
2020-03-24 00:00:00,81.25,82.03,75.0,80.87
2020-03-24 04:00:00,80.7,86.69,78.63,80.83
2020-03-24 08:00:00,80.68,80.83,72.0,74.54
2020-03-24 12:00:00,75.15,84.23,75.0,80.02
2020-03-24 16:00:00,80.7,83.0,75.77,76.85
2020-03-24 20:00:00,76.85,80.0,73.33,75.22
2020-03-25 00:00:00,75.24,80.87,74.04,80.18
2020-03-25 04:00:00,80.51,81.0,75.15,75.46
2020-03-25 08:00:00,75.47,82.29,69.44,80.69
2020-03-25 12:00:00,80.48,81.5,74.0,78.09
2020-03-25 16:00:00,78.04,79.98,76.32,79.3
2020-03-25 20:00:00,79.29,80.5,76.73,76.73
