Date,Open,High,Low,Close
2021-07-29 04:00:00,1.209,2.485,1.209,1.412
2021-07-29 08:00:00,1.412,1.433,1.259,1.374
2021-07-29 12:00:00,1.374,1.406,1.275,1.324
2021-07-29 16:00:00,1.324,1.328,1.23,1.261
2021-07-29 20:00:00,1.261,1.326,1.23,1.282
2021-07-30 00:00:00,1.282,1.282,1.179,1.226
2021-07-30 04:00:00,1.225,1.269,1.18,1.225
2021-07-30 08:00:00,1.224,1.227,1.142,1.166
2021-07-30 12:00:00,1.166,1.21,1.151,1.176
2021-07-30 16:00:00,1.176,1.249,1.164,1.205
2021-07-30 20:00:00,1.205,1.227,1.183,1.207
2021-07-31 00:00:00,1.207,1.207,1.172,1.184
2021-07-31 04:00:00,1.184,1.186,1.158,1.168
2021-07-31 08:00:00,1.169,1.212,1.165,1.181
2021-07-31 12:00:00,1.182,1.239,1.167,1.222
2021-07-31 16:00:00,1.22,1.25,1.181,1.194
2021-07-31 20:00:00,1.194,1.213,1.185,1.188
2021-08-01 00:00:00,1.188,1.198,1.16,1.171
2021-08-01 04:00:00,1.172,1.19,1.165,1.174
2021-08-01 08:00:00,1.174,1.184,1.127,1.143
2021-08-01 12:00:00,1.145,1.162,1.13,1.149
2021-08-01 16:00:00,1.149,1.15,1.12,1.13
2021-08-01 20:00:00,1.131,1.141,1.086,1.112
2021-08-02 00:00:00,1.115,1.121,1.06,1.076
2021-08-02 04:00:00,1.076,1.12,1.075,1.089
2021-08-02 08:00:00,1.089,1.093,1.065,1.081
2021-08-02 12:00:00,1.081,1.142,1.062,1.104
2021-08-02 16:00:00,1.104,1.145,1.07,1.08
2021-08-02 20:00:00,1.081,1.12,1.07,1.087
2021-08-03 00:00:00,1.088,1.11,1.07,1.072
2021-08-03 04:00:00,1.072,1.074,1.017,1.03
2021-08-03 08:00:00,1.03,1.049,0.997,1.0
2021-08-03 12:00:00,1.0,1.03,0.956,1.024
2021-08-03 16:00:00,1.024,1.054,0.982,1.002
2021-08-03 20:00:00,1.003,1.018,0.996,1.016
2021-08-04 00:00:00,1.015,1.048,1.009,1.019
2021-08-04 04:00:00,1.019,1.037,1.005,1.013
2021-08-04 08:00:00,1.014,1.024,0.989,1.016
2021-08-04 12:00:00,1.016,1.062,1.011,1.047
2021-08-04 16:00:00,1.048,1.22,1.034,1.148
2021-08-04 20:00:00,1.147,1.189,1.113,1.137
2021-08-05 00:00:00,1.138,1.159,1.066,1.076
2021-08-05 04:00:00,1.076,1.11,1.005,1.068
2021-08-05 08:00:00,1.068,1.148,1.043,1.083
2021-08-05 12:00:00,1.079,1.079,1.005,1.049
2021-08-05 16:00:00,1.045,1.1,1.036,1.068
2021-08-05 20:00:00,1.068,1.096,1.052,1.057
2021-08-06 00:00:00,1.057,1.082,1.042,1.045
2021-08-06 04:00:00,1.045,1.047,1.022,1.027
2021-08-06 08:00:00,1.028,1.08,1.023,1.066
2021-08-06 12:00:00,1.066,1.09,1.045,1.087
2021-08-06 16:00:00,1.086,1.099,1.046,1.056
2021-08-06 20:00:00,1.056,1.059,1.037,1.058
2021-08-07 00:00:00,1.058,1.069,1.042,1.056
2021-08-07 04:00:00,1.057,1.1,1.047,1.079
2021-08-07 08:00:00,1.079,1.1,1.066,1.09
2021-08-07 12:00:00,1.09,1.096,1.065,1.071
2021-08-07 16:00:00,1.071,1.073,1.039,1.054
2021-08-07 20:00:00,1.056,1.088,1.049,1.072
2021-08-08 00:00:00,1.071,1.086,1.045,1.051
2021-08-08 04:00:00,1.051,1.059,1.029,1.039
2021-08-08 08:00:00,1.039,1.047,1.029,1.046
2021-08-08 12:00:00,1.043,1.059,1.029,1.035
2021-08-08 16:00:00,1.036,1.043,1.004,1.018
2021-08-08 20:00:00,1.018,1.036,1.013,1.018
2021-08-09 00:00:00,1.02,1.021,1.0,1.015
2021-08-09 04:00:00,1.015,1.05,1.011,1.04
2021-08-09 08:00:00,1.039,1.084,1.033,1.071
2021-08-09 12:00:00,1.071,1.162,1.054,1.15
2021-08-09 16:00:00,1.15,1.169,1.094,1.101
2021-08-09 20:00:00,1.101,1.117,1.057,1.081
2021-08-10 00:00:00,1.083,1.144,1.061,1.111
2021-08-10 04:00:00,1.11,1.151,1.094,1.14
2021-08-10 08:00:00,1.14,1.449,1.13,1.187
2021-08-10 12:00:00,1.187,1.23,1.14,1.169
