Date,Open,High,Low,Close
2021-09-24 08:00:00,0.1968,0.24,0.1965,0.2182
2021-09-24 12:00:00,0.2181,0.2768,0.2125,0.2457
2021-09-24 16:00:00,0.2462,0.2814,0.2345,0.2539
2021-09-24 20:00:00,0.254,0.2975,0.2452,0.2777
2021-09-25 00:00:00,0.2776,0.35,0.2776,0.3048
2021-09-25 04:00:00,0.3048,0.3206,0.2847,0.2867
2021-09-25 08:00:00,0.2867,0.3274,0.2694,0.3009
2021-09-25 12:00:00,0.301,0.315,0.2828,0.2853
2021-09-25 16:00:00,0.2853,0.2872,0.2532,0.2534
2021-09-25 20:00:00,0.2535,0.2636,0.244,0.2467
2021-09-26 00:00:00,0.2467,0.2538,0.2348,0.2424
2021-09-26 04:00:00,0.2424,0.2512,0.216,0.2248
2021-09-26 08:00:00,0.2248,0.2404,0.2147,0.2349
2021-09-26 12:00:00,0.2349,0.2589,0.232,0.238
2021-09-26 16:00:00,0.238,0.238,0.222,0.2243
2021-09-26 20:00:00,0.2244,0.234,0.2171,0.2203
2021-09-27 00:00:00,0.2203,0.233,0.218,0.233
2021-09-27 04:00:00,0.2324,0.239,0.2201,0.2237
2021-09-27 08:00:00,0.2236,0.2294,0.22,0.2248
2021-09-27 12:00:00,0.2245,0.245,0.221,0.2322
2021-09-27 16:00:00,0.2322,0.2655,0.231,0.233
2021-09-27 20:00:00,0.233,0.248,0.2215,0.2234
2021-09-28 00:00:00,0.2234,0.2374,0.22,0.2296
2021-09-28 04:00:00,0.2299,0.2499,0.228,0.238
2021-09-28 08:00:00,0.2378,0.2473,0.2312,0.2371
2021-09-28 12:00:00,0.2368,0.2378,0.219,0.2211
2021-09-28 16:00:00,0.2209,0.2239,0.2101,0.2171
2021-09-28 20:00:00,0.217,0.2213,0.202,0.2057
2021-09-29 00:00:00,0.2054,0.2184,0.2045,0.2175
2021-09-29 04:00:00,0.2175,0.2181,0.2122,0.2139
2021-09-29 08:00:00,0.2129,0.2267,0.21,0.2191
2021-09-29 12:00:00,0.2198,0.2215,0.2114,0.2115
2021-09-29 16:00:00,0.212,0.217,0.2069,0.2073
2021-09-29 20:00:00,0.2073,0.2127,0.2038,0.2083
2021-09-30 00:00:00,0.2084,0.2187,0.2067,0.2156
2021-09-30 04:00:00,0.2152,0.2236,0.2117,0.2135
2021-09-30 08:00:00,0.2132,0.22,0.209,0.2091
2021-09-30 12:00:00,0.2091,0.2121,0.208,0.2088
2021-09-30 16:00:00,0.2092,0.2127,0.2068,0.2109
2021-09-30 20:00:00,0.2109,0.2114,0.2078,0.2086
2021-10-01 00:00:00,0.209,0.21,0.2064,0.2079
2021-10-01 04:00:00,0.2079,0.2138,0.207,0.21
2021-10-01 08:00:00,0.2109,0.228,0.2094,0.22
2021-10-01 12:00:00,0.22,0.233,0.2181,0.2226
2021-10-01 16:00:00,0.2227,0.2298,0.2201,0.2236
2021-10-01 20:00:00,0.2232,0.2251,0.2182,0.2209
2021-10-02 00:00:00,0.2209,0.2226,0.2141,0.222
2021-10-02 04:00:00,0.2216,0.2227,0.2124,0.2188
2021-10-02 08:00:00,0.2185,0.2205,0.215,0.2185
2021-10-02 12:00:00,0.2188,0.2245,0.2113,0.2171
2021-10-02 16:00:00,0.217,0.2214,0.215,0.2204
2021-10-02 20:00:00,0.2205,0.2215,0.2149,0.2156
2021-10-03 00:00:00,0.2156,0.216,0.2072,0.2145
2021-10-03 04:00:00,0.2145,0.2153,0.2124,0.2139
2021-10-03 08:00:00,0.2139,0.2163,0.2092,0.2124
2021-10-03 12:00:00,0.2124,0.2163,0.2116,0.2124
2021-10-03 16:00:00,0.212,0.2167,0.2112,0.2146
2021-10-03 20:00:00,0.2146,0.2155,0.2092,0.2124
2021-10-04 00:00:00,0.2121,0.2145,0.2089,0.2104
2021-10-04 04:00:00,0.2104,0.2135,0.2076,0.2102
2021-10-04 08:00:00,0.2107,0.2154,0.2092,0.2102
2021-10-04 12:00:00,0.2104,0.2139,0.2061,0.209
2021-10-04 16:00:00,0.2086,0.2116,0.2065,0.209
2021-10-04 20:00:00,0.2091,0.2098,0.2028,0.2077
2021-10-05 00:00:00,0.2077,0.212,0.2065,0.2089
2021-10-05 04:00:00,0.2091,0.2112,0.207,0.2089
2021-10-05 08:00:00,0.2088,0.2192,0.208,0.2136
2021-10-05 12:00:00,0.2139,0.2169,0.2011,0.2046
2021-10-05 16:00:00,0.2046,0.2089,0.2035,0.2051
