Date,Open,High,Low,Close
2021-04-02 08:00:00,4.502,22.5,4.502,8.488
2021-04-02 12:00:00,8.488,8.55,7.066,7.074
2021-04-02 16:00:00,7.073,8.558,6.574,7.689
2021-04-02 20:00:00,7.689,7.941,6.711,6.931
2021-04-03 00:00:00,6.931,7.893,6.77,7.855
2021-04-03 04:00:00,7.854,8.469,7.248,7.387
2021-04-03 08:00:00,7.388,7.586,6.93,6.945
2021-04-03 12:00:00,6.945,7.1,6.62,6.62
2021-04-03 16:00:00,6.622,7.05,6.035,6.404
2021-04-03 20:00:00,6.404,6.414,5.685,5.685
2021-04-04 00:00:00,5.685,6.2,5.45,5.94
2021-04-04 04:00:00,5.94,6.236,5.569,5.669
2021-04-04 08:00:00,5.669,5.91,5.499,5.578
2021-04-04 12:00:00,5.579,5.99,5.521,5.763
2021-04-04 16:00:00,5.763,5.995,5.648,5.861
2021-04-04 20:00:00,5.86,5.9,5.552,5.674
2021-04-05 00:00:00,5.671,5.699,5.189,5.195
2021-04-05 04:00:00,5.191,5.269,4.921,5.009
2021-04-05 08:00:00,5.009,5.269,4.625,5.013
2021-04-05 12:00:00,5.039,5.333,4.831,5.17
2021-04-05 16:00:00,5.17,5.2,4.93,5.08
2021-04-05 20:00:00,5.08,5.115,4.789,4.914
2021-04-06 00:00:00,4.92,5.009,4.727,4.756
2021-04-06 04:00:00,4.757,4.969,4.732,4.785
2021-04-06 08:00:00,4.773,4.857,4.505,4.516
2021-04-06 12:00:00,4.52,4.612,3.92,4.102
2021-04-06 16:00:00,4.102,4.249,3.968,4.052
2021-04-06 20:00:00,4.044,4.071,3.841,3.936
2021-04-07 00:00:00,3.929,3.967,3.75,3.851
2021-04-07 04:00:00,3.852,4.37,3.75,4.045
2021-04-07 08:00:00,4.045,4.151,3.386,3.484
2021-04-07 12:00:00,3.473,3.743,3.288,3.494
2021-04-07 16:00:00,3.491,3.7,3.395,3.532
2021-04-07 20:00:00,3.532,3.785,3.511,3.511
2021-04-08 00:00:00,3.511,3.798,3.5,3.79
2021-04-08 04:00:00,3.791,3.949,3.651,3.731
2021-04-08 08:00:00,3.731,4.0,3.403,3.459
2021-04-08 12:00:00,3.454,3.75,3.41,3.58
2021-04-08 16:00:00,3.58,3.7,3.526,3.659
2021-04-08 20:00:00,3.651,3.695,3.45,3.515
2021-04-09 00:00:00,3.517,3.678,3.466,3.568
2021-04-09 04:00:00,3.565,3.85,3.55,3.71
2021-04-09 08:00:00,3.725,3.99,3.635,3.943
2021-04-09 12:00:00,3.941,4.5,3.891,4.431
2021-04-09 16:00:00,4.431,5.2,4.256,4.468
2021-04-09 20:00:00,4.462,4.788,4.244,4.374
2021-04-10 00:00:00,4.374,4.949,4.359,4.586
2021-04-10 04:00:00,4.584,4.596,4.1,4.217
2021-04-10 08:00:00,4.219,4.374,4.08,4.128
2021-04-10 12:00:00,4.128,4.218,3.9,3.952
2021-04-10 16:00:00,3.952,4.029,3.8,3.8
2021-04-10 20:00:00,3.8,3.919,3.75,3.842
2021-04-11 00:00:00,3.859,4.1,3.643,3.991
2021-04-11 04:00:00,3.991,4.061,3.8,3.826
2021-04-11 08:00:00,3.816,3.959,3.773,3.89
2021-04-11 12:00:00,3.866,4.34,3.86,4.12
2021-04-11 16:00:00,4.115,4.178,3.961,4.03
2021-04-11 20:00:00,4.026,4.399,4.0,4.301
2021-04-12 00:00:00,4.302,4.456,4.161,4.34
2021-04-12 04:00:00,4.345,4.435,4.164,4.359
2021-04-12 08:00:00,4.372,4.65,4.1,4.346
2021-04-12 12:00:00,4.359,4.369,4.158,4.22
2021-04-12 16:00:00,4.239,4.469,4.192,4.343
2021-04-12 20:00:00,4.343,4.535,4.323,4.419
2021-04-13 00:00:00,4.419,4.494,4.196,4.196
2021-04-13 04:00:00,4.199,4.199,3.8,3.903
2021-04-13 08:00:00,3.908,3.98,3.75,3.857
2021-04-13 12:00:00,3.857,4.128,3.819,3.892
2021-04-13 16:00:00,3.9,3.945,3.8,3.864
2021-04-13 20:00:00,3.865,4.024,3.83,3.945
2021-04-14 00:00:00,3.928,4.01,3.845,3.9
2021-04-14 04:00:00,3.896,3.935,3.8,3.8
2021-04-14 08:00:00,3.803,3.84,3.6,3.637
2021-04-14 12:00:00,3.637,3.643,3.449,3.501
2021-04-14 16:00:00,3.511,3.629,3.4,3.432
2021-04-14 20:00:00,3.433,3.569,3.415,3.538
2021-04-15 00:00:00,3.538,3.58,3.468,3.547
2021-04-15 04:00:00,3.547,3.59,3.499,3.509
2021-04-15 08:00:00,3.509,3.554,3.352,3.382
2021-04-15 12:00:00,3.382,3.537,3.3,3.503
2021-04-15 16:00:00,3.503,3.527,3.4,3.457
2021-04-15 20:00:00,3.466,3.499,3.373,3.38
2021-04-16 00:00:00,3.38,3.393,3.1,3.16
2021-04-16 04:00:00,3.156,3.198,3.0,3.137
2021-04-16 08:00:00,3.135,3.192,3.002,3.055
2021-04-16 12:00:00,3.053,3.064,2.81,3.008
2021-04-16 16:00:00,3.008,3.133,2.973,3.022
2021-04-16 20:00:00,3.022,3.058,2.9,2.905
2021-04-17 00:00:00,2.906,3.0,2.85,2.973
2021-04-17 04:00:00,2.974,3.037,2.927,3.011
2021-04-17 08:00:00,3.012,3.12,2.87,2.87
2021-04-17 12:00:00,2.871,2.95,2.8,2.814
2021-04-17 16:00:00,2.814,2.943,2.802,2.845
2021-04-17 20:00:00,2.845,2.93,2.816,2.817
2021-04-18 00:00:00,2.817,2.864,2.18,2.429
2021-04-18 04:00:00,2.414,2.475,2.277,2.384
2021-04-18 08:00:00,2.387,2.468,2.22,2.263
2021-04-18 12:00:00,2.263,2.45,2.256,2.379
2021-04-18 16:00:00,2.379,2.46,2.369,2.417
2021-04-18 20:00:00,2.417,2.47,2.385,2.46
2021-04-19 00:00:00,2.46,2.935,2.429,2.836
2021-04-19 04:00:00,2.839,3.11,2.688,3.033
2021-04-19 08:00:00,3.023,3.065,2.601,2.755
2021-04-19 12:00:00,2.755,2.77,2.332,2.385
2021-04-19 16:00:00,2.385,2.6,2.37,2.535
2021-04-19 20:00:00,2.535,2.619,2.452,2.465
2021-04-20 00:00:00,2.465,2.497,2.26,2.324
2021-04-20 04:00:00,2.321,2.437,2.211,2.343
