Date,Open,High,Low,Close
2021-01-29 00:00:00,4.446,6.38,4.446,4.618
2021-01-29 04:00:00,4.601,5.173,4.385,4.578
2021-01-29 08:00:00,4.631,4.74,4.2,4.55
2021-01-29 12:00:00,4.548,4.755,4.328,4.382
2021-01-29 16:00:00,4.37,4.389,4.052,4.11
2021-01-29 20:00:00,4.111,4.384,4.111,4.317
2021-01-30 00:00:00,4.317,4.54,4.176,4.351
2021-01-30 04:00:00,4.35,4.512,4.133,4.311
2021-01-30 08:00:00,4.311,4.453,4.2,4.285
2021-01-30 12:00:00,4.286,4.52,4.22,4.276
2021-01-30 16:00:00,4.274,4.274,4.1,4.169
2021-01-30 20:00:00,4.17,4.289,4.126,4.126
2021-01-31 00:00:00,4.126,4.199,4.04,4.171
2021-01-31 04:00:00,4.135,4.179,4.053,4.108
2021-01-31 08:00:00,4.107,4.107,3.895,4.02
2021-01-31 12:00:00,4.02,4.198,3.884,3.96
2021-01-31 16:00:00,3.928,4.074,3.9,3.92
2021-01-31 20:00:00,3.92,3.991,3.86,3.957
2021-02-01 00:00:00,3.957,4.074,3.9,3.91
2021-02-01 04:00:00,3.91,3.947,3.811,3.85
2021-02-01 08:00:00,3.85,4.05,3.838,3.94
2021-02-01 12:00:00,3.969,4.0,3.69,3.744
2021-02-01 16:00:00,3.744,3.984,3.645,3.744
2021-02-01 20:00:00,3.758,3.882,3.674,3.726
2021-02-02 00:00:00,3.726,3.95,3.688,3.872
2021-02-02 04:00:00,3.853,3.94,3.786,3.851
2021-02-02 08:00:00,3.855,4.02,3.839,3.898
2021-02-02 12:00:00,3.888,3.958,3.861,3.922
2021-02-02 16:00:00,3.922,4.055,3.829,4.045
2021-02-02 20:00:00,4.049,4.2,4.023,4.15
2021-02-03 00:00:00,4.143,4.23,4.032,4.062
2021-02-03 04:00:00,4.062,4.149,3.981,4.059
2021-02-03 08:00:00,4.059,4.15,4.001,4.089
2021-02-03 12:00:00,4.095,4.21,4.03,4.194
2021-02-03 16:00:00,4.173,4.21,4.012,4.145
2021-02-03 20:00:00,4.146,4.198,4.066,4.161
2021-02-04 00:00:00,4.15,4.32,4.074,4.32
2021-02-04 04:00:00,4.288,4.47,4.144,4.173
2021-02-04 08:00:00,4.173,4.173,3.887,4.027
2021-02-04 12:00:00,4.018,4.042,3.864,3.87
2021-02-04 16:00:00,3.87,4.054,3.868,4.01
2021-02-04 20:00:00,4.026,4.046,3.944,3.962
2021-02-05 00:00:00,3.962,4.2,3.902,4.145
2021-02-05 04:00:00,4.158,4.325,4.129,4.287
2021-02-05 08:00:00,4.286,4.311,4.124,4.236
2021-02-05 12:00:00,4.24,4.65,4.23,4.551
2021-02-05 16:00:00,4.571,4.626,4.47,4.513
2021-02-05 20:00:00,4.513,4.9,4.497,4.702
2021-02-06 00:00:00,4.702,4.8,4.436,4.565
2021-02-06 04:00:00,4.533,4.781,4.343,4.5
2021-02-06 08:00:00,4.5,4.598,4.358,4.412
2021-02-06 12:00:00,4.412,4.601,4.347,4.521
2021-02-06 16:00:00,4.521,4.925,4.465,4.708
2021-02-06 20:00:00,4.707,5.4,4.578,4.85
2021-02-07 00:00:00,4.85,5.208,4.8,4.956
2021-02-07 04:00:00,4.993,4.998,4.68,4.704
2021-02-07 08:00:00,4.687,4.989,4.681,4.814
2021-02-07 12:00:00,4.814,4.843,4.4,4.53
2021-02-07 16:00:00,4.53,4.713,4.401,4.542
2021-02-07 20:00:00,4.575,4.638,4.474,4.572
2021-02-08 00:00:00,4.588,4.708,4.554,4.651
2021-02-08 04:00:00,4.653,4.774,4.64,4.744
2021-02-08 08:00:00,4.75,4.859,4.664,4.771
2021-02-08 12:00:00,4.769,4.97,4.765,4.865
2021-02-08 16:00:00,4.885,4.974,4.775,4.923
2021-02-08 20:00:00,4.906,5.011,4.839,4.995
2021-02-09 00:00:00,4.97,5.021,4.755,4.83
2021-02-09 04:00:00,4.829,5.656,4.601,5.12
2021-02-09 08:00:00,5.12,5.471,5.073,5.29
2021-02-09 12:00:00,5.312,5.5,5.152,5.371
2021-02-09 16:00:00,5.371,5.387,4.938,5.11
2021-02-09 20:00:00,5.11,5.244,5.03,5.2
2021-02-10 00:00:00,5.209,5.312,5.193,5.288
2021-02-10 04:00:00,5.292,5.312,5.016,5.147
2021-02-10 08:00:00,5.158,5.399,4.828,5.239
2021-02-10 12:00:00,5.24,5.316,4.8,4.897
2021-02-10 16:00:00,4.897,5.228,4.838,5.029
2021-02-10 20:00:00,5.057,5.13,4.984,5.057
2021-02-11 00:00:00,5.057,5.146,5.007,5.08
2021-02-11 04:00:00,5.082,5.293,5.075,5.28
2021-02-11 08:00:00,5.279,5.55,5.22,5.4
2021-02-11 12:00:00,5.403,5.642,5.3,5.475
2021-02-11 16:00:00,5.474,6.25,5.41,5.783
2021-02-11 20:00:00,5.754,6.037,5.5,5.962
2021-02-12 00:00:00,5.963,5.998,5.762,5.816
2021-02-12 04:00:00,5.77,6.15,5.636,5.866
2021-02-12 08:00:00,5.865,6.0,5.784,5.907
2021-02-12 12:00:00,5.907,5.941,5.626,5.82
2021-02-12 16:00:00,5.83,6.286,5.744,6.13
2021-02-12 20:00:00,6.129,6.268,6.005,6.055
2021-02-13 00:00:00,6.017,6.26,6.017,6.198
2021-02-13 04:00:00,6.237,6.349,6.096,6.213
2021-02-13 08:00:00,6.212,6.564,5.938,6.073
2021-02-13 12:00:00,6.075,6.7,6.013,6.595
2021-02-13 16:00:00,6.599,7.389,6.344,7.051
2021-02-13 20:00:00,7.051,8.3,7.0,7.451
2021-02-14 00:00:00,7.497,7.583,7.081,7.18
2021-02-14 04:00:00,7.19,7.246,6.8,7.085
2021-02-14 08:00:00,7.122,7.157,6.719,6.801
2021-02-14 12:00:00,6.796,6.917,6.164,6.251
2021-02-14 16:00:00,6.251,6.649,6.239,6.467
2021-02-14 20:00:00,6.468,6.756,6.34,6.421
2021-02-15 00:00:00,6.421,6.563,5.381,5.782
2021-02-15 04:00:00,5.782,6.118,5.39,6.028
2021-02-15 08:00:00,6.028,6.301,6.0,6.225
2021-02-15 12:00:00,6.22,6.399,6.038,6.399
2021-02-15 16:00:00,6.399,6.736,6.323,6.603
2021-02-15 20:00:00,6.603,6.636,6.081,6.1
2021-02-16 00:00:00,6.142,6.3,5.852,6.252
2021-02-16 04:00:00,6.205,6.328,6.05,6.165
2021-02-16 08:00:00,6.175,6.34,6.125,6.267
2021-02-16 12:00:00,6.257,6.34,5.981,6.217
2021-02-16 16:00:00,6.236,6.261,5.8,5.839
2021-02-16 20:00:00,5.836,5.982,5.719,5.953
2021-02-17 00:00:00,5.95,6.085,5.869,5.97
2021-02-17 04:00:00,5.94,5.972,5.59,5.931
2021-02-17 08:00:00,5.952,6.666,5.897,6.448
2021-02-17 12:00:00,6.448,7.006,6.448,6.8
2021-02-17 16:00:00,6.767,6.819,6.448,6.644
2021-02-17 20:00:00,6.589,6.8,6.587,6.734
2021-02-18 00:00:00,6.706,7.274,6.706,7.2
2021-02-18 04:00:00,7.2,7.201,6.81,6.943
2021-02-18 08:00:00,6.944,6.998,6.657,6.663
2021-02-18 12:00:00,6.665,6.83,6.467,6.779
2021-02-18 16:00:00,6.827,6.932,6.71,6.865
2021-02-18 20:00:00,6.865,6.865,6.65,6.711
2021-02-19 00:00:00,6.687,6.76,6.482,6.531
2021-02-19 04:00:00,6.532,6.655,6.293,6.584
2021-02-19 08:00:00,6.584,6.637,6.362,6.5
2021-02-19 12:00:00,6.5,6.655,6.351,6.4
2021-02-19 16:00:00,6.407,6.768,6.359,6.655
2021-02-19 20:00:00,6.664,7.35,6.488,6.802
2021-02-20 00:00:00,6.802,6.853,6.481,6.497
2021-02-20 04:00:00,6.498,6.599,6.452,6.482
2021-02-20 08:00:00,6.482,7.069,6.461,6.843
2021-02-20 12:00:00,6.844,6.997,6.531,6.607
2021-02-20 16:00:00,6.607,6.792,6.575,6.689
2021-02-20 20:00:00,6.66,6.698,6.027,6.181
2021-02-21 00:00:00,6.18,6.9,6.1,6.701
2021-02-21 04:00:00,6.701,7.098,6.68,6.74
2021-02-21 08:00:00,6.71,6.999,6.71,6.969
2021-02-21 12:00:00,6.969,7.1,6.75,6.837
2021-02-21 16:00:00,6.802,7.082,6.757,7.019
2021-02-21 20:00:00,7.021,7.023,6.757,6.89
2021-02-22 00:00:00,6.913,6.913,6.51,6.511
