Date,Open,High,Low,Close
2021-12-10 04:00:00,1.22,5.0,1.22,3.31
2021-12-10 08:00:00,3.304,3.93,2.252,2.372
2021-12-10 12:00:00,2.372,2.473,1.851,1.909
2021-12-10 16:00:00,1.909,2.07,1.77,2.063
2021-12-10 20:00:00,2.063,2.244,1.802,1.826
2021-12-11 00:00:00,1.823,2.092,1.772,1.981
2021-12-11 04:00:00,1.981,2.03,1.787,1.814
2021-12-11 08:00:00,1.813,1.99,1.788,1.869
2021-12-11 12:00:00,1.87,1.989,1.853,1.956
2021-12-11 16:00:00,1.956,2.177,1.89,1.921
2021-12-11 20:00:00,1.922,1.962,1.848,1.879
2021-12-12 00:00:00,1.879,1.997,1.855,1.86
2021-12-12 04:00:00,1.86,1.899,1.806,1.854
2021-12-12 08:00:00,1.852,1.857,1.791,1.813
2021-12-12 12:00:00,1.813,1.88,1.8,1.825
2021-12-12 16:00:00,1.825,1.877,1.801,1.846
2021-12-12 20:00:00,1.847,1.873,1.82,1.85
2021-12-13 00:00:00,1.848,1.884,1.65,1.672
2021-12-13 04:00:00,1.673,1.688,1.591,1.615
2021-12-13 08:00:00,1.615,1.697,1.54,1.597
2021-12-13 12:00:00,1.596,1.63,1.386,1.42
2021-12-13 16:00:00,1.42,1.608,1.347,1.491
2021-12-13 20:00:00,1.491,1.562,1.403,1.417
2021-12-14 00:00:00,1.422,1.565,1.412,1.446
2021-12-14 04:00:00,1.446,1.483,1.399,1.444
2021-12-14 08:00:00,1.444,1.475,1.4,1.409
2021-12-14 12:00:00,1.409,1.429,1.35,1.375
2021-12-14 16:00:00,1.374,1.417,1.354,1.382
2021-12-14 20:00:00,1.385,1.489,1.363,1.419
2021-12-15 00:00:00,1.418,1.7,1.418,1.694
2021-12-15 04:00:00,1.697,2.076,1.583,1.892
2021-12-15 08:00:00,1.892,1.996,1.712,1.774
2021-12-15 12:00:00,1.774,1.897,1.59,1.59
2021-12-15 16:00:00,1.591,1.836,1.573,1.782
2021-12-15 20:00:00,1.782,2.05,1.729,1.756
2021-12-16 00:00:00,1.754,1.763,1.681,1.724
2021-12-16 04:00:00,1.725,1.818,1.703,1.759
2021-12-16 08:00:00,1.756,1.839,1.725,1.814
2021-12-16 12:00:00,1.815,1.939,1.792,1.833
2021-12-16 16:00:00,1.834,1.86,1.73,1.764
2021-12-16 20:00:00,1.763,1.826,1.701,1.725
2021-12-17 00:00:00,1.727,1.732,1.653,1.69
2021-12-17 04:00:00,1.688,1.753,1.615,1.663
2021-12-17 08:00:00,1.663,1.671,1.6,1.646
2021-12-17 12:00:00,1.647,1.648,1.511,1.619
2021-12-17 16:00:00,1.611,1.673,1.551,1.569
2021-12-17 20:00:00,1.568,1.639,1.55,1.598
2021-12-18 00:00:00,1.594,1.616,1.539,1.569
2021-12-18 04:00:00,1.569,1.672,1.555,1.615
2021-12-18 08:00:00,1.613,1.683,1.601,1.645
2021-12-18 12:00:00,1.645,1.675,1.626,1.662
2021-12-18 16:00:00,1.662,1.697,1.589,1.607
2021-12-18 20:00:00,1.61,1.646,1.563,1.6
2021-12-19 00:00:00,1.602,1.633,1.57,1.618
2021-12-19 04:00:00,1.617,1.632,1.58,1.622
2021-12-19 08:00:00,1.622,1.639,1.589,1.596
2021-12-19 12:00:00,1.596,1.62,1.579,1.611
2021-12-19 16:00:00,1.608,1.62,1.572,1.575
2021-12-19 20:00:00,1.575,1.65,1.571,1.573
2021-12-20 00:00:00,1.574,1.578,1.497,1.513
2021-12-20 04:00:00,1.514,1.559,1.49,1.501
2021-12-20 08:00:00,1.501,1.609,1.489,1.495
2021-12-20 12:00:00,1.495,1.51,1.461,1.483
2021-12-20 16:00:00,1.482,1.516,1.466,1.509
2021-12-20 20:00:00,1.511,1.546,1.501,1.517
2021-12-21 00:00:00,1.519,1.609,1.518,1.577
2021-12-21 04:00:00,1.576,1.636,1.576,1.611
2021-12-21 08:00:00,1.611,1.649,1.585,1.613
2021-12-21 12:00:00,1.613,1.645,1.56,1.58
2021-12-21 16:00:00,1.58,1.667,1.569,1.648
2021-12-21 20:00:00,1.648,1.838,1.629,1.737
2021-12-22 00:00:00,1.739,1.784,1.653,1.658
2021-12-22 04:00:00,1.658,1.737,1.654,1.735
2021-12-22 08:00:00,1.73,1.747,1.635,1.667
2021-12-22 12:00:00,1.669,1.681,1.608,1.662
2021-12-22 16:00:00,1.663,1.69,1.634,1.652
2021-12-22 20:00:00,1.654,1.68,1.611,1.619
2021-12-23 00:00:00,1.619,1.636,1.577,1.629
