Date,Open,High,Low,Close
2022-03-09 12:00:00,0.01,0.19,0.01,0.14399
2022-03-09 16:00:00,0.14384,0.1492,0.12617,0.13611
2022-03-09 20:00:00,0.1361,0.14117,0.125,0.13262
2022-03-10 00:00:00,0.13308,0.145,0.1292,0.1303
2022-03-10 04:00:00,0.13026,0.139,0.12765,0.13344
2022-03-10 08:00:00,0.13344,0.14375,0.1288,0.13748
2022-03-10 12:00:00,0.13739,0.138,0.1118,0.1118
2022-03-10 16:00:00,0.11219,0.119,0.11,0.1137
2022-03-10 20:00:00,0.11382,0.11793,0.112,0.11677
2022-03-11 00:00:00,0.11677,0.11765,0.10006,0.10439
2022-03-11 04:00:00,0.10448,0.115,0.10052,0.11099
2022-03-11 08:00:00,0.11098,0.11357,0.105,0.10974
2022-03-11 12:00:00,0.10978,0.146,0.1078,0.14335
2022-03-11 16:00:00,0.14313,0.1588,0.13256,0.13495
2022-03-11 20:00:00,0.1346,0.166,0.13459,0.15958
2022-03-12 00:00:00,0.16003,0.21,0.15562,0.18566
2022-03-12 04:00:00,0.18593,0.2929,0.17633,0.28534
2022-03-12 08:00:00,0.28562,0.308,0.23378,0.26299
2022-03-12 12:00:00,0.26294,0.26299,0.2214,0.22556
2022-03-12 16:00:00,0.22552,0.297,0.2242,0.26047
2022-03-12 20:00:00,0.26047,0.31232,0.24695,0.28472
2022-03-13 00:00:00,0.28499,0.296,0.25273,0.2719
2022-03-13 04:00:00,0.27205,0.328,0.26259,0.28553
2022-03-13 08:00:00,0.28555,0.322,0.27396,0.30585
2022-03-13 12:00:00,0.30583,0.43699,0.29696,0.42749
2022-03-13 16:00:00,0.42749,0.441,0.38705,0.43
2022-03-13 20:00:00,0.4303,0.4334,0.362,0.39885
2022-03-14 00:00:00,0.39878,0.45,0.378,0.39797
2022-03-14 04:00:00,0.39795,0.41011,0.34217,0.35988
2022-03-14 08:00:00,0.35962,0.40798,0.343,0.38013
2022-03-14 12:00:00,0.38,0.388,0.3475,0.35124
2022-03-14 16:00:00,0.3512,0.363,0.34267,0.34801
2022-03-14 20:00:00,0.34801,0.3657,0.348,0.35948
2022-03-15 00:00:00,0.35944,0.35949,0.3052,0.3202
2022-03-15 04:00:00,0.32013,0.34549,0.30775,0.3298
2022-03-15 08:00:00,0.32971,0.3305,0.28343,0.28571
2022-03-15 12:00:00,0.28541,0.30414,0.27791,0.30174
2022-03-15 16:00:00,0.30172,0.4,0.30147,0.3405
2022-03-15 20:00:00,0.34035,0.36588,0.31547,0.33128
2022-03-16 00:00:00,0.33127,0.38,0.31712,0.35274
2022-03-16 04:00:00,0.35255,0.481,0.35,0.46858
2022-03-16 08:00:00,0.46858,0.5549,0.44199,0.50756
2022-03-16 12:00:00,0.50753,0.56888,0.4921,0.50969
2022-03-16 16:00:00,0.50991,0.545,0.47227,0.53764
2022-03-16 20:00:00,0.5378,0.5555,0.506,0.55492
2022-03-17 00:00:00,0.55493,0.71475,0.5385,0.6916
