Date,Open,High,Low,Close
2022-01-10 08:00:00,3.751,4.3,3.713,3.732
2022-01-10 12:00:00,3.729,3.799,3.419,3.597
2022-01-10 16:00:00,3.601,3.74,3.548,3.659
2022-01-10 20:00:00,3.656,3.892,3.64,3.784
2022-01-11 00:00:00,3.791,3.91,3.525,3.591
2022-01-11 04:00:00,3.591,3.616,3.367,3.445
2022-01-11 08:00:00,3.446,3.483,3.3,3.398
2022-01-11 12:00:00,3.395,3.495,3.362,3.494
2022-01-11 16:00:00,3.494,3.659,3.482,3.561
2022-01-11 20:00:00,3.569,3.623,3.545,3.597
2022-01-12 00:00:00,3.597,3.844,3.58,3.81
2022-01-12 04:00:00,3.806,3.858,3.52,3.549
2022-01-12 08:00:00,3.55,3.65,3.526,3.593
2022-01-12 12:00:00,3.596,3.819,3.59,3.674
2022-01-12 16:00:00,3.674,3.8,3.662,3.67
2022-01-12 20:00:00,3.67,3.809,3.641,3.725
2022-01-13 00:00:00,3.717,3.782,3.621,3.628
2022-01-13 04:00:00,3.632,3.733,3.63,3.68
2022-01-13 08:00:00,3.68,3.716,3.639,3.664
2022-01-13 12:00:00,3.662,3.7,3.5,3.546
2022-01-13 16:00:00,3.547,3.692,3.5,3.569
2022-01-13 20:00:00,3.569,3.635,3.5,3.505
2022-01-14 00:00:00,3.519,3.58,3.49,3.524
2022-01-14 04:00:00,3.523,3.596,3.506,3.518
2022-01-14 08:00:00,3.518,3.631,3.5,3.53
2022-01-14 12:00:00,3.53,3.59,3.479,3.585
2022-01-14 16:00:00,3.581,3.62,3.546,3.601
2022-01-14 20:00:00,3.601,3.642,3.547,3.562
2022-01-15 00:00:00,3.56,3.69,3.539,3.55
2022-01-15 04:00:00,3.554,3.636,3.53,3.636
2022-01-15 08:00:00,3.628,3.639,3.568,3.579
2022-01-15 12:00:00,3.573,3.62,3.53,3.602
2022-01-15 16:00:00,3.603,3.685,3.588,3.635
2022-01-15 20:00:00,3.635,3.656,3.608,3.621
2022-01-16 00:00:00,3.617,4.0,3.613,3.922
2022-01-16 04:00:00,3.923,4.679,3.831,4.066
2022-01-16 08:00:00,4.065,4.183,4.008,4.036
2022-01-16 12:00:00,4.036,4.41,4.034,4.227
2022-01-16 16:00:00,4.226,4.39,4.14,4.167
2022-01-16 20:00:00,4.164,4.188,4.1,4.158
2022-01-17 00:00:00,4.156,4.299,4.0,4.0
2022-01-17 04:00:00,4.0,4.106,3.896,3.985
2022-01-17 08:00:00,3.985,3.989,3.828,3.868
2022-01-17 12:00:00,3.868,3.954,3.84,3.903
2022-01-17 16:00:00,3.902,3.906,3.723,3.781
2022-01-17 20:00:00,3.775,3.804,3.679,3.764
2022-01-18 00:00:00,3.762,3.85,3.758,3.767
2022-01-18 04:00:00,3.768,3.779,3.664,3.695
2022-01-18 08:00:00,3.692,3.697,3.54,3.594
2022-01-18 12:00:00,3.595,3.61,3.502,3.564
2022-01-18 16:00:00,3.566,3.759,3.525,3.719
