Date,Open,High,Low,Close
2020-10-21 04:00:00,0.4,1.49,0.18,0.8027
2020-10-21 08:00:00,0.8035,0.8684,0.761,0.7823
2020-10-21 12:00:00,0.7838,0.8035,0.7102,0.753
2020-10-21 16:00:00,0.753,0.7617,0.7105,0.7359
2020-10-21 20:00:00,0.7358,0.782,0.7208,0.7803
2020-10-22 00:00:00,0.7825,0.827,0.7273,0.7653
2020-10-22 04:00:00,0.7639,0.7946,0.7341,0.7628
2020-10-22 08:00:00,0.7627,0.7942,0.7386,0.7841
2020-10-22 12:00:00,0.7863,0.7866,0.7315,0.7431
2020-10-22 16:00:00,0.7436,0.7575,0.7308,0.7467
2020-10-22 20:00:00,0.7467,0.8139,0.7446,0.7844
2020-10-23 00:00:00,0.7819,0.8872,0.7779,0.8245
2020-10-23 04:00:00,0.8245,0.945,0.8083,0.9203
2020-10-23 08:00:00,0.92,0.9622,0.8847,0.9407
2020-10-23 12:00:00,0.9406,1.16,0.9011,1.0028
2020-10-23 16:00:00,1.0008,1.0989,0.9586,1.0802
2020-10-23 20:00:00,1.0812,1.224,1.0402,1.1838
2020-10-24 00:00:00,1.1904,1.1904,1.032,1.0893
2020-10-24 04:00:00,1.0893,1.0899,0.9716,1.004
2020-10-24 08:00:00,1.0018,1.1104,0.9936,1.0476
2020-10-24 12:00:00,1.0435,1.0885,0.982,0.992
2020-10-24 16:00:00,0.992,1.03,0.9355,0.9427
2020-10-24 20:00:00,0.9438,0.9888,0.9321,0.9466
2020-10-25 00:00:00,0.9503,0.9641,0.8691,0.8829
2020-10-25 04:00:00,0.8824,0.9149,0.8431,0.8981
2020-10-25 08:00:00,0.8983,0.9298,0.8736,0.92
2020-10-25 12:00:00,0.92,0.9279,0.8826,0.8948
2020-10-25 16:00:00,0.8898,0.93,0.8666,0.93
2020-10-25 20:00:00,0.9299,0.99,0.8954,0.9033
2020-10-26 00:00:00,0.9032,0.9214,0.8662,0.9049
2020-10-26 04:00:00,0.9049,0.92,0.88,0.912
2020-10-26 08:00:00,0.9119,0.9198,0.8073,0.8362
2020-10-26 12:00:00,0.8362,0.839,0.7744,0.7907
2020-10-26 16:00:00,0.7894,0.8098,0.7646,0.7956
2020-10-26 20:00:00,0.796,0.8344,0.773,0.8218
2020-10-27 00:00:00,0.8201,0.8396,0.7769,0.7851
2020-10-27 04:00:00,0.7851,0.8119,0.7598,0.7721
2020-10-27 08:00:00,0.7721,0.7781,0.756,0.7761
2020-10-27 12:00:00,0.776,0.8343,0.7718,0.8187
2020-10-27 16:00:00,0.8188,0.8306,0.7687,0.7714
2020-10-27 20:00:00,0.7712,0.7976,0.7666,0.781
2020-10-28 00:00:00,0.7824,0.8035,0.7505,0.7742
2020-10-28 04:00:00,0.7735,0.7863,0.757,0.7609
2020-10-28 08:00:00,0.761,0.7622,0.7395,0.7441
2020-10-28 12:00:00,0.744,0.7524,0.7223,0.7275
2020-10-28 16:00:00,0.7242,0.7276,0.6726,0.6807
2020-10-28 20:00:00,0.6807,0.7003,0.6666,0.6776
2020-10-29 00:00:00,0.68,0.6934,0.659,0.6624
2020-10-29 04:00:00,0.6624,0.7023,0.6594,0.6822
2020-10-29 08:00:00,0.6822,0.7299,0.6624,0.7091
2020-10-29 12:00:00,0.7091,0.7455,0.687,0.7452
2020-10-29 16:00:00,0.7451,0.8611,0.7389,0.8305
2020-10-29 20:00:00,0.8295,0.85,0.7601,0.7977
2020-10-30 00:00:00,0.798,0.8019,0.72,0.7216
2020-10-30 04:00:00,0.7266,0.7267,0.6722,0.7155
2020-10-30 08:00:00,0.7111,0.7958,0.6848,0.7256
2020-10-30 12:00:00,0.7238,0.752,0.706,0.7301
2020-10-30 16:00:00,0.7342,0.7379,0.7107,0.7373
2020-10-30 20:00:00,0.7373,0.7655,0.724,0.7255
2020-10-31 00:00:00,0.7225,0.7809,0.7126,0.7617
2020-10-31 04:00:00,0.7617,0.7885,0.7228,0.7366
2020-10-31 08:00:00,0.7358,0.7721,0.7288,0.7528
2020-10-31 12:00:00,0.7527,0.806,0.7483,0.7624
2020-10-31 16:00:00,0.7617,0.8097,0.7559,0.787
2020-10-31 20:00:00,0.7866,0.7988,0.7766,0.7841
2020-11-01 00:00:00,0.784,0.82,0.7402,0.7658
2020-11-01 04:00:00,0.7657,0.7735,0.7476,0.773
2020-11-01 08:00:00,0.773,0.773,0.7418,0.76
2020-11-01 12:00:00,0.7599,0.7599,0.7427,0.744
2020-11-01 16:00:00,0.7449,0.7586,0.7415,0.7584
2020-11-01 20:00:00,0.7551,0.763,0.7418,0.751
2020-11-02 00:00:00,0.751,0.7839,0.7484,0.7594
2020-11-02 04:00:00,0.7594,0.7763,0.7535,0.7759
2020-11-02 08:00:00,0.7757,0.7759,0.742,0.742
2020-11-02 12:00:00,0.742,0.7456,0.7135,0.7328
2020-11-02 16:00:00,0.7359,0.7455,0.7248,0.7455
2020-11-02 20:00:00,0.7463,0.7655,0.7197,0.7274
2020-11-03 00:00:00,0.7276,0.729,0.6767,0.6819
2020-11-03 04:00:00,0.6801,0.6953,0.67,0.6809
2020-11-03 08:00:00,0.6801,0.7,0.6779,0.6905
2020-11-03 12:00:00,0.6905,0.6905,0.6666,0.6705
2020-11-03 16:00:00,0.6719,0.6936,0.6501,0.6936
2020-11-03 20:00:00,0.6923,0.7,0.6869,0.6978
2020-11-04 00:00:00,0.6968,0.7255,0.6942,0.7114
2020-11-04 04:00:00,0.7114,0.724,0.6877,0.6936
2020-11-04 08:00:00,0.6935,0.6982,0.6689,0.694
2020-11-04 12:00:00,0.6979,0.7017,0.67,0.6873
2020-11-04 16:00:00,0.6879,0.7456,0.6871,0.7393
2020-11-04 20:00:00,0.7393,0.7411,0.7089,0.7135
2020-11-05 00:00:00,0.7133,0.726,0.709,0.7212
2020-11-05 04:00:00,0.7257,0.73,0.7007,0.7064
2020-11-05 08:00:00,0.7033,0.7033,0.6701,0.695
2020-11-05 12:00:00,0.6951,0.744,0.6722,0.7251
2020-11-05 16:00:00,0.726,0.7341,0.704,0.7293
2020-11-05 20:00:00,0.7293,0.7342,0.687,0.7021
2020-11-06 00:00:00,0.7015,0.737,0.6935,0.718
2020-11-06 04:00:00,0.7193,0.7351,0.7153,0.7186
2020-11-06 08:00:00,0.7184,0.7558,0.6749,0.7558
2020-11-06 12:00:00,0.7559,0.7579,0.7174,0.731
2020-11-06 16:00:00,0.7286,0.7581,0.7095,0.74
2020-11-06 20:00:00,0.7442,0.7528,0.7199,0.7528
2020-11-07 00:00:00,0.7526,0.8419,0.745,0.7793
2020-11-07 04:00:00,0.7835,0.8415,0.7753,0.8311
2020-11-07 08:00:00,0.83,0.9081,0.8099,0.8805
2020-11-07 12:00:00,0.8798,0.8987,0.744,0.7897
2020-11-07 16:00:00,0.7897,0.8075,0.725,0.7432
2020-11-07 20:00:00,0.7434,0.7879,0.7,0.7832
2020-11-08 00:00:00,0.7833,0.8167,0.7706,0.8147
2020-11-08 04:00:00,0.815,0.8446,0.7999,0.8334
2020-11-08 08:00:00,0.8352,0.86,0.8015,0.8306
2020-11-08 12:00:00,0.8313,0.8945,0.812,0.8945
2020-11-08 16:00:00,0.8945,0.8957,0.8499,0.8526
2020-11-08 20:00:00,0.855,0.855,0.7991,0.835
2020-11-09 00:00:00,0.8363,0.8642,0.8345,0.8642
2020-11-09 04:00:00,0.86,0.93,0.8321,0.8835
2020-11-09 08:00:00,0.8854,0.9661,0.8415,0.9342
2020-11-09 12:00:00,0.9338,1.0,0.8899,0.9156
2020-11-09 16:00:00,0.9106,0.947,0.8825,0.947
2020-11-09 20:00:00,0.947,1.04,0.9427,0.9773
2020-11-10 00:00:00,0.9787,0.9879,0.9305,0.9469
2020-11-10 04:00:00,0.9468,1.0447,0.9361,1.0432
2020-11-10 08:00:00,1.0432,1.0622,1.0033,1.0214
