Date,Open,High,Low,Close
2020-08-19 12:00:00,50.42,50.42,37.77,42.54
2020-08-19 16:00:00,42.493,44.999,41.546,42.142
2020-08-19 20:00:00,41.693,42.747,39.822,42.079
2020-08-20 00:00:00,42.281,43.585,40.427,41.0
2020-08-20 04:00:00,41.0,41.952,40.0,40.417
2020-08-20 08:00:00,40.418,43.0,39.542,40.505
2020-08-20 12:00:00,40.6,44.558,40.0,44.155
2020-08-20 16:00:00,44.155,53.88,42.744,43.142
2020-08-20 20:00:00,43.561,51.8,43.414,46.93
2020-08-21 00:00:00,46.952,47.385,42.938,46.567
2020-08-21 04:00:00,46.803,49.0,44.324,45.586
2020-08-21 08:00:00,45.586,52.1,44.764,44.909
2020-08-21 12:00:00,45.483,50.0,43.182,46.857
2020-08-21 16:00:00,46.905,47.7,42.101,44.918
2020-08-21 20:00:00,44.918,46.359,41.352,41.896
2020-08-22 00:00:00,42.181,43.588,41.073,41.572
2020-08-22 04:00:00,41.137,44.44,41.072,41.807
2020-08-22 08:00:00,41.858,45.12,41.804,43.216
2020-08-22 12:00:00,43.152,44.405,41.75,42.315
2020-08-22 16:00:00,42.315,44.213,41.731,42.872
2020-08-22 20:00:00,42.763,51.0,42.229,47.978
2020-08-23 00:00:00,48.048,48.057,42.88,43.761
2020-08-23 04:00:00,43.378,44.209,43.306,43.491
2020-08-23 08:00:00,43.492,46.988,43.492,44.225
2020-08-23 12:00:00,44.19,47.584,43.408,45.729
2020-08-23 16:00:00,45.648,46.125,43.816,45.0
2020-08-23 20:00:00,44.955,45.321,42.828,43.591
2020-08-24 00:00:00,43.283,46.999,42.815,46.081
2020-08-24 04:00:00,45.881,46.985,44.62,45.841
2020-08-24 08:00:00,45.58,46.219,43.6,44.42
2020-08-24 12:00:00,44.416,44.708,43.456,44.23
2020-08-24 16:00:00,43.856,44.863,43.457,44.203
2020-08-24 20:00:00,44.204,45.761,43.67,44.729
2020-08-25 00:00:00,44.728,45.159,43.342,43.532
2020-08-25 04:00:00,43.539,44.233,42.71,42.95
2020-08-25 08:00:00,42.723,43.41,42.322,42.965
2020-08-25 12:00:00,42.965,42.996,40.8,41.662
2020-08-25 16:00:00,41.752,42.671,40.1,42.348
2020-08-25 20:00:00,42.102,42.832,41.1,42.231
2020-08-26 00:00:00,41.878,42.181,41.12,41.586
2020-08-26 04:00:00,41.587,41.95,41.026,41.377
2020-08-26 08:00:00,41.209,41.899,39.526,41.796
2020-08-26 12:00:00,41.783,42.299,38.622,41.487
2020-08-26 16:00:00,41.486,43.378,41.248,42.802
2020-08-26 20:00:00,42.77,44.307,41.881,43.708
2020-08-27 00:00:00,43.709,43.717,41.68,42.189
2020-08-27 04:00:00,42.1,42.176,39.756,41.554
2020-08-27 08:00:00,41.554,41.868,40.748,40.826
2020-08-27 12:00:00,40.803,41.911,38.694,41.009
2020-08-27 16:00:00,41.009,41.271,39.649,40.19
2020-08-27 20:00:00,40.469,67.5,40.297,52.437
2020-08-28 00:00:00,52.497,57.336,50.0,53.45
2020-08-28 04:00:00,53.512,62.842,53.512,57.803
2020-08-28 08:00:00,57.467,62.718,55.566,57.042
2020-08-28 12:00:00,56.832,64.8,55.685,61.211
2020-08-28 16:00:00,61.211,61.302,54.826,57.8
2020-08-28 20:00:00,57.791,58.046,53.0,54.69
2020-08-29 00:00:00,54.69,54.913,51.006,52.647
2020-08-29 04:00:00,52.579,55.86,51.246,52.254
2020-08-29 08:00:00,52.263,54.493,51.77,53.36
2020-08-29 12:00:00,53.418,54.82,52.132,53.199
2020-08-29 16:00:00,53.234,55.958,51.613,53.884
2020-08-29 20:00:00,53.885,53.9,52.45,52.45
2020-08-30 00:00:00,52.45,52.691,48.951,50.83
2020-08-30 04:00:00,51.008,51.571,49.164,50.124
2020-08-30 08:00:00,50.0,51.703,47.947,50.119
2020-08-30 12:00:00,50.2,51.4,49.759,50.268
2020-08-30 16:00:00,49.972,53.5,49.275,52.195
2020-08-30 20:00:00,52.2,53.0,50.012,51.355
2020-08-31 00:00:00,51.329,51.574,49.847,49.979
2020-08-31 04:00:00,50.199,53.5,49.834,53.207
2020-08-31 08:00:00,53.318,59.59,53.004,53.933
2020-08-31 12:00:00,53.932,56.5,52.047,55.975
2020-08-31 16:00:00,56.038,57.61,52.633,53.077
2020-08-31 20:00:00,52.921,55.57,51.274,55.249
2020-09-01 00:00:00,55.42,55.57,52.751,54.695
2020-09-01 04:00:00,54.712,54.8,51.514,52.504
2020-09-01 08:00:00,52.504,53.82,50.25,51.739
2020-09-01 12:00:00,51.739,53.439,50.568,51.04
2020-09-01 16:00:00,51.361,51.754,50.25,51.413
2020-09-01 20:00:00,51.408,52.98,50.343,50.891
2020-09-02 00:00:00,51.197,52.853,50.8,51.594
2020-09-02 04:00:00,51.598,51.844,50.306,51.01
2020-09-02 08:00:00,50.881,50.959,48.499,48.612
2020-09-02 12:00:00,48.612,49.602,45.844,47.119
2020-09-02 16:00:00,47.222,47.533,45.82,47.414
2020-09-02 20:00:00,47.408,49.349,46.806,48.998
2020-09-03 00:00:00,49.021,49.062,46.861,46.985
2020-09-03 04:00:00,46.981,47.425,44.131,46.746
2020-09-03 08:00:00,46.753,48.979,44.545,45.482
2020-09-03 12:00:00,45.25,45.321,41.0,42.019
2020-09-03 16:00:00,41.903,42.981,37.77,41.432
2020-09-03 20:00:00,41.505,44.5,39.871,40.711
2020-09-04 00:00:00,40.492,43.133,36.368,39.983
2020-09-04 04:00:00,39.99,40.403,38.471,38.848
2020-09-04 08:00:00,38.855,41.98,38.854,41.106
2020-09-04 12:00:00,40.917,41.584,38.623,39.632
2020-09-04 16:00:00,39.802,40.466,39.021,40.354
2020-09-04 20:00:00,40.329,48.862,39.76,42.745
2020-09-05 00:00:00,42.68,44.233,42.574,42.719
2020-09-05 04:00:00,42.638,42.945,41.227,41.693
2020-09-05 08:00:00,41.663,43.872,39.804,41.226
2020-09-05 12:00:00,41.133,44.588,37.85,41.454
2020-09-05 16:00:00,41.455,42.996,35.936,36.356
2020-09-05 20:00:00,36.408,38.419,36.027,37.638
2020-09-06 00:00:00,37.638,38.672,35.927,36.136
2020-09-06 04:00:00,36.139,36.29,35.0,35.645
2020-09-06 08:00:00,35.99,38.923,35.682,38.449
2020-09-06 12:00:00,38.301,38.456,35.428,36.25
2020-09-06 16:00:00,36.307,40.5,36.293,38.712
2020-09-06 20:00:00,38.615,39.998,37.36,38.255
2020-09-07 00:00:00,38.255,39.439,38.116,38.131
2020-09-07 04:00:00,38.117,40.0,36.0,36.745
2020-09-07 08:00:00,36.5,38.208,35.426,35.426
2020-09-07 12:00:00,35.639,37.553,34.147,37.553
2020-09-07 16:00:00,37.545,37.678,36.532,36.885
2020-09-07 20:00:00,36.878,37.926,36.518,37.396
2020-09-08 00:00:00,37.395,37.488,36.571,36.585
2020-09-08 04:00:00,36.708,36.729,35.6,36.44
2020-09-08 08:00:00,36.441,36.697,34.9,35.136
2020-09-08 12:00:00,35.196,36.888,34.7,35.304
2020-09-08 16:00:00,35.405,36.122,34.607,34.607
2020-09-08 20:00:00,34.852,36.261,33.894,35.657
2020-09-09 00:00:00,35.65,35.65,34.188,35.102
2020-09-09 04:00:00,35.102,35.263,34.547,35.222
2020-09-09 08:00:00,35.211,36.801,35.045,36.465
2020-09-09 12:00:00,36.6,36.885,35.603,36.885
2020-09-09 16:00:00,36.857,37.588,36.313,37.502
2020-09-09 20:00:00,37.503,37.698,35.841,35.962
2020-09-10 00:00:00,35.961,37.677,35.9,36.85
2020-09-10 04:00:00,36.897,37.588,36.478,36.826
2020-09-10 08:00:00,36.808,37.4,36.491,37.278
2020-09-10 12:00:00,37.399,40.0,37.29,38.906
2020-09-10 16:00:00,38.925,39.018,36.026,36.276
2020-09-10 20:00:00,36.305,36.577,36.125,36.474
2020-09-11 00:00:00,36.532,36.898,35.241,35.288
2020-09-11 04:00:00,35.273,36.105,34.86,35.978
2020-09-11 08:00:00,35.973,36.334,35.488,35.935
2020-09-11 12:00:00,35.888,36.719,35.229,36.654
2020-09-11 16:00:00,36.658,36.872,35.707,35.731
2020-09-11 20:00:00,35.898,36.5,35.8,36.283
2020-09-12 00:00:00,36.235,39.67,36.145,37.852
2020-09-12 04:00:00,37.897,38.859,37.127,37.236
2020-09-12 08:00:00,37.208,37.37,36.651,37.156
2020-09-12 12:00:00,37.041,39.084,36.787,37.963
2020-09-12 16:00:00,37.963,37.987,37.046,37.511
2020-09-12 20:00:00,37.511,37.788,37.391,37.762
2020-09-13 00:00:00,37.762,38.438,37.29,37.903
2020-09-13 04:00:00,37.932,38.268,37.342,37.639
2020-09-13 08:00:00,37.639,37.677,36.999,37.134
2020-09-13 12:00:00,37.083,37.127,36.297,36.297
2020-09-13 16:00:00,36.22,36.22,35.001,35.84
2020-09-13 20:00:00,35.83,36.052,35.547,35.547
2020-09-14 00:00:00,35.573,37.244,35.288,36.261
2020-09-14 04:00:00,36.144,36.586,36.074,36.586
2020-09-14 08:00:00,36.615,37.199,35.3,36.451
2020-09-14 12:00:00,36.493,37.224,36.157,37.143
2020-09-14 16:00:00,37.064,37.19,35.301,35.772
2020-09-14 20:00:00,35.751,35.996,34.982,35.259
2020-09-15 00:00:00,35.271,35.999,35.271,35.347
2020-09-15 04:00:00,35.333,36.818,34.359,35.217
2020-09-15 08:00:00,35.329,35.764,33.858,34.649
2020-09-15 12:00:00,34.67,35.215,33.97,34.4
2020-09-15 16:00:00,34.302,34.712,33.97,34.017
2020-09-15 20:00:00,34.017,36.177,33.855,34.98
2020-09-16 00:00:00,34.822,35.726,32.922,33.678
2020-09-16 04:00:00,33.614,34.072,32.988,33.983
2020-09-16 08:00:00,33.983,33.992,32.87,33.168
2020-09-16 12:00:00,33.244,33.453,32.833,33.453
2020-09-16 16:00:00,33.476,33.499,32.788,32.839
2020-09-16 20:00:00,32.783,33.361,32.163,32.216
2020-09-17 00:00:00,32.187,37.237,31.96,33.318
2020-09-17 04:00:00,33.3,37.528,33.031,33.348
2020-09-17 08:00:00,33.337,34.216,33.309,33.592
2020-09-17 12:00:00,33.589,33.589,32.482,32.591
2020-09-17 16:00:00,32.552,32.63,31.865,32.05
2020-09-17 20:00:00,32.05,32.445,31.866,32.061
2020-09-18 00:00:00,32.061,32.3,31.835,31.886
2020-09-18 04:00:00,31.888,31.912,30.791,30.946
2020-09-18 08:00:00,30.946,31.496,30.522,31.091
2020-09-18 12:00:00,31.072,31.523,29.989,29.997
2020-09-18 16:00:00,30.081,30.118,28.943,29.277
2020-09-18 20:00:00,29.218,29.518,28.814,29.381
2020-09-19 00:00:00,29.393,29.565,29.134,29.496
2020-09-19 04:00:00,29.535,29.653,28.991,29.124
2020-09-19 08:00:00,29.051,29.302,28.733,29.032
2020-09-19 12:00:00,29.096,29.398,28.809,29.026
2020-09-19 16:00:00,29.026,29.639,28.803,29.113
2020-09-19 20:00:00,29.003,29.373,28.881,29.223
2020-09-20 00:00:00,29.216,40.0,28.896,37.45
2020-09-20 04:00:00,37.38,38.146,31.67,33.173
2020-09-20 08:00:00,32.9,35.0,31.251,31.467
2020-09-20 12:00:00,31.443,33.877,29.733,32.199
2020-09-20 16:00:00,32.16,33.233,29.6,31.277
2020-09-20 20:00:00,31.281,39.5,31.184,33.266
2020-09-21 00:00:00,33.265,33.265,30.987,32.251
2020-09-21 04:00:00,32.297,32.299,30.277,30.701
2020-09-21 08:00:00,30.654,30.765,29.71,30.0
2020-09-21 12:00:00,29.976,34.136,29.713,30.215
2020-09-21 16:00:00,30.183,34.005,29.979,32.438
2020-09-21 20:00:00,32.4,32.863,31.103,31.196
2020-09-22 00:00:00,31.147,33.1,30.651,30.669
2020-09-22 04:00:00,30.651,30.8,29.969,30.023
2020-09-22 08:00:00,29.98,32.824,29.936,31.04
2020-09-22 12:00:00,31.027,31.499,30.26,30.431
2020-09-22 16:00:00,30.432,32.046,30.431,31.186
2020-09-22 20:00:00,31.107,31.399,30.569,30.7
2020-09-23 00:00:00,30.701,31.153,30.6,30.692
2020-09-23 04:00:00,30.574,31.003,29.904,30.043
2020-09-23 08:00:00,30.075,31.131,29.953,31.125
