Date,Open,High,Low,Close
2020-09-30 04:00:00,2.4,4.2,2.4,2.93
2020-09-30 08:00:00,2.9454,3.7492,2.8766,3.4336
2020-09-30 12:00:00,3.4489,3.4602,3.1072,3.2463
2020-09-30 16:00:00,3.2463,3.276,2.9535,3.0325
2020-09-30 20:00:00,3.0412,3.05,2.79,2.8637
2020-10-01 00:00:00,2.8643,2.97,2.6379,2.6811
2020-10-01 04:00:00,2.6999,2.7676,2.61,2.727
2020-10-01 08:00:00,2.7272,2.813,2.6471,2.6825
2020-10-01 12:00:00,2.6828,2.9648,2.6801,2.8051
2020-10-01 16:00:00,2.8176,2.8286,2.422,2.5675
2020-10-01 20:00:00,2.5616,2.6945,2.4906,2.6603
2020-10-02 00:00:00,2.6601,2.7945,2.6491,2.7601
2020-10-02 04:00:00,2.7604,2.849,2.5101,2.5365
2020-10-02 08:00:00,2.5307,2.5455,2.4666,2.5043
2020-10-02 12:00:00,2.4713,2.521,2.4201,2.4622
2020-10-02 16:00:00,2.4672,2.5604,2.4482,2.5387
2020-10-02 20:00:00,2.5311,2.5532,2.4531,2.4947
2020-10-03 00:00:00,2.495,2.62,2.4811,2.5258
2020-10-03 04:00:00,2.5259,2.5698,2.42,2.4395
2020-10-03 08:00:00,2.4395,2.4854,2.3618,2.4613
2020-10-03 12:00:00,2.4617,2.484,2.384,2.4098
2020-10-03 16:00:00,2.4104,2.436,2.4023,2.4275
2020-10-03 20:00:00,2.4271,2.43,2.3811,2.3919
2020-10-04 00:00:00,2.3905,2.4132,2.3885,2.3885
2020-10-04 04:00:00,2.3885,2.4039,2.3708,2.3896
2020-10-04 08:00:00,2.3896,2.3896,2.315,2.3233
2020-10-04 12:00:00,2.323,2.3232,2.164,2.188
2020-10-04 16:00:00,2.1795,2.2599,2.0606,2.2256
2020-10-04 20:00:00,2.2261,2.26,2.167,2.2399
2020-10-05 00:00:00,2.2402,2.26,2.1925,2.2235
2020-10-05 04:00:00,2.223,2.2232,2.101,2.1058
2020-10-05 08:00:00,2.1055,2.2183,2.064,2.1727
2020-10-05 12:00:00,2.1721,2.1721,2.0756,2.1305
2020-10-05 16:00:00,2.1302,2.1567,2.0901,2.1567
2020-10-05 20:00:00,2.1444,2.1562,2.0665,2.0754
2020-10-06 00:00:00,2.0746,2.0875,1.971,2.0132
2020-10-06 04:00:00,2.0124,2.0308,1.8584,1.8745
2020-10-06 08:00:00,1.8745,1.9552,1.7287,1.8049
2020-10-06 12:00:00,1.7981,1.8489,1.7181,1.8073
2020-10-06 16:00:00,1.807,1.8557,1.7461,1.7751
2020-10-06 20:00:00,1.768,1.7936,1.6269,1.7936
2020-10-07 00:00:00,1.7939,1.8141,1.5762,1.6596
2020-10-07 04:00:00,1.6597,1.809,1.6146,1.7999
2020-10-07 08:00:00,1.8089,1.83,1.6656,1.7024
2020-10-07 12:00:00,1.7025,2.1,1.7025,1.8343
2020-10-07 16:00:00,1.8345,1.855,1.7702,1.8333
2020-10-07 20:00:00,1.8331,1.8886,1.8087,1.8182
2020-10-08 00:00:00,1.8183,1.8235,1.7908,1.7991
2020-10-08 04:00:00,1.7989,1.8051,1.7663,1.7779
2020-10-08 08:00:00,1.7773,1.8012,1.7587,1.7931
2020-10-08 12:00:00,1.7929,1.9626,1.7866,1.89
2020-10-08 16:00:00,1.8905,1.9319,1.8373,1.8565
2020-10-08 20:00:00,1.8598,1.88,1.8466,1.8662
2020-10-09 00:00:00,1.8664,1.89,1.8391,1.8794
2020-10-09 04:00:00,1.8793,1.9,1.76,1.813
2020-10-09 08:00:00,1.8143,1.8707,1.8,1.8488
2020-10-09 12:00:00,1.8485,1.913,1.8342,1.8456
2020-10-09 16:00:00,1.8459,1.859,1.79,1.8273
2020-10-09 20:00:00,1.8273,1.8432,1.7758,1.7969
2020-10-10 00:00:00,1.7927,1.86,1.7832,1.8518
2020-10-10 04:00:00,1.8514,1.8612,1.8206,1.8318
2020-10-10 08:00:00,1.8318,1.8426,1.8,1.8086
2020-10-10 12:00:00,1.8085,1.8288,1.8082,1.8168
2020-10-10 16:00:00,1.8241,1.861,1.8167,1.8502
2020-10-10 20:00:00,1.8499,1.8989,1.839,1.8628
2020-10-11 00:00:00,1.863,1.87,1.8241,1.8377
2020-10-11 04:00:00,1.8373,1.838,1.7937,1.7983
2020-10-11 08:00:00,1.7979,1.8369,1.7941,1.8278
2020-10-11 12:00:00,1.8278,1.8565,1.8163,1.8322
2020-10-11 16:00:00,1.8324,1.8324,1.765,1.7782
2020-10-11 20:00:00,1.7779,1.7949,1.7583,1.7795
2020-10-12 00:00:00,1.7799,1.8,1.7627,1.7943
2020-10-12 04:00:00,1.7946,1.8379,1.7637,1.7921
2020-10-12 08:00:00,1.7921,1.7944,1.7422,1.7643
2020-10-12 12:00:00,1.7641,1.93,1.76,1.8625
2020-10-12 16:00:00,1.855,1.8799,1.8211,1.8405
2020-10-12 20:00:00,1.8404,1.841,1.8025,1.8068
2020-10-13 00:00:00,1.807,1.8351,1.8045,1.8221
2020-10-13 04:00:00,1.8225,1.8795,1.82,1.8611
2020-10-13 08:00:00,1.8612,1.8929,1.8476,1.8766
2020-10-13 12:00:00,1.876,1.94,1.86,1.8789
2020-10-13 16:00:00,1.8791,2.28,1.8596,2.027
2020-10-13 20:00:00,2.019,2.1068,1.9754,1.9822
2020-10-14 00:00:00,1.9783,1.9852,1.95,1.9803
2020-10-14 04:00:00,1.9747,1.9949,1.9574,1.9677
2020-10-14 08:00:00,1.9673,1.9873,1.8707,1.8831
2020-10-14 12:00:00,1.8829,1.9315,1.8719,1.9076
2020-10-14 16:00:00,1.9082,1.9166,1.8049,1.8259
2020-10-14 20:00:00,1.8259,1.8729,1.821,1.8646
2020-10-15 00:00:00,1.8643,1.9058,1.8068,1.8956
2020-10-15 04:00:00,1.895,1.9196,1.8777,1.9017
2020-10-15 08:00:00,1.8969,1.9343,1.8569,1.9169
2020-10-15 12:00:00,1.9167,1.9223,1.8495,1.8573
2020-10-15 16:00:00,1.8572,1.863,1.8003,1.8504
