Date,Open,High,Low,Close
2021-03-19 08:00:00,9.38,17.6,9.38,10.65
2021-03-19 12:00:00,10.653,11.59,10.203,10.334
2021-03-19 16:00:00,10.337,10.639,9.66,9.792
2021-03-19 20:00:00,9.792,10.186,9.5,9.613
2021-03-20 00:00:00,9.61,10.1,9.437,9.703
2021-03-20 04:00:00,9.702,9.73,8.729,8.924
2021-03-20 08:00:00,8.933,9.375,8.933,9.091
2021-03-20 12:00:00,9.095,9.297,9.004,9.083
2021-03-20 16:00:00,9.082,9.122,8.898,8.971
2021-03-20 20:00:00,8.971,8.971,8.48,8.504
2021-03-21 00:00:00,8.509,9.0,8.199,8.25
2021-03-21 04:00:00,8.25,8.35,8.01,8.245
2021-03-21 08:00:00,8.25,8.401,7.95,8.004
2021-03-21 12:00:00,7.991,8.046,7.653,7.93
2021-03-21 16:00:00,7.924,8.361,7.829,8.153
2021-03-21 20:00:00,8.153,8.162,8.0,8.004
2021-03-22 00:00:00,8.007,8.043,7.76,7.84
2021-03-22 04:00:00,7.851,7.975,7.818,7.851
2021-03-22 08:00:00,7.851,8.64,7.812,8.319
2021-03-22 12:00:00,8.327,8.468,8.15,8.35
2021-03-22 16:00:00,8.337,8.37,7.932,8.018
2021-03-22 20:00:00,8.005,8.029,7.551,7.601
2021-03-23 00:00:00,7.59,7.692,7.334,7.506
2021-03-23 04:00:00,7.51,7.522,6.5,7.03
2021-03-23 08:00:00,7.033,7.097,6.845,7.026
2021-03-23 12:00:00,7.034,7.47,7.001,7.346
2021-03-23 16:00:00,7.338,7.403,7.013,7.128
2021-03-23 20:00:00,7.134,7.211,7.021,7.102
2021-03-24 00:00:00,7.098,7.141,6.651,6.745
2021-03-24 04:00:00,6.73,6.816,6.498,6.803
2021-03-24 08:00:00,6.811,7.164,6.81,7.046
2021-03-24 12:00:00,7.054,7.333,7.044,7.188
2021-03-24 16:00:00,7.19,7.2,6.514,6.549
2021-03-24 20:00:00,6.554,6.643,6.3,6.315
2021-03-25 00:00:00,6.322,6.352,5.889,5.932
2021-03-25 04:00:00,5.932,6.1,5.91,6.021
2021-03-25 08:00:00,6.027,6.25,6.0,6.005
2021-03-25 12:00:00,6.028,6.028,5.68,5.768
2021-03-25 16:00:00,5.768,5.868,5.721,5.742
2021-03-25 20:00:00,5.738,6.663,5.73,6.048
2021-03-26 00:00:00,6.037,6.299,5.909,6.013
2021-03-26 04:00:00,6.019,6.11,5.892,6.083
2021-03-26 08:00:00,6.074,6.968,6.06,6.499
2021-03-26 12:00:00,6.49,6.901,6.482,6.606
2021-03-26 16:00:00,6.595,6.79,6.539,6.558
2021-03-26 20:00:00,6.549,6.93,6.544,6.81
2021-03-27 00:00:00,6.817,6.877,6.736,6.768
2021-03-27 04:00:00,6.769,6.794,6.604,6.652
2021-03-27 08:00:00,6.658,6.697,6.57,6.591
2021-03-27 12:00:00,6.591,6.604,6.399,6.531
2021-03-27 16:00:00,6.535,6.654,6.377,6.403
2021-03-27 20:00:00,6.403,6.589,6.388,6.502
2021-03-28 00:00:00,6.507,6.841,6.456,6.83
2021-03-28 04:00:00,6.832,6.982,6.743,6.823
2021-03-28 08:00:00,6.823,7.777,6.818,7.777
2021-03-28 12:00:00,7.779,7.98,7.409,7.561
2021-03-28 16:00:00,7.572,7.608,7.13,7.176
2021-03-28 20:00:00,7.176,7.34,7.095,7.278
2021-03-29 00:00:00,7.279,7.544,7.15,7.493
2021-03-29 04:00:00,7.493,7.899,7.455,7.551
2021-03-29 08:00:00,7.555,7.563,7.352,7.479
2021-03-29 12:00:00,7.479,7.82,7.4,7.469
2021-03-29 16:00:00,7.468,7.708,7.457,7.528
2021-03-29 20:00:00,7.542,7.562,7.243,7.317
2021-03-30 00:00:00,7.315,7.421,7.207,7.249
2021-03-30 04:00:00,7.244,7.793,7.168,7.66
2021-03-30 08:00:00,7.659,8.222,7.556,8.222
2021-03-30 12:00:00,8.222,8.611,8.102,8.116
2021-03-30 16:00:00,8.12,8.333,8.066,8.313
2021-03-30 20:00:00,8.307,8.455,8.28,8.335
2021-03-31 00:00:00,8.352,9.099,8.339,8.649
2021-03-31 04:00:00,8.661,8.832,8.42,8.454
2021-03-31 08:00:00,8.455,8.457,8.089,8.198
2021-03-31 12:00:00,8.202,8.22,8.0,8.063
2021-03-31 16:00:00,8.063,8.573,8.039,8.458
2021-03-31 20:00:00,8.445,8.582,8.25,8.279
2021-04-01 00:00:00,8.278,8.7,8.106,8.692
2021-04-01 04:00:00,8.692,8.692,8.302,8.323
2021-04-01 08:00:00,8.339,8.61,8.325,8.373
2021-04-01 12:00:00,8.375,8.436,8.21,8.395
2021-04-01 16:00:00,8.395,8.404,8.2,8.299
2021-04-01 20:00:00,8.304,8.999,8.28,8.731
2021-04-02 00:00:00,8.731,9.48,8.731,9.337
2021-04-02 04:00:00,9.337,10.143,9.275,10.123
2021-04-02 08:00:00,10.124,10.96,9.339,9.691
2021-04-02 12:00:00,9.695,9.744,9.158,9.734
2021-04-02 16:00:00,9.734,9.904,9.375,9.718
2021-04-02 20:00:00,9.718,9.961,9.476,9.583
2021-04-03 00:00:00,9.576,10.166,9.473,9.81
2021-04-03 04:00:00,9.812,9.833,9.636,9.682
2021-04-03 08:00:00,9.668,9.716,9.199,9.217
2021-04-03 12:00:00,9.217,9.3,8.767,8.782
2021-04-03 16:00:00,8.774,8.867,8.423,8.616
2021-04-03 20:00:00,8.616,8.628,8.38,8.39
2021-04-04 00:00:00,8.381,8.586,8.319,8.518
2021-04-04 04:00:00,8.518,8.56,8.445,8.469
2021-04-04 08:00:00,8.459,8.788,8.459,8.66
2021-04-04 12:00:00,8.668,8.755,8.587,8.596
2021-04-04 16:00:00,8.597,8.713,8.546,8.69
2021-04-04 20:00:00,8.7,9.094,8.528,9.09
2021-04-05 00:00:00,9.084,9.137,8.743,8.743
2021-04-05 04:00:00,8.736,8.746,8.585,8.617
2021-04-05 08:00:00,8.62,8.729,8.555,8.727
2021-04-05 12:00:00,8.722,9.089,8.713,8.999
2021-04-05 16:00:00,9.006,9.047,8.65,8.65
2021-04-05 20:00:00,8.65,8.722,8.494,8.601
2021-04-06 00:00:00,8.604,8.681,8.457,8.47
2021-04-06 04:00:00,8.462,8.474,8.35,8.35
2021-04-06 08:00:00,8.35,8.523,8.255,8.455
2021-04-06 12:00:00,8.455,8.472,8.101,8.16
2021-04-06 16:00:00,8.16,8.214,8.119,8.161
2021-04-06 20:00:00,8.161,8.253,8.135,8.222
2021-04-07 00:00:00,8.222,8.236,8.139,8.141
2021-04-07 04:00:00,8.151,8.227,8.0,8.045
2021-04-07 08:00:00,8.045,8.045,7.2,7.272
2021-04-07 12:00:00,7.272,7.456,7.197,7.243
2021-04-07 16:00:00,7.241,7.311,7.2,7.221
2021-04-07 20:00:00,7.219,7.378,7.2,7.328
2021-04-08 00:00:00,7.325,7.786,7.309,7.786
2021-04-08 04:00:00,7.788,8.133,7.784,7.891
2021-04-08 08:00:00,7.891,7.926,7.729,7.786
2021-04-08 12:00:00,7.775,7.83,7.732,7.768
2021-04-08 16:00:00,7.768,7.781,7.651,7.704
2021-04-08 20:00:00,7.7,7.9,7.631,7.727
2021-04-09 00:00:00,7.727,8.092,7.722,7.973
2021-04-09 04:00:00,7.967,8.085,7.9,7.964
2021-04-09 08:00:00,7.964,8.038,7.778,7.844
