Date,Open,High,Low,Close
2021-09-24 08:00:00,0.2863,0.329,0.285,0.2981
2021-09-24 12:00:00,0.298,0.3267,0.29,0.3068
2021-09-24 16:00:00,0.306,0.325,0.3034,0.3161
2021-09-24 20:00:00,0.316,0.325,0.3083,0.3129
2021-09-25 00:00:00,0.3121,0.3523,0.3113,0.3257
2021-09-25 04:00:00,0.3259,0.3384,0.318,0.3301
2021-09-25 08:00:00,0.3301,0.3386,0.3155,0.323
2021-09-25 12:00:00,0.3225,0.3268,0.306,0.3079
2021-09-25 16:00:00,0.3078,0.3084,0.296,0.302
2021-09-25 20:00:00,0.3016,0.3023,0.2928,0.2981
2021-09-26 00:00:00,0.2979,0.2992,0.2868,0.2905
2021-09-26 04:00:00,0.29,0.2959,0.2732,0.275
2021-09-26 08:00:00,0.275,0.2968,0.2744,0.2963
2021-09-26 12:00:00,0.2969,0.3096,0.2949,0.3087
2021-09-26 16:00:00,0.3088,0.33,0.3056,0.3064
2021-09-26 20:00:00,0.3065,0.326,0.3055,0.3112
2021-09-27 00:00:00,0.311,0.3274,0.3091,0.3094
2021-09-27 04:00:00,0.31,0.3286,0.31,0.3124
2021-09-27 08:00:00,0.3124,0.3244,0.309,0.3133
2021-09-27 12:00:00,0.313,0.313,0.2992,0.3025
2021-09-27 16:00:00,0.3025,0.3116,0.2972,0.3016
2021-09-27 20:00:00,0.3015,0.305,0.2939,0.2948
2021-09-28 00:00:00,0.2954,0.3008,0.2921,0.3001
2021-09-28 04:00:00,0.3001,0.3051,0.2847,0.2867
2021-09-28 08:00:00,0.2874,0.32,0.2842,0.2906
2021-09-28 12:00:00,0.2901,0.2913,0.28,0.2803
2021-09-28 16:00:00,0.2806,0.295,0.27,0.2776
2021-09-28 20:00:00,0.2776,0.2893,0.2722,0.2746
2021-09-29 00:00:00,0.2746,0.293,0.274,0.2878
2021-09-29 04:00:00,0.2882,0.2914,0.2861,0.289
2021-09-29 08:00:00,0.2882,0.2972,0.2834,0.2929
2021-09-29 12:00:00,0.2928,0.2946,0.2833,0.284
2021-09-29 16:00:00,0.2835,0.2848,0.2603,0.2714
2021-09-29 20:00:00,0.2717,0.2735,0.2607,0.2706
2021-09-30 00:00:00,0.2707,0.2821,0.2683,0.2821
