Date,Open,High,Low,Close
2018-05-31 08:00:00,1.01,1.014,0.9997,0.9998
2018-05-31 12:00:00,0.9998,1.006,0.9998,1.0003
2018-05-31 16:00:00,1.0005,1.005,1.0,1.0032
2018-05-31 20:00:00,1.0025,1.0125,1.0012,1.0045
2018-06-01 00:00:00,1.005,1.0077,1.002,1.0074
2018-06-01 04:00:00,1.0063,1.0077,1.0029,1.0058
2018-06-01 08:00:00,1.0038,1.007,1.0008,1.0063
2018-06-01 12:00:00,1.0063,1.0076,1.0016,1.0033
2018-06-01 16:00:00,1.0033,1.0099,1.0017,1.007
2018-06-01 20:00:00,1.007,1.0125,1.0028,1.0044
2018-06-02 00:00:00,1.0044,1.0065,1.003,1.0035
2018-06-02 04:00:00,1.0036,1.0092,1.0028,1.0046
2018-06-02 08:00:00,1.0051,1.008,1.002,1.0043
2018-06-02 12:00:00,1.004,1.006,1.0022,1.0043
2018-06-02 16:00:00,1.0046,1.0049,1.0022,1.003
2018-06-02 20:00:00,1.0027,1.0049,1.0018,1.0028
2018-06-03 00:00:00,1.0028,1.0046,1.0016,1.0031
2018-06-03 04:00:00,1.0028,1.0046,1.001,1.0024
2018-06-03 08:00:00,1.0024,1.003,1.0004,1.0029
2018-06-03 12:00:00,1.0013,1.0033,1.0005,1.0024
2018-06-03 16:00:00,1.0024,1.0055,1.001,1.0025
2018-06-03 20:00:00,1.0029,1.0045,1.0012,1.0035
2018-06-04 00:00:00,1.0022,1.005,1.0014,1.0017
2018-06-04 04:00:00,1.0019,1.0054,1.0013,1.0048
2018-06-04 08:00:00,1.004,1.007,1.003,1.0046
2018-06-04 12:00:00,1.0046,1.007,1.0032,1.0055
2018-06-04 16:00:00,1.0053,1.007,1.004,1.0051
2018-06-04 20:00:00,1.0064,1.007,1.0038,1.005
2018-06-05 00:00:00,1.005,1.008,1.003,1.0057
2018-06-05 04:00:00,1.0063,1.0288,1.0032,1.0042
2018-06-05 08:00:00,1.0042,1.0064,1.003,1.0056
2018-06-05 12:00:00,1.0057,1.0085,1.0032,1.0084
2018-06-05 16:00:00,1.0084,1.01,1.0026,1.0033
2018-06-05 20:00:00,1.004,1.0055,1.0027,1.005
2018-06-06 00:00:00,1.005,1.0054,1.0012,1.0048
2018-06-06 04:00:00,1.0049,1.0051,1.0027,1.0029
2018-06-06 08:00:00,1.0029,1.0044,1.002,1.0021
2018-06-06 12:00:00,1.0031,1.0033,1.0011,1.0023
