Date,Open,High,Low,Close
2020-11-19 04:00:00,1.3,6.59,1.3,3.6701
2020-11-19 08:00:00,3.6655,3.95,3.2431,3.3
2020-11-19 12:00:00,3.3,4.6,3.14,4.1734
2020-11-19 16:00:00,4.1772,4.4484,3.8912,4.3491
2020-11-19 20:00:00,4.3745,4.4603,3.6651,3.9761
2020-11-20 00:00:00,3.9761,4.2755,3.7703,4.072
2020-11-20 04:00:00,4.0714,4.1121,3.75,3.9398
2020-11-20 08:00:00,3.9224,3.9379,3.75,3.8611
2020-11-20 12:00:00,3.8613,3.865,3.4668,3.5734
2020-11-20 16:00:00,3.5731,3.659,3.5172,3.5847
2020-11-20 20:00:00,3.587,3.9644,3.5612,3.635
2020-11-21 00:00:00,3.635,3.7937,3.36,3.4373
2020-11-21 04:00:00,3.4395,3.6126,3.41,3.5253
2020-11-21 08:00:00,3.5254,3.55,3.4,3.4404
2020-11-21 12:00:00,3.4405,3.49,3.2,3.3307
2020-11-21 16:00:00,3.3322,3.39,3.1869,3.2389
2020-11-21 20:00:00,3.238,3.43,3.2164,3.2862
2020-11-22 00:00:00,3.286,3.65,3.2802,3.6236
2020-11-22 04:00:00,3.6235,3.7448,3.362,3.4104
2020-11-22 08:00:00,3.429,3.4572,3.0,3.0782
2020-11-22 12:00:00,3.078,3.33,3.078,3.1938
2020-11-22 16:00:00,3.1932,3.64,3.1893,3.4103
2020-11-22 20:00:00,3.4103,3.45,3.2296,3.3164
2020-11-23 00:00:00,3.2984,3.445,3.15,3.4122
2020-11-23 04:00:00,3.4175,3.5,3.2542,3.2815
2020-11-23 08:00:00,3.2799,3.5092,3.27,3.4108
2020-11-23 12:00:00,3.4139,3.7713,3.3484,3.4993
2020-11-23 16:00:00,3.4993,3.77,3.4993,3.6503
2020-11-23 20:00:00,3.6521,3.751,3.6112,3.7057
2020-11-24 00:00:00,3.715,3.9053,3.55,3.5905
2020-11-24 04:00:00,3.5806,3.729,3.35,3.5178
2020-11-24 08:00:00,3.5146,3.61,3.275,3.376
2020-11-24 12:00:00,3.3715,3.4559,3.2864,3.3771
2020-11-24 16:00:00,3.3779,3.4355,3.309,3.3575
2020-11-24 20:00:00,3.3576,3.3633,3.2032,3.2734
2020-11-25 00:00:00,3.2787,3.3657,3.233,3.257
2020-11-25 04:00:00,3.2568,3.4461,3.183,3.2917
2020-11-25 08:00:00,3.2914,3.5678,3.2804,3.4382
2020-11-25 12:00:00,3.4299,3.4763,3.3417,3.3957
2020-11-25 16:00:00,3.3951,3.4,3.2953,3.3
2020-11-25 20:00:00,3.3115,3.3184,3.1922,3.2781
2020-11-26 00:00:00,3.2705,3.2817,2.8,2.8905
2020-11-26 04:00:00,2.8891,3.1,2.8294,2.8768
2020-11-26 08:00:00,2.8734,2.9506,2.7012,2.8982
2020-11-26 12:00:00,2.8981,2.9661,2.78,2.8894
2020-11-26 16:00:00,2.8889,2.8944,2.7,2.7925
2020-11-26 20:00:00,2.7959,2.8905,2.72,2.8609
2020-11-27 00:00:00,2.861,3.0214,2.8118,2.9082
2020-11-27 04:00:00,2.9084,3.005,2.8783,2.8978
2020-11-27 08:00:00,2.8982,3.05,2.88,2.9989
2020-11-27 12:00:00,2.9979,4.16,2.9877,3.4227
2020-11-27 16:00:00,3.4344,4.05,3.4228,3.7831
2020-11-27 20:00:00,3.7951,4.0613,3.596,3.8099
2020-11-28 00:00:00,3.8288,4.7799,3.7154,4.6437
2020-11-28 04:00:00,4.6168,4.779,4.16,4.7468
2020-11-28 08:00:00,4.7499,5.0,4.2594,4.9149
2020-11-28 12:00:00,4.91,5.5799,4.7941,5.309
2020-11-28 16:00:00,5.3174,5.4,4.7972,4.85
2020-11-28 20:00:00,4.8334,5.0643,4.666,4.9571
2020-11-29 00:00:00,4.9571,5.5,4.9333,5.0566
2020-11-29 04:00:00,5.0539,5.0917,4.4978,4.55
2020-11-29 08:00:00,4.55,4.7996,4.4211,4.7992
2020-11-29 12:00:00,4.7996,5.1677,4.5836,4.6713
2020-11-29 16:00:00,4.6714,4.8428,4.529,4.7628
2020-11-29 20:00:00,4.762,5.1147,4.655,4.8174
2020-11-30 00:00:00,4.8101,5.14,4.753,4.9785
2020-11-30 04:00:00,4.9605,5.0064,4.6,4.8211
2020-11-30 08:00:00,4.8009,4.8009,4.5027,4.665
2020-11-30 12:00:00,4.6642,4.85,4.363,4.52
2020-11-30 16:00:00,4.52,4.5518,4.2919,4.4121
2020-11-30 20:00:00,4.4119,4.4125,4.1382,4.1456
2020-12-01 00:00:00,4.1444,4.395,4.054,4.1343
2020-12-01 04:00:00,4.13,4.3448,4.0,4.2928
2020-12-01 08:00:00,4.2931,4.41,4.05,4.1387
2020-12-01 12:00:00,4.1356,4.4,3.8855,4.1236
2020-12-01 16:00:00,4.116,4.2387,3.9891,4.0621
2020-12-01 20:00:00,4.0642,4.2737,4.06,4.06
2020-12-02 00:00:00,4.0599,4.0701,3.9503,4.0008
2020-12-02 04:00:00,4.0008,4.3899,3.7284,4.3623
2020-12-02 08:00:00,4.3435,4.4,4.1271,4.202
2020-12-02 12:00:00,4.2025,4.2758,4.0554,4.0911
2020-12-02 16:00:00,4.0934,4.35,4.03,4.1858
2020-12-02 20:00:00,4.1861,4.496,4.15,4.4959
2020-12-03 00:00:00,4.4959,4.8876,4.4244,4.5865
2020-12-03 04:00:00,4.5907,4.7269,4.4,4.4894
2020-12-03 08:00:00,4.4871,4.7,4.4696,4.6567
2020-12-03 12:00:00,4.6692,5.45,4.55,5.06
2020-12-03 16:00:00,5.0602,5.375,4.8758,5.3
2020-12-03 20:00:00,5.2756,5.446,4.953,5.1812
2020-12-04 00:00:00,5.1795,5.3951,4.9701,5.075
2020-12-04 04:00:00,5.05,5.7,4.9954,5.6898
2020-12-04 08:00:00,5.6898,6.2719,5.4351,5.75
2020-12-04 12:00:00,5.7573,5.9295,5.5262,5.65
2020-12-04 16:00:00,5.65,5.7319,5.5251,5.6421
2020-12-04 20:00:00,5.6256,5.6736,4.9812,5.1831
2020-12-05 00:00:00,5.1831,5.345,5.0168,5.2151
2020-12-05 04:00:00,5.2138,5.4075,5.07,5.2936
2020-12-05 08:00:00,5.2938,5.7808,5.2938,5.579
2020-12-05 12:00:00,5.5905,5.7053,5.4175,5.4768
2020-12-05 16:00:00,5.4771,5.629,5.425,5.5977
2020-12-05 20:00:00,5.5977,5.9853,5.5767,5.8488
2020-12-06 00:00:00,5.8481,6.44,5.753,6.15
2020-12-06 04:00:00,6.1423,6.6666,6.1211,6.2633
2020-12-06 08:00:00,6.2633,6.4994,6.0052,6.2754
2020-12-06 12:00:00,6.2871,7.4564,6.2612,7.1451
2020-12-06 16:00:00,7.1451,7.7,6.9001,6.9227
2020-12-06 20:00:00,6.9227,7.295,6.866,7.1225
2020-12-07 00:00:00,7.1549,7.85,6.9454,7.5266
2020-12-07 04:00:00,7.5266,7.8246,7.1001,7.6231
2020-12-07 08:00:00,7.6376,9.55,7.4418,9.4447
2020-12-07 12:00:00,9.4447,9.86,8.4642,8.7117
2020-12-07 16:00:00,8.7147,9.4397,8.574,9.2439
2020-12-07 20:00:00,9.2396,9.85,9.2,9.7998
2020-12-08 00:00:00,9.8148,12.0,9.8148,11.3095
2020-12-08 04:00:00,11.3095,15.4,11.0473,14.237
2020-12-08 08:00:00,14.2346,14.9,12.74,13.7496
2020-12-08 12:00:00,13.7491,14.5,12.1823,13.045
