Date,Open,High,Low,Close
2020-09-17 00:00:00,0.3,15.0,0.3,3.0072
2020-09-17 04:00:00,3.0001,4.5,2.3521,3.408
2020-09-17 08:00:00,3.4047,3.6391,2.7377,2.874
2020-09-17 12:00:00,2.8711,3.2621,2.4501,2.9976
2020-09-17 16:00:00,2.9975,3.9572,2.95,3.5044
2020-09-17 20:00:00,3.504,3.8764,3.0861,3.4617
2020-09-18 00:00:00,3.4618,4.21,3.2285,4.1016
2020-09-18 04:00:00,4.1,5.9,4.0531,5.7929
2020-09-18 08:00:00,5.7936,5.799,4.72,4.816
2020-09-18 12:00:00,4.8158,6.7857,4.8158,6.3691
2020-09-18 16:00:00,6.3692,8.6,6.156,6.4162
2020-09-18 20:00:00,6.4198,7.7683,6.0166,6.9
2020-09-19 00:00:00,6.9,7.45,6.125,6.1763
2020-09-19 04:00:00,6.1722,7.1,6.155,6.3247
2020-09-19 08:00:00,6.3207,7.38,6.26,7.2472
2020-09-19 12:00:00,7.2474,7.4963,6.5752,6.7116
2020-09-19 16:00:00,6.7194,6.9229,5.601,5.8792
2020-09-19 20:00:00,5.8792,6.1733,5.19,5.7244
2020-09-20 00:00:00,5.7244,6.09,5.28,5.9565
2020-09-20 04:00:00,5.9562,6.0259,5.55,5.6264
2020-09-20 08:00:00,5.6264,5.8499,5.46,5.67
2020-09-20 12:00:00,5.67,5.67,4.84,4.9664
2020-09-20 16:00:00,4.9687,5.2656,4.65,4.9732
2020-09-20 20:00:00,4.9764,5.4186,4.7,5.223
2020-09-21 00:00:00,5.22,5.4839,5.07,5.3681
2020-09-21 04:00:00,5.3681,5.65,5.132,5.1685
2020-09-21 08:00:00,5.1685,5.22,4.2126,4.3992
2020-09-21 12:00:00,4.396,4.6645,4.06,4.2645
2020-09-21 16:00:00,4.2605,4.586,4.15,4.5819
2020-09-21 20:00:00,4.5819,4.68,4.2381,4.2471
2020-09-22 00:00:00,4.2505,4.47,4.204,4.3698
2020-09-22 04:00:00,4.3685,4.554,3.7737,3.8426
2020-09-22 08:00:00,3.8459,4.0523,3.7864,3.8629
2020-09-22 12:00:00,3.8665,3.9704,3.6828,3.9001
2020-09-22 16:00:00,3.9,4.2998,3.9,4.132
2020-09-22 20:00:00,4.1311,4.25,3.836,3.9105
2020-09-23 00:00:00,3.9079,4.278,3.9008,4.0997
2020-09-23 04:00:00,4.0996,4.2476,3.9408,4.0444
2020-09-23 08:00:00,4.0444,4.79,3.9847,4.6273
2020-09-23 12:00:00,4.6248,4.968,4.5125,4.7
2020-09-23 16:00:00,4.7,5.3475,4.502,4.6524
2020-09-23 20:00:00,4.6602,4.8079,4.06,4.38
2020-09-24 00:00:00,4.38,4.8499,4.26,4.7022
2020-09-24 04:00:00,4.7058,5.0497,4.64,5.0438
2020-09-24 08:00:00,5.0454,5.2109,4.77,5.1093
2020-09-24 12:00:00,5.1135,5.1428,4.659,5.0132
2020-09-24 16:00:00,5.0137,5.1865,4.8333,4.9499
2020-09-24 20:00:00,4.9425,5.2888,4.8821,5.164
2020-09-25 00:00:00,5.159,5.5525,4.97,5.2393
2020-09-25 04:00:00,5.2418,5.4142,5.1718,5.2898
2020-09-25 08:00:00,5.2834,5.3098,4.9,5.0579
2020-09-25 12:00:00,5.0565,5.156,4.7605,5.0852
2020-09-25 16:00:00,5.085,5.2485,4.98,5.0759
2020-09-25 20:00:00,5.0724,5.12,4.8865,4.9145
2020-09-26 00:00:00,4.9134,4.96,4.6752,4.8382
2020-09-26 04:00:00,4.8366,4.9897,4.77,4.9082
2020-09-26 08:00:00,4.9039,4.9549,4.8142,4.8619
2020-09-26 12:00:00,4.8654,4.9539,4.6828,4.8906
2020-09-26 16:00:00,4.8906,4.923,4.7935,4.8342
2020-09-26 20:00:00,4.8368,4.899,4.7222,4.8684
2020-09-27 00:00:00,4.8638,5.2133,4.8264,5.1438
2020-09-27 04:00:00,5.1438,5.2,4.8445,4.9071
2020-09-27 08:00:00,4.9051,4.9103,4.7271,4.7408
2020-09-27 12:00:00,4.7417,4.8487,4.7,4.8208
2020-09-27 16:00:00,4.8197,4.8328,4.7127,4.7821
2020-09-27 20:00:00,4.782,4.8652,4.7478,4.8458
2020-09-28 00:00:00,4.846,4.95,4.728,4.7877
2020-09-28 04:00:00,4.7877,4.7999,4.4524,4.5119
2020-09-28 08:00:00,4.5135,4.6249,4.4537,4.5489
2020-09-28 12:00:00,4.5497,4.645,4.3882,4.4319
2020-09-28 16:00:00,4.4319,4.5,4.349,4.4015
2020-09-28 20:00:00,4.4055,4.47,4.18,4.2503
2020-09-29 00:00:00,4.2475,4.35,4.1989,4.2099
2020-09-29 04:00:00,4.2072,4.292,4.12,4.228
2020-09-29 08:00:00,4.2256,4.4135,4.2008,4.2915
2020-09-29 12:00:00,4.2892,4.3257,4.1418,4.2207
2020-09-29 16:00:00,4.2266,4.2414,4.1493,4.1802
2020-09-29 20:00:00,4.181,4.3886,4.1808,4.3826
2020-09-30 00:00:00,4.3826,4.3854,4.205,4.219
2020-09-30 04:00:00,4.2174,4.247,4.02,4.0538
2020-09-30 08:00:00,4.054,4.111,3.9724,3.9903
2020-09-30 12:00:00,3.99,4.15,3.95,4.0589
2020-09-30 16:00:00,4.06,4.146,4.0295,4.0918
2020-09-30 20:00:00,4.0915,4.2004,4.0826,4.1554
2020-10-01 00:00:00,4.1554,4.2808,4.0727,4.2651
2020-10-01 04:00:00,4.265,4.5061,4.2087,4.3903
2020-10-01 08:00:00,4.3902,4.514,4.3321,4.4762
2020-10-01 12:00:00,4.4736,4.4785,4.237,4.2605
2020-10-01 16:00:00,4.2605,4.2605,3.9038,4.1696
2020-10-01 20:00:00,4.1707,4.2621,4.0933,4.2397
2020-10-02 00:00:00,4.2396,4.2396,4.0964,4.1869
2020-10-02 04:00:00,4.1869,4.1999,3.97,4.005
2020-10-02 08:00:00,4.0028,4.0192,3.569,3.6879
2020-10-02 12:00:00,3.6879,3.98,3.6778,3.8555
2020-10-02 16:00:00,3.8501,3.9586,3.7935,3.8359
2020-10-02 20:00:00,3.8304,3.9198,3.765,3.8904
2020-10-03 00:00:00,3.89,3.9731,3.83,3.9535
2020-10-03 04:00:00,3.9588,3.9682,3.8535,3.9065
2020-10-03 08:00:00,3.905,3.96,3.8373,3.92
2020-10-03 12:00:00,3.9172,3.9341,3.84,3.8958
2020-10-03 16:00:00,3.8957,4.1195,3.864,4.0444
2020-10-03 20:00:00,4.0408,4.0603,3.8817,3.9041
2020-10-04 00:00:00,3.9001,3.9447,3.7131,3.7632
